	depth	storage	outflow_rect	outflow_circ
0.0	0.0	0.0	0.0	0.0
0.1	0.1	1.4110722345999989	0.0	0.0
0.2	0.2	2.8221444691999995	0.01897957479043195	0.01846277979244767
0.3	0.3	4.2332167038	0.05673247734394118	0.07100076243266115
0.4	0.4	5.644288938400002	0.18927817608549377	0.1368686962919609
0.5	0.5	7.055361173	0.21901965146995542	0.17508476989698932
0.6	0.6	8.4664334076	0.24510614604431935	0.20345555928874368
0.7	0.7	9.8775056422	0.2686390715801114	0.22826068175215408
0.8	0.8	11.2885778768	0.2902533813183768	0.25059343056286487
0.9	0.9	12.6996501114	0.3103562330620341	0.27107755490073016
1.0	1.0	14.110722346	0.32922774175170166	0.2901103216600958
1.1	1.1	22.706487180400003	0.3470705897122282	0.30796371484592355
1.2	1.2	31.30225201480002	0.36403713016205197	0.32483380973745024
1.3	1.3	39.898016849200005	0.3802453615572801	0.3408675665130881
1.4	1.4	48.493781683600005	0.3957889066617685	0.35617854003779476
1.5	1.5	57.089546518	0.41074354133646224	0.37085665286041003
1.6	1.6	65.68531135239999	0.4251716301084274	0.38497456731328683
1.7	1.7	74.28107618680001	0.43912523572720624	0.3985920022087899
1.8	1.8	82.8768410212	0.45264835781827945	0.41175875166180215
1.9	1.9	91.4726058556	0.4657785817190022	0.4245168538350964
2.0	2.0	100.06837069	0.47854831717116747	0.43690218534448894
2.1	2.1	107.3281600952	0.4909857451784477	0.4489456571176718
2.2	2.2	114.5879495004	0.5031155529725552	0.4606741271935271
2.3	2.3	121.8477389056	0.514959512353775	0.47211110833994147
2.4	2.4	129.10752831080003	0.5265369403925533	0.4832773242294769
2.457439604	2.457439604	172.666264742	0.5330732170282653	0.48957594076020655
