gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000013,0.246612548828125,20224.392821028367,0,_000013,0
0,_000127,0.3186187744140625,21148.795300940616,0,_000127,0
0,_000088,0.9925994873046876,46117.67577838582,0,_000088,0
0,_000077,0.995208740234375,96562.9828399351,0,_000077,0
0,_000115,1.211456298828125,108844.10356403164,0,_000115,0
0,_000081,1.479583740234375,165177.94575008823,0,_000081,0
0,_000079,2.124237060546875,173985.26745047723,0,_000079,0
0,_000075,3.165634155273437,243065.55018071184,0,_000075,0
0,_000100,3.35504150390625,269876.3978434328,0,_000100,0
0,_000130,3.758514404296875,306134.0726154311,0,_000130,0
0,_000064,4.434341430664063,343743.15637366206,0,_000064,0
0,_000223,5.060714721679688,353865.0383516641,0,_000223,0
0,_000109,5.112838745117188,538363.4762367373,0,_000109,0
0,_000072,5.759552001953125,541993.1906358262,0,_000072,0
0,_000003,6.31817626953125,635406.8122454544,0,_000003,0
0,_000085,6.812347412109375,760862.4757840888,0,_000085,0
0,_000118,8.507827758789062,852546.5682523926,0,_000118,0
0,_000108,8.955734252929688,1094604.732126776,0,_000108,0
0,_000063,9.723342895507812,1153548.5910823203,0,_000063,0
0,_000019,10.142547607421877,1356938.7705139646,0,_000019,0
1,_000115,1.268402099609375,108844.10356403164,0,_000115,0
1,_010079,1.456634521484375,125047.03090057896,0,_010079,1
1,_000081,1.6071014404296875,165177.94575008823,0,_000081,0
1,_000171,1.949981689453125,173039.89010758232,0,_000171,0
1,_000079,2.296051025390625,173985.26745047723,0,_000079,0
1,_010105,2.476547241210937,212412.76513700772,0,_010105,1
1,_000075,3.35943603515625,243065.55018071184,0,_000075,0
1,_000125,3.459259033203125,253871.92797651625,0,_000125,0
1,_000100,3.509368896484375,269876.3978434328,0,_000100,0
1,_010066,3.696456909179688,271181.1170756051,0,_010066,1
1,_000130,3.907470703125,306134.0726154311,0,_000130,0
1,_010030,3.954498291015625,337317.4237886861,0,_010030,1
1,_000064,4.5112152099609375,343743.15637366206,0,_000064,0
1,_000223,5.16485595703125,353865.0383516641,0,_000223,0
1,_010027,5.187835693359375,362831.6346722343,0,_010027,1
1,_010031,5.19366455078125,377574.62507562817,0,_010031,1
1,_000109,5.295989990234375,538363.4762367373,0,_000109,0
1,_000072,6.19805908203125,541993.1906358262,0,_000072,0
1,_000003,6.682037353515625,635406.8122454544,0,_000003,0
1,_010044,6.8829193115234375,655082.1628754514,0,_010044,1
1,_000085,7.8043212890625,760862.4757840888,0,_000085,0
1,_000118,9.351242065429688,852546.5682523926,0,_000118,0
1,_010097,9.352294921875,855166.5729828329,0,_010097,1
1,_010099,9.476898193359377,857024.9191967428,0,_010099,1
1,_010040,9.5081787109375,878613.1732383287,0,_010040,1
1,_000108,9.881668090820312,1094604.732126776,0,_000108,0
1,_010020,9.938583374023438,1099223.196599385,0,_010020,1
1,_000063,11.01568603515625,1153548.5910823203,0,_000063,0
1,_010111,11.313278198242188,1216073.2678772677,0,_010111,1
1,_000019,11.55242919921875,1356938.7705139646,0,_000019,0
2,_000115,1.268402099609375,108844.10356403164,0,_000115,0
2,_010079,1.456634521484375,125047.03090057896,0,_010079,1
2,_000081,1.6071014404296875,165177.94575008823,0,_000081,0
2,_000171,1.949981689453125,173039.89010758232,0,_000171,0
2,_000079,2.296051025390625,173985.26745047723,0,_000079,0
2,_010105,2.476547241210937,212412.76513700772,0,_010105,1
2,_000075,3.35943603515625,243065.55018071184,0,_000075,0
2,_000125,3.459259033203125,253871.92797651625,0,_000125,0
2,_000100,3.509368896484375,269876.3978434328,0,_000100,0
2,_010066,3.696456909179688,271181.1170756051,0,_010066,1
2,_020011,3.87945556640625,290196.897632679,0,_020011,2
2,_020087,3.9284515380859375,296832.2527911615,0,_020087,2
2,_010030,3.954498291015625,337317.4237886861,0,_010030,1
2,_000064,4.5112152099609375,343743.15637366206,0,_000064,0
2,_000223,5.16485595703125,353865.0383516641,0,_000223,0
2,_010027,5.187835693359375,362831.6346722343,0,_010027,1
2,_010031,5.19366455078125,377574.62507562817,0,_010031,1
2,_020083,5.343994140625,381757.4204152685,0,_020083,2
2,_000072,6.19805908203125,541993.1906358262,0,_000072,0
2,_020053,6.360763549804688,573418.1005955108,0,_020053,2
2,_020102,6.621612548828125,631476.7207301564,0,_020102,2
2,_000003,6.682037353515625,635406.8122454544,0,_000003,0
2,_010044,6.8829193115234375,655082.1628754514,0,_010044,1
2,_020027,7.209808349609375,678995.1146260756,0,_020027,2
2,_000085,7.8043212890625,760862.4757840888,0,_000085,0
2,_020036,7.817276000976562,776161.8882516776,0,_020036,2
2,_020008,9.3267822265625,841958.9842185809,0,_020008,2
