gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
0,5128.0,471,48,1,22.892857142857142
1,5876.0,467,49,4,26.232142857142858
2,6088.0,452,48,4,27.178571428571427
3,5467.0,390,48,4,24.40625
4,6078.0,394,56,4,27.133928571428573
5,5788.0,334,57,6,25.839285714285715
6,5509.0,299,58,6,24.59375
7,5852.0,310,59,6,26.125
8,6501.0,359,65,6,29.022321428571427
9,5744.0,309,66,6,25.642857142857142
10,5831.0,311,66,6,26.03125
11,5852.0,303,61,6,26.125
12,5739.0,380,64,6,25.620535714285715
13,4992.0,292,65,6,22.285714285714285
14,5497.0,296,65,6,24.540178571428573
15,5795.0,283,66,6,25.870535714285715
16,6388.0,353,72,6,28.517857142857142
17,5881.0,281,73,4,26.254464285714285
18,5172.0,260,48,4,23.089285714285715
19,5295.0,253,48,4,23.638392857142858
20,5409.0,346,51,4,24.147321428571427
21,5511.0,275,51,4,24.602678571428573
22,5825.0,252,52,4,26.004464285714285
23,5889.0,254,53,4,26.290178571428573
24,6351.0,349,59,4,28.352678571428573
25,6052.0,278,59,6,27.017857142857142
26,6203.0,261,55,6,27.691964285714285
27,6098.0,257,55,6,27.223214285714285
28,6753.0,346,64,6,30.147321428571427
29,6209.0,270,63,6,27.71875
30,6893.0,270,66,6,30.772321428571427
31,6754.0,270,63,6,30.151785714285715
32,6850.0,355,64,6,30.580357142857142
33,6752.0,287,65,6,30.142857142857142
34,6466.0,275,64,6,28.866071428571427
35,7230.0,255,65,6,32.276785714285715
36,7286.0,347,71,7,32.526785714285715
37,6544.0,277,68,7,29.214285714285715
38,6767.0,263,67,7,30.209821428571427
39,6706.0,279,67,7,29.9375
40,6987.0,347,66,7,31.191964285714285
41,6773.0,271,65,7,30.236607142857142
42,7012.0,258,65,7,31.303571428571427
43,7162.0,248,67,7,31.973214285714285
44,7253.0,329,71,7,32.379464285714285
45,6839.0,265,71,7,30.53125
46,7281.0,257,71,7,32.504464285714285
47,7628.0,265,72,7,34.05357142857143
48,7833.0,341,78,7,34.96875
49,7193.0,271,79,7,32.111607142857146
50,7302.0,271,73,7,32.598214285714285
51,7598.0,261,74,7,33.919642857142854
52,8113.0,355,75,7,36.21875
53,7786.0,259,74,7,34.75892857142857
54,7892.0,263,74,6,35.232142857142854
55,7740.0,264,75,7,34.55357142857143
56,8510.0,347,82,7,37.99107142857143
57,7987.0,278,82,7,35.65625
58,8443.0,275,83,7,37.691964285714285
59,8390.0,272,83,7,37.455357142857146
60,8504.0,322,87,7,37.964285714285715
61,7559.0,269,88,7,33.745535714285715
62,8515.0,262,89,7,38.013392857142854
63,8848.0,259,86,7,39.5
64,9374.0,339,89,7,41.848214285714285
65,8770.0,281,89,7,39.151785714285715
66,9036.0,278,90,7,40.339285714285715
67,10133.0,272,89,7,45.236607142857146
68,9522.0,341,93,7,42.50892857142857
69,8952.0,278,87,7,39.964285714285715
70,9140.0,278,86,7,40.80357142857143
71,9363.0,262,87,8,41.799107142857146
72,10326.0,342,90,8,46.098214285714285
73,9315.0,276,87,8,41.58482142857143
74,8864.0,291,88,8,39.57142857142857
75,8864.0,284,88,7,39.57142857142857
76,10341.0,363,90,7,46.16517857142857
77,10000.0,286,91,7,44.642857142857146
78,9271.0,294,91,7,41.388392857142854
79,9593.0,285,91,7,42.825892857142854
80,11160.0,357,96,7,49.82142857142857
81,10383.0,295,97,7,46.35267857142857
82,9760.0,288,92,7,43.57142857142857
83,10165.0,287,91,7,45.379464285714285
84,11231.0,370,94,7,50.138392857142854
85,10553.0,291,94,9,47.111607142857146
86,10605.0,288,95,9,47.34375
87,10445.0,291,95,9,46.629464285714285
88,11598.0,359,106,9,51.776785714285715
89,11034.0,304,106,9,49.25892857142857
90,11145.0,299,107,9,49.754464285714285
91,10714.0,298,107,9,47.830357142857146
92,12444.0,376,110,9,55.55357142857143
93,11257.0,312,111,9,50.254464285714285
94,12359.0,302,112,9,55.174107142857146
95,12693.0,305,112,9,56.66517857142857
96,12878.0,366,113,9,57.49107142857143
97,12396.0,319,113,9,55.339285714285715
98,11453.0,308,114,9,51.129464285714285
99,12438.0,305,114,9,55.526785714285715
100,12934.0,373,115,9,57.74107142857143
