subsetID,Q_peak,Qpeak_reduction,cost,floodedArea
_000000,161.16259765625,3.470947265625,402017.8236929189,53902.7864985
_000001,161.3304443359375,3.3031005859375,632312.3994097734,78366.90640879399
_000002,161.30096435546875,3.33258056640625,1030902.3349029599,113491.34755806
_000003,158.31536865234375,6.31817626953125,635406.8122454544,54287.75284179999
_000004,162.04922485351562,2.584320068359375,513571.2258383619,55341.82519846
_000005,159.3143310546875,5.3192138671875,1297835.130994216,143723.67453304998
_000006,159.40611267089844,5.2274322509765625,718686.4974237109,119172.9342515
_000007,162.32191467285156,2.3116302490234375,563988.3638533186,73660.84176886
_000008,162.44210815429688,2.191436767578125,341579.8485791388,55650.44858746
_000009,161.82513427734375,2.80841064453125,321200.48990387394,36202.012337
_000010,161.0832977294922,3.5502471923828125,808366.7587404978,100170.42320769999
_000011,156.51458740234375,8.11895751953125,967182.4848318817,131131.580497394
_000012,158.5030059814453,6.1305389404296875,879299.9828723265,117390.1440322
_000013,164.38693237304688,0.246612548828125,20224.392821028367,1757.6732653000001
_000014,159.0934600830078,5.5400848388671875,694752.3900517457,102955.10854726001
_000015,159.25416564941406,5.3793792724609375,1149870.2122741158,135854.52816999998
_000016,157.9620361328125,6.6715087890625,1134953.7923242182,135334.9503001
_000017,161.0704803466797,3.5630645751953125,406939.6976935315,52929.26213486
_000018,159.60597229003906,5.0275726318359375,979375.0418392199,108348.1602531
_000019,154.49099731445312,10.142547607421875,1356938.7705139646,165470.37289116
_000020,158.74441528320312,5.889129638671875,1144052.5471074851,131635.38899846
_000021,159.36204528808594,5.2714996337890625,829982.3492894762,91249.966081494
_000022,159.98753356933594,4.6460113525390625,840007.690879803,105744.4937698
_000023,163.7802276611328,0.8533172607421875,171841.72490253914,19719.946571599998
_000024,161.3675537109375,3.2659912109375,446106.2311816378,69745.4633596
_000025,161.9910888671875,2.6424560546875,405750.9159134653,35900.26697919
_000026,159.3697052001953,5.2638397216796875,669483.4866936688,96830.71165879
_000027,159.37142944335938,5.262115478515625,693975.7100622999,88848.88533876
_000028,157.67747497558594,6.9560699462890625,1141685.1561646275,137036.1399807
_000029,163.1803436279297,1.4532012939453125,204900.1869310891,30700.810472
_000030,159.19522094726562,5.438323974609375,829506.0702779965,128877.81548310001
_000031,163.30532836914062,1.328216552734375,646452.7090694782,105396.05909200001
_000032,161.61412048339844,3.0194244384765625,331033.68608734984,42539.65515800001
_000033,159.66192626953125,4.97161865234375,825352.0441274152,92842.1131456
_000034,156.08724975585938,8.546295166015625,1276378.778577611,153528.43511259998
_000035,156.2628631591797,8.370681762695312,1013505.8156239534,107808.21944360001
_000036,160.7467803955078,3.8867645263671875,887987.8914575994,125174.07183249999
_000037,159.8601837158203,4.7733612060546875,537919.4831705029,59666.8270228
_000038,162.34693908691406,2.2866058349609375,283986.90154668014,32720.2776452
_000039,162.62026977539062,2.013275146484375,426452.71821387036,59710.1385679
_000040,164.476806640625,0.15673828125,52891.7592049847,4821.1583009999995
_000041,159.8882293701172,4.7453155517578125,922522.0987831833,111729.92935420001
