subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_620012,162.29920959472656,2.334335327148437,65780.4830904555,10427.400122,0,inf
_680017,162.2974090576172,2.3361358642578125,75877.41348121045,10877.5503737,0,0.016206500123233967
_690100,162.11367797851562,2.519866943359375,78203.23944635128,13783.40230167,0,0.019303602055229303
_490052,161.95436096191406,2.679183959960937,81245.87860507982,14514.8947576,0,0.06760412970922659
_680052,160.717041015625,3.91650390625,81924.27576225965,11518.4480782,0,0.062181481906818555
_660054,160.67518615722656,3.9583587646484375,85088.28998386605,12118.1300917,0,0.009466261304352639
_710017,160.5869140625,4.046630859375,87499.84060370502,11778.500881700002,0,0.02665452588348881
_730041,160.2863006591797,4.3472442626953125,99051.066825132,13875.6472557,0,0.024841026164071876
_730002,160.20823669433594,4.425308227539063,99257.39286478383,13625.7228272,0,0.01611556021347326
_510023,160.0948028564453,4.538742065429688,110862.85537805478,15500.8899861,0,0.014959765332092876
_730074,160.0718994140625,4.5616455078125,113421.938949443,15855.9705989,0,0.01573911261590914
_700020,159.79241943359375,4.84112548828125,113488.10410599872,16068.4084409,0,0.02342872813636052
_680070,159.6350555419922,4.9984893798828125,118355.13266939548,17060.9897107,0,0.022902735745244818
_720070,159.45716857910156,5.1763763427734375,125400.3032878096,17463.0398049,0,0.01691728191069021
_550001,159.4106903076172,5.2228546142578125,128951.63674445594,17698.6430401,0,0.01585596985517733
_710022,159.17005920410156,5.4634857177734375,129398.26809668726,17746.0735789,0,0.015766243632301294
_630057,159.10772705078125,5.52581787109375,131576.88547239985,18266.1614949,0,0.039181959479225176
_700038,158.61306762695312,6.020477294921875,151056.3883605071,21259.7015219,0,0.05752428527894739
_670009,158.1666259765625,6.4669189453125,153844.90315835274,22847.8998979,0,0.03190733421377863
_730031,158.11636352539062,6.517181396484375,165362.31268731604,23677.3204909,0,0.017765687513042826
_690037,158.0064239501953,6.627120971679688,170798.09278910313,23859.3773499,0,0.019823435268897023
_690064,157.80667114257812,6.826873779296875,174165.40294759895,28207.8047649,0,0.015258320930266092
_730044,157.7927703857422,6.8407745361328125,179483.37979910633,25006.1508724,0,0.03349065791087153
_650047,157.43942260742188,7.194122314453125,201084.5716382772,30974.204611199995,0,0.03171176706878537
_720091,157.4329071044922,7.2006378173828125,204036.4098540403,31090.1481185,0,0.007926219137041331
_680080,157.3422088623047,7.291336059570312,206660.13647972257,31234.257414699998,0,0.01715993132840248
_710005,157.18191528320312,7.451629638671875,212976.77163864567,31884.393605099995,0,0.03314567854397513
_730012,156.751708984375,7.8818359375,215765.28643649133,33472.5919811,0,0.050789208194861026
_720011,156.14669799804688,8.486846923828125,216856.72958091853,29801.829012899994,0,0.03523691568234663
_710084,156.06040954589844,8.573135375976562,220536.62766755684,30173.822643699998,0,0.029418128960928866
_700055,155.71742248535156,8.916122436523438,232261.8339275412,30872.1303768,0,0.03034154023701166
_630003,155.6714324951172,8.962112426757812,240578.86069132647,34778.210794800005,0,0.025941730811013634
_720003,155.3694305419922,9.264114379882812,248206.6544815626,33052.986319799995,0,0.031733506207117686
_720094,155.24600219726562,9.387542724609377,260103.20732686596,33036.060598799995,0,0.038919658206798526
_730062,154.7510223388672,9.882522583007812,264687.7842461043,34105.6913388,0,0.04073787310946652
_720007,154.6641082763672,9.969436645507812,282406.3086426748,42233.3952134,0,0.030544908358717926
_710010,154.36160278320312,10.271942138671877,285031.5573706187,42800.9136682,0,0.026550918745094035
_730050,154.32225036621094,10.311294555664062,299830.5864168869,45460.6546182,0,0.017663512664787384
_690109,154.23155212402344,10.401992797851562,304145.04827397835,45029.4011308,0,0.01123898899011058
_680093,154.14535522460938,10.488189697265623,304720.07333569747,51668.851550700005,0,0.020372716140293238
_720006,153.83758544921875,10.79595947265625,307345.32206364145,52236.3700055,0,0.027512999468749515
_680021,153.69822692871094,10.935317993164062,315601.1911401138,53808.6403896,0,0.028444214736213114
_670021,153.50579833984375,11.12774658203125,328672.95064123074,55646.5644208,0,0.033380549066398514
_690017,153.209228515625,11.42431640625,332934.308242638,55915.9151386,0,0.027415042751432535
_730043,153.1302032470703,11.503341674804688,344917.77587414515,56854.4563398,0,0.014303879207802413
_710008,153.0846405029297,11.548904418945312,346923.66130097525,57067.2696216,0,0.014301023311340085
_720075,153.00567626953125,11.62786865234375,358907.1289324824,58005.8108228,0,0.013559724047688257
_720065,152.98414611816406,11.649398803710938,361545.617859879,58362.9702786,0,0.008551641941780132
_700003,152.8626251220703,11.770919799804688,361974.53989416745,70829.8895805,0,0.012088715015662551
_710018,152.862060546875,11.771484375,372071.4702849224,71280.0398322,0,0.011049425786951747
_680037,152.8615264892578,11.772018432617188,380130.084645546,71415.16741060001,0,0.027403855337406236
_730107,152.44065856933594,12.192886352539062,384759.5819423953,63581.4856798,0,0.03212647634879901
_680000,152.30593872070312,12.327606201171877,390249.4383350436,73125.4371852,0,0.030802055118471817
_640108,152.2317352294922,12.401809692382812,419469.8601182592,78453.06421720001,0,0.02759518170787585
_710076,152.10243225097656,12.531112670898438,420084.2192555811,78419.9191552,0,0.06792523019735575
_680016,150.8126983642578,13.820846557617188,421990.7416063589,72512.72933120001,0,0.0856508467315219
_720017,150.37789916992188,14.255645751953123,428269.2322606191,71589.0920832,0,0.03132666140035194
_690021,150.3321533203125,14.3013916015625,436586.25902440434,75495.1725012,0,0.03323347039858862
_730021,149.8920440673828,14.741500854492188,445602.3493631433,73696.3668322,0,0.12907245434583448
_720111,149.82974243164062,14.803802490234377,610851.6791902054,96128.8309408,0,0.11621900777650444
_730045,149.60928344726562,15.024261474609377,615615.6534997087,105795.8777296,0,0.030378338332119524
_660109,149.4486083984375,15.1849365234375,631560.4740537299,107976.7336726,0,0.023436768137203856
_710015,149.33761596679688,15.295928955078123,633320.7826276409,110044.3703771,0,0.01241188372592521
_730083,149.3375701904297,15.295974731445312,643473.1414606374,110379.3942531,0,0.012740490647809504
_720020,149.221435546875,15.412109375,645378.7166581177,109337.46031399,0,0.00843287340534289
_730110,149.21421813964844,15.419326782226562,647866.0996928785,109371.42984235,0,0.008292807642013584
_730106,149.11195373535156,15.521591186523438,650611.8282512755,109658.54171509,0,0.046080108742770416
_690047,148.97747802734375,15.65606689453125,705648.7667706861,100199.48197310002,0,0.051404821474276906
_710056,148.77430725097656,15.859237670898438,709390.261797151,99175.7451461,0,0.02226132126514083
_730069,148.72471618652344,15.908828735351562,722873.7885086569,100059.135549,0,0.024243282694376696
_710104,148.432861328125,16.20068359375,723036.9140528333,102073.0118541,0,0.019172170273826644
_730011,148.3614959716797,16.272048950195312,726467.1378502174,100664.17205609998,0,0.04162355692606232
_730055,148.2298126220703,16.403732299804688,776065.1134101626,123174.1633141,0,0.07864585546515082
_680010,147.54144287109375,17.09210205078125,792952.7371348679,113443.3008548,0,0.05628584986118605
_720022,147.3720245361328,17.261520385742188,802724.03671933,113938.9746021,0,0.02241126212961196
_690026,147.22193908691406,17.411605834960938,805269.9565633921,114471.5425268,0,0.022859524156595055
_700073,147.13442993164062,17.499114990234375,822108.130144137,119777.7446588,0,0.018540397845381598
_730091,147.12542724609375,17.50811767578125,828421.6379943038,119866.74189385,0,0.0168867087029404
_710111,147.07029724121094,17.563247680664062,845030.9509766842,121475.2870678,0,0.017160759507214483
_720027,147.04042053222656,17.593124389648438,850184.4972587338,122399.1909178,0,0.020097073434635293
_720057,147.01373291015625,17.61981201171875,873838.0461384006,122780.04716180002,0,0.02636346471455523
_730073,147.00418090820312,17.629364013671875,890906.0933971569,124500.8856058,0,0.03329975499982824
_720079,146.572509765625,18.06103515625,894728.0768609812,133944.86614780003,0,0.07263911439485778
_730085,146.04039001464844,18.59315490722656,936373.0682295136,130242.0030721,0,0.12843847828881172
_710012,145.99526977539062,18.63827514648437,1062166.930103933,149195.41652079,0,0.08962672659283212
_710043,145.76097106933594,18.872573852539062,1062745.9207824674,147838.44554979,0,0.10826378446580626
_730015,144.79026794433594,19.843276977539062,1147811.3822225458,161716.74678478995,0,0.2004564638347947
_730046,144.77523803710938,19.858306884765625,1317519.06871625,196542.8250463,0,0.1340837864533537
_710063,144.42652893066406,20.207015991210938,1341060.899513848,207219.3159173,0,0.044104469070342746
_730025,144.23208618164062,20.40145874023437,1348372.290881346,207397.317167,0,0.03629189890189746
_730080,144.12997436523438,20.503570556640625,1378064.950261819,219773.4152867,0,0.04058167104163733
_720001,144.11868286132812,20.514862060546875,1406604.9912700094,237089.7591823,0,0.027531292631667398
_690002,144.0923309326172,20.54121398925781,1420605.964300743,237608.002048,0,0.016556658482066798
_700071,144.0010223388672,20.63252258300781,1424848.3329394043,238163.096264,0,0.024160030175116722
_730001,143.65338134765625,20.98016357421875,1426583.7414978505,236971.6036208,0,0.033339016231318214
_720019,143.52845764160156,21.10508728027344,1443382.271420129,239355.6566188,0,0.13892956601685932
_730005,140.92758178710938,23.705963134765625,1445380.8508577389,222089.3535237,0,inf
_730022,161.66632080078125,2.96722412109375,98429.90281558433,22847.952802,1,inf
_460005,160.39654541015625,4.23699951171875,100185.10005674545,14677.0673117,1,0.20451763118905364
_710098,158.1640167236328,6.469528198242188,165520.60295784037,23248.6337084,1,0.14627728098152482
_730059,158.14247131347656,6.4910736083984375,167549.1536460386,24282.2575729,1,0.009984315055049313
_730033,158.0839080810547,6.5496368408203125,175814.91867146248,25325.2949089,1,0.023827535699223384
_730016,157.94674682617188,6.686798095703125,191765.4007498588,26210.0130102,1,0.07140551420489073
_730111,157.0804901123047,7.553054809570312,216184.5642676724,32214.575454899998,1,0.06568793147665358
_730000,157.03497314453125,7.59857177734375,229775.3015609248,34268.4466031,1,0.06886407440132684
_730036,156.04519653320312,8.588348388671875,249896.64106080096,33322.6449349,1,0.06391187029820282
_730065,156.03965759277344,8.593887329101562,258400.2825139169,40842.3364464,1,0.033714019931699465
_730053,155.451904296875,9.181640625,259724.32052406995,36165.4723538,1,0.03629671416267607
_730037,155.287109375,9.346435546875,260190.12211306972,33991.527521,1,0.01909872660130147
_640053,155.1990203857422,9.434524536132812,271719.0979554153,41795.8401688,1,0.014027481423876595
_720101,155.19842529296875,9.43511962890625,276496.5122751052,42135.1678426,1,0.0102359033411971
_710060,155.08847045898438,9.545074462890623,280077.37033061404,42549.7661123,1,0.03521272385351959
_730010,154.59017944335938,10.043365478515623,287643.19728263107,50180.4246407,1,0.04182593383531565
_730104,154.3664093017578,10.267135620117188,293349.75424720027,44401.9989882,1,0.05585177884829119
_730108,153.83395385742188,10.799591064453123,321430.5127223549,52959.520555,1,0.1064951726103912
_730063,153.005615234375,11.6279296875,364040.7737777349,58339.5240759,1,0.07444841486444824
_730024,152.90785217285156,11.725692749023438,372795.4976103104,59245.8346481,1,0.020594953016221405
_720110,152.85549926757812,11.778045654296877,386443.59249571286,71504.16464565,1,0.018593156804417497
_690013,152.70034790039062,11.933197021484377,387460.9235371979,71537.2388092,1,0.01844914010971612
_730102,152.6969757080078,11.936569213867188,404654.6757686431,72925.9454642,1,0.05056995683415193
_730042,152.22781372070312,12.405731201171877,434442.0778203782,79595.43532820001,1,0.14655264394938206
_690084,150.1028594970703,14.530685424804688,446207.54331281176,75102.09317020001,1,0.12267280859146273
_720024,149.94818115234375,14.68536376953125,460865.6343292697,77611.1662232,1,0.11811033559444521
_730082,149.8073272705078,14.826217651367188,618356.5410183672,99031.7117208,1,0.10911359163182394
_720008,149.678955078125,14.95458984375,620194.7527600778,106655.9740018,1,0.013276305097884071
_710046,149.65162658691406,14.981918334960938,628246.3481443394,108466.73890376,1,0.01459110913556482
_730027,149.6481170654297,14.985427856445312,641899.7642151735,109084.09997016002,1,0.016008757525006946
_730057,149.54718017578125,15.08636474609375,646605.907257897,110886.17826476,1,0.021084005115405605
_730087,149.3074188232422,15.326126098632812,650388.829886397,111765.2088211,1,0.05872155676246939
_730013,149.0689239501953,15.564620971679688,706601.7469993053,97587.5467701,1,0.05459116777100798
_730032,148.98251342773438,15.651031494140623,715411.4434561209,100859.4425827,1,0.03746926593206865
_730081,148.73719787597656,15.896347045898438,742832.6560248868,104503.2077371,1,0.04630980179789406
