subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_590026,161.2711639404297,3.3623809814453125,61183.85502883226,6799.697075399999,0,0,inf,590026
_990042,160.86361694335938,3.769927978515625,75726.54864089112,9063.9681554,0,0,0.04422400758007347,990042
_970010,160.28819274902344,4.3453521728515625,86490.15632132621,9161.7940361,0,0,0.036556068127480176,970010
_950024,160.0149383544922,4.6186065673828125,92579.34333255206,10040.4451712,0,0,0.02614529629377766,950024
_750006,159.67156982421875,4.96197509765625,97459.21373635763,12748.6536932,0,0,0.02543789283786315,750006
_970045,159.4361572265625,5.1973876953125,105631.63262450125,13599.519934300002,0,0,0.026021169934042025,970045
_980004,159.1154022216797,5.5181427001953125,114847.36101850496,14622.1835742,0,0,0.03035671098533832,980004
_990092,158.79315185546875,5.84039306640625,126572.56727848935,15320.491307300004,0,0,0.01992152752840987,990092
_890081,158.70462036132812,5.928924560546875,129848.4343309541,16188.8837733,0,0,0.02328034662526699,890081
_930055,158.315673828125,6.31787109375,144391.12794301298,18453.1548533,0,0,0.034296170531697354,930055
_910070,158.01699829101562,6.616546630859375,157874.5384227587,29086.0160132,0,0,0.027427780138497906,910070
_990026,157.70794677734375,6.92559814453125,160301.29193370152,20130.819991300003,0,0,0.026200493532133714,990026
_990078,157.4559326171875,7.1776123046875,175262.68570490603,30959.5458942,0,0,0.03486464607996437,990078
_870026,156.9869384765625,7.6466064453125,186318.503649079,24470.99292319,0,0,0.04472285334453732,870026
_990023,156.4867401123047,8.146804809570312,203651.6207516032,26578.26767219,0,0,0.026154108829338857,990023
_990079,156.47760009765625,8.15594482421875,209382.8080721448,26600.4538028,0,0,0.018273277411269596,990079
_950039,156.1276397705078,8.505905151367188,219401.97004745956,37772.96034330001,0,0,0.025860245554667406,950039
_990027,155.9137420654297,8.719802856445312,225411.4379391544,37981.901157800006,0,0,0.03026923610926407,990027
_980077,155.47042846679688,9.163116455078123,238476.14825975447,40050.30749480001,0,0,0.027656264099929294,980077
_970046,155.29977416992188,9.333770751953123,241321.6019298429,39659.5662958,0,0,0.02070168567162313,970046
_990028,155.03599548339844,9.597549438476562,253213.8019302114,40569.7552897,0,0,0.027953601985016882,990028
_980002,154.78939819335938,9.844146728515623,269798.13275854586,42937.8161228,0,0,0.02903012075760909,980002
_990110,154.48513793945312,10.148406982421877,280444.26659701543,45427.4782378,0,0,0.0412693845170055,990110
_970060,153.83673095703125,10.79681396484375,289435.17013142654,42323.94374319,0,0,0.036747888793108696,970060
_940082,153.6879119873047,10.945632934570312,303674.2088690044,50685.6861034,0,0,0.024816050050142455,940082
_990103,153.3228302001953,11.310714721679688,307875.0781259238,44655.39057709,0,0,0.0391881569683893,990103
_910060,152.8734588623047,11.760086059570312,332464.0340955393,53237.2679029,0,0,0.02836239675993134,910060
_980104,152.85279846191406,11.780746459960938,342145.85355722485,53590.7270812,0,0,0.030120483587497627,980104
_990070,152.20530700683594,12.428237915039062,349850.4948178276,58661.30606319,0,0,0.04449293233662651,990070
_1000108,151.87852478027344,12.755020141601562,369256.7873724347,63328.80007419,0,0,0.040257820563563015,1000108
_940074,151.62303161621094,13.010513305664062,408043.9548940316,66769.8635345,0,0,0.032425115971419616,940074
_980089,151.42918395996094,13.204360961914062,418337.7382633333,67076.3527246,0,0,0.015086996956565568,980089
_1000106,151.39657592773438,13.236968994140623,428925.3222971451,67705.068424,0,0,0.02504674535304006,1000106
_970035,151.01437377929688,13.619171142578123,448632.90894447936,67539.81532885,0,0,0.04187392362668564,970035
_940003,150.6184539794922,14.015090942382812,470053.9695473783,74940.112562,0,0,0.042702012535951336,940003
_1000000,150.1607666015625,14.4727783203125,483814.71473017416,72483.00337589,0,0,0.0418525378455165,1000000
_950037,149.96694946289062,14.666595458984377,525359.7874788903,83468.9269314,0,0,0.037910511748752915,950037
_990041,149.63226318359375,15.00128173828125,540844.742723775,86378.3705924,0,0,0.04139751574321185,990041
_970071,149.12796020507812,15.505584716796877,558177.8598262992,88485.6453414,0,0,0.047106222922404725,970071
_910050,148.87718200683594,15.756362915039062,600641.4296867491,83714.60586299999,0,0,0.03449115745611391,910050
