subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_310067,162.19741821289062,2.436126708984375,63936.49548016461,7189.003419700001,0,inf
_420032,161.9969482421875,2.6365966796875,69219.21417267885,7958.4960997,0,0.03793566957872597
_420042,161.4633026123047,3.1702423095703125,71379.61012218757,7972.5233429,0,0.03283217869096384
_350019,161.37416076660156,3.259384155273437,77255.31092166304,8142.5071421,0,0.018753791627656634
_390065,161.19102478027344,3.4425201416015625,86557.48330006246,8904.8728269,0,0.016009993204937026
_430078,161.12049865722656,3.513046264648437,87520.56717108001,9825.5660269,0,0.020889143259569237
_390073,160.78424072265625,3.84930419921875,90333.0382621798,9201.6948151,0,0.03963067075928357
_420030,160.3602294921875,4.2733154296875,96139.53635192008,10240.5871718,0,0.0347899826982426
_420067,160.21934509277344,4.4141998291015625,110903.70815025042,14873.3025173,0,0.023955249282248743
_380067,159.99378967285156,4.6397552490234375,113161.84556740693,15486.5474538,0,0.019501961088397034
_430059,159.91294860839844,4.7205963134765625,123736.79839142004,23465.8907151,0,0.024083410042084287
_410065,159.68368530273438,4.949859619140625,137670.63560806413,24479.8694621,0,0.028480090498814465
_390049,159.47035217285156,5.1631927490234375,143093.89507951008,25304.7644088,0,0.025124666173583388
_430072,159.20497131347656,5.4285736083984375,143550.15019456166,15338.708157800002,0,0.041539557530612004
_410021,158.70835876464844,5.9251861572265625,156554.86103832116,26577.9494918,0,0.036548853872796105
_410010,158.56802368164062,6.065521240234375,159643.3330371639,30809.9310268,0,0.016220417784179157
_390018,158.47921752929688,6.154327392578125,170488.69825496525,27591.928238800003,0,0.021327955853126534
_380089,158.28079223632812,6.352752685546875,179748.6731745099,29086.7066388,0,0.02077415573881786
_420070,158.13377380371094,6.499771118164063,181741.03171253132,32655.5999598,0,0.014213078054340062
_380018,158.09669494628906,6.5368499755859375,194075.03272221223,31893.672350400004,0,0.015347065626381067
_440107,157.94784545898438,6.685699462890625,198841.46843916544,31055.692830100004,0,0.01301713222686972
_430106,157.90850830078125,6.72503662109375,204711.99231701536,35115.3074908,0,0.013670314701895236
_420006,157.7143096923828,6.919235229492188,205457.1250158408,32693.372110400003,0,0.03163466779844885
_420089,157.3544464111328,7.2790985107421875,218291.83442866505,34483.0361894,0,0.02948108630978637
_430003,157.21368408203125,7.41986083984375,220106.43192985517,33529.11316180001,0,0.022596711933667062
_350059,157.18414306640625,7.44940185546875,256594.31435201695,34991.2615409,0,0.01903675855175109
_400106,157.12794494628906,7.5055999755859375,259698.76733499367,41892.810424,0,0.017607466672392214
_350042,156.88699340820312,7.746551513671875,265577.8779812308,40501.9872632,0,0.027270261386530905
_390110,156.68553161621094,7.9480133056640625,275871.6613505325,40808.4764533,0,0.027642219844235753
_410110,156.45458984375,8.178955078125,284006.72513559344,41667.3956372,0,0.04918131719100065
_420026,155.77264404296875,8.86090087890625,290449.61870367656,50632.7693483,0,0.04547256329164219
_430071,155.6903076171875,8.9432373046875,307604.2972116014,52783.7604759,0,0.025178955200338436
_410001,155.50271606445312,9.130828857421877,322959.62902143947,50306.4024102,0,0.02830527823253822
_420111,155.38768005371094,9.245864868164062,344254.3753068008,57250.3467142,0,0.01836752036961773
_440094,155.37051391601562,9.263031005859377,354883.42542785284,57600.8588661,0,0.011060141313181898
_430060,155.259033203125,9.37451171875,357256.28090562933,53986.7729718,0,0.00934939890665024
_420063,155.1989288330078,9.434616088867188,357902.7673578004,54932.1045793,0,0.029159495729187388
_420028,154.66297912597656,9.970565795898438,358946.9612396833,51668.2299889,0,0.04413380057291061
_420048,154.41250610351562,10.221038818359377,375142.3449597462,57690.3030556,0,0.023228366412162967
_420074,154.32955932617188,10.303985595703123,378231.1147890671,56508.20609944,0,0.019956074677409716
_410019,154.1467742919922,10.486770629882812,394338.0712057888,57773.33358034,0,0.021814557922528812
_420069,154.0011749267578,10.632369995117188,394405.8484649559,58022.37958834,0,0.019806923204142412
_440084,153.79608154296875,10.83746337890625,402360.24128937593,60986.1043543,0,0.016582222477671046
_420018,153.76873779296875,10.86480712890625,408880.7648178477,60037.60466034,0,0.007817226312492324
_440085,153.76625061035156,10.867294311523438,419300.4868815583,60479.33571384,0,0.013811751737792768
_430047,153.61134338378906,11.022201538085938,425530.6746251498,63005.3796483,0,0.0172168711082737
_390015,153.54234313964844,11.091201782226562,436540.02026987786,63509.0767006,0,0.019299229798531166
