gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000013,0.246612548828125,20224.392821028367,0,_000013,0
0,_000127,0.3186187744140625,21148.795300940616,0,_000127,0
0,_000088,0.9925994873046876,46117.67577838582,0,_000088,0
0,_000077,0.995208740234375,96562.9828399351,0,_000077,0
0,_000115,1.211456298828125,108844.10356403164,0,_000115,0
0,_000081,1.479583740234375,165177.94575008823,0,_000081,0
0,_000079,2.124237060546875,173985.26745047723,0,_000079,0
0,_000075,3.165634155273437,243065.55018071184,0,_000075,0
0,_000100,3.35504150390625,269876.3978434328,0,_000100,0
0,_000130,3.758514404296875,306134.0726154311,0,_000130,0
0,_000064,4.434341430664063,343743.15637366206,0,_000064,0
0,_000223,5.060714721679688,353865.0383516641,0,_000223,0
0,_000109,5.112838745117188,538363.4762367373,0,_000109,0
0,_000072,5.759552001953125,541993.1906358262,0,_000072,0
0,_000003,6.31817626953125,635406.8122454544,0,_000003,0
0,_000085,6.812347412109375,760862.4757840888,0,_000085,0
0,_000118,8.507827758789062,852546.5682523926,0,_000118,0
0,_000108,8.955734252929688,1094604.732126776,0,_000108,0
0,_000063,9.723342895507812,1153548.5910823203,0,_000063,0
0,_000019,10.142547607421877,1356938.7705139646,0,_000019,0
1,_000115,1.268402099609375,108844.10356403164,0,_000115,0
1,_010007,1.279296875,112532.94653663068,0,_010007,1
1,_000081,1.6071014404296875,165177.94575008823,0,_000081,0
1,_000171,1.949981689453125,173039.89010758232,0,_000171,0
1,_000079,2.296051025390625,173985.26745047723,0,_000079,0
1,_010032,3.0633697509765625,240570.3183896311,0,_010032,1
1,_000075,3.35943603515625,243065.55018071184,0,_000075,0
1,_000125,3.459259033203125,253871.92797651625,0,_000125,0
1,_000100,3.509368896484375,269876.3978434328,0,_000100,0
1,_010111,3.510360717773437,280851.8495761287,0,_010111,1
1,_010063,3.56884765625,286461.78749778005,0,_010063,1
1,_010083,4.374557495117188,299776.37031370646,0,_010083,1
1,_010090,5.1665802001953125,340272.2174339048,0,_010090,1
1,_010067,5.17169189453125,374374.86986340256,0,_010067,1
1,_000109,5.295989990234375,538363.4762367373,0,_000109,0
1,_000072,6.19805908203125,541993.1906358262,0,_000072,0
1,_010072,6.9927825927734375,616974.7751926113,0,_010072,1
1,_000085,7.8043212890625,760862.4757840888,0,_000085,0
1,_010086,7.9135284423828125,773585.1981932251,0,_010086,1
1,_010038,8.442138671875,835436.8815201563,0,_010038,1
1,_000118,9.351242065429688,852546.5682523926,0,_000118,0
1,_000108,9.881668090820312,1094604.732126776,0,_000108,0
1,_000063,11.01568603515625,1153548.5910823203,0,_000063,0
1,_010078,11.151626586914062,1175938.8551959996,0,_010078,1
1,_010061,11.552001953125,1345927.6778244718,0,_010061,1
1,_000019,11.55242919921875,1356938.7705139646,0,_000019,0
2,_020024,0.685943603515625,71110.31992371732,0,_020024,2
2,_020023,1.2667236328125,98747.1731732767,0,_020023,2
2,_000115,1.268402099609375,108844.10356403164,0,_000115,0
2,_010007,1.279296875,112532.94653663068,0,_010007,1
2,_020050,1.3578338623046875,130330.65877114676,0,_020050,2
2,_020000,1.6009521484375,157433.2904935847,0,_020000,2
2,_000081,1.6071014404296875,165177.94575008823,0,_000081,0
2,_000171,1.949981689453125,173039.89010758232,0,_000171,0
2,_000079,2.296051025390625,173985.26745047723,0,_000079,0
2,_020103,2.3179473876953125,176544.35102186547,0,_020103,2
2,_010032,3.0633697509765625,240570.3183896311,0,_010032,1
2,_000075,3.35943603515625,243065.55018071184,0,_000075,0
2,_020003,3.404296875,250707.91375490985,0,_020003,2
2,_000125,3.459259033203125,253871.92797651625,0,_000125,0
2,_020084,3.6943206787109375,262044.34686465983,0,_020084,2
2,_010083,4.374557495117188,299776.37031370646,0,_010083,1
2,_010090,5.1665802001953125,340272.2174339048,0,_010090,1
2,_020060,5.1721954345703125,345162.94778619136,0,_020060,2
2,_020018,5.174102783203125,352445.3453124893,0,_020018,2
2,_020056,5.205230712890625,384962.4538972144,0,_020056,2
2,_020040,5.664810180664063,473613.8152370818,0,_020040,2
2,_020039,6.1982421875,525435.4480335996,0,_020039,2
2,_020065,6.3421173095703125,565389.3690731939,0,_020065,2
2,_020026,6.943862915039063,613848.2338098334,0,_020026,2
2,_010072,6.9927825927734375,616974.7751926113,0,_010072,1
2,_020064,7.347091674804687,686992.2183648717,0,_020064,2
2,_020037,8.199783325195312,698100.2145353567,0,_020037,2
2,_010038,8.442138671875,835436.8815201563,0,_010038,1
2,_000118,9.351242065429688,852546.5682523926,0,_000118,0
2,_020004,9.583114624023438,1056594.4614118566,0,_020004,2
2,_020054,9.659317016601562,1079982.7755678722,0,_020054,2
