gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
0,5128.0,471,48,1,22.892857142857142
1,5750.0,467,49,4,25.669642857142858
2,5561.0,436,48,4,24.825892857142858
3,5316.0,377,49,3,23.732142857142858
4,5521.0,310,50,3,24.647321428571427
5,5275.0,303,51,3,23.549107142857142
6,5491.0,280,52,3,24.513392857142858
7,5798.0,279,53,5,25.883928571428573
8,6083.0,275,53,4,27.15625
9,5584.0,255,52,4,24.928571428571427
10,5856.0,245,54,4,26.142857142857142
11,6186.0,200,54,4,27.616071428571427
12,5863.0,204,54,4,26.174107142857142
13,4754.0,209,54,4,21.223214285714285
14,4547.0,185,54,4,20.299107142857142
15,4280.0,188,54,4,19.107142857142858
16,4509.0,156,50,4,20.129464285714285
17,4573.0,151,50,4,20.415178571428573
18,4050.0,143,48,4,18.080357142857142
19,4175.0,151,49,4,18.638392857142858
20,3886.0,138,51,4,17.348214285714285
21,3808.0,144,48,4,17.0
22,4219.0,146,48,4,18.834821428571427
23,4255.0,142,51,4,18.995535714285715
24,4437.0,152,51,4,19.808035714285715
25,4182.0,164,51,4,18.669642857142858
26,4482.0,143,51,4,20.008928571428573
27,4447.0,135,49,3,19.852678571428573
28,4860.0,131,49,3,21.696428571428573
29,4491.0,149,49,3,20.049107142857142
30,4309.0,152,49,3,19.236607142857142
31,4538.0,133,49,3,20.258928571428573
32,4356.0,146,50,3,19.446428571428573
33,4221.0,166,50,3,18.84375
34,3932.0,153,50,3,17.553571428571427
35,4150.0,137,50,3,18.526785714285715
36,3939.0,135,49,3,17.584821428571427
37,3807.0,151,52,3,16.995535714285715
38,4110.0,146,55,3,18.348214285714285
39,3915.0,102,39,4,17.477678571428573
40,4095.0,108,40,4,18.28125
41,4336.0,125,40,4,19.357142857142858
42,4558.0,123,43,4,20.348214285714285
43,4537.0,117,40,4,20.254464285714285
44,4513.0,111,41,4,20.147321428571427
45,4759.0,111,41,4,21.245535714285715
46,4582.0,124,40,4,20.455357142857142
47,4281.0,115,40,4,19.111607142857142
48,4288.0,116,39,4,19.142857142857142
49,4257.0,115,39,4,19.004464285714285
50,4392.0,120,39,4,19.607142857142858
51,4512.0,106,40,4,20.142857142857142
52,4629.0,111,41,4,20.665178571428573
53,4540.0,109,41,4,20.267857142857142
54,4329.0,117,42,4,19.325892857142858
55,4490.0,121,43,4,20.044642857142858
56,4904.0,122,45,4,21.892857142857142
57,4941.0,112,44,4,22.058035714285715
58,4773.0,115,44,4,21.308035714285715
59,4975.0,118,44,4,22.209821428571427
60,5221.0,125,45,4,23.308035714285715
61,4950.0,125,47,4,22.098214285714285
62,4915.0,118,45,4,21.941964285714285
63,5008.0,110,48,4,22.357142857142858
64,5206.0,111,48,4,23.241071428571427
65,5181.0,110,48,4,23.129464285714285
66,5281.0,112,45,4,23.575892857142858
67,5394.0,98,46,4,24.080357142857142
68,5344.0,107,46,4,23.857142857142858
69,5288.0,116,46,4,23.607142857142858
70,5218.0,122,46,4,23.294642857142858
71,5240.0,125,46,4,23.392857142857142
72,5443.0,125,47,4,24.299107142857142
73,5150.0,116,46,4,22.991071428571427
74,5274.0,120,47,4,23.544642857142858
75,5470.0,117,46,4,24.419642857142858
76,5584.0,122,47,4,24.928571428571427
77,5230.0,135,48,4,23.348214285714285
78,5441.0,122,48,4,24.290178571428573
79,5477.0,133,48,4,24.450892857142858
80,5863.0,129,48,4,26.174107142857142
81,5439.0,130,48,4,24.28125
82,5774.0,127,48,4,25.776785714285715
83,5612.0,127,48,4,25.053571428571427
84,5788.0,117,48,4,25.839285714285715
85,5365.0,131,48,4,23.950892857142858
86,5713.0,126,48,4,25.504464285714285
87,5875.0,123,48,4,26.227678571428573
88,5742.0,114,48,4,25.633928571428573
89,5953.0,123,49,4,26.575892857142858
90,5883.0,120,50,4,26.263392857142858
91,5831.0,134,51,4,26.03125
92,6019.0,114,51,4,26.870535714285715
93,5892.0,135,51,4,26.303571428571427
94,6113.0,140,49,4,27.290178571428573
95,5729.0,137,49,4,25.575892857142858
96,5988.0,130,50,4,26.732142857142858
97,5529.0,131,50,4,24.683035714285715
98,5955.0,124,51,4,26.584821428571427
99,6177.0,140,53,4,27.575892857142858
100,6020.0,139,52,4,26.875
