gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000003,1.1572265625,115770.31295690876,0,_000003,0
0,_000059,1.41571044921875,135015.17868482927,0,_000059,0
0,_000017,2.2895660400390625,139609.25811114468,0,_000017,0
0,_000081,2.537567138671875,228841.8441893408,0,_000081,0
0,_000087,2.8943023681640625,385176.74173801136,0,_000087,0
0,_000137,2.971786499023437,390207.1393978912,0,_000137,0
0,_000104,3.2125701904296875,408929.5723012422,0,_000104,0
0,_000096,4.214752197265625,486694.1681524455,0,_000096,0
0,_000024,5.53936767578125,589223.9866894122,0,_000024,0
0,_000174,5.6895751953125,605171.7044744326,0,_000174,0
0,_000201,6.0953521728515625,607401.9547395334,0,_000201,0
0,_000188,6.833023071289063,707128.8007812476,0,_000188,0
0,_000061,6.8528900146484375,730161.7210274382,0,_000061,0
0,_000211,6.879318237304688,747159.1789988163,0,_000211,0
0,_000053,7.2063446044921875,828170.5419416795,0,_000053,0
0,_000141,7.291885375976562,835275.6404589781,0,_000141,0
0,_000091,8.18194580078125,989226.8652248844,0,_000091,0
0,_000168,8.2847900390625,995102.56602436,0,_000168,0
0,_000082,8.813735961914062,1011557.6341309752,0,_000082,0
0,_000143,9.118850708007812,1027164.233744973,0,_000143,0
0,_000018,9.269439697265623,1102980.5047243687,0,_000018,0
0,_000127,9.52117919921875,1253825.8595130614,0,_000127,0
0,_000121,9.904541015625,1469663.0080631676,0,_000121,0
0,_000052,10.26348876953125,1489866.4254990118,0,_000052,0
0,_000146,10.406997680664062,1505767.2861154182,0,_000146,0
0,_000020,10.573593139648438,1507323.5395356792,0,_000020,0
0,_000144,13.66180419921875,1668724.674404074,0,_000144,0
0,_000063,13.713119506835938,1683854.3604025724,0,_000063,0
0,_000152,14.01129150390625,1957881.702129476,0,_000152,0
0,_000039,14.232009887695312,1965365.5770579225,0,_000039,0
0,_000027,15.937713623046877,1986258.8321751093,0,_000027,0
0,_000145,15.977066040039062,2001534.5802371013,0,_000145,0
0,_000210,16.165267944335938,2136892.3511597146,0,_000210,0
0,_000019,16.168212890625,2147312.073223425,0,_000019,0
0,_000038,17.861297607421875,2351720.206133364,0,_000038,0
1,_000017,2.2895660400390625,139609.25811114468,0,_000017,0
1,_000081,2.537567138671875,228841.8441893408,0,_000081,0
1,_010073,2.5421142578125,236727.99834871723,0,_010073,1
1,_000087,2.8943023681640625,385176.74173801136,0,_000087,0
1,_000137,2.971786499023437,390207.1393978912,0,_000137,0
1,_010049,2.98388671875,399004.6389016961,0,_010049,1
1,_000104,3.2125701904296875,408929.5723012422,0,_000104,0
1,_010062,3.397979736328125,418520.8242828294,0,_010062,1
