gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0424498605989747,472,0,0,,,,
1,0.0427574961500135,472,0,0,472.0,0.0,0.0,100.0
2,0.043506373545169,471,0,1,471.0,0.0,0.21231422505307856,100.0
3,0.046229207061945,453,0,18,453.0,0.0,3.9735099337748343,100.0
4,0.0463450600379186,440,5,18,435.0,1.1363636363636365,4.090909090909091,98.86363636363636
5,0.037201991092481,426,6,20,420.0,1.408450704225352,4.694835680751174,98.59154929577464
6,0.0396119644300727,392,4,38,388.0,1.0204081632653061,9.693877551020408,98.9795918367347
7,0.0356846473029045,387,9,14,378.0,2.3255813953488373,3.6175710594315245,97.67441860465117
8,0.0380970987594021,390,16,13,374.0,4.102564102564102,3.3333333333333335,95.8974358974359
9,0.0333724181473798,370,16,36,354.0,4.324324324324325,9.72972972972973,95.67567567567568
10,0.0276478094427903,325,20,65,305.0,6.153846153846154,20.0,93.84615384615384
11,0.0273488051074109,317,20,28,297.0,6.309148264984227,8.832807570977918,93.69085173501577
12,0.0277921183961452,323,30,24,293.0,9.287925696594428,7.430340557275541,90.71207430340557
13,0.0287542815936542,319,27,31,292.0,8.463949843260188,9.717868338557993,91.53605015673982
14,0.0271402391133606,311,23,31,288.0,7.395498392282958,9.967845659163988,92.60450160771704
15,0.0280564680813282,316,27,22,289.0,8.544303797468354,6.962025316455696,91.45569620253164
16,0.0271984706291275,313,23,26,290.0,7.348242811501597,8.30670926517572,92.65175718849841
17,0.0267895230782356,314,24,23,290.0,7.643312101910828,7.32484076433121,92.35668789808918
18,0.0316038200255981,321,29,22,292.0,9.034267912772586,6.853582554517134,90.96573208722741
19,0.0297467758636919,316,24,29,292.0,7.594936708860759,9.177215189873417,92.40506329113924
20,0.0284591881274552,326,31,21,295.0,9.50920245398773,6.441717791411043,90.49079754601227
21,0.0281768467883955,304,29,51,275.0,9.539473684210526,16.776315789473685,90.46052631578948
22,0.0329379368777801,311,34,27,277.0,10.932475884244372,8.681672025723472,89.06752411575563
23,0.0304235434480015,306,28,33,278.0,9.15032679738562,10.784313725490197,90.84967320261438
24,0.0319653536811713,310,30,26,280.0,9.67741935483871,8.387096774193548,90.3225806451613
25,0.0313978061789272,312,26,24,286.0,8.333333333333334,7.6923076923076925,91.66666666666667
26,0.032411230388109,314,33,31,281.0,10.509554140127388,9.872611464968152,89.49044585987261
27,0.0330640818524501,307,26,33,281.0,8.469055374592834,10.749185667752442,91.53094462540717
28,0.0323891339679591,279,27,55,252.0,9.67741935483871,19.71326164874552,90.3225806451613
29,0.0354520131678906,280,34,33,246.0,12.142857142857142,11.785714285714286,87.85714285714286
30,0.0291993720565149,279,34,35,245.0,12.186379928315413,12.544802867383513,87.81362007168458
31,0.0362597789643611,292,37,24,255.0,12.67123287671233,8.219178082191782,87.32876712328768
32,0.03424497428705,293,34,33,259.0,11.604095563139932,11.262798634812286,88.39590443686006
33,0.0332710716787298,285,23,31,262.0,8.070175438596491,10.87719298245614,91.9298245614035
34,0.0296879733414116,294,31,22,263.0,10.54421768707483,7.482993197278912,89.45578231292517
35,0.0286417322834645,291,30,33,261.0,10.309278350515465,11.34020618556701,89.69072164948453
36,0.0292510121457489,289,28,30,261.0,9.688581314878892,10.380622837370241,90.31141868512111
37,0.0333294214294096,284,37,42,247.0,13.028169014084508,14.788732394366198,86.97183098591549
38,0.0297612558595879,273,28,39,245.0,10.256410256410257,14.285714285714286,89.74358974358974
39,0.0324867099822799,275,31,29,244.0,11.272727272727273,10.545454545454545,88.72727272727273
40,0.0297492562685932,280,35,30,245.0,12.5,10.714285714285714,87.5
41,0.0298378378378378,276,28,32,248.0,10.144927536231885,11.594202898550725,89.85507246376811
42,0.0310978308986277,281,38,33,243.0,13.523131672597865,11.743772241992882,86.47686832740213
43,0.029628848587094,281,35,35,246.0,12.455516014234876,12.455516014234876,87.54448398576513
44,0.0257782101167315,265,25,41,240.0,9.433962264150944,15.471698113207546,90.56603773584905
45,0.0284365054922492,277,44,32,233.0,15.884476534296029,11.552346570397113,84.11552346570397
46,0.0272028385570668,276,33,34,243.0,11.956521739130435,12.318840579710145,88.04347826086956
47,0.0253016387538267,281,36,31,245.0,12.811387900355871,11.03202846975089,87.18861209964413
48,0.028217973622329,276,25,30,251.0,9.057971014492754,10.869565217391305,90.94202898550725
49,0.0277888844462215,278,27,25,251.0,9.712230215827338,8.992805755395683,90.28776978417267
50,0.0295358649789029,280,33,31,247.0,11.785714285714286,11.071428571428571,88.21428571428571
51,0.0271273557966876,285,35,30,250.0,12.280701754385966,10.526315789473685,87.71929824561404
52,0.0285224753073977,283,31,33,252.0,10.954063604240282,11.66077738515901,89.04593639575971
53,0.0266730861819932,277,28,34,249.0,10.108303249097473,12.274368231046932,89.89169675090253
54,0.0255745327729589,286,34,25,252.0,11.888111888111888,8.741258741258742,88.1118881118881
55,0.0260164117866467,279,31,38,248.0,11.11111111111111,13.620071684587813,88.88888888888889
56,0.0247846721743715,282,34,31,248.0,12.056737588652481,10.99290780141844,87.94326241134752
57,0.0264176504741629,273,26,35,247.0,9.523809523809524,12.820512820512821,90.47619047619048
58,0.0297134397800571,281,32,24,249.0,11.387900355871887,8.540925266903914,88.61209964412811
59,0.0275193031082953,278,35,38,243.0,12.589928057553957,13.66906474820144,87.41007194244604
60,0.0269062651772705,277,31,32,246.0,11.191335740072201,11.552346570397113,88.8086642599278
61,0.0286683107274969,279,35,33,244.0,12.544802867383513,11.827956989247312,87.45519713261649
62,0.0282689144736842,275,37,41,238.0,13.454545454545455,14.909090909090908,86.54545454545455
63,0.0287580322342778,273,38,40,235.0,13.91941391941392,14.652014652014651,86.08058608058609
64,0.0265338331031761,269,33,37,236.0,12.267657992565056,13.754646840148698,87.73234200743494
65,0.0274342720565312,264,34,39,230.0,12.878787878787879,14.772727272727273,87.12121212121212
66,0.0279394644935972,264,40,40,224.0,15.151515151515152,15.151515151515152,84.84848484848484
67,0.0263052610522104,263,36,37,227.0,13.688212927756654,14.068441064638783,86.31178707224335
68,0.0238436715668698,266,38,35,228.0,14.285714285714286,13.157894736842104,85.71428571428571
69,0.0242265032107413,249,32,49,217.0,12.85140562248996,19.67871485943775,87.14859437751004
70,0.024526718269141,263,44,30,219.0,16.730038022813687,11.406844106463879,83.26996197718631
71,0.0246640898214614,268,45,40,223.0,16.791044776119403,14.925373134328359,83.2089552238806
72,0.0249500047614512,262,35,41,227.0,13.358778625954198,15.648854961832061,86.6412213740458
73,0.0258518225039619,261,40,41,221.0,15.32567049808429,15.708812260536398,84.67432950191571
74,0.0242214532871972,259,37,39,222.0,14.285714285714286,15.057915057915057,85.71428571428571
75,0.0251479289940828,255,31,35,224.0,12.156862745098039,13.72549019607843,87.84313725490196
76,0.0258854218922444,258,32,29,226.0,12.4031007751938,11.24031007751938,87.59689922480621
77,0.024331797235023,264,41,35,223.0,15.530303030303031,13.257575757575758,84.46969696969697
78,0.0258058233518356,265,38,37,227.0,14.339622641509434,13.962264150943396,85.66037735849056
79,0.0263212221304706,255,34,44,221.0,13.333333333333334,17.254901960784313,86.66666666666667
80,0.0259417552927144,261,39,33,222.0,14.942528735632184,12.64367816091954,85.05747126436782
81,0.0252034912229087,257,31,35,226.0,12.062256809338521,13.618677042801556,87.93774319066148
82,0.0260162601626016,256,35,36,221.0,13.671875,14.0625,86.328125
83,0.0272971520687802,254,42,44,212.0,16.53543307086614,17.322834645669293,83.46456692913385
84,0.0262805317942904,255,41,40,214.0,16.07843137254902,15.686274509803921,83.92156862745098
85,0.0249192897497982,247,34,42,213.0,13.765182186234817,17.004048582995953,86.23481781376518
86,0.0284953986029493,257,43,33,214.0,16.731517509727627,12.84046692607004,83.26848249027238
87,0.0266598044261451,259,33,31,226.0,12.741312741312742,11.96911196911197,87.25868725868726
88,0.0298693923906871,263,39,35,224.0,14.828897338403042,13.307984790874524,85.17110266159696
