gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0374134364601133,416,179,16,237.0,43.02884615384615,3.8461538461538463,56.97115384615385
1,0.0341446019434786,383,9,42,374.0,2.349869451697128,10.966057441253264,97.65013054830287
2,0.0359232269321564,350,2,35,348.0,0.5714285714285714,10.0,99.42857142857143
3,0.0315413608411029,318,2,34,316.0,0.6289308176100629,10.69182389937107,99.37106918238993
4,0.0272345745155817,305,20,33,285.0,6.557377049180328,10.819672131147541,93.44262295081967
5,0.027450274502745,305,10,10,295.0,3.278688524590164,3.278688524590164,96.72131147540983
6,0.0278133577310155,304,5,6,299.0,1.644736842105263,1.9736842105263157,98.35526315789474
7,0.0272034820457018,300,4,8,296.0,1.3333333333333333,2.6666666666666665,98.66666666666667
8,0.0275006506463086,317,27,10,290.0,8.517350157728707,3.1545741324921135,91.4826498422713
9,0.0299486594409583,315,8,10,307.0,2.5396825396825395,3.1746031746031744,97.46031746031746
10,0.0255340880074899,300,3,18,297.0,1.0,6.0,99.0
11,0.0270497155116127,290,4,14,286.0,1.3793103448275863,4.827586206896552,98.62068965517241
12,0.027027027027027,315,26,1,289.0,8.253968253968255,0.31746031746031744,91.74603174603175
13,0.0336707511987213,316,7,6,309.0,2.2151898734177213,1.8987341772151898,97.78481012658227
14,0.0292048192771084,303,2,15,301.0,0.6600660066006601,4.9504950495049505,99.33993399339934
15,0.0300804828973843,299,5,9,294.0,1.6722408026755853,3.0100334448160537,98.32775919732441
16,0.0282179099163254,317,30,12,287.0,9.46372239747634,3.7854889589905363,90.53627760252365
17,0.0329274748544203,311,12,18,299.0,3.8585209003215435,5.787781350482315,96.14147909967846
18,0.0291654634709789,303,2,10,301.0,0.6600660066006601,3.3003300330033003,99.33993399339934
19,0.0299383330017903,301,8,10,293.0,2.6578073089700998,3.3222591362126246,97.3421926910299
20,0.0303517397881997,321,24,4,297.0,7.4766355140186915,1.2461059190031152,92.5233644859813
