gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
0,11119.0,472,94,4,49.638392857142854
1,11217.0,472,93,4,50.075892857142854
2,9743.0,460,94,4,43.495535714285715
3,10082.0,437,94,4,45.00892857142857
4,11199.0,421,100,4,49.995535714285715
5,11111.0,369,99,3,49.60267857142857
6,10930.0,352,97,3,48.794642857142854
7,11028.0,344,98,3,49.232142857142854
8,11527.0,382,102,3,51.45982142857143
9,10518.0,352,102,3,46.955357142857146
10,11749.0,332,102,3,52.450892857142854
11,10721.0,328,102,3,47.861607142857146
12,11655.0,385,103,3,52.03125
13,9385.0,338,103,4,41.89732142857143
14,10375.0,330,101,4,46.316964285714285
15,9940.0,326,99,5,44.375
16,11234.0,400,97,5,50.151785714285715
17,9445.0,351,99,5,42.16517857142857
18,10389.0,342,95,5,46.379464285714285
19,10054.0,326,95,5,44.88392857142857
20,10576.0,391,98,5,47.214285714285715
21,9696.0,331,99,5,43.285714285714285
22,11660.0,330,99,5,52.05357142857143
23,10646.0,325,99,5,47.526785714285715
24,11385.0,389,101,5,50.825892857142854
25,10561.0,320,101,5,47.14732142857143
26,11076.0,311,101,5,49.44642857142857
27,10424.0,313,102,5,46.535714285714285
28,11049.0,384,107,5,49.325892857142854
29,10065.0,315,107,5,44.933035714285715
30,10701.0,302,107,5,47.77232142857143
31,9211.0,281,105,5,41.120535714285715
32,10251.0,362,106,5,45.763392857142854
33,9348.0,312,103,5,41.732142857142854
34,10624.0,308,104,6,47.42857142857143
35,9715.0,308,104,6,43.370535714285715
36,9607.0,386,104,6,42.888392857142854
37,9327.0,304,104,6,41.638392857142854
38,9451.0,299,105,6,42.191964285714285
39,10147.0,296,104,5,45.299107142857146
40,10535.0,376,106,6,47.03125
41,9859.0,306,102,6,44.013392857142854
42,10283.0,291,103,6,45.90625
43,9855.0,294,103,6,43.995535714285715
44,9979.0,358,104,6,44.549107142857146
45,9905.0,298,104,6,44.21875
46,10860.0,294,105,6,48.482142857142854
47,9472.0,294,105,6,42.285714285714285
48,11059.0,392,109,6,49.370535714285715
49,10563.0,309,107,6,47.15625
50,9711.0,304,107,6,43.35267857142857
51,9663.0,291,107,6,43.138392857142854
52,10458.0,370,108,6,46.6875
53,9907.0,307,108,6,44.22767857142857
54,10443.0,299,108,6,46.620535714285715
55,10670.0,291,108,6,47.63392857142857
56,10649.0,361,111,6,47.54017857142857
57,10310.0,303,109,6,46.026785714285715
58,10006.0,276,109,6,44.669642857142854
59,8042.0,248,91,6,35.901785714285715
60,9375.0,341,95,6,41.85267857142857
61,8622.0,276,91,6,38.49107142857143
62,9039.0,250,91,6,40.35267857142857
63,9355.0,242,91,6,41.763392857142854
64,10253.0,349,99,6,45.77232142857143
65,9817.0,251,92,6,43.825892857142854
66,8873.0,245,92,6,39.611607142857146
67,8449.0,242,93,6,37.71875
68,8959.0,371,99,6,39.995535714285715
69,7855.0,264,100,6,35.066964285714285
70,8173.0,245,100,6,36.486607142857146
71,8996.0,249,100,6,40.160714285714285
72,9499.0,362,110,6,42.40625
73,9386.0,269,111,6,41.901785714285715
74,8929.0,257,111,6,39.861607142857146
75,8498.0,252,111,6,37.9375
76,10063.0,367,111,6,44.924107142857146
77,8952.0,276,111,6,39.964285714285715
78,9443.0,267,111,6,42.15625
79,10006.0,260,111,6,44.669642857142854
80,10982.0,350,115,6,49.026785714285715
81,10399.0,274,115,6,46.424107142857146
82,9393.0,251,115,6,41.933035714285715
83,9961.0,256,115,6,44.46875
84,10390.0,372,118,6,46.38392857142857
85,10037.0,255,118,6,44.808035714285715
86,9655.0,264,118,6,43.10267857142857
87,9811.0,245,110,6,43.799107142857146
88,10311.0,359,110,6,46.03125
89,9423.0,259,110,6,42.066964285714285
90,10318.0,251,111,6,46.0625
91,9651.0,251,111,6,43.08482142857143
92,10952.0,355,112,6,48.892857142857146
93,9722.0,260,111,6,43.401785714285715
94,10664.0,262,112,6,47.607142857142854
95,10256.0,245,112,6,45.785714285714285
96,10751.0,351,113,6,47.995535714285715
97,10744.0,259,114,6,47.964285714285715
98,10143.0,252,113,6,45.28125
99,9266.0,253,114,6,41.36607142857143
100,10889.0,342,118,6,48.611607142857146
101,9772.0,260,114,6,43.625
