streamID,damID,immig_0,immig_1,immig_2,immig_3,immig_4,immig_5,immig_6,immig_7
20013,200054,1,0,0,0,0,1,1,1
20013,200055,0,0,0,0,0,1,0,1
20013,200056,0,1,0,0,0,0,0,0
20013,200057,0,0,1,1,1,0,0,0
20016,200061,1,1,1,1,1,0,0,1
20017,200062,1,0,1,1,0,1,1,1
20017,200063,0,0,0,0,0,1,1,0
20017,200064,0,0,0,0,0,0,0,1
20017,200065,0,1,0,0,1,1,0,0
20018,200066,1,1,1,1,1,0,1,0
20021,200070,1,0,0,0,0,1,0,0
20021,200071,0,0,0,0,0,0,1,1
20021,200072,0,0,0,1,0,1,0,0
20021,200073,0,1,1,0,1,0,0,1
20027,200082,1,0,0,0,0,1,1,0
20027,200083,0,1,1,1,1,0,0,1
20031,200092,1,1,1,1,1,0,0,1
20033,200095,1,0,0,1,0,0,1,0
20033,200096,0,1,1,0,1,1,1,0
20037,200100,1,0,1,0,0,1,1,1
20037,200101,0,1,0,1,1,1,1,1
20040,200109,0,1,1,1,1,0,0,0
20042,200113,1,0,0,1,0,1,1,0
20042,200114,0,1,1,0,1,1,1,1
20047,200126,1,0,0,0,0,1,0,1
20047,200127,0,0,0,1,0,1,1,1
20047,200128,0,1,1,0,1,1,1,1
20048,200129,1,0,0,1,0,0,1,1
20048,200130,0,0,0,0,0,1,0,0
20048,200131,0,0,0,0,0,0,1,1
20048,200132,0,0,0,0,0,1,0,0
20048,200133,0,0,1,0,0,1,0,0
20048,200134,0,0,0,0,0,0,1,1
20048,200135,0,0,0,0,0,1,0,0
20048,200136,0,0,0,0,0,0,1,1
20048,200137,0,0,0,0,0,1,0,0
20048,200138,0,1,0,0,1,0,1,0
20049,200139,1,0,0,0,0,1,1,1
20049,200140,0,0,0,1,0,1,1,1
20049,200141,0,0,0,0,0,1,1,1
20049,200142,0,0,0,0,0,1,1,1
20049,200143,0,0,1,0,0,1,1,1
20049,200144,0,1,0,0,1,1,1,1
20050,200145,1,0,1,0,0,0,0,0
20051,200147,1,0,0,0,0,1,0,0
20051,200148,0,0,0,1,0,0,1,0
20051,200149,0,0,0,0,0,0,0,1
20051,200150,0,0,0,0,0,1,0,1
20051,200151,0,0,0,0,0,0,1,0
20051,200152,0,1,1,0,1,1,0,1
20052,200153,1,0,0,1,0,1,1,1
20052,200154,0,1,1,0,1,1,0,1
20053,200155,1,0,1,0,0,1,0,0
20054,200156,1,1,1,1,1,0,0,1
20055,200157,1,0,0,0,0,1,0,0
20055,200158,0,0,0,1,0,0,1,1
20055,200159,0,0,0,0,0,1,1,1
20055,200160,0,0,0,0,0,1,1,1
20055,200161,0,0,1,0,0,1,1,1
20055,200162,0,1,0,0,1,1,1,1
20056,200163,1,0,0,1,0,1,1,1
20056,200164,0,1,1,0,1,0,1,0
20058,200166,1,0,0,0,0,1,1,1
20058,200167,0,0,0,0,0,1,1,1
20058,200168,0,0,0,0,0,1,0,0
20058,200169,0,1,1,1,1,0,1,1
20062,200176,1,0,0,0,0,0,1,1
20062,200177,0,0,0,1,0,1,0,0
20062,200178,0,0,0,0,0,1,1,1
20062,200179,0,1,1,0,1,1,1,1
20064,200183,1,1,1,0,1,0,0,0
20065,200184,1,0,1,1,0,1,1,1
