subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_910036,161.5865478515625,3.0469970703125,49884.17275737021,6401.242289,0,inf
_830007,161.5833282470703,3.0502166748046875,52371.55579213103,6435.21181736,0,0.0019187763967124694
_900059,161.5790252685547,3.0545196533203125,54238.10755560627,7239.306579170001,0,0.01149820318394891
_820222,161.30429077148438,3.329254150390625,54623.276749764525,7768.824809900001,0,0.020215588090090664
_770019,161.1265411376953,3.5070037841796875,62079.77964588595,7767.0531572,0,0.01411299848414659
_860180,161.05581665039062,3.577728271484375,66967.0732101765,9417.65498736,0,0.011153032548243623
_840040,160.88580322265625,3.74774169921875,67312.89123904379,8088.1345583,0,0.012701759699692628
_890219,160.77212524414062,3.861419677734375,71956.39385228872,9876.0995589,0,0.007270003061515909
_910065,160.7501220703125,3.8834228515625,72888.45608048915,8348.1873618,0,0.004295047281378543
_910061,160.68582153320312,3.947723388671875,74624.28260654159,8266.135808,0,0.009401813564318367
_910026,160.5714569091797,4.0620880126953125,79773.13588406342,10845.91536136,0,0.007235185544220502
_920039,160.55162048339844,4.0819244384765625,80257.7476960072,9612.4505102,0,0.006322318202272007
_920001,160.43634033203125,4.19720458984375,82877.23720086506,11095.32012536,0,0.008577966393179507
_900168,160.37405395507812,4.259490966796875,85055.85457657767,11615.40804136,0,0.005790463117552795
_870085,160.3666229248047,4.2669219970703125,91225.84298966816,11189.670578300002,0,0.008513963017885567
_870174,160.3022918701172,4.3312530517578125,100464.0474050868,12238.5291984,0,0.01035482920429042
_850221,160.20046997070312,4.433074951171875,101928.6635293722,15705.7075863,0,0.008627466240343521
_880026,160.10238647460938,4.531158447265625,103118.04299003664,12099.8595722,0,0.009653391378884914
_890039,160.03306579589844,4.6004791259765625,110632.13554427524,15857.1645893,0,0.0171713574147095
_910133,159.78372192382812,4.849822998046875,116471.35714143106,17969.9786663,0,0.024635111593587094
_920100,159.470947265625,5.16259765625,119096.605869375,18537.4971211,0,0.029517173205059755
_900214,159.17190551757812,5.461639404296875,132900.15323022814,20438.9029923,0,0.024971718045877313
_920041,159.10557556152344,5.5279693603515625,148506.7528442258,22191.7463173,0,0.016708540555745666
_650006,158.89512634277344,5.7384185791015625,149286.28213754497,23942.3388392,0,0.020652712588914088
_910041,158.5899200439453,6.043624877929688,151078.12128034938,22284.3003453,0,0.015682229492765123
_840025,158.57534790039062,6.058197021484375,158552.2120538511,24837.953648999995,0,0.004486716605088351
_900041,158.5699005126953,6.063644409179688,161011.48839752935,24640.6465723,0,0.006206960623181925
_880169,158.485107421875,6.1484375,165921.0955479653,24945.10537899,0,0.007152009689782572
_900028,158.43844604492188,6.195098876953125,166702.85196624475,26626.5122772,0,0.006532269741316296
_810070,158.33021545410156,6.3033294677734375,167570.47077606872,25182.8730922,0,0.0065576983668088765
_860005,158.31202697753906,6.3215179443359375,171321.31643885394,28167.718859199995,0,0.006612396389440294
_830024,158.20098876953125,6.43255615234375,172048.82172041884,27074.7024972,0,0.009815346960950662
_870041,158.07460021972656,6.5589447021484375,173322.07052171175,26201.721699,0,0.006290602138146846
_900023,158.07444763183594,6.559097290039063,175942.07525215196,26256.68215294,0,0.0028687566107640002
_730051,158.06065368652344,6.5728912353515625,179556.55644860328,29031.15886679,0,0.006169260590766706
_880053,157.96945190429688,6.664093017578125,181706.87454466408,30356.848125,0,0.013513578289961258
_920033,157.746337890625,6.88720703125,183591.83988560253,29164.1579123,0,0.0176075631069377
_910090,157.57192993164062,7.061614990234375,188189.11323391815,29526.843781989995,0,0.013162315713884331
_800062,157.50234985351562,7.131195068359375,193855.75257033543,29436.10648959,0,0.006485437496017541
_870024,157.50155639648438,7.131988525390625,198325.4709666265,30211.895124,0,0.00723545627321105
_660092,157.38121032714844,7.252334594726562,200820.83683782103,31526.5753782,0,0.013533339554521748
_880003,157.18092346191406,7.4526214599609375,201769.80793572377,31009.555265299998,0,0.012537743952800965
_860035,157.07861328125,7.554931640625,203446.085565765,32094.093832999995,0,0.009117477769469404
_740176,157.00140380859375,7.63214111328125,207808.6415920554,31753.521751299995,0,0.008745920323672433
_760018,156.90829467773438,7.725250244140625,209430.91738195083,32442.0168722,0,0.012593675720705026
_880024,156.6973419189453,7.936203002929687,210433.89031999937,32321.040206099995,0,0.01153708833089726
_870094,156.62574768066406,8.007797241210938,211428.80644116533,32508.665120399997,0,0.011025815601319983
_880094,156.50828552246094,8.125259399414062,220593.57069793483,33075.84140979999,0,0.01775369440305502
_820215,156.2973175048828,8.336227416992188,225341.08137263937,34119.6820102,0,0.02737596909133795
_890204,155.8710479736328,8.762496948242188,228718.0789585231,33561.5744591,0,0.025897223547294602
_850037,155.84996032714844,8.783584594726562,248867.16662487583,39314.7197758,0,0.00965171664810531
_800046,155.8225860595703,8.810958862304688,249536.6377026884,41253.56036539999,0,0.0072812743158216005
_920186,155.73556518554688,8.897979736328125,256641.73621998687,42062.5368849,0,0.014418003960068895
_910007,155.5176239013672,9.115921020507812,256938.5540678402,39643.7506218,0,0.015670170221927487
_840045,155.38868713378906,9.244857788085938,263114.1850634617,40262.1038018,0,0.024567568560088446
_820207,154.9810028076172,9.652542114257812,267820.82634121215,42494.094618400006,0,0.024602000307515963
_870028,154.82701110839844,9.806533813476562,271535.38344338496,42805.9488882,0,0.009469198556678955
_870033,154.78485107421875,9.84869384765625,273103.5450337263,43263.5872984,0,0.011852703716605862
_890182,154.61761474609375,10.01593017578125,281829.16681268666,43112.4380783,0,0.010593924175033973
_920116,154.61141967773438,10.022125244140623,283702.78124277573,43224.5837666,0,0.01381941214247303
_900013,154.337646484375,10.2958984375,290180.4210867928,44752.0142084,0,0.019761474702816684
_830067,154.28733825683594,10.346206665039062,303416.13008676714,53533.8551382,0,0.008121552663704281
_910217,154.27682495117188,10.356719970703123,305656.20962055284,53571.85536227,0,0.004533091313017296
_830043,154.2334747314453,10.400070190429688,310024.7376142686,41866.1412912,0,0.009236805982205137
_870178,154.11424255371094,10.519302368164062,313739.2947164414,42177.995561,0,0.012442889979482607
_890130,153.96273803710938,10.670806884765623,315643.2520622877,57807.9188047,0,0.01832873716772834
_870181,153.70355224609375,10.92999267578125,320804.2773689145,55407.3850192,0,0.01674887509537872
_870025,153.59266662597656,11.040878295898438,322631.05681652203,58034.8651778,0,0.007745941377009623
_900113,153.54966735839844,11.083877563476562,325795.07103812846,58634.5471913,0,0.009172582338687781
_840153,153.4973907470703,11.136154174804688,337400.9152843827,59398.6332278,0,0.00978705762890562
_910177,153.41586303710938,11.217681884765623,338278.88313856005,60554.8041353,0,0.00819623144403438
_910077,153.34901428222656,11.284530639648438,344154.6301516859,61053.9865523,0,0.013664146637868062
_870153,153.18641662597656,11.447128295898438,351363.6921256485,61156.1503918,0,0.012707296265658608
_890136,153.12307739257812,11.510467529296877,355043.59021228686,61528.144022600005,0,0.0049614061414789325
_910037,153.11700439453125,11.51654052734375,357530.9732470477,61562.11355096,0,0.006106003401065812
_850050,153.02291870117188,11.610626220703123,361132.4485724576,64627.86900960001,0,0.01451085331368276
_840010,152.82415771484375,11.80938720703125,366415.16726497177,65397.3616896,0,0.019147174216066633
_880156,152.6819610595703,11.951583862304688,377486.88274365495,65670.51936379999,0,0.01497397716650501
_900100,152.61441040039062,12.019134521484377,385002.6168914845,66870.0400178,0,0.01814953513381939
_870145,152.29010009765625,12.34344482421875,385992.2528504698,62619.34779654,0,0.048556646933551495
_890148,151.3944091796875,13.2391357421875,390269.472698789,65769.36762319,0,0.04586093955323106
_900062,151.2268829345703,13.406661987304688,400040.7722832511,66265.04137049,0,0.016476396749576256
_920048,151.20864868164062,13.424896240234377,415310.40070035285,66516.93370229,0,0.008004097887298245
_900031,151.1942901611328,13.439254760742188,418079.4750240996,71592.27023590001,0,0.003274790420821719
_890111,151.19381713867188,13.439727783203123,422538.25035205553,71658.35026299,0,0.0059001073459133985
_920043,151.09112548828125,13.54241943359375,423312.5866172575,71913.351637,0,0.010588480532192477
_920192,150.98623657226562,13.647308349609377,429643.34886935406,72467.32678249,0,0.010269450993527812
_860018,150.94395446777344,13.689590454101562,435721.7206044068,72219.227539,0,0.008001630069201337
_840089,150.92152404785156,13.712020874023438,444402.641722239,80700.83587269,0,0.01405159560668427
_920024,150.66880798339844,13.964736938476562,445183.89171108586,74195.2187322,0,0.05014872385886674
_830179,149.8007049560547,14.832839965820312,464024.2201767352,82691.10958969,0,0.045547980793040996
_830023,149.7274627685547,14.906082153320312,470815.3245992108,83507.8939321,0,0.009483522942707198
_890007,149.65823364257812,14.975311279296877,474814.90162386233,87557.63892510002,0,0.005832170905560773
_750153,149.65773010253906,14.975814819335938,479273.6769518183,87623.71895219,0,0.003966634657675817
_920090,149.6041259765625,15.0294189453125,479886.987072089,87869.3704984,0,0.013486721455444944
