gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
0,20639.0,472,95,2,46.06919642857143
1,23102.0,472,96,3,51.566964285714285
2,23605.0,472,97,3,52.689732142857146
3,24396.0,468,98,3,54.455357142857146
4,23683.0,462,99,3,52.863839285714285
5,24886.0,463,99,3,55.549107142857146
6,25543.0,457,100,3,57.015625
7,23738.0,450,101,3,52.986607142857146
8,24277.0,448,102,3,54.189732142857146
9,25172.0,442,102,3,56.1875
10,25607.0,434,102,3,57.158482142857146
11,23880.0,427,101,3,53.30357142857143
12,23992.0,423,102,3,53.55357142857143
13,24348.0,420,102,3,54.348214285714285
14,24329.0,420,101,3,54.30580357142857
15,24947.0,418,102,3,55.685267857142854
16,22640.0,414,102,3,50.535714285714285
17,21196.0,410,102,3,47.3125
18,21901.0,397,103,3,48.886160714285715
19,23595.0,393,104,3,52.667410714285715
20,24772.0,387,102,3,55.294642857142854
21,24014.0,390,102,3,53.60267857142857
22,23206.0,399,103,3,51.799107142857146
23,23433.0,392,103,3,52.30580357142857
24,21330.0,393,104,3,47.611607142857146
25,21958.0,395,105,3,49.013392857142854
26,20337.0,389,104,3,45.395089285714285
27,22295.0,388,103,3,49.765625
28,22143.0,374,104,3,49.426339285714285
29,21982.0,386,103,3,49.066964285714285
30,22226.0,385,104,3,49.611607142857146
31,22405.0,397,105,3,50.011160714285715
32,20751.0,399,106,3,46.31919642857143
33,22148.0,402,107,3,49.4375
34,24603.0,393,107,3,54.917410714285715
35,22505.0,390,107,3,50.234375
36,24355.0,393,107,3,54.363839285714285
37,23704.0,394,107,2,52.910714285714285
38,22767.0,391,108,2,50.81919642857143
39,22430.0,395,108,2,50.066964285714285
40,22430.0,402,109,2,50.066964285714285
41,22656.0,384,108,2,50.57142857142857
42,21951.0,390,109,2,48.997767857142854
43,23267.0,388,109,2,51.935267857142854
44,21724.0,384,109,2,48.49107142857143
45,23209.0,387,109,2,51.80580357142857
46,20788.0,395,109,2,46.401785714285715
47,21020.0,390,109,2,46.919642857142854
48,21882.0,396,110,2,48.84375
49,20846.0,391,110,2,46.53125
50,21219.0,375,110,2,47.363839285714285
51,22442.0,366,111,2,50.09375
52,20102.0,364,112,2,44.870535714285715
53,24115.0,363,112,2,53.828125
54,22822.0,358,112,2,50.941964285714285
55,22043.0,354,113,2,49.203125
56,22349.0,359,114,2,49.886160714285715
57,21391.0,358,115,2,47.747767857142854
58,22302.0,361,116,2,49.78125
59,22173.0,359,117,2,49.49330357142857
60,23937.0,351,117,2,53.43080357142857
61,24557.0,358,117,2,54.814732142857146
62,22312.0,349,118,2,49.80357142857143
63,22019.0,333,117,2,49.14955357142857
64,23075.0,345,116,2,51.50669642857143
65,21943.0,344,117,2,48.979910714285715
66,22897.0,344,118,2,51.109375
67,22580.0,330,118,2,50.401785714285715
68,21714.0,354,118,2,48.46875
69,21944.0,354,118,2,48.982142857142854
70,24136.0,349,117,2,53.875
71,23112.0,342,117,2,51.589285714285715
72,22725.0,342,118,2,50.72544642857143
73,21864.0,350,118,2,48.80357142857143
74,21968.0,346,118,3,49.035714285714285
75,22999.0,341,119,4,51.33705357142857
76,23669.0,341,118,4,52.832589285714285
77,22716.0,347,119,4,50.705357142857146
78,21345.0,349,119,4,47.645089285714285
79,21159.0,342,120,4,47.229910714285715
80,20481.0,342,121,4,45.716517857142854
81,20188.0,345,122,4,45.0625
82,21774.0,346,119,4,48.60267857142857
83,21168.0,347,120,4,47.25
84,22174.0,344,121,4,49.495535714285715
85,22673.0,332,120,5,50.609375
86,22664.0,330,120,5,50.589285714285715
87,23179.0,323,120,5,51.738839285714285
88,22994.0,319,120,5,51.325892857142854
89,23017.0,322,119,5,51.377232142857146
90,23409.0,322,120,5,52.252232142857146
91,22287.0,329,120,5,49.747767857142854
92,22839.0,323,120,6,50.979910714285715
93,20302.0,335,121,6,45.316964285714285
94,20817.0,328,120,6,46.466517857142854
95,20476.0,333,120,7,45.705357142857146
96,22811.0,332,121,7,50.917410714285715
97,22331.0,336,119,6,49.845982142857146
98,24116.0,343,119,7,53.830357142857146
99,23169.0,334,120,7,51.716517857142854
100,21682.0,337,121,7,48.39732142857143
