gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0213673143078637,441,130,17,311.0,29.478458049886623,3.854875283446712,70.52154195011337
1,0.0186648146540498,430,4,15,426.0,0.9302325581395349,3.488372093023256,99.06976744186046
2,0.0175475866757307,413,4,21,409.0,0.9685230024213075,5.084745762711864,99.0314769975787
3,0.0150474183350895,357,5,61,352.0,1.4005602240896358,17.086834733893557,98.59943977591037
4,0.0157660417432504,386,31,2,355.0,8.031088082901555,0.5181347150259067,91.96891191709845
5,0.0169927680908647,383,7,10,376.0,1.8276762402088773,2.6109660574412534,98.17232375979113
6,0.0159546179755362,360,3,26,357.0,0.8333333333333334,7.222222222222222,99.16666666666667
7,0.0137834268735556,334,3,29,331.0,0.8982035928143712,8.682634730538922,99.10179640718563
8,0.0125733445096395,300,34,68,266.0,11.333333333333334,22.666666666666668,88.66666666666667
9,0.012503598897709,304,27,23,277.0,8.881578947368421,7.565789473684211,91.11842105263158
10,0.0117887842816209,288,8,24,280.0,2.7777777777777777,8.333333333333334,97.22222222222223
11,0.0091978848588664,247,3,44,244.0,1.214574898785425,17.813765182186234,98.78542510121457
12,0.0123774455436759,279,41,9,238.0,14.695340501792115,3.225806451612903,85.30465949820788
13,0.0114206006712872,262,8,25,254.0,3.053435114503817,9.541984732824428,96.94656488549619
14,0.0114311230185309,256,4,10,252.0,1.5625,3.90625,98.4375
15,0.011142061281337,260,12,8,248.0,4.615384615384615,3.076923076923077,95.38461538461539
16,0.011605415860735,276,39,23,237.0,14.130434782608695,8.333333333333334,85.8695652173913
17,0.0128216786396289,282,15,9,267.0,5.319148936170213,3.1914893617021276,94.68085106382979
18,0.0120105371255078,269,6,19,263.0,2.2304832713754648,7.063197026022305,97.76951672862454
19,0.0129086090114852,263,3,9,260.0,1.1406844106463878,3.4220532319391634,98.85931558935361
20,0.012853699901812,288,31,6,257.0,10.76388888888889,2.0833333333333335,89.23611111111111
21,0.0138268759902059,288,8,8,280.0,2.7777777777777777,2.7777777777777777,97.22222222222223
22,0.0137422729434141,289,8,7,281.0,2.7681660899653977,2.422145328719723,97.2318339100346
23,0.0128674744059359,274,5,20,269.0,1.8248175182481752,7.299270072992701,98.17518248175182
24,0.0158878504672897,306,39,7,267.0,12.745098039215685,2.287581699346405,87.25490196078431
25,0.0161572283731525,305,12,13,293.0,3.9344262295081966,4.262295081967213,96.06557377049181
26,0.0146353522867737,296,3,12,293.0,1.0135135135135136,4.054054054054054,98.98648648648648
27,0.0136001106449679,295,13,14,282.0,4.406779661016949,4.745762711864407,95.59322033898304
28,0.0142613976169664,310,29,14,281.0,9.35483870967742,4.516129032258065,90.64516129032258
29,0.014891880864953,292,5,23,287.0,1.7123287671232876,7.876712328767123,98.28767123287672
30,0.0131311629750755,265,1,28,264.0,0.37735849056603776,10.566037735849056,99.62264150943396
31,0.013473726233844,270,8,3,262.0,2.962962962962963,1.1111111111111112,97.03703703703704
32,0.0122553120294462,293,28,5,265.0,9.556313993174061,1.7064846416382253,90.44368600682594
33,0.0130488530744929,285,10,18,275.0,3.508771929824561,6.315789473684211,96.49122807017544
34,0.0129324280633688,280,3,8,277.0,1.0714285714285714,2.857142857142857,98.92857142857143
35,0.0127922971114167,279,4,5,275.0,1.4336917562724014,1.7921146953405018,98.5663082437276
36,0.0127803639441388,302,27,4,275.0,8.940397350993377,1.3245033112582782,91.05960264900662
37,0.0144459036266289,286,5,21,281.0,1.7482517482517483,7.3426573426573425,98.25174825174825
38,0.0131920014812071,285,8,9,277.0,2.807017543859649,3.1578947368421053,97.19298245614036
39,0.0132080736675658,284,8,9,276.0,2.816901408450704,3.1690140845070425,97.1830985915493
40,0.0142703912698782,306,27,5,279.0,8.823529411764707,1.6339869281045751,91.17647058823529
41,0.0152919369786839,297,4,13,293.0,1.3468013468013469,4.377104377104377,98.65319865319866
42,0.014389193422083,294,8,11,286.0,2.7210884353741496,3.741496598639456,97.27891156462584
43,0.0129781420765027,285,3,12,282.0,1.0526315789473684,4.2105263157894735,98.94736842105263
44,0.0138164516424192,302,21,4,281.0,6.953642384105961,1.3245033112582782,93.04635761589404
45,0.0138555329761684,300,2,4,298.0,0.6666666666666666,1.3333333333333333,99.33333333333333
46,0.012704094996944,291,4,13,287.0,1.3745704467353952,4.4673539518900345,98.62542955326461
