subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_1770145,160.45623779296875,4.17730712890625,89179.6257878906,11105.31303276,0,0,inf,1770145
_1980158,160.23516845703125,4.39837646484375,101315.87095514052,13140.60098542,0,0,0.011743665567566544,1980158
_2000134,160.17701721191406,4.4565277099609375,104077.86205809438,13429.27731782,0,0,0.004551722081611868,2000134
_1990122,160.10850524902344,4.5250396728515625,104869.82537067492,12450.26064452,0,0,0.010423085571511715,1990122
_1980116,159.86009216308594,4.773452758789063,108979.88191563112,12929.19292506,0,0,0.0187694339255429,1980116
_2000055,159.55099487304688,5.082550048828125,115285.93559202574,13403.05679186,0,0,0.02487473314016682,2000055
_1960334,159.1903076171875,5.4432373046875,131101.3279962543,15827.32448806,0,0,0.02077065665057459,1960334
_2000048,159.0653076171875,5.5682373046875,142618.73752521756,16656.74508106,0,0,0.009497235341246243,2000048
_1970046,158.97340393066406,5.6601409912109375,144221.99888435018,18027.38644606,0,0,0.009591157596169367,1970046
_1980179,158.93307495117188,5.700469970703125,166322.9631737742,19052.26103006,0,0,0.040795778259629954,1980179
_1860227,157.9707489013672,6.6627960205078125,192040.7674931942,22499.8841956,0,0,0.03623671099326921,1860227
_1960225,157.912353515625,6.72119140625,193130.078321518,29627.00940145,0,0,0.02385483459468202,1960225
_1930049,157.26197814941406,7.3715667724609375,205253.95301377983,30443.41447706,0,0,0.023066084783209626,1930049
_1960387,157.26077270507812,7.372772216796875,209970.89111121552,30608.11864216,0,0,0.003371758579507916,1960387
_2000150,157.22970581054688,7.403839111328125,215298.67976516805,31828.99062916,0,0,0.010177006114203704,2000150
_1990089,156.96180725097656,7.671737670898437,216018.7820181303,30983.35837095,0,0,0.017227507431393212,1990089
_2000084,156.78538513183594,7.8481597900390625,232973.7042759705,34090.35698916,0,0,0.0360430544721423,2000084
_1940121,156.05125427246094,8.582290649414062,255291.520021056,44737.49703806,0,0,0.08830131511516383,1940121
_1820194,154.02182006835938,10.611724853515623,265029.3583905503,36002.053577399995,0,0,0.06697199711288417,1820194
_1970071,153.93389892578125,10.69964599609375,277035.2281269346,40120.2868431,0,0,0.008993134490381168,1970071
_1960111,153.90428161621094,10.729263305664062,288032.17155530525,39484.2919244,0,0,0.02061017255524291,1960111
_1980093,153.36178588867188,11.271759033203123,293298.17241826304,39717.847287100005,0,0,0.027255725298201767,1980093
_2000132,153.05810546875,11.575439453125,298751.0412966518,38736.9456665,0,0,0.012248396970411406,2000132
_1940105,153.0310516357422,11.602493286132812,304078.82995060435,39957.8176535,0,0,0.004993918013856421,1940105
_1980123,153.02345275878906,11.610092163085938,315211.24606885127,40365.6325263,0,0,0.004953552465582869,1980123
_2000176,152.9545135498047,11.679031372070312,315328.7097010357,40840.68202300001,0,0,0.003990780866612196,2000176
_1970161,152.9544219970703,11.679122924804688,323387.32406165946,40975.8096014,0,0,0.019451451506142883,1970161
_1990021,152.4366912841797,12.196853637695312,333341.61164846324,52530.4583934,0,0,0.023181196505466517,1990021
_1970098,152.29710388183594,12.336441040039062,340012.8848372561,54211.5203112,0,0,0.02549938218244601,1970098
_2000125,151.69601440429688,12.937530517578123,349507.4839843342,55074.34386236,0,0,0.023669908099472146,2000125
_1960199,151.64056396484375,12.99298095703125,358751.30938190053,55739.82182836001,0,0,0.006209681104411003,1960199
_1990188,151.57859802246094,13.054946899414062,361024.8935132975,55903.76445536,0,0,0.008563145072268168,1990188
_1970139,151.39443969726562,13.239105224609377,364494.15463700535,56295.1799735,0,0,0.00937536212443687,1970139
_1990080,151.3162841796875,13.3172607421875,368174.05272364366,56667.173604300006,0,0,0.010109191273490822,1990080
_2000050,151.09994506835938,13.533599853515623,370800.2083134,56769.04384029999,0,0,0.01012564552101042,2000050
_2000169,151.02122497558594,13.612319946289062,374480.1064000384,57141.0374711,0,0,0.008284023661193927,2000169
_1990168,150.96185302734375,13.67169189453125,388398.33981527376,58628.792979460006,0,0,0.01005719569399814,1990168
_2000049,150.83758544921875,13.79595947265625,393919.7497535804,63823.45560616,0,0,0.006252783562891521,2000049
_2000001,150.8319091796875,13.8016357421875,398585.3593750706,62926.76062726,0,0,0.0028401682431253373,2000001
