gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_kept_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0228693250641988,472,0,0,0,,,,
1,0.0204878895737477,472,0,0,0,472.0,0.0,0.0,100.0
2,0.0200543847722637,472,0,0,0,472.0,0.0,0.0,100.0
3,0.019768177028451,469,0,3,0,469.0,0.0,0.6396588486140725,100.0
4,0.0190744598292692,467,2,4,0,465.0,0.4282655246252677,0.8565310492505354,99.57173447537473
5,0.0202315985624916,456,1,12,0,455.0,0.21929824561403508,2.6315789473684212,99.78070175438596
6,0.0194557702535011,439,3,20,0,436.0,0.683371298405467,4.555808656036446,99.31662870159454
7,0.0175800594255529,426,4,17,0,422.0,0.9389671361502347,3.9906103286384975,99.06103286384976
8,0.019195305951383,458,33,1,0,425.0,7.205240174672489,0.2183406113537118,92.79475982532752
9,0.0173980997820096,423,2,37,0,421.0,0.4728132387706856,8.747044917257684,99.52718676122932
10,0.0169873106835857,415,6,14,0,409.0,1.4457831325301205,3.3734939759036147,98.55421686746988
11,0.0149325984955686,401,3,17,0,398.0,0.7481296758104738,4.239401496259352,99.25187032418953
12,0.0190763497626547,430,50,21,0,380.0,11.627906976744185,4.883720930232558,88.37209302325581
13,0.0157360184821934,361,9,78,0,352.0,2.4930747922437675,21.606648199445985,97.50692520775624
14,0.0151819602589863,340,12,33,0,328.0,3.5294117647058822,9.705882352941176,96.47058823529412
15,0.0138418684379687,323,15,32,0,308.0,4.643962848297214,9.907120743034056,95.3560371517028
16,0.0171978807501471,409,96,10,0,313.0,23.4718826405868,2.444987775061125,76.5281173594132
17,0.0167773029007911,369,10,50,0,359.0,2.710027100271003,13.550135501355014,97.289972899729
18,0.0159842836094119,358,12,23,0,346.0,3.35195530726257,6.424581005586592,96.64804469273743
19,0.0161971139687837,330,19,47,0,311.0,5.757575757575758,14.242424242424242,94.24242424242425
20,0.0189235026332232,424,107,13,0,317.0,25.235849056603772,3.0660377358490565,74.76415094339623
21,0.0163714052522924,341,3,86,0,338.0,0.8797653958944281,25.219941348973606,99.12023460410558
22,0.0162624821683309,342,20,19,0,322.0,5.847953216374269,5.555555555555555,94.15204678362574
23,0.0153094768479383,326,17,33,0,309.0,5.214723926380368,10.122699386503067,94.78527607361963
24,0.021754932502596,419,103,10,0,316.0,24.58233890214797,2.386634844868735,75.41766109785203
25,0.0185410817396832,350,7,76,0,343.0,2.0,21.714285714285715,98.0
26,0.0168108776266996,340,12,22,0,328.0,3.5294117647058822,6.470588235294118,96.47058823529412
27,0.0160435203540639,348,21,13,0,327.0,6.0344827586206895,3.735632183908046,93.96551724137932
28,0.0188158439527073,409,71,10,0,338.0,17.359413202933986,2.444987775061125,82.64058679706602
29,0.0186658506731946,366,10,53,0,356.0,2.73224043715847,14.480874316939891,97.26775956284153
30,0.0175908032307616,355,14,25,0,341.0,3.943661971830986,7.042253521126761,96.05633802816901
31,0.0164678876191426,330,15,40,0,315.0,4.545454545454546,12.121212121212121,95.45454545454545
32,0.0179856115107913,430,109,9,0,321.0,25.348837209302324,2.0930232558139537,74.65116279069767
33,0.0156586236893915,342,3,91,0,339.0,0.8771929824561403,26.608187134502923,99.12280701754386
34,0.014456607085123,313,12,41,0,301.0,3.8338658146964857,13.099041533546325,96.16613418530352
35,0.0143053645116918,312,14,15,0,298.0,4.487179487179487,4.8076923076923075,95.51282051282051
36,0.0176893779094371,418,108,2,0,310.0,25.83732057416268,0.4784688995215311,74.16267942583733
37,0.0170219214062026,337,9,90,0,328.0,2.6706231454005933,26.706231454005934,97.3293768545994
38,0.0149046472875393,322,14,29,0,308.0,4.3478260869565215,9.006211180124224,95.65217391304348
39,0.0148823365268347,320,18,20,0,302.0,5.625,6.25,94.375
40,0.019213729422189,412,101,9,0,311.0,24.514563106796118,2.1844660194174756,75.48543689320388
41,0.0175059211203789,340,11,83,0,329.0,3.235294117647059,24.41176470588235,96.76470588235294
42,0.0160532498042286,328,23,35,0,305.0,7.012195121951219,10.670731707317072,92.98780487804878
43,0.014799635701275,325,21,24,0,304.0,6.461538461538462,7.384615384615385,93.53846153846153
44,0.0193064324274865,422,105,8,0,317.0,24.881516587677726,1.8957345971563981,75.11848341232228
45,0.0155181969333087,336,4,90,0,332.0,1.1904761904761905,26.785714285714285,98.80952380952381
46,0.0143630489827992,329,14,21,0,315.0,4.25531914893617,6.382978723404255,95.74468085106383
47,0.013820678864792,318,17,28,0,301.0,5.345911949685535,8.80503144654088,94.65408805031447
48,0.0180395566181264,415,102,5,0,313.0,24.57831325301205,1.2048192771084338,75.42168674698796
49,0.0148647442192661,333,1,83,0,332.0,0.3003003003003003,24.924924924924923,99.69969969969969
50,0.0156577727915711,321,17,29,0,304.0,5.29595015576324,9.034267912772586,94.70404984423676
51,0.0154149058778332,321,20,20,0,301.0,6.230529595015576,6.230529595015576,93.76947040498442
52,0.0190551621319418,409,100,12,0,309.0,24.449877750611247,2.93398533007335,75.55012224938875
53,0.01636503658067,340,7,76,0,333.0,2.0588235294117645,22.352941176470587,97.94117647058823
54,0.0146048500841712,321,13,32,0,308.0,4.049844236760125,9.968847352024921,95.95015576323988
55,0.0160880195599022,329,20,12,0,309.0,6.079027355623101,3.6474164133738602,93.9209726443769
56,0.0197986895831355,417,97,9,0,320.0,23.26139088729017,2.158273381294964,76.73860911270984
57,0.0156752212826979,317,3,103,0,314.0,0.9463722397476341,32.49211356466877,99.05362776025237
58,0.0158969372873116,327,28,18,0,299.0,8.562691131498472,5.504587155963303,91.43730886850153
59,0.0133090562275111,307,11,31,0,296.0,3.583061889250814,10.09771986970684,96.41693811074919
60,0.0191494200591312,421,125,11,0,296.0,29.69121140142518,2.6128266033254155,70.30878859857482
61,0.0156565407907045,318,3,106,0,315.0,0.9433962264150944,33.333333333333336,99.05660377358491
62,0.0144954643224539,310,17,25,0,293.0,5.483870967741935,8.064516129032258,94.51612903225806
63,0.0161903351596821,328,31,13,0,297.0,9.451219512195122,3.9634146341463414,90.54878048780488
64,0.0194228379435725,422,105,11,0,317.0,24.881516587677726,2.6066350710900474,75.11848341232228
65,0.0155226100292791,334,6,94,0,328.0,1.7964071856287425,28.143712574850298,98.20359281437126
66,0.0147944182573388,317,9,26,0,308.0,2.8391167192429023,8.201892744479496,97.1608832807571
67,0.0137445236663516,320,21,18,0,299.0,6.5625,5.625,93.4375
68,0.0157998933983096,415,101,6,0,314.0,24.337349397590362,1.4457831325301205,75.66265060240964
