subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_1380215,160.9008331298828,3.732711791992188,67164.76143100426,7683.5526071,0,0,inf,1380215
_1910087,160.7393798828125,3.8941650390625,70879.31853317707,7995.4068769,0,0,0.020865834840115866,1910087
_1610118,160.38650512695312,4.247039794921875,81934.6198988649,9047.3206571,0,0,0.021492322955378042,1610118
_1610130,160.19004821777344,4.4434967041015625,84307.75290866979,9731.255029,0,0,0.013191056811275909,1610130
_1990155,160.02574157714844,4.6078033447265625,88022.3100108426,10043.1092988,0,0,0.014125895385989004,1990155
_1930154,159.81625366210938,4.817291259765625,91970.7336971806,13238.9106471,0,0,0.016062689630904084,1930154
_1780152,159.62411499023438,5.009429931640625,98872.8300420758,13679.7451401,0,0,0.023980295033153118,1780152
_1990117,159.2296905517578,5.403854370117188,109358.88097932792,15112.4405281,0,0,0.024003837562261075,1990117
_1980124,159.0367889404297,5.5967559814453125,116260.97732422312,15553.275021100002,0,0,0.013556068109567243,1980124
_1980079,158.89382934570312,5.739715576171875,118798.15500286323,16611.502230100003,0,0,0.011883133088114855,1980079
_1890009,158.68983459472656,5.9437103271484375,119741.17047302044,16194.785527,0,0,0.016142886930717693,1890009
_1950052,158.52371215820312,6.109832763671875,132760.9318441292,18369.0193941,0,0,0.013512625192250674,1950052
_1770094,158.40823364257812,6.225311279296875,134003.02596219332,18575.5454291,0,0,0.010774462944309003,1770094
_1540053,158.1937255859375,6.4398193359375,134511.02894088108,17558.553577000002,0,0,0.011336961115380942,1540053
_1990182,158.1576690673828,6.475875854492188,144663.38777387788,17893.577453,0,0,0.011917323557199544,1990182
_1890179,157.92527770996094,6.708267211914063,145255.7409192353,18261.8011968,0,0,0.015861176935346836,1890179
_1940040,157.69235229492188,6.941192626953125,149106.54635892654,20540.996747,0,0,0.014910932905250902,1940040
_1970157,157.56005859375,7.073486328125,156022.55636530265,19071.370438300004,0,0,0.014844525225639275,1970157
_1780065,157.33546447753906,7.2980804443359375,160437.19350251806,25927.908068194,0,0,0.01780433496569352,1780065
_1620150,157.03762817382812,7.595916748046875,161000.23554160687,23280.501272400004,0,0,0.03221168010509303,1620150
_1750112,156.32398986816406,8.309555053710938,163394.0094233111,23465.4565896,0,0,0.03738602520327191,1750112
_1850033,155.882568359375,8.7509765625,166156.00052626498,23754.132922,0,0,0.025411318778081775,1850033
_1580043,155.59986877441406,9.033676147460938,172462.0542026596,24227.996788800003,0,0,0.01601880283914263,1580043
_1980070,155.48818969726562,9.145355224609377,177538.09281989353,24553.832682,0,0,0.009917053296109061,1980070
_1980036,155.3993377685547,9.234207153320312,183489.1176287892,25861.407671,0,0,0.014840936060398326,1980036
_1950139,155.1134796142578,9.520065307617188,187231.91267052025,25591.7648388,0,0,0.014250591666921391,1950139
_1860000,155.01773071289062,9.615814208984377,190807.9647166926,27648.0539333,0,0,0.009813271360102285,1860000
_1970120,154.86550903320312,9.768035888671877,193623.4113445888,25082.3185838,0,0,0.01157696108168829,1970120
_1740119,154.7261962890625,9.9073486328125,198439.6639143336,28010.1397188,0,0,0.019698023021228746,1740119
_1940097,154.38711547851562,10.246429443359377,208218.92876263423,28064.7617538,0,0,0.01728236117784851,1940097
_1980071,154.31048583984375,10.32305908203125,211611.65743508164,29690.4356737,0,0,0.009162439802587366,1980071
_1910135,154.20108032226562,10.432464599609377,218337.2890624616,29559.313693,0,0,0.0160607085409548,1910135
_1860191,153.9147491455078,10.718795776367188,222993.74972871025,30490.1354337,0,0,0.013623436799654942,1860191
_1990154,153.84791564941406,10.785629272460938,226396.89681275556,29910.1591068,0,0,0.00872106157541696,1990154
_1980154,153.6973419189453,10.936203002929688,228944.3708723756,28975.4183587,0,0,0.01746731528964054,1980154
_1700109,153.4214630126953,11.212081909179688,239135.61635373483,30788.311100269995,0,0,0.03657804280374843,1700109
_1900038,152.85000610351562,11.783538818359377,259789.5768354039,33954.5252092,0,0,0.03345606845269909,1900038
_1900023,152.64805603027344,11.985488891601562,267494.86014797934,35779.3201838,0,0,0.01733656644592795,1900023
_1850125,152.38934326171875,12.24420166015625,269020.12022664875,35146.1154568,0,0,0.017852687019681047,1850125
_1940052,152.19903564453125,12.43450927734375,279313.90359595045,35452.6046469,0,0,0.013374218697895096,1940052
_1860162,152.1290740966797,12.504470825195312,284819.1519298371,36710.4856361,0,0,0.013599767332302701,1860162
_1940015,151.8360595703125,12.7974853515625,286408.26750879607,37019.6453378,0,0,0.016880069162498797,1940015
_1990174,151.711669921875,12.921875,296647.0206984746,37559.8793959,0,0,0.009193858705376949,1990174
_1950010,151.66290283203125,12.97064208984375,297794.6403789279,37276.6300444,0,0,0.014308763798506437,1950010
_1670056,151.32806396484375,13.30548095703125,303955.49079129467,38431.3636658,0,0,0.02379463934042253,1670056
_1830051,151.05970764160156,13.573837280273438,313116.1890056753,39687.7721737,0,0,0.02090727718738403,1830051
_1770123,150.84048461914062,13.793060302734377,321288.6078938189,40538.6384148,0,0,0.02014708905464696,1770123
_2000216,150.6771240234375,13.9564208984375,337781.8892601213,42501.47554179999,0,0,0.027166111288257043,2000216
_1960211,150.26971435546875,14.36383056640625,349538.2609163884,44574.2040159,0,0,0.01815517761424183,1960211
_1990198,150.25804138183594,14.375503540039062,353227.10388898745,44786.35686359999,0,0,0.013735199779841813,1990198
_1930096,149.9011993408203,14.732345581054688,356527.6916909599,44381.57370090001,0,0,0.021411595494285465,1930096
_1940148,149.78668212890625,14.84686279296875,373531.5136920763,56025.1344937,0,0,0.01788785961915907,1940148
_1970129,149.58453369140625,15.04901123046875,380527.6081574567,52061.2969329,0,0,0.02011426408182941,1970129
_1980119,149.31011962890625,15.32342529296875,389524.9339911436,54872.5961578,0,0,0.02296874416203662,1980119
_1940059,149.03587341308594,15.597671508789062,398383.0860424103,54326.6679469,0,0,0.020604520263055315,1940059
_1690142,148.8323516845703,15.801193237304688,406858.0510936678,56979.8709068,0,0,0.01777338262444992,1690142
_1970165,148.6125030517578,16.021041870117188,412308.0935626739,55952.3133929,0,0,0.016141011315824835,1970165
_1910063,148.4986572265625,16.1348876953125,424138.71761383605,58687.9721431,0,0,0.016287221328936986,1910063
_1910047,148.25473022460938,16.378814697265625,427824.043707845,59140.2657064,0,0,0.014284848804576235,1910047
_2000200,148.21324157714844,16.420303344726562,440335.9640313554,61126.40039710001,0,0,0.01403057067596853,2000200
_1940029,147.93788146972656,16.695663452148438,440401.237305812,60893.1431695,0,0,0.015113239899331622,1940029
_1870160,147.77630615234375,16.85723876953125,445157.1608103693,61247.540455400005,0,0,0.011272404911818048,1870160
_1980004,147.66580200195312,16.967742919921875,448907.5539063568,61685.1544299,0,0,0.010390370963362323,1980004
_1990199,147.52059936523438,17.112945556640625,452549.2453231163,60738.02040260001,0,0,0.010628184938991817,1990199
_1990051,147.4002227783203,17.233322143554688,456102.032694957,60585.461894600005,0,0,0.01366098824363619,1990051
_1980054,147.20639038085938,17.427154541015625,464274.4515831007,61436.3281357,0,0,0.018558810414664607,1980054
_1930035,147.0480194091797,17.585525512695312,478843.270619054,72374.77421670001,0,0,0.011311786637914167,1930035
_1980080,147.02557373046875,17.60797119140625,481224.60590193496,71825.15123250002,0,0,0.011789156065842472,1980080
_1820089,146.7392120361328,17.894332885742188,485526.3399506788,74501.10521240001,0,0,0.0159745103629939,1820089
_1990133,146.63006591796875,18.00347900390625,492372.6945191425,74998.20407770002,0,0,0.011256045075247334,1990133
_1790008,146.53611755371094,18.097427368164062,500278.8986479362,74873.67442959001,0,0,0.014642045103788302,1790008
_1930119,146.2611541748047,18.372390747070312,502007.4697152204,75553.8102314,0,0,0.017293162062101422,1930119
_1950021,146.08135986328125,18.55218505859375,509919.9178016411,76409.92240570001,0,0,0.022504133042757623,1950021
_1970134,145.77012634277344,18.86341857910156,523747.83316671225,76153.32582169,0,0,0.020774463546925692,1970134
_1980192,145.66644287109375,18.96710205078125,533490.4686400004,78490.80357669,0,0,0.016661157090591495,1980192
_1990143,145.44287109375,19.190673828125,543154.1257213193,80820.81983269002,0,0,0.01816180974346661,1990143
_2000181,145.36602783203125,19.26751708984375,559783.2630005659,82380.15536178999,0,0,0.010346859183065804,2000181
_1810107,145.34371948242188,19.289825439453125,564702.6115845417,85460.42518610002,0,0,0.015345427806739472,1810107
_1970149,145.05763244628906,19.575912475585938,577019.8310130658,86488.6668581,0,0,0.021455443841826346,1970149
_1910011,144.8751220703125,19.7584228515625,585388.6885816626,88467.48741460001,0,0,0.012832636822509909,1910011
_1990057,144.81251525878906,19.821029663085938,592599.9639198295,81147.20293030002,0,0,0.011899354587010033,1990057
_2000176,144.7512969970703,19.882247924804688,609276.5483090585,84473.90371730003,0,0,0.02172794624688672,2000176
_1980151,144.3253173828125,20.3082275390625,612394.6096037332,93054.533263,0,0,0.01960549425254106,1980151
_1790116,144.24203491210938,20.391510009765625,620781.8216035538,94551.9976235,0,0,0.019638627833589932,1790116
_1940179,143.9476776123047,20.685867309570312,636007.8958157538,95902.10954430002,0,0,0.018592660010541183,1940179
