gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0184983677910772,204,142,83,62.0,69.6078431372549,40.68627450980392,30.392156862745097
1,0.013309134906231,154,4,54,150.0,2.5974025974025974,35.064935064935064,97.40259740259741
2,0.0143195994026179,163,30,21,133.0,18.404907975460123,12.883435582822086,81.59509202453988
3,0.013588147628649,155,28,36,127.0,18.06451612903226,23.225806451612904,81.93548387096774
4,0.0123537669630322,132,16,39,116.0,12.121212121212121,29.545454545454547,87.87878787878788
5,0.0121257645670136,113,16,35,97.0,14.15929203539823,30.97345132743363,85.84070796460178
6,0.0114982578397212,99,14,28,85.0,14.141414141414142,28.282828282828284,85.85858585858585
7,0.0161562575355678,134,37,2,97.0,27.611940298507463,1.492537313432836,72.38805970149254
8,0.0150437317784256,129,30,35,99.0,23.25581395348837,27.131782945736433,76.74418604651163
9,0.0178357513643018,134,11,6,123.0,8.208955223880597,4.477611940298507,91.7910447761194
10,0.0157687253613666,132,7,9,125.0,5.303030303030303,6.818181818181818,94.6969696969697
11,0.0126409716197794,102,12,42,90.0,11.764705882352942,41.1764705882353,88.23529411764706
12,0.0173274189076795,125,34,11,91.0,27.2,8.8,72.8
13,0.0178818963127252,129,6,2,123.0,4.651162790697675,1.550387596899225,95.34883720930233
14,0.0185750298527265,140,16,5,124.0,11.428571428571429,3.5714285714285716,88.57142857142857
15,0.0159012848238137,125,4,19,121.0,3.2,15.2,96.8
16,0.0172789115646258,127,10,8,117.0,7.874015748031496,6.299212598425197,92.1259842519685
17,0.0193399846508058,126,9,10,117.0,7.142857142857143,7.936507936507937,92.85714285714286
18,0.0207803857078786,139,16,3,123.0,11.510791366906474,2.158273381294964,88.48920863309353
19,0.0222594907760329,146,11,4,135.0,7.534246575342466,2.73972602739726,92.46575342465754
20,0.020458602224358,149,13,10,136.0,8.724832214765101,6.7114093959731544,91.2751677852349
21,0.0204536515012455,156,11,4,145.0,7.051282051282051,2.5641025641025643,92.94871794871794
22,0.0175695461200585,144,8,20,136.0,5.555555555555555,13.88888888888889,94.44444444444444
23,0.0177032928124631,150,15,9,135.0,10.0,6.0,90.0
24,0.0184157416750756,146,3,7,143.0,2.0547945205479454,4.794520547945205,97.94520547945206
25,0.0169216504404265,146,4,4,142.0,2.73972602739726,2.73972602739726,97.26027397260275
26,0.0171838933059758,134,8,20,126.0,5.970149253731344,14.925373134328359,94.02985074626865
27,0.0146857923497267,129,7,12,122.0,5.426356589147287,9.30232558139535,94.57364341085271
28,0.0169285105346486,139,21,11,118.0,15.107913669064748,7.913669064748201,84.89208633093526
29,0.0163692307692307,133,2,8,131.0,1.5037593984962405,6.015037593984962,98.49624060150376
30,0.0186811654816673,134,7,6,127.0,5.223880597014926,4.477611940298507,94.77611940298507
31,0.0189926842993809,135,6,5,129.0,4.444444444444445,3.7037037037037037,95.55555555555556
32,0.0171786286213422,118,4,21,114.0,3.389830508474576,17.796610169491526,96.61016949152543
33,0.0167340677729744,120,5,3,115.0,4.166666666666667,2.5,95.83333333333333
34,0.0169030224896146,118,9,11,109.0,7.627118644067797,9.322033898305085,92.37288135593221
35,0.0163036032333196,119,7,6,112.0,5.882352941176471,5.042016806722689,94.11764705882354
36,0.0178265830005704,125,14,8,111.0,11.2,6.4,88.8
37,0.0173878938423323,133,12,4,121.0,9.022556390977444,3.007518796992481,90.97744360902256
38,0.0171812427334969,133,7,7,126.0,5.2631578947368425,5.2631578947368425,94.73684210526316
39,0.016700662927078,131,5,7,126.0,3.816793893129771,5.343511450381679,96.18320610687023
40,0.0170770944190075,138,12,5,126.0,8.695652173913043,3.6231884057971016,91.30434782608695
41,0.0186666666666666,133,2,7,131.0,1.5037593984962405,5.2631578947368425,98.49624060150376
42,0.0165732087227414,133,5,5,128.0,3.7593984962406015,3.7593984962406015,96.2406015037594
43,0.0165190327986593,138,9,4,129.0,6.521739130434782,2.898550724637681,93.47826086956522
44,0.0139541124379444,104,9,43,95.0,8.653846153846153,41.34615384615385,91.34615384615384
45,0.0127174565086982,106,9,7,97.0,8.49056603773585,6.60377358490566,91.50943396226415
46,0.0123200921128382,107,10,9,97.0,9.345794392523365,8.411214953271028,90.65420560747664
47,0.0108327691266079,96,6,17,90.0,6.25,17.708333333333332,93.75
48,0.0135542168674698,108,15,3,93.0,13.88888888888889,2.7777777777777777,86.11111111111111
49,0.0128528528528528,107,8,9,99.0,7.4766355140186915,8.411214953271028,92.5233644859813
50,0.0121085108860169,104,2,5,102.0,1.9230769230769231,4.8076923076923075,98.07692307692308
51,0.0127340823970037,102,5,7,97.0,4.901960784313726,6.862745098039215,95.09803921568627
52,0.0120630231413097,98,10,14,88.0,10.204081632653061,14.285714285714286,89.79591836734694
53,0.0116658889407372,100,5,3,95.0,5.0,3.0,95.0
54,0.0139225954783497,109,11,2,98.0,10.091743119266056,1.834862385321101,89.90825688073394
55,0.0142626813841002,115,13,7,102.0,11.304347826086957,6.086956521739131,88.69565217391305
56,0.0147574694568767,122,10,3,112.0,8.19672131147541,2.459016393442623,91.80327868852459
57,0.0159154570919276,125,6,3,119.0,4.8,2.4,95.2
58,0.0139810426540284,118,3,10,115.0,2.542372881355932,8.474576271186441,97.45762711864407
59,0.0139751552795031,117,10,11,107.0,8.547008547008547,9.401709401709402,91.45299145299145
60,0.0129281016103424,114,8,11,106.0,7.017543859649122,9.649122807017545,92.98245614035088
61,0.0131504364584514,116,5,3,111.0,4.310344827586207,2.586206896551724,95.6896551724138
62,0.0131247949250792,120,6,2,114.0,5.0,1.6666666666666667,95.0
63,0.0122642481706688,119,12,13,107.0,10.084033613445378,10.92436974789916,89.91596638655462
64,0.0120718118035493,117,3,5,114.0,2.5641025641025643,4.273504273504273,97.43589743589743
65,0.0144927536231884,125,10,2,115.0,8.0,1.6,92.0
66,0.01227872710529,120,2,7,118.0,1.6666666666666667,5.833333333333333,98.33333333333333
67,0.0121049812533476,113,0,7,113.0,0.0,6.1946902654867255,100.0
68,0.0117730640414087,116,5,2,111.0,4.310344827586207,1.7241379310344827,95.6896551724138
69,0.013323385205713,125,10,1,115.0,8.0,0.8,92.0
70,0.0125735145001013,124,8,9,116.0,6.451612903225806,7.258064516129032,93.54838709677419
71,0.013290374546919,132,11,3,121.0,8.333333333333334,2.272727272727273,91.66666666666667
72,0.0141773162939297,142,12,2,130.0,8.450704225352112,1.408450704225352,91.54929577464789
73,0.0124987794160726,128,8,22,120.0,6.25,17.1875,93.75
74,0.0122687439143135,126,5,7,121.0,3.9682539682539684,5.555555555555555,96.03174603174604
75,0.0125162711524982,125,7,8,118.0,5.6,6.4,94.4
76,0.0122820919175911,124,5,6,119.0,4.032258064516129,4.838709677419355,95.96774193548387
77,0.0130559388599936,123,2,3,121.0,1.6260162601626016,2.4390243902439024,98.3739837398374
78,0.0127063531765882,127,9,5,118.0,7.086614173228346,3.937007874015748,92.91338582677166
79,0.0134302736544481,133,13,7,120.0,9.774436090225564,5.2631578947368425,90.22556390977444
80,0.0128038411523457,128,4,9,124.0,3.125,7.03125,96.875
81,0.0131839809674861,133,7,2,126.0,5.2631578947368425,1.5037593984962405,94.73684210526316
82,0.0122786978869217,129,6,10,123.0,4.651162790697675,7.751937984496124,95.34883720930233
83,0.012448530115867,130,5,4,125.0,3.8461538461538463,3.076923076923077,96.15384615384616
84,0.0131140926056693,130,3,3,127.0,2.3076923076923075,2.3076923076923075,97.6923076923077
85,0.0129611166500498,130,4,4,126.0,3.076923076923077,3.076923076923077,96.92307692307692
86,0.0126336248785228,130,4,4,126.0,3.076923076923077,3.076923076923077,96.92307692307692
87,0.0122985985317952,129,2,3,127.0,1.550387596899225,2.3255813953488373,98.44961240310077
88,0.0124546435226046,127,4,6,123.0,3.1496062992125986,4.724409448818897,96.85039370078741
89,0.0126002290950744,132,8,3,124.0,6.0606060606060606,2.272727272727273,93.93939393939394
90,0.0129742480833497,132,3,3,129.0,2.272727272727273,2.272727272727273,97.72727272727273
91,0.013553329404832,138,6,0,132.0,4.3478260869565215,0.0,95.65217391304348
92,0.0113227420345826,129,5,14,124.0,3.875968992248062,10.852713178294573,96.12403100775194
93,0.0139314297006224,141,15,3,126.0,10.638297872340425,2.127659574468085,89.36170212765957
94,0.0136027599802858,138,2,5,136.0,1.4492753623188406,3.6231884057971016,98.55072463768116
95,0.0136712902903901,137,4,5,133.0,2.9197080291970803,3.6496350364963503,97.08029197080292
96,0.0138204310428143,143,10,4,133.0,6.993006993006993,2.797202797202797,93.00699300699301
97,0.0126080056427437,143,5,5,138.0,3.4965034965034967,3.4965034965034967,96.5034965034965
98,0.01239124703401,141,7,9,134.0,4.964539007092198,6.382978723404255,95.0354609929078
