gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000029,0.0892333984375,11983.467631507116,0,_000029,0
0,_000152,0.1221466064453125,17427.681186267637,0,_000152,0
0,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
0,_000283,0.659423828125,33643.378104673044,0,_000283,0
0,_000124,0.97833251953125,48233.544406103705,0,_000124,0
0,_000390,1.076171875,56813.10161370203,0,_000390,0
0,_000207,1.745452880859375,91034.25209018092,0,_000207,0
0,_000197,2.1712188720703125,146636.69423785192,0,_000197,0
0,_000275,2.2568511962890625,148639.5920174499,0,_000275,0
0,_000332,2.3183746337890625,301358.4503726561,0,_000332,0
0,_000282,2.37506103515625,303510.84618763044,0,_000282,0
0,_000097,2.387481689453125,307743.4153082449,0,_000097,0
0,_000031,3.122100830078125,310291.52481160907,0,_000031,0
0,_000366,3.228057861328125,333845.5442856466,0,_000366,0
0,_000078,3.697418212890625,428215.6903523079,0,_000078,0
0,_000151,3.929122924804688,530094.8472308825,0,_000151,0
0,_000010,3.997528076171875,578401.707794983,0,_000010,0
0,_000367,4.017730712890625,604128.8380927887,0,_000367,0
0,_000245,4.2196197509765625,624832.8516355288,0,_000245,0
0,_000272,4.310073852539063,638423.9193441015,0,_000272,0
0,_000370,4.372482299804688,643105.8308952157,0,_000370,0
0,_000170,4.54217529296875,651305.6622126412,0,_000170,0
0,_000358,4.73779296875,673214.0059449528,0,_000358,0
0,_000291,5.3980865478515625,679923.8901217284,0,_000291,0
1,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
1,_000283,0.659423828125,33643.378104673044,0,_000283,0
1,_010004,0.65960693359375,38073.01121500959,0,_010004,1
1,_010101,0.6649017333984375,45505.54837740764,0,_010101,1
1,_000124,0.97833251953125,48233.544406103705,0,_000124,0
1,_000390,1.076171875,56813.10161370203,0,_000390,0
1,_010186,1.1979217529296875,67931.23366622019,0,_010186,1
1,_000207,1.745452880859375,91034.25209018092,0,_000207,0
1,_010063,1.8411712646484373,99753.34749782672,0,_010063,1
1,_000197,2.1712188720703125,146636.69423785192,0,_000197,0
1,_000275,2.2568511962890625,148639.5920174499,0,_000275,0
1,_010115,2.293212890625,259301.17114129564,0,_010115,1
1,_010180,2.2989044189453125,260727.7865824256,0,_010180,1
1,_010088,2.350570678710937,287233.58379650634,0,_010088,1
1,_000282,2.37506103515625,303510.84618763044,0,_000282,0
1,_000097,2.387481689453125,307743.4153082449,0,_000097,0
1,_000031,3.122100830078125,310291.52481160907,0,_000031,0
1,_000366,3.228057861328125,333845.5442856466,0,_000366,0
1,_010053,3.3095855712890625,361740.1869109176,0,_010053,1
1,_010203,4.57391357421875,379921.7942525308,0,_010203,1
1,_000358,4.73779296875,673214.0059449528,0,_000358,0
1,_000291,5.3980865478515625,679923.8901217284,0,_000291,0
2,_020175,0.1221466064453125,17427.681186267637,0,_020175,2
2,_000122,0.6562347412109375,19558.187445959626,0,_000122,0
2,_000283,0.659423828125,33643.378104673044,0,_000283,0
2,_010004,0.65960693359375,38073.01121500959,0,_010004,1
2,_010101,0.6649017333984375,45505.54837740764,0,_010101,1
2,_000124,0.97833251953125,48233.544406103705,0,_000124,0
2,_000390,1.076171875,56813.10161370203,0,_000390,0
2,_020006,1.4835968017578125,58335.5889480604,0,_020006,2
2,_000207,1.745452880859375,91034.25209018092,0,_000207,0
2,_010063,1.8411712646484373,99753.34749782672,0,_010063,1
2,_020094,1.953369140625,123204.12839509474,0,_020094,2
2,_000197,2.1712188720703125,146636.69423785192,0,_000197,0
2,_000275,2.2568511962890625,148639.5920174499,0,_000275,0
2,_010115,2.293212890625,259301.17114129564,0,_010115,1
2,_010180,2.2989044189453125,260727.7865824256,0,_010180,1
2,_010088,2.350570678710937,287233.58379650634,0,_010088,1
2,_020026,2.3788604736328125,288399.09365800733,0,_020026,2
2,_020002,2.4833526611328125,290984.4366157919,0,_020002,2
2,_020086,3.2221221923828125,306348.3820642833,0,_020086,2
2,_020070,3.226593017578125,329128.6061882109,0,_020070,2
2,_000366,3.228057861328125,333845.5442856466,0,_000366,0
2,_020060,3.291168212890625,342835.8850225828,0,_020060,2
2,_010053,3.3095855712890625,361740.1869109176,0,_010053,1
2,_010203,4.57391357421875,379921.7942525308,0,_010203,1
2,_020211,4.5764007568359375,644430.0130854246,0,_020211,2
