	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	67.76	0.0
0.2	0.2	135.53	0.04
0.3	0.3	203.29	0.11
0.4	0.4	271.06	0.22
0.5	0.5	338.82	0.33
0.6	0.6	406.59	0.47
0.7	0.7	474.35	0.87
0.8	0.8	542.12	0.98
0.9	0.9	609.88	1.07
1.0	1.0	677.65	1.16
1.1	1.1	974.48	1.24
1.2	1.2	1271.32	1.31
1.3	1.3	1568.15	1.39
1.4	1.4	1864.99	1.45
1.5	1.5	2161.82	1.52
1.6	1.6	2458.66	1.58
1.7	1.7	2755.49	1.64
1.8	1.8	3052.33	1.7
1.9	1.9	3349.16	1.76
2.0	2.0	3646.0	1.81
2.1	2.1	4475.8	1.86
2.2	2.2	5305.6	1.91
2.3	2.3	6135.4	1.96
2.4	2.4	6965.2	2.01
2.5	2.5	7795.0	2.06
2.6	2.6	8624.8	2.11
2.7	2.7	9454.6	2.15
2.8	2.8	10284.4	2.2
2.9	2.9	11114.2	2.24
3.0	3.0	11944.0	2.28
3.1	3.1	13811.6	2.32
3.2	3.2	15679.2	2.36
3.3	3.3	17546.8	2.41
3.4	3.4	19414.4	2.44
3.5	3.5	21282.0	2.48
3.6	3.6	23149.6	2.52
3.7	3.7	25017.2	2.56
3.8	3.8	26884.8	2.6
3.9	3.9	28752.4	2.63
4.0	4.0	30620.0	2.67
4.1	4.1	34349.9	2.71
4.2	4.2	38079.8	2.74
4.3	4.3	41809.7	2.78
4.4	4.4	45539.6	2.81
4.5	4.5	49269.5	2.85
4.6	4.6	52999.4	2.88
4.7	4.7	56729.3	2.91
4.8	4.8	60459.2	2.95
4.9	4.9	64189.1	2.98
5.0	5.0	67919.0	3.01
5.082108908	5.082108908	72407.32	3.04
