damID	depth	storage	outflow_rect
200008	0.0	0.0	0.0
200008	0.1	128.75	0.0
200008	0.2	257.49	0.02
200008	0.3	386.24	0.06
200008	0.4	514.99	0.15
200008	0.5	643.74	0.19
200008	0.6	772.48	0.22
200008	0.7	901.23	0.25
200008	0.8	1029.98	0.27
200008	0.9	1158.73	0.29
200008	1.0	1287.47	0.31
200008	1.1	1386.99	0.33
200008	1.2	1486.5	0.35
200008	1.203305853	2282.62	0.35
200009	0.0	0.0	0.0
200009	0.1	113.25	0.0
200009	0.2	226.5	0.02
200009	0.3	339.74	0.06
200009	0.4	452.99	0.15
200009	0.5	566.24	0.19
200009	0.6	679.49	0.22
200009	0.7	792.73	0.25
200009	0.8	905.98	0.27
200009	0.9	1019.23	0.29
200009	1.0	1132.48	0.31
200009	1.1	1389.42	0.33
200009	1.2	1646.37	0.35
200009	1.3	1903.31	0.36
200009	1.4	2160.25	0.38
200009	1.5	2417.2	0.4
200009	1.544304343	3701.92	0.4
200013	0.0	0.0	0.0
200013	0.1	57.38	0.0
200013	0.2	114.75	0.02
200013	0.3	172.13	0.06
200013	0.4	229.5	0.15
200013	0.5	286.88	0.19
200013	0.6	344.25	0.22
200013	0.7	401.63	0.25
200013	0.8	459.01	0.27
200013	0.9	516.38	0.29
200013	1.0	573.76	0.31
200013	1.1	652.05	0.33
200013	1.2	730.35	0.35
200013	1.3	808.65	0.36
200013	1.372648225	1356.73	0.38
200014	0.0	0.0	0.0
200014	0.1	46.56	0.0
200014	0.2	93.13	0.02
200014	0.3	139.69	0.06
200014	0.4	186.25	0.15
200014	0.5	232.82	0.19
200014	0.6	279.38	0.22
200014	0.7	325.94	0.25
200014	0.8	372.51	0.27
200014	0.9	419.07	0.29
200014	1.0	465.63	0.31
200014	1.1	503.43	0.33
200014	1.2	541.22	0.35
200014	1.243394755	843.56	0.35
200019	0.0	0.0	0.0
200019	0.1	64.24	0.0
200019	0.2	128.49	0.02
200019	0.3	192.73	0.06
200019	0.4	256.98	0.15
