damID	streamID	reachID	Horton	X	Y
200000	20000	20000	2	616667.9459	4730492.2
200001	20000	20000	2	616591.2055	4730525.984
200002	20000	20000	2	616521.9326	4730549.141
200003	20000	20000	2	616446.4952	4730555.659
200004	20000	20000	2	616376.2636	4730599.473
200005	20000	20000	2	616299.455	4730644.833
200006	20000	20000	2	616236.8151	4730714.822
200007	20000	20000	2	616170.7861	4730783.737
200008	20000	20000	2	616117.394	4730863
200009	20000	20000	2	616115.9183	4730950.859
200010	20000	20000	2	616104.0118	4731044.336
200011	20000	20000	2	616078.2162	4731129.877
200012	20001	20001	2	616769.5865	4731041.527
200013	20001	20001	2	616697.8361	4730999.217
200014	20001	20001	2	616613.558	4730967.804
200015	20002	20002	2	616398.1638	4731085.093
200016	20002	20002	2	616315.4379	4731051.643
200017	20003	20003	2	614684.3526	4731146.439
200018	20003	20003	2	614663.5174	4731233.522
200019	20003	20003	2	614618.9686	4731317.659
200020	20003	20003	2	614534.2072	4731333.527
200021	20003	20003	2	614511.8768	4731417.241
200022	20003	20003	2	614535.5689	4731504.348
200023	20004	20004	2	616572.5309	4731168.163
200024	20004	20004	2	616571.0254	4731072.27
200025	20004	20004	2	616581.2344	4730977.585
200026	20005	20005	2	615771.0291	4731178.018
200027	20005	20005	2	615798.3902	4731261.392
200028	20005	20005	2	615818.0547	4731354.944
200029	20006	20006	2	615258.3436	4731317.7
200030	20006	20006	2	615214.0446	4731402.826
200031	20006	20006	2	615186.3663	4731491.172
200032	20007	20007	2	615751.2322	4731345.482
200033	20007	20007	2	615830.9981	4731384.874
200034	20008	20008	2	614910.2269	4731376.397
200035	20008	20008	2	614843.0518	4731441.598
200036	20008	20008	2	614762.0413	4731478.872
200037	20008	20008	2	614702.7341	4731543.978
200038	20009	20009	2	614504.3855	4731455.154
200039	20010	20010	2	615429.2112	4731473.307
200040	20010	20010	2	615352.1238	4731518.685
200041	20010	20010	2	615261.1769	4731534.94
200042	20010	20010	2	615177.4206	4731567.283
200043	20011	20011	2	616405.6625	4731490.514
200044	20011	20011	2	616337.7772	4731555.683
200045	20011	20011	2	616282.3003	4731634.034
200046	20011	20011	2	616241.3919	4731720.097
200047	20011	20011	2	616213.1819	4731811.067
200048	20012	20012	2	614001.6197	4731460.362
200049	20012	20012	2	614030.6087	4731548.199
200050	20012	20012	2	614090.0308	4731563.965
200051	20012	20012	2	614178.2479	4731574.726
200052	20012	20012	2	614261.4957	4731607.167
200053	20012	20012	2	614343.7318	4731607.452
200054	20013	20013	2	617672.1272	4731569.974
200055	20013	20013	2	617724.076	4731646.43
200056	20013	20013	2	617765.2961	4731725.28
200057	20013	20013	2	617733.228	4731811.39
200058	20014	20014	2	616070.2056	4731554.033
200059	20014	20014	2	615995.654	4731605.867
200060	20015	20015	2	614393.8726	4731601.056
200061	20016	20016	2	616830.2241	4731650.83
200062	20017	20017	2	617427.0724	4731677.806
200063	20017	20017	2	617494.2702	4731731.381
200064	20017	20017	2	617570.2065	4731779.326
200065	20017	20017	2	617649.6813	4731820.441
200066	20018	20018	2	616948.9282	4731674.369
200067	20018	20018	2	616869.0468	4731712.242
200068	20019	20019	2	615120.0417	4731688.724
200069	20020	20020	2	613849.9524	4731735.698
200070	20021	20021	2	617264.2666	4731797.082
200071	20021	20021	2	617310.5927	4731882.178
200072	20021	20021	2	617318.0151	4731975.577
200073	20021	20021	2	617329.5315	4732068.976
200074	20022	20022	2	615860.7545	4731807.07
200075	20023	20023	2	613874.2615	4731812.247
200076	20024	20024	2	616294.5669	4731867.672
200077	20024	20024	2	616217.7194	4731820.875
200078	20025	20025	2	613639.2329	4731901.291
200079	20025	20025	2	613665.9682	4731975.433
200080	20025	20025	2	613743.825	4732018.627
200081	20025	20025	2	613806.752	4732089.954
200082	20027	20027	2	618038.5819	4731999.964
200083	20027	20027	2	618041.0599	4732087.596
200084	20027	20027	2	618023.8342	4732179.873
200085	20028	20028	2	615889.4692	4731993.258
200086	20029	20029	2	614565.9226	4731959.579
200087	20029	20029	2	614636.5602	4731901.101
200088	20029	20029	2	614724.9121	4731890.349
200089	20029	20029	2	614801.8843	4731856.082
200090	20030	20030	2	615482.5164	4732027.015
200091	20030	20030	2	615474.2045	4732122.714
200092	20031	20031	2	617396.0268	4732065.167
200093	20032	20032	2	614817.5074	4732050.798
200094	20032	20032	2	614882.6432	4731999.124
200095	20033	20033	2	617119.1794	4732135.442
200096	20033	20033	2	617157.4105	4732223.201
200097	20034	20034	2	614007.7594	4732125.227
200098	20035	20035	2	618021.1392	4732187.931
200099	20036	20036	2	614066.4225	4732121.594
200100	20037	20037	2	617567.4469	4732307.449
200101	20037	20037	2	617638.1003	4732364.718
200102	20038	20038	2	614214.2596	4732281.872
200103	20038	20038	2	614217.0623	4732364.819
200104	20038	20038	2	614272.2448	4732444.388
200105	20038	20038	2	614300.2044	4732535.31
200106	20039	20039	2	613245.439	4732270.812
200107	20039	20039	2	613284.547	4732357.895
200108	20039	20039	2	613322.8923	4732445.459
200109	20040	20040	2	616266.5917	4732339.757
200110	20041	20041	2	613510.2008	4732294.6
200111	20041	20041	2	613565.402	4732370.205
200112	20041	20041	2	613639.883	4732378.927
200113	20042	20042	2	616711.5266	4732369.583
200114	20042	20042	2	616799.7239	4732372.745
200115	20043	20043	2	616275.905	4732385.225
200116	20044	20044	2	613067.535	4732359.551
200117	20044	20044	2	613145.5479	4732388.587
200118	20044	20044	2	613233.6755	4732413.357
200119	20044	20044	2	613310.8663	4732458.646
200120	20045	20045	2	614669.3549	4732390.381
200121	20045	20045	2	614718.9018	4732469.245
200122	20045	20045	2	614746.7	4732560.274
200123	20046	20046	2	615576.6969	4732409.13
200124	20046	20046	2	615564.0434	4732314.615
200125	20046	20046	2	615546.2167	4732226.276
200126	20047	20047	2	619614.0565	4732503.088
200127	20047	20047	2	619526.1058	4732513.986
200128	20047	20047	2	619444.6838	4732534.702
200129	20048	20048	2	618622.0694	4732498.206
200130	20048	20048	2	618710.9086	4732487.171
200131	20048	20048	2	618785.8229	4732471.027
200132	20048	20048	2	618867.827	4732471.479
200133	20048	20048	2	618945.1719	4732514.532
200134	20048	20048	2	619028.35	4732492.488
200135	20048	20048	2	619094.7384	4732445.717
200136	20048	20048	2	619169.5522	4732457.433
200137	20048	20048	2	619253.3952	4732455.755
200138	20048	20048	2	619328.0718	4732504.729
200139	20049	20049	2	616573.8734	4732477.945
200140	20049	20049	2	616637.142	4732543.386
200141	20049	20049	2	616701.7582	4732612.128
200142	20049	20049	2	616770.3372	4732668.69
