,mean_dist_to_outlet
_1520021,12583.243617805501
_1770087,12737.072376228694
_1860331,13465.319366962744
_1520295,13789.267603834516
_2000008,12995.149472828896
_1990193,13937.065345612205
_1980169,13571.360200903728
_2000335,14097.049414046489
_2000204,13665.704053686597
_2000324,13421.58883069332
_1990356,13567.886487166046
_1780200,13952.933988062663
_1870055,11970.400935612055
_2000320,11771.555504618877
_1910202,12095.60092162768
_1840243,12433.64278060402
_2000254,12493.385966652577
_1940345,12185.909910506598
_1990262,12306.717267728873
_1960128,12796.303006242597
_1950073,12984.360331770939
_1980223,13145.19199273889
_1980307,13412.765679646935
_1980157,12583.702150525034
_1990073,12646.761691187532
_1950122,12221.083356908885
_1970042,13105.827341185759
_2000121,12912.23787114039
_1880127,12443.757333696756
_1910226,12144.05376596939
_1960041,12346.598291133561
_1960306,12574.40323171267
_2000322,12288.501781350924
_2000301,12699.243926840321
_1930072,12820.14736506687
_1970048,12845.29968915363
_2000087,12779.139065401188
_2000203,12591.2791414332
_2000264,12872.953363545947
_2000092,13099.33769411366
_2000115,12775.362782556369
_2000116,13312.13030075805
_2000188,13355.150720556268
_2000333,12925.185991801935
_1990065,13255.58040722755
_1980102,13215.062878897368
_2000045,12971.734080286293
_2000334,13076.671822204968
_1970338,12803.4927038515
_2000135,12743.0369677618
_1940174,12939.16957147872
_1950341,13021.838278881303
_2000276,13030.48330324233
_2000120,13187.344828593554
_2000312,12965.91429651245
_2000129,12975.02733983206
_1970245,13177.39204975952
_1980057,13470.889686321258
_1990061,13056.17658313115
_1970280,13694.575715893128
_2000307,13439.626405979121
_2000247,13736.060515047895
_1950308,13375.522623449126
_2000020,13198.518876712093
_1980191,13133.181700489904
_2000057,13259.145087083429
_2000097,13474.46185786257
_2000107,13145.907975866656
_1990264,13536.818515687799
_1990033,12845.335318304333
_1930215,12828.095663954424
_1970064,12819.94579920618
_1970072,12688.146383595576
_2000341,12693.051265000604
_1960006,12682.285170616871
_1990152,12799.26912171874
_2000352,12811.355981233546
_1990236,12829.56218193844
_1940177,13065.22107756905
_2000134,13308.378127405658
_2000038,13241.638239762693
_1960035,13255.958075527675
_2000266,13109.53753035176
_1990187,13006.496153750013
_1980199,13101.151214219968
_2000280,13091.017282763503
_2000283,13231.896771812751
_1990099,13349.94533120515
_2000242,13502.740334283295
_1970174,13277.17199107867
_2000111,13205.765906232691
_1990177,13324.473845802217
_2000192,13208.800332238896
_1990076,13199.60321475724
_1980356,13151.155195803804
_2000309,13035.103819244314
_2000241,13233.225523700492
_2000339,13161.672106481696
_2000043,12434.5503697231
_1980053,12352.806281424355
_2000256,12629.644512704403
_2000030,12511.163838819108
_1990122,12367.29511113033
_2000306,12816.008008341238
_1990234,12670.73516600793
_2000018,12415.416553212219
_2000035,12349.758681442903
_2000349,12351.00337108566
_2000053,12388.946282867924
_2000069,12543.685608812086
_1990338,12363.847326660225
_2000262,12379.01266526312
_2000170,12354.757795245096
_1990030,12549.221262009156
_2000042,12477.136405933614
_1980303,12884.891724291416
_2000029,12766.321372095621
_2000118,12867.253085371487
_2000234,12976.674651461843
_2000237,12976.21187843183
_2000034,12969.975768018085
_1990270,12570.878335175166
_2000031,12586.673683630896
_2000317,12455.455722834384
_1990345,12579.695813392947
_2000171,12628.838800694337
_2000327,12651.59363591862
_2000100,12548.509491856214
_1960161,12598.486039889181
_1990163,12676.12823955816
_2000101,12673.587874295528
_2000172,12420.243530252968
_1990081,12617.046274307151
_2000015,12454.721240063493
_1970266,12655.120159173997
_2000214,12615.71278195133
_2000182,12585.193892920666
_2000144,12580.178631592606
_1990109,12678.320866997983
_1990010,12667.035683876797
_1960240,12857.258963058925
_2000235,12989.853874955526
_1960150,13013.096658766917
_1990287,12957.457105375423
_2000300,12944.178564702526
_1980220,13013.226034364736
_2000199,12942.413630252058
_2000357,12943.103268410145
_1980036,12848.235884401338
