,mean_dist_to_outlet,Qpeak_reduction,cost
_1520021,12583.243617805501,6.3235931396484375,184982.21118066087
_1770087,12737.072376228694,7.6103363037109375,190965.3269263353
_1860331,13465.319366962744,10.473190307617188,198587.3969996704
_1520295,13789.267603834516,10.82550048828125,203534.16992634063
_2000008,12995.149472828896,10.960800170898438,212424.857408444
_1990193,13937.065345612205,11.483551025390623,226880.6453680439
_1980169,13571.360200903728,11.926544189453123,247397.8912346999
_2000335,14097.049414046489,12.142715454101562,258478.09872570177
_2000204,13665.704053686597,12.624038696289062,275693.1647221658
_2000324,13421.58883069332,12.769744873046877,281258.2384459513
_1990356,13567.886487166046,13.66326904296875,291365.0451959835
_1780200,13952.933988062663,13.904708862304688,293178.2834486333
_1870055,11970.400935612055,15.191665649414062,310506.6033071454
_2000320,11771.555504618877,15.653106689453123,319930.7240396157
_1910202,12095.60092162768,15.891403198242188,346487.6740312017
_1840243,12433.64278060402,16.950180053710938,348470.8561063245
_2000254,12493.385966652577,17.043289184570312,353133.7416651508
_1940345,12185.909910506598,17.382553100585938,368778.5183217517
_1990262,12306.717267728873,17.8043212890625,372647.6918827201
_1960128,12796.303006242597,18.416778564453125,386128.3160459269
_1950073,12984.360331770939,19.26840209960937,404769.8242769794
_1980223,13145.19199273889,20.21343994140625,432216.28158718895
_1980307,13412.765679646935,20.60595703125,459940.3493548711
_1980157,12583.702150525034,20.94371032714844,497524.6523742711
_1990073,12646.761691187532,22.0040283203125,526268.3975258957
_1950122,12221.083356908885,22.7359619140625,535691.5522572495
_1970042,13105.827341185759,23.613204956054688,540361.0169322413
_2000121,12912.23787114039,24.13618469238281,558944.014065122
_1880127,12443.757333696756,24.332107543945312,577482.2012828379
_1910226,12144.05376596939,25.39146423339844,592228.3208471921
_1960041,12346.598291133561,25.76890563964844,629836.2175582915
_1960306,12574.40323171267,26.60824584960937,641739.1287881064
_2000322,12288.501781350924,26.759765625,660809.3072168743
_2000301,12699.243926840321,28.05401611328125,701356.4570053862
_1930072,12820.14736506687,29.182861328125,737326.5624248812
_1970048,12845.29968915363,29.608200073242188,770269.936623085
_2000087,12779.139065401188,29.77938842773437,790375.486495141
_2000203,12591.2791414332,30.329833984375,793337.5127592734
_2000264,12872.953363545947,30.569869995117188,794284.2973402265
_2000092,13099.33769411366,30.65350341796875,812395.474510381
_2000115,12775.362782556369,31.13363647460937,813722.4696997415
_2000116,13312.13030075805,31.56109619140625,831609.1970644698
_2000188,13355.150720556268,31.565841674804688,881405.6419965052
_2000333,12925.185991801935,31.627761840820312,890732.7860080918
_1990065,13255.58040722755,32.295806884765625,906642.192473966
_1980102,13215.062878897368,33.36334228515625,941240.7111473184
_2000045,12971.734080286293,33.450958251953125,954139.6443512484
_2000334,13076.671822204968,33.6195068359375,969112.6256555928
_1970338,12803.4927038515,33.77757263183594,1002503.8859083116
_2000135,12743.0369677618,33.98200988769531,1021669.4582631082
_1940174,12939.16957147872,34.85456848144531,1054618.6547791525
_1950341,13021.838278881303,35.57696533203125,1064189.0655395233
_2000276,13030.48330324233,35.73612976074219,1067422.8301010176
_2000120,13187.344828593554,35.946319580078125,1074164.362665954
_2000312,12965.91429651245,36.12278747558594,1097917.829148644
_2000129,12975.02733983206,36.1729736328125,1116535.8123283426
_1970245,13177.39204975952,36.474365234375,1129740.15532814
_1980057,13470.889686321258,36.647422790527344,1151021.365822577
_1990061,13056.17658313115,36.74269104003906,1203615.025441771
_1970280,13694.575715893128,37.727088928222656,1207400.7270513969
_2000307,13439.626405979121,37.801734924316406,1211529.4356613911
_2000247,13736.060515047895,37.80856323242188,1215521.8395080108
_1950308,13375.522623449126,38.385284423828125,1216751.873372287
_2000020,13198.518876712093,38.39604949951172,1219414.7602035883
_1980191,13133.181700489904,38.63307189941406,1243099.3600363838
_2000057,13259.145087083429,39.072242736816406,1272795.5506168471
_2000097,13474.46185786257,39.276252746582045,1321470.964242345
_2000107,13145.907975866656,39.32258605957033,1342398.625600356
_1990264,13536.818515687799,39.7550811767578,1345089.7094582822
_1990033,12845.335318304333,39.77703857421877,1389071.7529871946
_1930215,12828.095663954424,40.57969665527344,1389991.9642652448
_1970064,12819.94579920618,40.92384338378906,1416490.6571883953
_1970072,12688.146383595576,41.21800994873048,1454094.4114294427
_2000341,12693.051265000604,41.37030792236328,1460478.1513700704
_1960006,12682.285170616871,41.87906646728516,1484252.843703664
_1990152,12799.26912171874,42.41393280029296,1487158.5147834448
_2000352,12811.355981233546,42.75171661376952,1525551.1146265024
_1990236,12829.56218193844,42.85069274902344,1545098.6553999155
_1940177,13065.22107756905,43.28474426269533,1607481.4701327328
_2000134,13308.378127405658,43.401947021484375,1638824.5398146692
_2000038,13241.638239762693,43.57763671875,1682302.9308234835
_1960035,13255.958075527675,44.0215072631836,1686223.1275725726
_2000266,13109.53753035176,44.05479431152344,1698778.3543785436
_1990187,13006.496153750013,44.52400207519533,1726125.3047595287
_1980199,13101.151214219968,44.699836730957045,1732750.9796189226
_2000280,13091.017282763503,44.7490234375,1760432.392044783
_2000283,13231.896771812751,45.4272918701172,1776798.6275153034
_1990099,13349.94533120515,45.57147979736328,1810654.037487572
_2000242,13502.740334283295,45.755516052246094,1861198.6482133763
_1970174,13277.17199107867,46.520286560058594,1875874.07488196
_2000111,13205.765906232691,46.67845153808594,1934959.1898387864
_1990177,13324.473845802217,47.13389587402344,1959785.554417556
_2000192,13208.800332238896,47.29200744628906,2021980.5336326656
_1990076,13199.60321475724,47.48907470703124,2039925.387417566
_1980356,13151.155195803804,47.86935424804688,2086590.06175054
_2000309,13035.103819244314,48.15912628173828,2120421.9914087034
_2000241,13233.225523700492,48.374908447265625,2169910.94826515
_2000339,13161.672106481696,48.48670959472656,2195653.2198436614
_2000043,12434.5503697231,48.70714569091796,2208420.5655649668
_1980053,12352.806281424355,49.66511535644533,2217964.8658532426
_2000256,12629.644512704403,50.142822265625,2226561.8829570585
_2000030,12511.163838819108,50.2956085205078,2249148.08129254
_1990122,12367.29511113033,50.85783386230467,2295978.1904398613
_2000306,12816.008008341238,51.22673797607422,2315100.929826308
_1990234,12670.73516600793,51.700950622558594,2363922.931234025
_2000018,12415.416553212219,51.71823120117188,2402585.4642446106
_2000035,12349.758681442903,52.11759948730467,2474597.991361313
_2000349,12351.00337108566,52.1272430419922,2486502.793576762
_2000053,12388.946282867924,52.58180236816406,2489881.9425249808
_2000069,12543.685608812086,52.671348571777344,2534117.0935129235
_1990338,12363.847326660225,52.88661956787109,2572038.3004765008
_2000262,12379.01266526312,53.00352478027344,2589891.550126008
_2000170,12354.757795245096,53.12589263916016,2596180.2258333843
_1990030,12549.221262009156,53.2632293701172,2628316.9194357507
_2000042,12477.136405933614,53.2724609375,2665194.5253712665
_1980303,12884.891724291416,53.79659271240234,2682075.536630388
_2000029,12766.321372095621,54.14415740966796,2721707.7313298285
_2000118,12867.253085371487,54.30655670166016,2755827.1959813875
_2000234,12976.674651461843,54.57051849365234,2778516.7906547533
_2000237,12976.21187843183,54.60099029541016,2779968.512161724
_2000034,12969.975768018085,54.700721740722656,2834639.415187044
_1990270,12570.878335175166,55.08071899414063,2856140.6822246984
_2000031,12586.673683630896,55.085716247558594,2890215.9875581134
_2000317,12455.455722834384,55.55158233642578,2916793.3103539217
_1990345,12579.695813392947,55.75315856933594,2930756.6462925803
_2000171,12628.838800694337,55.82290649414063,2958491.0057543125
_2000327,12651.59363591862,55.97972869873048,2980359.586943213
_2000100,12548.509491856214,56.51805877685548,2999057.5659280363
_1960161,12598.486039889181,56.725227355957045,3050557.063515868
_1990163,12676.12823955816,56.889686584472656,3096182.4933721423
_2000101,12673.587874295528,57.10968017578124,3155513.799832989
_2000172,12420.243530252968,57.66046142578124,3172883.805614052
_1990081,12617.046274307151,57.84429168701172,3245901.4870552626
_2000015,12454.721240063493,58.04754638671877,3258827.1631465806
_1970266,12655.120159173997,58.36726379394533,3292919.3652928337
_2000214,12615.71278195133,58.46478271484376,3301936.660076325
_2000182,12585.193892920666,58.65046691894533,3333409.4842215464
_2000144,12580.178631592606,59.0717315673828,3431717.3809234155
_1990109,12678.320866997983,59.612342834472656,3668239.9511896
_1990010,12667.035683876797,59.62298583984376,3733249.480825789
_1960240,12857.258963058925,59.67755126953124,3760462.631181224
_2000235,12989.853874955526,60.21842956542967,3825518.000205576
_1960150,13013.096658766917,60.259986877441406,3831840.350202268
_1990287,12957.457105375423,60.42756652832033,3846465.340293534
_2000300,12944.178564702526,60.63106536865234,3880449.921482099
_1980220,13013.226034364736,60.65171051025391,4176633.584139289
_2000199,12942.413630252058,60.72298431396485,4196653.388224628
_2000357,12943.103268410145,60.79890441894533,4383373.308620894
_1980036,12848.235884401338,61.017120361328125,4399650.331285419
