,mean_dist_to_outlet,Qpeak_reduction,cost
_1910235,17672.52496732117,6.435546875,60102.18708768399
_1880134,17395.91560836544,6.80792236328125,84354.50456119537
_2000306,16828.31904259827,6.961761474609375,113953.268979185
_1960239,15993.130260564134,8.472991943359375,114075.22084260677
_1960051,17478.432715796884,9.436065673828123,133520.04610978742
_1860169,17113.1252235771,10.935867309570312,135549.70370593638
_1980348,15830.83830877555,11.90863037109375,174459.20810884828
_1990247,15926.759492450528,12.772659301757812,197520.45876253853
_1940315,15457.334457680532,13.324859619140623,209591.0080942601
_1900087,16160.609849744958,14.655364990234377,220335.86092066675
_2000255,16318.209197479262,14.800521850585938,236245.16609347743
_2000257,15422.923684661213,14.963272094726562,258837.2288782701
_1980285,16128.905292308493,15.267913818359377,260095.75978059685
_2000256,15673.59730374037,15.389511108398438,265136.41355361167
_2000330,15535.056322018734,15.91046142578125,270581.9224905096
_1850270,15045.418027442425,16.326339721679688,271189.50524635805
_1250073,15417.44168231428,17.255996704101562,276377.584481089
_1910130,15428.316929380502,17.516815185546875,290517.5766224136
_1710127,15244.624633610425,18.495590209960938,306092.6994001813
_2000047,15503.735876881305,19.34925842285156,327171.2872484763
_2000055,14787.379720566523,19.45600891113281,346661.1773039977
_1990338,14545.453258352352,20.249313354492188,362252.7253672823
_2000136,14932.796963204666,21.157958984375,366584.1949117901
_1910306,14375.272893055462,21.171646118164062,382635.9462654113
_1960048,14733.739844326046,22.554840087890625,434374.3007621216
_2000115,14263.211197938199,22.65492248535156,463272.5688388989
_1980138,14728.226581973833,22.865447998046875,464122.9756726416
_2000265,14632.002842852118,22.890853881835938,473818.7262311933
_1980000,14487.28362440476,23.335174560546875,487358.7580911289
_2000328,14367.169053441236,24.030532836914062,520048.9047799676
_1990107,14693.803658459656,24.39398193359375,523717.067238183
_2000337,14704.36500998573,24.666900634765625,544093.6284736826
_2000324,14654.171630672667,25.064041137695312,556109.0080794094
_1990152,14201.044045863156,25.17597961425781,561003.8054629264
_1960090,14575.50200011899,25.697418212890625,591774.3609283811
_1940227,14883.286307670473,26.853286743164062,598739.4841542993
_2000077,14781.355797144623,27.47567749023437,614000.161143659
