,Pareto_presence
20000,100
20001,45
20002,0
20003,55
20004,0
20005,17
20006,2
20007,0
20008,52
20009,0
20010,170
20011,124
20012,75
20013,8
20014,8
20015,0
20016,0
20017,3
20018,28
20019,42
20020,0
20021,19
20022,26
20023,0
20024,7
20025,58
20027,12
20028,0
20029,139
20030,9
20031,1
20032,55
20033,0
20034,0
20035,0
20036,0
20037,0
20038,123
20039,10
20040,13
20041,47
20042,1
20043,0
20044,7
20045,2
20046,4
20047,20
20048,66
20049,77
20050,0
20051,21
20052,23
20053,0
20054,0
20055,74
20056,4
20057,0
20058,21
20059,0
20060,70
20061,0
20062,57
20063,0
20064,31
20065,18
20066,4
20067,0
20068,0
20069,4
20070,246
20071,95
20072,273
20073,3
20074,14
20075,42
20076,0
20077,0
20078,20
20079,58
20080,4
20081,71
20082,0
20083,2
20084,265
20086,0
20087,43
20088,0
20089,110
20090,27
20092,0
20093,10
20095,26
20096,40
20097,141
20098,2
20099,41
20100,9
20101,17
20102,7
20103,114
20104,9
20105,2
20106,0
20107,61
20108,47
20109,32
20110,4
20111,6
20112,16
20113,22
20114,10
20115,18
20116,0
20117,195
20118,20
20119,0
20120,0
20121,0
20122,0
20123,0
20124,55
20125,0
20126,19
20127,4
20128,30
20129,75
20130,40
20131,0
20132,29
20133,0
20134,3
20135,31
20136,47
20137,0
20138,0
20139,20
20141,29
20142,80
20143,0
20144,0
20145,155
20146,7
20147,24
20148,88
20149,0
20150,0
20151,0
20152,3
20153,5
20154,0
20155,11
20156,0
20157,32
20158,160
20159,0
20160,0
20161,0
20162,61
20163,0
20164,40
20165,1
20166,1
20167,87
20168,0
20169,24
20170,0
20171,1
20172,19
20173,6
20174,0
20175,0
20176,0
20177,33
20178,0
20179,21
20180,0
20181,13
20182,95
20183,0
20184,23
20185,19
20186,20
20187,71
20188,12
20189,0
20190,36
20191,8
20192,0
20193,0
20194,6
20195,0
20196,0
20197,101
20198,0
20199,20
20200,0
20201,33
20202,0
20203,0
20204,0
20205,5
20206,5
20207,0
20208,1
20209,0
20210,0
20211,0
20212,2
20213,0
20214,0
20215,1
20216,0
20217,7
20218,3
20219,14
20220,25
20221,0
20222,72
20223,26
20224,2
20225,9
20226,4
20227,28
20228,15
20229,19
20230,172
20231,0
20232,5
20233,0
20234,0
20235,20
20236,0
20237,47
20238,0
20239,6
20240,0
20241,15
20242,22
20243,0
20244,29
20245,0
20246,1
20247,0
20248,0
20249,0
20250,0
20251,0
20252,15
20253,5
20254,0
20255,1
20256,16
20257,0
20258,0
20259,1
20260,0
20261,0
20262,0
20263,0
20264,0
20265,9
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,39
20273,0
20274,24
20275,0
30276,24
30277,96
30278,0
30279,0
30280,0
30281,30
30282,18
30283,56
30284,107
30285,71
30286,21
30287,57
30288,74
30289,8
30291,19
30292,0
30293,42
30294,112
30295,88
30296,119
30297,54
30298,89
30299,143
30300,57
30301,56
30302,176
30303,0
30305,15
30306,77
30307,92
30308,75
30309,170
30310,78
30311,129
30312,4
30313,120
30314,70
30315,49
30316,43
30317,41
30318,1
30319,68
30320,29
30321,0
30322,119
30323,0
30324,93
30325,0
30327,0
30328,0
30329,0
30330,3
30331,58
30332,29
30333,16
30334,0
30335,128
30336,0
30337,0
30338,26
30339,0
30340,119
30341,0
30342,16
30343,0
30344,54
30345,0
30346,3
30347,0
30348,155
30349,0
30350,0
30351,2
30352,11
30353,3
30354,0
30355,14
30356,18
30357,160
30358,25
30359,183
30360,7
30361,10
30362,16
30363,0
30364,0
30365,0
30366,1
30367,0
30368,0
30369,0
30370,0
30371,0
30372,0
30373,151
30374,6
30375,62
30377,29
30378,1
30379,0
30380,0
30381,0
30382,0
30384,0
30385,2
30386,4
30387,0
30388,35
30389,0
30390,24
30391,0
30392,0
30393,0
30394,0
30395,0
30397,18
30398,1
30399,0
30400,8
30401,0
30402,18
40403,0
40404,25
40405,0
40406,24
40407,22
40408,24
40409,25
40410,142
40411,0
40412,0
40414,29
40415,0
40416,0
40417,0
40418,11
40419,61
40420,120
40421,24
40422,108
40423,94
40424,113
40425,318
40426,37
40427,127
40428,0
40430,28
40432,12
40433,127
40434,0
40435,127
40436,127
40438,264
40439,0
40440,0
40442,21
40444,143
40445,0
40446,0
40447,127
40448,138
40449,4
40450,79
40451,63
40452,39
40453,190
40454,1
40455,57
40456,0
40458,2
40459,0
40460,42
40461,52
40463,0
40464,0
40465,0
40466,0
40467,0
40468,0
40469,0
40470,0
40471,0
40472,0
40473,0
40474,1
40475,0
40476,0
40477,0
40478,0
40479,1
40480,0
40481,0
50482,165
50483,93
50484,79
60485,0
60486,0
60487,0
60488,0
60489,0
60490,0
60491,0
60492,0
60493,0
60494,0
60495,0
60496,0
60497,0
60498,0
