,Pareto_presence
20000,7
20001,15
20002,0
20003,90
20004,0
20005,1
20006,30
20007,0
20008,94
20009,0
20010,142
20011,112
20012,39
20013,9
20014,19
20015,0
20016,19
20017,21
20018,1
20019,3
20020,0
20021,14
20022,1
20023,0
20024,8
20025,115
20027,1
20028,0
20029,129
20030,3
20031,5
20032,27
20033,1
20034,0
20035,0
20036,0
20037,4
20038,133
20039,0
20040,19
20041,18
20042,2
20043,0
20044,9
20045,10
20046,5
20047,9
20048,16
20049,59
20050,0
20051,40
20052,10
20053,2
20054,4
20055,18
20056,0
20057,0
20058,19
20059,3
20060,35
20061,0
20062,60
20063,0
20064,39
20065,0
20066,0
20067,9
20068,6
20069,1
20070,240
20071,5
20072,177
20073,3
20074,5
20075,24
20076,0
20077,0
20078,0
20079,30
20080,17
20081,139
20082,1
20083,0
20084,158
20086,0
20087,18
20088,3
20089,67
20090,0
20092,0
20093,1
20095,7
20096,3
20097,4
20098,2
20099,72
20100,0
20101,42
20102,25
20103,110
20104,1
20105,1
20106,2
20107,1
20108,4
20109,21
20110,4
20111,1
20112,21
20113,5
20114,0
20115,2
20116,0
20117,191
20118,1
20119,0
20120,0
20121,0
20122,0
20123,0
20124,28
20125,0
20126,27
20127,21
20128,9
20129,102
20130,5
20131,0
20132,54
20133,3
20134,4
20135,27
20136,9
20137,0
20138,0
20139,8
20141,0
20142,16
20143,0
20144,1
20145,171
20146,52
20147,0
20148,19
20149,0
20150,0
20151,0
20152,0
20153,2
20154,0
20155,0
20156,0
20157,4
20158,147
20159,0
20160,0
20161,0
20162,4
20163,0
20164,1
20165,1
20166,0
20167,14
20168,0
20169,9
20170,0
20171,5
20172,27
20173,0
20174,0
20175,7
20176,0
20177,15
20178,6
20179,2
20180,0
20181,0
20182,12
20183,0
20184,10
20185,1
20186,0
20187,56
20188,29
20189,0
20190,15
20191,41
20192,0
20193,0
20194,0
20195,0
20196,0
20197,53
20198,0
20199,31
20200,0
20201,4
20202,1
20203,15
20204,0
20205,16
20206,15
20207,41
20208,0
20209,0
20210,0
20211,0
20212,28
20213,0
20214,0
20215,0
20216,0
20217,0
20218,4
20219,4
20220,9
20221,0
20222,54
20223,13
20224,1
20225,1
20226,40
20227,1
20228,0
20229,12
20230,109
20231,0
20232,6
20233,2
20234,0
20235,0
20236,5
20237,23
20238,0
20239,12
20240,0
20241,7
20242,3
20243,5
20244,0
20245,0
20246,0
20247,0
20248,0
20249,0
20250,0
20251,0
20252,19
20253,6
20254,0
20255,0
20256,24
20257,0
20258,0
20259,0
20260,0
20261,0
20262,0
20263,0
20264,0
20265,15
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,31
20273,0
20274,36
20275,0
30276,23
30277,67
30278,1
30279,0
30280,0
30281,0
30282,9
30283,26
30284,77
30285,3
30286,0
30287,6
30288,20
30289,6
30291,63
30292,0
30293,2
30294,2
30295,85
30296,114
30297,39
30298,69
30299,137
30300,51
30301,5
30302,193
30303,0
30305,19
30306,52
30307,102
30308,0
30309,127
30310,19
30311,120
30312,10
30313,139
30314,27
30315,49
30316,44
30317,3
30318,5
30319,7
30320,9
30321,0
30322,70
30323,3
30324,68
30325,0
30327,0
30328,0
30329,0
30330,1
30331,1
30332,1
30333,3
30334,0
30335,6
30336,0
30337,0
30338,0
30339,0
30340,124
30341,0
30342,0
30343,0
30344,8
30345,0
30346,2
30347,0
30348,123
30349,0
30350,0
30351,0
30352,57
30353,14
30354,0
30355,11
30356,0
30357,110
30358,0
30359,173
30360,0
30361,8
30362,3
30363,0
30364,0
30365,5
30366,4
30367,0
30368,0
30369,0
30370,0
30371,0
30372,10
30373,160
30374,1
30375,54
30377,12
30378,1
30379,0
30380,0
30381,0
30382,0
30384,0
30385,21
30386,0
30387,3
30388,62
30389,0
30390,2
30391,0
30392,0
30393,0
30394,0
30395,1
30397,0
30398,0
30399,0
30400,0
30401,0
30402,0
40403,5
40404,5
40405,0
40406,2
40407,46
40408,0
40409,46
40410,138
40411,0
40412,0
40414,43
40415,0
40416,0
40417,14
40418,5
40419,56
40420,84
40421,5
40422,40
40423,95
40424,58
40425,338
40426,1
40427,120
40428,0
40430,21
40432,45
40433,74
40434,0
40435,120
40436,120
40438,356
40439,0
40440,0
40442,108
40444,129
40445,0
40446,0
40447,113
40448,125
40449,21
40450,3
40451,0
40452,1
40453,34
40454,2
40455,5
40456,9
40458,3
40459,0
40460,101
40461,42
40463,0
40464,0
40465,0
40466,0
40467,0
40468,0
40469,0
40470,0
40471,2
40472,0
40473,0
40474,0
40475,1
40476,0
40477,0
40478,0
40479,0
40480,0
40481,0
50482,135
50483,15
50484,70
60485,0
60486,0
60487,0
60488,0
60489,0
60490,0
60491,0
60492,0
60493,0
60494,0
60495,0
60496,0
60497,0
60498,0
