,Pareto_presence
20000,55
20001,13
20002,0
20003,132
20004,0
20005,22
20006,56
20007,0
20008,36
20009,0
20010,69
20011,125
20012,229
20013,6
20014,40
20015,0
20016,32
20017,29
20018,4
20019,7
20020,0
20021,30
20022,50
20023,0
20024,1
20025,135
20027,6
20028,0
20029,116
20030,5
20031,0
20032,20
20033,8
20034,0
20035,0
20036,0
20037,0
20038,29
20039,13
20040,9
20041,6
20042,6
20043,0
20044,43
20045,10
20046,7
20047,9
20048,76
20049,110
20050,0
20051,130
20052,2
20053,5
20054,1
20055,140
20056,2
20057,0
20058,7
20059,0
20060,56
20061,0
20062,33
20063,0
20064,17
20065,5
20066,0
20067,11
20068,0
20069,2
20070,143
20071,33
20072,258
20073,0
20074,14
20075,66
20076,0
20077,0
20078,20
20079,32
20080,17
20081,30
20082,0
20083,14
20084,195
20086,0
20087,31
20088,9
20089,138
20090,13
20092,0
20093,1
20095,61
20096,29
20097,58
20098,4
20099,69
20100,0
20101,230
20102,23
20103,161
20104,13
20105,5
20106,1
20107,6
20108,4
20109,32
20110,82
20111,20
20112,22
20113,5
20114,0
20115,21
20116,0
20117,170
20118,7
20119,0
20120,0
20121,0
20122,0
20123,0
20124,59
20125,0
20126,0
20127,61
20128,0
20129,66
20130,41
20131,0
20132,18
20133,2
20134,8
20135,54
20136,26
20137,0
20138,0
20139,15
20141,11
20142,21
20143,0
20144,0
20145,140
20146,18
20147,2
20148,105
20149,0
20150,0
20151,0
20152,1
20153,13
20154,0
20155,2
20156,0
20157,122
20158,213
20159,0
20160,0
20161,0
20162,59
20163,0
20164,15
20165,2
20166,31
20167,46
20168,9
20169,5
20170,0
20171,0
20172,50
20173,5
20174,16
20175,0
20176,0
20177,43
20178,22
20179,17
20180,0
20181,3
20182,128
20183,0
20184,19
20185,17
20186,5
20187,46
20188,61
20189,0
20190,32
20191,66
20192,0
20193,7
20194,7
20195,0
20196,2
20197,134
20198,0
20199,0
20200,0
20201,15
20202,0
20203,4
20204,0
20205,5
20206,3
20207,29
20208,7
20209,0
20210,5
20211,0
20212,34
20213,0
20214,0
20215,0
20216,0
20217,3
20218,0
20219,49
20220,30
20221,0
20222,109
20223,58
20224,6
20225,7
20226,160
20227,46
20228,0
20229,61
20230,140
20231,70
20232,6
20233,17
20234,0
20235,6
20236,18
20237,21
20238,0
20239,33
20240,0
20241,30
20242,4
20243,1
20244,16
20245,0
20246,14
20247,0
20248,0
20249,0
20250,0
20251,0
20252,41
20253,12
20254,0
20255,30
20256,18
20257,0
20258,0
20259,0
20260,0
20261,0
20262,0
20263,0
20264,2
20265,131
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,11
20273,0
20274,44
20275,0
30276,101
30277,0
30278,0
30279,63
30280,56
30281,106
30282,31
30283,154
30284,68
30285,93
30286,130
30287,113
30288,78
30289,126
30290,126
30291,53
30292,172
30293,40
30294,95
30295,33
30296,190
30297,102
30298,140
30299,30
30300,18
30301,57
30302,108
30303,100
30304,21
30305,0
30306,0
30307,44
30308,177
30309,0
30310,5
30311,0
30312,173
30313,2
30314,261
30315,67
30316,200
30317,20
30318,0
30319,0
30320,1
30321,16
30322,0
30323,179
30324,84
30325,0
30326,0
30327,0
30328,32
30329,216
30330,4
30331,0
30332,0
30333,0
30334,3
30335,0
30336,0
30337,25
30338,11
30339,1
40340,168
40341,176
40342,0
40343,0
40344,127
40345,30
40346,519
40347,288
40348,486
40349,222
40350,167
40351,0
40352,1
40353,0
40354,0
40355,729
40356,0
40357,0
50358,193
50359,135
60360,0
