,Pareto_presence
20000,100
20001,45
20002,0
20003,55
20004,0
20005,17
20006,2
20007,0
20008,52
20009,0
20010,170
20011,124
20012,75
20013,8
20014,8
20015,0
20016,0
20017,3
20018,28
20019,42
20020,0
20021,19
20022,26
20023,0
20024,7
20025,58
20027,12
20028,0
20029,139
20030,9
20031,1
20032,55
20033,0
20034,0
20035,0
20036,0
20037,0
20038,123
20039,10
20040,13
20041,47
20042,1
20043,0
20044,7
20045,2
20046,4
20047,20
20048,66
20049,77
20050,0
20051,21
20052,23
20053,0
20054,0
20055,74
20056,4
20057,0
20058,21
20059,0
20060,70
20061,0
20062,57
20063,0
20064,31
20065,18
20066,4
20067,0
20068,0
20069,4
20070,246
20071,95
20072,273
20073,3
20074,14
20075,42
20076,0
20077,0
20078,20
20079,58
20080,4
20081,71
20082,0
20083,2
20084,265
20086,0
20087,43
20088,0
20089,110
20090,27
20092,0
20093,10
20095,26
20096,40
20097,141
20098,2
20099,41
20100,9
20101,17
20102,7
20103,114
20104,9
20105,2
20106,0
20107,61
20108,47
20109,32
20110,4
20111,6
20112,16
20113,22
20114,10
20115,18
20116,0
20117,195
20118,20
20119,0
20120,0
20121,0
20122,0
20123,0
20124,55
20125,0
20126,19
20127,4
20128,30
20129,75
20130,40
20131,0
20132,29
20133,0
20134,3
20135,31
20136,47
20137,0
20138,0
20139,20
20141,29
20142,80
20143,0
20144,0
20145,155
20146,7
20147,24
20148,88
20149,0
20150,0
20151,0
20152,3
20153,5
20154,0
20155,11
20156,0
20157,32
20158,160
20159,0
20160,0
20161,0
20162,61
20163,0
20164,40
20165,1
20166,1
20167,87
20168,0
20169,24
20170,0
20171,1
20172,19
20173,6
20174,0
20175,0
20176,0
20177,33
20178,0
20179,21
20180,0
20181,13
20182,95
20183,0
20184,23
20185,19
20186,20
20187,71
20188,12
20189,0
20190,36
20191,8
20192,0
20193,0
20194,6
20195,0
20196,0
20197,101
20198,0
20199,20
20200,0
20201,33
20202,0
20203,0
20204,0
20205,5
20206,5
20207,0
20208,1
20209,0
20210,0
20211,0
20212,2
20213,0
20214,0
20215,1
20216,0
20217,7
20218,3
20219,14
20220,25
20221,0
20222,72
20223,26
20224,2
20225,9
20226,4
20227,28
20228,15
20229,19
20230,172
20231,0
20232,5
20233,0
20234,0
20235,20
20236,0
20237,47
20238,0
20239,6
20240,0
20241,15
20242,22
20243,0
20244,29
20245,0
20246,1
20247,0
20248,0
20249,0
20250,0
20251,0
20252,15
20253,5
20254,0
20255,1
20256,16
20257,0
20258,0
20259,1
20260,0
20261,0
20262,0
20263,0
20264,0
20265,9
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,39
20273,0
20274,24
20275,0
30276,120
30277,0
30278,0
30279,48
30280,56
30281,178
30282,21
30283,139
30284,61
30285,200
30286,119
30287,54
30288,89
30289,143
30290,57
30291,56
30292,176
30293,15
30294,77
30295,92
30296,452
30297,124
30298,162
30299,110
30300,29
30301,119
30302,96
30303,58
30304,29
30305,16
30306,0
30307,128
30308,215
30309,0
30310,3
30311,0
30312,155
30313,2
30314,46
30315,160
30316,215
30317,26
30318,0
30319,0
30320,0
30321,1
30322,0
30323,151
30324,98
30325,0
30326,0
30327,0
30328,2
30329,39
30330,24
30331,0
30332,0
30333,0
30334,18
30335,1
30336,0
30337,8
30338,0
30339,18
40340,120
40341,171
40342,0
40343,0
40344,192
40345,24
40346,633
40347,849
40348,429
40349,433
40350,96
40351,0
40352,0
40353,0
40354,0
40355,2
40356,0
40357,0
50358,165
50359,172
60360,0
