,Pareto_presence
20000,7
20001,15
20002,0
20003,90
20004,0
20005,1
20006,30
20007,0
20008,94
20009,0
20010,142
20011,112
20012,39
20013,9
20014,19
20015,0
20016,19
20017,21
20018,1
20019,3
20020,0
20021,14
20022,1
20023,0
20024,8
20025,115
20027,1
20028,0
20029,129
20030,3
20031,5
20032,27
20033,1
20034,0
20035,0
20036,0
20037,4
20038,133
20039,0
20040,19
20041,18
20042,2
20043,0
20044,9
20045,10
20046,5
20047,9
20048,16
20049,59
20050,0
20051,40
20052,10
20053,2
20054,4
20055,18
20056,0
20057,0
20058,19
20059,3
20060,35
20061,0
20062,60
20063,0
20064,39
20065,0
20066,0
20067,9
20068,6
20069,1
20070,240
20071,5
20072,177
20073,3
20074,5
20075,24
20076,0
20077,0
20078,0
20079,30
20080,17
20081,139
20082,1
20083,0
20084,158
20086,0
20087,18
20088,3
20089,67
20090,0
20092,0
20093,1
20095,7
20096,3
20097,4
20098,2
20099,72
20100,0
20101,42
20102,25
20103,110
20104,1
20105,1
20106,2
20107,1
20108,4
20109,21
20110,4
20111,1
20112,21
20113,5
20114,0
20115,2
20116,0
20117,191
20118,1
20119,0
20120,0
20121,0
20122,0
20123,0
20124,28
20125,0
20126,27
20127,21
20128,9
20129,102
20130,5
20131,0
20132,54
20133,3
20134,4
20135,27
20136,9
20137,0
20138,0
20139,8
20141,0
20142,16
20143,0
20144,1
20145,171
20146,52
20147,0
20148,19
20149,0
20150,0
20151,0
20152,0
20153,2
20154,0
20155,0
20156,0
20157,4
20158,147
20159,0
20160,0
20161,0
20162,4
20163,0
20164,1
20165,1
20166,0
20167,14
20168,0
20169,9
20170,0
20171,5
20172,27
20173,0
20174,0
20175,7
20176,0
20177,15
20178,6
20179,2
20180,0
20181,0
20182,12
20183,0
20184,10
20185,1
20186,0
20187,56
20188,29
20189,0
20190,15
20191,41
20192,0
20193,0
20194,0
20195,0
20196,0
20197,53
20198,0
20199,31
20200,0
20201,4
20202,1
20203,15
20204,0
20205,16
20206,15
20207,41
20208,0
20209,0
20210,0
20211,0
20212,28
20213,0
20214,0
20215,0
20216,0
20217,0
20218,4
20219,4
20220,9
20221,0
20222,54
20223,13
20224,1
20225,1
20226,40
20227,1
20228,0
20229,12
20230,109
20231,0
20232,6
20233,2
20234,0
20235,0
20236,5
20237,23
20238,0
20239,12
20240,0
20241,7
20242,3
20243,5
20244,0
20245,0
20246,0
20247,0
20248,0
20249,0
20250,0
20251,0
20252,19
20253,6
20254,0
20255,0
20256,24
20257,0
20258,0
20259,0
20260,0
20261,0
20262,0
20263,0
20264,0
20265,15
20266,0
20267,0
20268,0
20269,0
20270,0
20271,0
20272,31
20273,0
20274,36
20275,0
30276,91
30277,0
30278,0
30279,9
30280,26
30281,80
30282,0
30283,32
30284,65
30285,87
30286,114
30287,39
30288,69
30289,137
30290,51
30291,5
30292,193
30293,19
30294,52
30295,102
30296,266
30297,149
30298,120
30299,15
30300,9
30301,70
30302,72
30303,1
30304,1
30305,3
30306,0
30307,6
30308,132
30309,0
30310,2
30311,0
30312,123
30313,0
30314,82
30315,110
30316,173
30317,11
30318,0
30319,0
30320,5
30321,4
30322,0
30323,170
30324,68
30325,0
30326,0
30327,0
30328,21
30329,65
30330,2
30331,0
30332,0
30333,1
30334,0
30335,0
30336,0
30337,0
30338,0
30339,0
40340,104
40341,181
40342,0
40343,14
40344,145
40345,5
40346,531
40347,857
40348,475
40349,66
40350,155
40351,0
40352,0
40353,0
40354,0
40355,3
40356,0
40357,0
50358,135
50359,85
60360,0
