damID	flooded_list
200008	[]
200009	[200008]
200013	[]
200014	[]
200019	[]
200020	[]
200026	[]
200027	[200026]
200029	[]
200030	[200029]
200031	[200030]
200034	[]
200035	[]
200037	[]
200039	[]
200040	[]
200041	[]
200043	[]
200044	[200043]
200045	[]
200046	[200045]
200048	[]
200050	[]
200051	[]
200052	[]
200054	[]
200055	[]
200056	[200055]
200057	[200056]
200058	[]
200061	[]
200062	[]
200063	[]
200064	[200063]
200065	[200064]
200066	[]
200068	[]
200070	[]
200071	[200070]
200072	[200071]
200073	[]
200074	[]
200076	[]
200080	[]
200082	[]
200083	[200082]
200088	[]
200090	[]
200091	[]
200092	[]
200093	[]
200095	[]
200096	[]
200100	[]
200101	[]
200103	[]
200104	[200103]
200105	[]
200106	[]
200109	[]
200110	[]
200113	[]
200114	[]
200117	[]
200120	[]
200121	[]
200122	[]
200123	[]
200124	[200123]
200126	[]
200127	[]
200128	[]
200129	[]
200130	[200129]
200131	[200130]
200132	[200131]
200133	[]
200134	[200133]
200135	[200134]
200136	[200135]
200137	[200136]
200138	[200137]
200139	[]
200140	[]
200141	[]
200142	[]
200143	[]
200144	[]
200145	[]
200147	[]
200148	[200147]
200149	[200148]
200150	[]
200151	[200150]
200152	[200151]
200153	[]
200154	[]
200155	[]
200156	[]
200157	[]
200158	[200157]
200159	[]
200160	[]
200161	[]
200162	[]
200163	[]
200164	[]
200166	[]
200167	[]
200168	[]
200169	[200168]
200170	[]
200172	[]
200173	[]
200176	[]
200177	[200176]
200178	[]
200179	[]
200183	[]
200184	[]
200185	[]
200187	[]
200188	[]
200189	[]
200190	[]
200192	[]
200193	[]
200194	[]
200195	[]
200196	[]
200197	[]
200198	[]
200199	[200198]
200200	[200198, 200199]
200201	[]
200202	[200201]
200203	[200202]
200204	[]
200205	[]
200206	[]
200207	[]
200208	[]
200209	[]
200210	[200209]
200211	[]
200212	[]
200213	[200212]
200214	[]
200215	[]
200216	[]
200217	[]
200221	[]
200223	[]
200224	[]
200225	[]
200227	[]
200228	[200227]
200229	[]
200230	[]
200231	[200230]
200232	[]
200233	[]
200235	[]
200236	[]
200237	[]
200238	[]
200239	[]
200243	[]
200244	[]
200245	[]
200246	[]
200249	[]
200250	[]
200251	[]
200253	[]
200254	[200253]
200256	[]
200260	[]
200263	[]
200264	[200263]
200265	[200264]
200266	[]
200267	[]
200268	[]
200272	[]
200274	[]
200275	[]
200276	[]
200277	[]
200278	[]
200279	[]
200280	[]
200281	[]
200284	[]
200285	[200284]
200286	[]
200287	[]
200288	[]
200289	[]
200294	[]
200295	[]
200296	[]
200297	[]
200298	[]
200299	[]
200300	[200299]
200301	[200300]
200302	[]
200305	[]
200306	[]
200307	[]
200309	[]
200310	[200309]
200313	[]
200315	[]
200316	[]
200317	[200316]
200318	[]
200319	[]
200320	[]
200321	[200320]
200322	[]
200324	[]
200325	[]
200326	[]
200327	[200326]
200328	[]
200329	[]
200330	[]
200332	[]
200333	[200332]
200334	[200333]
200335	[200334]
200336	[]
200337	[]
200338	[]
200339	[]
200340	[200339]
200342	[]
200346	[]
200347	[]
200348	[]
200349	[]
200350	[]
200351	[]
200352	[]
200353	[]
200355	[]
200356	[]
200357	[]
200370	[]
200371	[]
200372	[]
200374	[]
200375	[]
200377	[]
200378	[]
200380	[]
200385	[]
200386	[]
200391	[]
200392	[]
200393	[]
200394	[]
200396	[]
200397	[]
200398	[]
200399	[]
200400	[]
200401	[]
200402	[]
200403	[]
200410	[]
200411	[]
200413	[]
200414	[]
200415	[]
200416	[]
200419	[]
200420	[]
200421	[]
200425	[]
200426	[]
200427	[200426]
200428	[200427]
200429	[200427, 200428]
200430	[200428, 200429]
200431	[200429, 200430]
200432	[]
200433	[]
200434	[]
200435	[]
200437	[]
200438	[]
200439	[]
200440	[]
200441	[]
200442	[]
200443	[]
200444	[200443]
200445	[]
200450	[]
200452	[]
200453	[]
200462	[]
200466	[]
200467	[200466]
200468	[200467]
200469	[]
200470	[200468, 200469]
200471	[200470]
200473	[]
200474	[]
200475	[]
200476	[]
200477	[200476]
200478	[]
200486	[]
200487	[200486]
200488	[]
200489	[200488]
200493	[]
200494	[200493]
200495	[]
200496	[]
200497	[]
200498	[]
200499	[]
200500	[]
200501	[200500]
200502	[]
200503	[]
200504	[200503]
200505	[200504]
200507	[]
200510	[]
200515	[]
200519	[]
200520	[]
200521	[]
200522	[]
200523	[]
200524	[]
200525	[]
200526	[]
200529	[]
200531	[]
200532	[]
200533	[]
