gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
0,_000124,6.753448486328125,429663.8252903721,0.0,_000124,0
0,_000171,7.146041870117188,742006.9069169621,0.0,_000171,0
0,_000162,9.442840576171877,788779.155032411,0.0,_000162,0
0,_000291,9.715469360351562,808906.7447644714,0.0,_000291,0
0,_000140,9.862625122070312,902755.5637558624,0.0,_000140,0
0,_000374,9.924957275390623,926962.3008889692,0.0,_000374,0
0,_000091,15.60369873046875,946188.0545999884,0.0,_000091,0
0,_000186,15.727569580078123,1501693.815297091,0.0,_000186,0
0,_000280,16.280746459960938,1506987.533536723,0.0,_000280,0
0,_000422,17.242874145507812,1668709.9244294108,0.0,_000422,0
0,_000165,17.259429931640625,1769373.3795622936,0.0,_000165,0
0,_000126,18.04769897460937,1769615.0170829631,0.0,_000126,0
0,_000445,18.25843811035156,1955142.2738275805,0.0,_000445,0
0,_000007,18.27723693847656,2011926.9623787329,0.0,_000007,0
0,_000269,22.37799072265625,2017607.595162744,0.0,_000269,0
0,_000031,22.531570434570312,2034598.6332788912,0.0,_000031,0
0,_000389,22.5423583984375,2039914.7535086968,0.0,_000389,0
0,_000427,22.891082763671875,2097987.71567666,0.0,_000427,0
0,_000368,24.1959228515625,2124838.8627445893,0.0,_000368,0
0,_000305,24.202194213867188,2765236.688520579,0.0,_000305,0
0,_000444,26.85224914550781,2814353.226944021,0.0,_000444,0
0,_000424,26.897140502929688,2890020.5465839696,0.0,_000424,0
0,_000011,27.0440673828125,3215439.0536897345,0.0,_000011,0
0,_000027,28.093994140625,3372931.842604383,0.0,_000027,0
0,_000134,28.566314697265625,3520075.800511424,0.0,_000134,0
0,_000408,30.395004272460938,3547155.253430148,0.0,_000408,0
0,_000128,30.797439575195312,3891619.902102711,0.0,_000128,0
0,_000230,30.99888610839844,3946645.44760174,0.0,_000230,0
0,_000072,31.21620178222656,4065794.57008882,0.0,_000072,0
0,_000083,33.84208679199219,4207303.339323204,0.0,_000083,0
0,_000281,33.8521728515625,4246043.909550011,0.0,_000281,0
0,_000099,34.00444030761719,4497373.671598518,0.0,_000099,0
0,_000259,34.95414733886719,4662177.9621052,0.0,_000259,0
0,_000315,35.58143615722656,4670280.005931973,0.0,_000315,0
0,_000146,35.72857666015625,4683067.860240031,0.0,_000146,0
