gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0196750978494171,935,367,35,568.0,39.25133689839572,3.7433155080213902,60.74866310160428
1,0.0188889632256194,847,31,119,816.0,3.6599763872491144,14.049586776859504,96.34002361275088
2,0.0172075606276747,772,14,89,758.0,1.8134715025906736,11.528497409326425,98.18652849740933
3,0.0202667393724581,892,134,14,758.0,15.022421524663677,1.5695067264573992,84.97757847533633
4,0.0161715094134291,743,15,164,728.0,2.018842530282638,22.072678331090174,97.98115746971736
5,0.0165478272568276,738,23,28,715.0,3.116531165311653,3.794037940379404,96.88346883468834
6,0.0161002557984566,749,25,14,724.0,3.3377837116154874,1.8691588785046729,96.66221628838451
7,0.0164132949851869,759,26,16,733.0,3.4255599472990776,2.1080368906455864,96.57444005270092
8,0.0171942792865177,749,19,29,730.0,2.5367156208277706,3.871829105473965,97.46328437917224
9,0.0171529300097177,759,26,16,733.0,3.4255599472990776,2.1080368906455864,96.57444005270092
10,0.0173331796703929,752,22,29,730.0,2.925531914893617,3.856382978723404,97.07446808510639
11,0.0182333284904838,753,21,20,732.0,2.7888446215139444,2.6560424966799467,97.21115537848605
12,0.0195155130016219,746,25,32,721.0,3.351206434316354,4.289544235924933,96.64879356568365
13,0.0208344908050447,750,19,15,731.0,2.533333333333333,2.0,97.46666666666667
14,0.0189646049736834,681,16,85,665.0,2.3494860499265786,12.481644640234949,97.65051395007342
15,0.019047619047619,688,35,28,653.0,5.087209302325581,4.069767441860465,94.91279069767442
16,0.018905362949898,686,17,19,669.0,2.478134110787172,2.7696793002915454,97.52186588921283
17,0.0195009723097148,712,31,5,681.0,4.353932584269663,0.702247191011236,95.64606741573034
18,0.0186978208103278,701,24,35,677.0,3.4236804564907275,4.992867332382311,96.57631954350927
19,0.0179472940226171,711,30,20,681.0,4.219409282700422,2.8129395218002813,95.78059071729957
20,0.0172182195628281,705,17,23,688.0,2.4113475177304964,3.2624113475177303,97.58865248226951
21,0.0180476815289777,729,40,16,689.0,5.486968449931413,2.1947873799725652,94.51303155006859
22,0.0172172317202743,713,17,33,696.0,2.3842917251051894,4.628330995792426,97.61570827489481
23,0.0180392359852994,697,16,32,681.0,2.2955523672883786,4.591104734576757,97.70444763271162
24,0.0194045572988856,700,23,20,677.0,3.2857142857142856,2.857142857142857,96.71428571428571
25,0.0196116830796777,701,21,20,680.0,2.9957203994293864,2.8530670470756063,97.00427960057061
26,0.0194685314685314,696,20,25,676.0,2.8735632183908044,3.5919540229885056,97.1264367816092
27,0.0197379567402722,699,12,9,687.0,1.7167381974248928,1.2875536480686696,98.28326180257511
28,0.0189299509629345,691,16,24,675.0,2.3154848046309695,3.4732272069464543,97.68451519536903
29,0.0190626188019334,702,26,15,676.0,3.7037037037037037,2.1367521367521367,96.29629629629629
30,0.0182716311680034,688,15,29,673.0,2.1802325581395348,4.215116279069767,97.81976744186046
31,0.0187628420028117,694,19,13,675.0,2.7377521613832854,1.8731988472622478,97.26224783861672
32,0.0198826691327341,688,13,19,675.0,1.8895348837209303,2.761627906976744,98.11046511627907
33,0.0207512241729368,695,23,16,672.0,3.3093525179856114,2.302158273381295,96.69064748201438
34,0.0208191227497849,702,20,13,682.0,2.849002849002849,1.8518518518518519,97.15099715099716
35,0.020673835979624,694,17,25,677.0,2.4495677233429394,3.602305475504323,97.55043227665706
36,0.0192766351468896,687,22,29,665.0,3.2023289665211063,4.2212518195050945,96.79767103347889
37,0.0192424159004569,699,29,17,670.0,4.148783977110157,2.432045779685265,95.85121602288984
38,0.0190042534627549,697,22,24,675.0,3.1563845050215207,3.443328550932568,96.84361549497848
39,0.01836109260493,689,15,23,674.0,2.1770682148040637,3.3381712626995648,97.82293178519593
40,0.0201596691746596,702,26,13,676.0,3.7037037037037037,1.8518518518518519,96.29629629629629
41,0.0194326995771847,694,20,28,674.0,2.881844380403458,4.034582132564841,97.11815561959654
42,0.019191641462744,698,21,17,677.0,3.008595988538682,2.4355300859598854,96.99140401146131
43,0.0193438160600005,668,20,50,648.0,2.9940119760479043,7.485029940119761,97.0059880239521
44,0.0195603304820015,670,22,20,648.0,3.283582089552239,2.985074626865672,96.71641791044776
45,0.0187345841532023,676,24,18,652.0,3.5502958579881656,2.662721893491124,96.44970414201184
46,0.0173326175320193,678,23,21,655.0,3.392330383480826,3.0973451327433628,96.60766961651917
47,0.0168218234457284,674,14,18,660.0,2.077151335311573,2.6706231454005933,97.92284866468843
