subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_1520021,158.30995178222656,6.3235931396484375,184982.21118066087,79011.88566560001,0,0,inf,1520021
_1770087,157.02320861816406,7.6103363037109375,190965.3269263353,72684.30407700001,0,0,0.0789642860624838,1770087
_1860331,154.1603546142578,10.473190307617188,198587.39699967037,63167.4022811,0,0,0.06164369352105186,1860331
_1520295,153.80804443359375,10.82550048828125,203534.16992634063,63284.732906100005,0,0,0.012062439146213811,1520295
_2000008,153.67274475097656,10.960800170898438,212424.857408444,66847.65464919999,0,0,0.01734141092664503,2000008
_1990193,153.14999389648438,11.483551025390623,226880.6453680439,76199.5653891,0,0,0.02561147588176945,1990193
_1980169,152.70700073242188,11.926544189453123,247397.8912346999,106837.3898381,0,0,0.019238340694137566,1980169
_2000335,152.49082946777344,12.142715454101562,258478.09872570177,90764.38279570002,0,0,0.019188124015146368,2000335
_2000204,152.00950622558594,12.624038696289062,275693.1647221658,136412.17769749995,0,0,0.016645425393657792,2000204
_2000324,151.86380004882812,12.769744873046877,281258.2384459513,60429.8255566,0,0,0.022565314031737106,2000324
_1990356,150.97027587890625,13.66326904296875,291365.0451959835,74197.59015530001,0,0,0.02346237929794992,1990356
_1780200,150.7288360595703,13.904708862304688,293178.2834486333,117701.1638211,0,0,0.032298209989068245,1780200
_1870055,149.44187927246094,15.191665649414062,310506.6033071454,114030.90708268998,0,0,0.038051629537866526,1870055
_2000320,148.98043823242188,15.653106689453123,319930.7240396157,112600.05592569,0,0,0.020977156786512643,2000320
_1910202,148.7421417236328,15.891403198242188,346487.6740312017,115499.56274215998,0,0,0.030206332978465613,1910202
_1840243,147.68336486816406,16.950180053710938,348470.8561063245,109315.7846399,0,0,0.022572287331906853,1840243
_2000254,147.5902557373047,17.043289184570312,353133.7416651508,109106.2452607,0,0,0.012524058154736527,2000254
_1940345,147.25099182128906,17.382553100585938,368778.5183217517,119085.89737939,0,0,0.018352643370949787,1940345
_1990262,146.8292236328125,17.8043212890625,372647.6918827201,125602.92966039,0,0,0.022855423887481685,1990262
_1960128,146.21676635742188,18.416778564453125,386128.3160459269,149513.8263435,0,0,0.034074520240730585,1960128
_1950073,145.36514282226562,19.26840209960937,404769.8242769794,131382.55726616,0,0,0.04333164684876829,1950073
_1980223,144.42010498046875,20.21343994140625,432216.28158718895,138298.83247716,0,0,0.03700317743214722,1980223
_1980307,144.027587890625,20.60595703125,459940.3493548711,147513.69666566,0,0,0.028205473532446675,1980307
_1980157,143.68983459472656,20.94371032714844,497524.6523742711,152876.67134616,0,0,0.040647255015846206,1980157
_1990073,142.6295166015625,22.0040283203125,526268.3975258957,139410.96316051998,0,0,0.04144948956177711,1990073
_1950122,141.8975830078125,22.7359619140625,535691.5522572495,155201.87851812,0,0,0.032626860813839816,1950122
_1970042,141.0203399658203,23.613204956054688,540361.0169322413,163870.33021875002,0,0,0.030889682920959064,1970042
_2000121,140.4973602294922,24.13618469238281,558944.014065122,179250.49432275,0,0,0.021586866690402693,2000121
_1880127,140.3014373779297,24.332107543945312,577482.2012828379,152473.20481231,0,0,0.030521180126223048,1880127
_1910226,139.24208068847656,25.39146423339844,592228.3208471921,160759.59319383,0,0,0.03817713604305238,1910226
_1960041,138.86463928222656,25.76890563964844,629836.2175582915,170518.29787513005,0,0,0.03350777494764567,1960041
_1960306,138.02529907226562,26.60824584960937,641739.1287881064,188466.85618733,0,0,0.025160960127714748,1960306
_2000322,137.873779296875,26.759765625,660809.3072168743,217183.33142573,0,0,0.03999311405627383,2000322
_2000301,136.57952880859375,28.05401611328125,701356.4570053862,185490.75392463,0,0,0.06170587852371197,2000301
_1930072,135.45068359375,29.182861328125,737326.5624248812,222852.1371061,0,0,0.04408959053104332,1930072
