subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_690091,157.56153869628906,7.0720062255859375,198513.6514862764,69731.820897,0,inf
_900182,157.4271240234375,7.2064208984375,210005.33792884176,71919.1494838,0,0.022826321915800273
_880108,156.83128356933594,7.8022613525390625,232252.49774763896,76108.8797363,0,0.033040346431250804
_860228,156.24879455566406,8.384750366210938,246936.74945682156,88071.95428371002,0,0.01985083472549318
_900076,156.05772399902344,8.575820922851562,248002.3732389963,87960.777673,0,0.032540821788837375
_740122,154.76986694335938,9.863677978515623,252062.98160171096,74764.8683669,0,0.03247342629415788
_890138,154.58616638183594,10.047378540039062,253540.6454281068,77602.15266400001,0,0.020775080770366793
_900274,153.92897033691406,10.704574584960938,265472.5932461995,83786.74568330002,0,0.028251131141282974
_820281,153.57095336914062,11.062591552734377,284364.8725104438,81246.09451240001,0,0.024625167864711063
_880020,153.1779327392578,11.455612182617188,305478.20045604714,94496.3855854,0,0.04825928548246755
_900056,151.5915985107422,13.041946411132812,312962.98087322706,89615.6594325,0,0.04324564928715982
_900215,151.4508514404297,13.182693481445312,335682.11519082176,88666.7734637,0,0.016778200524570786
_850228,151.0581817626953,13.575363159179688,338090.85318082216,91341.1439126,0,0.029098238317781203
_900354,150.66212463378906,13.971420288085938,392643.6602935721,97136.0899845,0,0.03267660732303543
_900104,150.1482696533203,14.485275268554688,399683.30708312086,97796.60211516,0,0.019114134243821454
_870334,149.89083862304688,14.742706298828123,405214.9174593513,113377.38544050002,0,0.02685993771429468
_820043,149.10523986816406,15.528305053710938,421353.9249769276,96063.566121,0,0.035642132664910606
_840319,148.50503540039062,16.128509521484375,433800.0973336076,98372.8427109,0,0.02366971180266892
_900238,148.21458435058594,16.418960571289062,443246.5611933069,106998.602454,0,0.01646137102064965
_890069,147.93896484375,16.694580078125,454260.584899298,99456.0198733,0,0.031622128860344795
_870280,147.46835327148438,17.165191650390625,516032.4584763047,107707.6748806,0,0.038221885575733104
_870180,146.98101806640625,17.65252685546875,536744.6868378114,121322.14765330998,0,0.03277916818716621
_850189,146.16586303710938,18.467681884765625,539573.5988226772,141433.86239161,0,0.024151069235237157
_900207,145.95828247070312,18.675262451171875,547898.5794483142,133204.55173391,0,0.021463744983946455
_830051,145.31031799316406,19.323226928710938,554725.6357660075,128659.50249160998,0,0.027754757952384898
_880112,144.8608856201172,19.77265930175781,568365.8420648624,149007.27770561,0,0.0269389350020062
_900262,144.4320831298828,20.201461791992188,592932.854283738,143188.71697571,0,0.029479347779198948
_800232,144.02468872070312,20.608856201171875,622428.7827747783,121417.07466990998,0,0.04378311884257739
_860347,143.01866149902344,21.61488342285156,656398.9270089729,146200.00676766998,0,0.033747530056534886
_900159,142.91575622558594,21.717788696289062,669435.7661665388,146677.74727067,0,0.011873123763062906
_900147,142.6646728515625,21.9688720703125,676485.3337306692,151090.76276607,0,0.015786864310323112
_850283,142.3226776123047,22.310867309570312,684131.3219948178,151850.75626607,0,0.026915822106240488
_870082,141.75930786132812,22.874237060546875,711923.465753708,170932.79671446997,0,0.035134750450068676
_850000,141.1143798828125,23.5191650390625,727792.8102270686,172875.26873076998,0,0.025613551582390977
_900007,140.85540771484375,23.77813720703125,741492.0863616304,175510.98328827,0,0.02210007941174027
_900149,140.48910522460938,24.144439697265625,768480.2707867587,184455.68451577,0,0.02447838286756184
_850312,140.0140838623047,24.619461059570312,771959.8448654627,145188.09697601,0,0.014012863424905653
_900040,139.87355041503906,24.759994506835938,772778.6831423924,153379.88041931,0,0.011038551139488472
_900146,139.76153564453125,24.87200927734375,798147.2544784748,185764.33871617,0,0.0217455509516749
_900096,139.2894287109375,25.3441162109375,815867.5663045873,151308.03806601,0,0.019780630961604363
_900202,139.06381225585938,25.569732666015625,821014.9987735683,225216.73538581,0,0.022853090514294676
_900030,138.33706665039062,26.29647827148437,827933.98534464,224068.517964704,0,0.02317319810812625
_900305,138.29173278808594,26.341812133789062,852251.2026989586,229527.66025371,0,0.024543616892874577
_900070,137.58888244628906,27.044662475585938,867843.0414845145,215818.52818127,0,0.03982860587509744
