gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
0,47522.0,1007,201,7,106.07589285714286
1,44841.0,1007,204,13,100.09151785714286
2,44864.0,1007,195,13,100.3668903803132
3,44013.0,1000,196,13,98.46308724832215
4,45945.0,988,196,13,102.78523489932886
5,44598.0,970,197,13,99.77181208053692
6,46521.0,961,193,13,104.0738255033557
7,46243.0,940,195,13,103.45190156599553
8,43561.0,919,188,13,97.45190156599553
9,44249.0,921,189,13,98.9910514541387
10,43385.0,899,188,13,97.05816554809843
11,41298.0,902,191,13,92.38926174496645
12,38226.0,899,191,13,85.51677852348993
13,35998.0,908,192,13,80.53243847874721
14,35909.0,905,191,13,80.33333333333333
15,36120.0,920,191,13,80.80536912751678
16,36286.0,903,186,13,81.17673378076063
17,36511.0,900,188,13,81.68008948545861
18,37491.0,901,188,13,83.87248322147651
19,39616.0,891,190,15,88.62639821029083
20,40945.0,889,190,16,91.59955257270694
21,40393.0,875,190,16,90.36465324384787
22,41412.0,879,191,16,92.4375
23,38638.0,877,192,18,86.43847874720358
24,36074.0,884,194,18,80.70246085011186
25,35744.0,887,192,18,79.96420581655481
26,35750.0,885,193,16,79.97762863534676
27,35414.0,877,190,18,79.22595078299776
28,36503.0,872,192,18,81.66219239373602
29,36826.0,874,192,18,82.3847874720358
30,37654.0,884,191,18,84.23713646532438
31,36988.0,875,190,18,82.74720357941834
32,34603.0,851,193,18,77.41163310961969
33,33492.0,864,191,18,74.9261744966443
34,33719.0,867,191,18,75.43400447427292
35,33569.0,873,191,18,75.09843400447427
36,35639.0,865,193,18,79.72930648769575
37,36326.0,861,194,18,81.2662192393736
38,36676.0,877,194,18,82.04921700223714
39,37525.0,876,193,18,83.94854586129753
40,34822.0,866,193,18,77.90156599552573
41,35713.0,854,194,18,79.89485458612975
42,36370.0,871,196,18,81.36465324384787
43,34533.0,869,194,18,77.25503355704699
44,34253.0,865,196,18,76.62863534675616
45,36083.0,876,196,18,80.72259507829978
46,39117.0,863,194,18,87.51006711409396
47,40067.0,852,195,19,89.63534675615213
48,39738.0,847,196,19,88.8993288590604
49,40553.0,849,196,19,90.72259507829978
50,41770.0,847,194,19,93.44519015659955
51,38390.0,852,194,19,85.69196428571429
52,39343.0,863,195,20,88.01565995525728
53,39755.0,851,195,22,88.93736017897092
54,37502.0,859,194,22,83.89709172259508
55,35750.0,852,194,22,79.97762863534676
56,35720.0,864,193,22,79.91051454138703
57,38078.0,852,193,22,85.18568232662193
58,35670.0,847,193,21,79.79865771812081
