subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_730190,158.78102111816406,5.8525238037109375,43238.54725299813,28126.2894638,0,inf
_1320320,158.69845581054688,5.935089111328125,51069.8725596652,28041.9673504,0,0.032528703454513135
_1230157,157.5025177001953,7.131027221679688,71471.54222303287,66979.44228090001,0,0.042739798316059945
_1360287,156.7856903076172,7.847854614257812,72315.06718357437,64286.8041559,0,0.019958552255672134
_1350263,156.71192932128906,7.9216156005859375,88376.54304346873,74264.6081504,0,0.033508627137465684
_1340051,155.55001831054688,9.083526611328123,106934.10519164913,81905.12457000001,0,0.04480150854553788
_1180313,154.84507751464844,9.788467407226562,120049.78643859088,72076.223693,0,0.02112398692707676
_1360238,154.82179260253906,9.811752319335938,132211.40901540386,92756.942291,0,0.013851846842763551
_1280244,154.37542724609375,10.25811767578125,137161.12359979263,96072.7430441,0,0.031314255670858465
_600347,153.32037353515625,11.31317138671875,140973.00167526444,84802.36792100001,0,0.05612012155377095
_1320273,151.9425506591797,12.690994262695312,170413.46162521731,88961.9651511,0,0.05005964175840203
_1320161,151.59170532226562,13.041839599609377,200676.58814915965,87833.27800027,0,0.02748368804325891
_1300248,151.12075805664062,13.512786865234377,211853.05656031132,90130.7318964,0,0.03629830844896626
_1020080,150.0311279296875,14.6024169921875,223068.666661413,72788.625520954,0,0.04176626875181683
_1330030,149.4003448486328,15.233200073242188,242738.8751636517,79677.182133954,0,0.04078716861961335
_1170121,148.61300659179688,16.020538330078125,271056.65302711574,89994.776440254,0,0.048351897358934866
_1250073,147.37754821777344,17.255996704101562,276377.584481089,89994.66247277,0,0.06700234862628547
_1340308,145.63829040527344,18.99525451660156,305987.9531960826,93958.41517707,0,0.06344344828951702
_1270012,145.28817749023438,19.345367431640625,358948.24707382405,107476.57530167,0,0.04340028773966961
_1360283,144.55120849609375,20.08233642578125,385759.88994536607,111009.0868557,0,0.02981036826489026
_1360076,144.192138671875,20.44140625,389967.9941222929,110005.68273127,0,0.02939896542462853
_1310147,143.3894805908203,21.244064331054688,410852.1541936033,131282.99271721,0,0.025331067122369384
_1360298,143.33546447753906,21.298080444335938,421408.2101755173,133029.11492371,0,0.020859906667524672
_1340046,142.65269470214844,21.98085021972656,434611.4343971305,135429.00468841,0,0.019992629834412034
_1360281,142.64764404296875,21.98590087890625,445427.187202587,139258.78884342,0,0.008932521716348644
_1360224,142.61158752441406,22.021957397460938,463457.8476053914,157444.27000366998,0,0.032491649130941616
_1360152,141.2664794921875,23.3670654296875,466542.9291786138,176144.12316997,0,0.04812722123943779
_1360028,141.00112915039062,23.63241577148437,524359.8395691421,159452.44291930998,0,0.03766654752329428
_1290297,140.20220947265625,24.43133544921875,527555.2523036659,144576.95687367,0,0.035608989417885865
_1250078,139.21803283691406,25.415512084960938,529167.7964740157,150463.81296989002,0,0.027437635509307154
_1350081,139.12135314941406,25.512191772460938,551202.6787937141,155788.18894788998,0,0.029620866307967668
_1300034,138.4290771484375,26.2044677734375,580412.9259704618,156330.31475388998,0,0.03588837922830485
_1320080,138.0287628173828,26.604782104492188,603988.620712252,168378.57362968996,0,0.04174688067027659
_1300108,136.986083984375,27.6474609375,630108.2171157466,171309.53149995997,0,0.04555073306041048
_1360270,136.5935821533203,28.039962768554688,667690.8012507727,184037.92335305,0,0.020163989313384808
_1350346,136.54611206054688,28.087432861328125,671600.0822740261,184394.05317706,0,0.02383611814326856
_1340301,135.97010803222656,28.66343688964844,709704.1482848458,181869.46701266,0,0.027609215747295815
_1360142,135.82968139648438,28.803863525390625,720654.1368138274,183196.63576056,0,0.01888124052730121
_1350331,135.16497802734375,29.46856689453125,721803.1982454525,235624.3339335,0,0.03146472665275605
_1220017,134.57809448242188,30.055450439453125,746949.6043878578,239746.4079182,0,0.02270107736499325
_1360141,134.43215942382812,30.201385498046875,752354.848427141,242332.6698444,0,0.013453250304210207
_1360340,134.29249572753906,30.341049194335938,775173.4224980955,242940.28241033,0,0.01860984203831363
_1360265,133.9112091064453,30.722335815429688,782830.6037605352,253644.521376,0,0.013834654274058975
_1350094,133.80245971679688,30.831085205078125,790836.6252070762,254538.9912295,0,0.01088558136912015
_1360297,133.57830810546875,31.05523681640625,798739.5103974412,281147.58014300006,0,0.023446084446785007
_1320003,132.7019500732422,31.93159484863281,799006.4784220544,251007.369477,0,0.057632975807348275
_1360204,131.6461944580078,32.98735046386719,871427.5932912251,209854.80758177,0,0.07734522068749064
_1350205,130.0353240966797,34.59822082519531,891542.9300390023,291367.2207042,0,0.07207706380099524
_1320095,129.59542846679688,35.038116455078125,987210.1009529348,277307.85207520006,0,0.0417323065218103
_1360264,129.50006103515625,35.13348388671875,1002956.7136930784,275712.2723712,0,0.023415867697279602
_1170235,128.88291931152344,35.75062561035156,1021675.9540235262,282552.5083532,0,0.021904078517200408
_1360109,128.63893127441406,35.99461364746094,1021953.527121842,278918.6556302,0,0.01595283102922302
_1360156,128.5736541748047,36.05989074707031,1057144.1353052638,280122.68755299994,0,0.02581212205615086
_1360288,128.44729614257812,36.18624877929688,1100353.1344367352,287530.626463,0,0.029895910734436558
_1350256,128.037109375,36.596435546875,1126539.9250809124,302877.8563027,0,0.01961501107018505
_1360324,127.89923858642578,36.73430633544922,1132545.1096322022,291069.2949681,0,0.030532408155985017
_1280067,126.64030456542967,37.99324035644533,1139650.695588634,289289.0504411,0,0.03281135809010463
_1340100,126.46231842041016,38.17122650146485,1150999.3161796315,296823.440548,0,0.029604115528509504
_1350121,125.73291015625,38.900634765625,1182776.8489700723,295423.0739109,0,0.030496190486784154
_1360164,125.67731475830078,38.95623016357422,1205614.2382075535,296320.8079871,0,0.02223145064346163
_1350337,125.41613006591795,39.217414855957045,1239975.8359659477,310029.3713844,0,0.02242671825782413
_1360004,125.30644989013672,39.32709503173828,1259824.551535122,314355.3497726,0,0.01733131692192329
_1300118,125.2933578491211,39.34018707275391,1293017.99911942,335742.0765457,0,0.028452811084113204
_1240177,124.48050689697266,40.15303802490234,1304414.8628320554,312101.5942642,0,0.02902558602677085
_1310002,124.41891479492188,40.214630126953125,1336337.0016972194,314994.64944,0,0.016994468785588888
_1360172,124.29778289794922,40.33576202392578,1352184.0731926109,317509.22564180003,0,0.018538663556035728
_1350230,123.90423583984376,40.72930908203124,1366987.3651142805,318833.70992480003,0,0.03674383222102691
_1360005,122.61807250976562,42.015472412109375,1368047.5517887808,319793.62099459,0,0.030318725696513095
_1310353,122.39916229248048,42.23438262939452,1371973.5804837774,323882.6673935,0,0.009775903685775262
_1360059,122.26961517333984,42.36392974853516,1378966.8002779195,329760.9206467,0,0.016844443490483467
_1350357,122.15748596191406,42.47605895996094,1415199.6749608335,337106.4482971,0,0.025256011006900517
_1350125,122.00833129882812,42.62521362304688,1450656.841197811,334984.918824,0,0.025556223875007607
_1330047,121.97418212890624,42.65936279296877,1493259.6921192652,361791.71839781,0,0.023362484672666967
_1360112,121.46070861816406,43.17283630371094,1496153.9423692592,361244.8263655,0,0.024229374625198575
_1350100,120.90591430664062,43.727630615234375,1506398.396902554,364786.7449375,0,0.037107709254587874
_1360189,120.66976165771484,43.96378326416016,1573785.9245107588,354423.97900554,0,0.04056188986957211
_1360268,120.02455139160156,44.60899353027344,1590114.1984213805,365268.49272234,0,0.034324333731945336
_1360094,119.73445892333984,44.89908599853516,1631734.4532831635,376198.57299194,0,0.03246818357214983
_1360016,119.56206512451172,45.07147979736328,1673661.947561333,389734.1682937401,0,0.023314945995056187
_1360190,119.23178100585938,45.401763916015625,1680121.5933172817,382867.26907634,0,0.009116812108016889
_1350287,119.22702026367188,45.406524658203125,1683159.0506529468,412767.84491734,0,0.022801849866856908
_1360057,118.74200439453124,45.89154052734376,1727568.9964709124,423169.40314404,0,0.03153696540277137
_1350277,118.51608276367188,46.117462158203125,1746501.0757345126,391963.63203434006,0,0.021395611350628504
_1360244,118.50824737548828,46.12529754638672,1787456.635327665,396967.92982254,0,0.0310283638409831
_1350149,118.37511444091795,46.258430480957045,1846827.195234196,390593.88407034,0,0.025543966275680216
_1360354,118.36812591552734,46.265419006347656,1868411.746705571,393386.4230794,0,0.009270703343609082
