subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_1910235,158.197998046875,6.435546875,60102.18708768399,32345.45837278,0,0,inf,1910235
_1880134,157.82562255859375,6.80792236328125,84354.50456119537,34223.9349313,0,0,0.021940380661351584,1880134
_2000306,157.67178344726562,6.961761474609375,113953.268979185,43235.95483985,0,0,0.035937945446651354,2000306
_1960239,156.16055297851562,8.472991943359375,114075.22084260677,82178.0798754,0,0,0.04754862930824431,1960239
_1960051,155.19747924804688,9.436065673828123,133520.04610978742,71574.5994411,0,0,0.047804624881796,1960051
_1860169,153.6976776123047,10.935867309570312,135549.70370593638,95480.53132999998,0,0,0.05260594756789261,1860169
_1980348,152.72491455078125,11.90863037109375,174459.20810884828,101690.22536959,0,0,0.04659146015526809,1980348
_1990247,151.8608856201172,12.772659301757812,197520.45876253853,104654.50088690002,0,0,0.032912460540943066,1990247
_1940315,151.30868530273438,13.324859619140623,209591.0080942601,106053.7050486,0,0,0.038066833147307765,1940315
_1900087,149.97817993164062,14.655364990234377,220335.86092066675,113814.639866,0,0,0.03192469125363137,1900087
_2000255,149.83302307128906,14.800521850585938,236245.16609347743,119286.646607,0,0,0.014502279076464779,2000255
_2000257,149.67027282714844,14.963272094726562,258837.2288782701,129451.5425169,0,0,0.013779415349346135,2000257
_1980285,149.36563110351562,15.267913818359377,260095.75978059685,149619.00883999997,0,0,0.008888118601435355,1980285
_2000256,149.24403381347656,15.389511108398438,265136.41355361167,123147.35358899,0,0,0.01363439807624641,2000256
_2000330,148.72308349609375,15.91046142578125,270581.9224905096,124810.96485929002,0,0,0.017680382513726795,2000330
_1850270,148.3072052001953,16.326339721679688,271189.50524635805,127979.7332396,0,0,0.024703852453174333,1850270
_1250073,147.37754821777344,17.255996704101562,276377.584481089,89994.66247277,0,0,0.02523720741971791,1250073
_1910130,147.11672973632812,17.516815185546875,290517.5766224136,94579.83373787,0,0,0.028561173470349633,1910130
_1710127,146.13795471191406,18.495590209960938,306092.6994001813,92015.53014927,0,0,0.04048961988981442,1710127
_2000047,145.28428649902344,19.34925842285156,327171.2872484763,113115.45903507,0,0,0.026305331389044298,2000047
_2000055,145.1775360107422,19.45600891113281,346661.1773039977,103968.10910847,0,0,0.023952820081962145,2000055
_1990338,144.3842315673828,20.249313354492188,362252.7253672823,120623.52460667,0,0,0.034245013134820194,1990338
_2000136,143.4755859375,21.157958984375,366584.1949117901,127557.88474167,0,0,0.020840240157932767,2000136
_1910306,143.46189880371094,21.171646118164062,382635.9462654113,102715.88813987,0,0,0.04035103577015494,1910306
_1960048,142.07870483398438,22.554840087890625,434374.3007621216,119433.41712357,0,0,0.04490663764933408,1960048
_2000115,141.97862243652344,22.65492248535156,463272.5688388989,119058.81284547,0,0,0.012465609688165688,2000115
_1980138,141.76809692382812,22.865447998046875,464122.9756726416,126555.09371457,0,0,0.006600167896600291,1980138
_2000265,141.74269104003906,22.890853881835938,473818.7262311933,131953.73077857002,0,0,0.013673535145854055,2000265
_1980000,141.29837036132812,23.335174560546875,487358.7580911289,126951.61366257002,0,0,0.030760436588938525,1980000
_2000328,140.60301208496094,24.030532836914062,520048.9047799676,134531.84087867002,0,0,0.027008668829238643,2000328
_1990107,140.23956298828125,24.39398193359375,523717.067238183,164836.12737737,0,0,0.016754746866520228,1990107
_2000337,139.96664428710938,24.666900634765625,544093.6284736826,166341.49406047,0,0,0.019325739793375284,2000337
_2000324,139.5695037841797,25.064041137695312,556109.0080794094,181096.21160837,0,0,0.012849947865760738,2000324
_1990152,139.4575653076172,25.17597961425781,561003.8054629264,163008.09664645998,0,0,0.019469072742454727,1990152
_1960090,138.93612670898438,25.697418212890625,591774.3609283811,151572.37458889,0,0,0.03805795554017318,1960090
_1940227,137.78025817871094,26.853286743164062,598739.4841542993,153271.01204849,0,0,0.036115952484541025,1940227
_2000077,137.15786743164062,27.47567749023437,614000.161143659,155945.51200249,0,0,0.020957540306314675,2000077
_1970270,137.1560516357422,27.47749328613281,641325.6828364925,187069.06153098,0,0,0.01644063658893634,1970270
_2000017,136.8661651611328,27.767379760742188,661824.6083838209,197887.07831298,0,0,0.030357966154917565,2000017
_1940059,135.89028930664062,28.74325561523437,676683.4233691066,217202.69716529,0,0,0.0380799628277156,1940059
_1960289,135.15565490722656,29.47789001464844,697234.8153270697,203568.89696909,0,0,0.04663661530326249,1960289
_1960204,133.88526916503906,30.748275756835938,726593.1336030341,209468.25865695,0,0,0.043613085713909275,1960204
_2000188,133.60414123535156,31.02940368652344,767468.0581722119,214887.24594795,0,0,0.018990002051627826,2000188
_1980352,133.56021118164062,31.07333374023437,782698.3872934958,217193.27981165,0,0,0.01589236177700081,1980352
_2000348,133.01649475097656,31.61705017089844,791437.908677812,230381.25814676,0,0,0.012774268898031805,2000348
_1950277,132.99395751953125,31.63958740234375,795127.0530653927,237535.71501375,0,0,0.029300676833463112,1950277
_1980045,131.97254943847656,32.66099548339844,838507.1932953522,254044.406974354,0,0,0.04587675084412231,1980045
_2000223,131.34776306152344,33.28578186035156,867975.0543564473,243259.53391355,0,0,0.02612856325737673,2000223
_1980255,131.09640502929688,33.537139892578125,884470.1089947823,248036.37636555,0,0,0.028856789101214177,1980255
_1910029,130.07949829101562,34.554046630859375,896844.1416196998,273150.87520500005,0,0,0.039001005695973284,1910029
_1880221,129.067138671875,35.56640625,900537.0869562889,288558.8065333,0,0,0.02506394441550508,1880221
_1990038,128.986328125,35.647216796875,922530.3220496431,279390.0057183,0,0,0.02429245588122334,1990038
_1990039,128.2729034423828,36.36064147949219,944751.3510336304,302889.91918130004,0,0,0.03584958582699731,1990039
_1960114,127.80623626708984,36.82730865478516,987196.976803864,296543.98240497,0,0,0.0271619015515989,1960114
_2000314,127.62831115722656,37.00523376464844,1011917.4346880808,300304.42157287,0,0,0.018720454877345624,2000314
_1960259,127.16192626953124,37.47161865234376,1018921.2390986992,312029.7793311,0,0,0.03709389897121383,1960259
_1990055,125.9931869506836,38.640357971191406,1048674.9800789228,324183.4094714,0,0,0.04094334235358871,1990055
_2000143,125.60010528564452,39.03343963623048,1077188.3332018214,330605.1751374,0,0,0.030674289484441584,2000143
_1990071,125.18505096435548,39.44849395751952,1118686.9383563711,316020.7718692,0,0,0.03410774674897439,1990071
_1920002,124.33966827392578,40.29387664794922,1128686.641352306,317971.5198701001,0,0,0.0370163925808662,1920002
_2000275,123.5360336303711,41.09751129150391,1154107.152830419,321555.9705212,0,0,0.04844087735564627,2000275
_1950141,123.0817413330078,41.5518035888672,1240580.9834548496,332253.05478809995,0,0,0.04103114266054862,1950141
_1980332,122.89666748046876,41.73687744140624,1279918.268052135,325354.4358984,0,0,0.01843767061861485,1980332
_2000132,122.84019470214844,41.79335021972656,1300447.380794947,331096.2014744,0,0,0.031917948766261965,2000132
_2000303,121.64717864990234,42.986366271972656,1323014.5414548763,317548.2266967001,0,0,0.04440693953291133,2000303
_1960021,120.9711456298828,43.6623992919922,1350891.9698262908,320724.91920460004,0,0,0.03906761991659857,1960021
_1990118,120.69403839111328,43.93950653076172,1417727.2148835268,332954.7344896,0,0,0.03498837456341068,1990118
_2000184,120.01051330566406,44.62303161621094,1427922.2123017055,341600.73982207006,0,0,0.03590474612598739,2000184
_1990341,119.75456237792967,44.87898254394533,1500147.7678943523,369152.0164861,0,0,0.03366670000872555,1990341
_1980305,119.28399658203124,45.34954833984376,1516448.9305776022,354548.7186146,0,0,0.018252814758302364,1980305
_2000109,119.196533203125,45.43701171875,1536190.63951408,359106.40370360005,0,0,0.018115877211696586,2000109
_2000308,118.9397964477539,45.69374847412109,1567488.0270539897,364812.90965270007,0,0,0.025246916964631577,2000308
_1990072,118.83599853515624,45.79754638671877,1615997.5999201557,348296.2958725899,0,0,0.026203172587485144,1990072
_2000119,118.60340118408205,46.03014373779296,1653070.085633808,350900.95042189,0,0,0.02083065944933248,2000119
_1990056,118.5748291015625,46.0587158203125,1684487.928538408,417773.39608199,0,0,0.020164614287698744,1990056
_1970302,117.8944091796875,46.7391357421875,1686150.95292583,388708.14689549,0,0,0.026889434553400374,1970302
_2000095,117.51500701904295,47.118537902832045,1720271.4431030103,394557.32930499,0,0,0.034809625646723075,2000095
_1980036,117.34567260742188,47.287872314453125,1792425.4214191935,389441.84120559006,0,0,0.04475278809961994,1980036
_1990249,115.95990753173828,48.67363739013672,1795031.4299579682,417290.62018360005,0,0,0.06689509623028789,1990249
_1970008,115.6219482421875,49.0115966796875,1947925.2477975069,423654.59866589,0,0,0.06390914477035872,1970008
_2000194,114.77654266357422,49.85700225830078,1977337.4809825013,427382.18023581,0,0,0.025537364533104526,2000194
_1980159,114.62242126464844,50.01112365722656,1982419.559608912,436465.17960647,0,0,0.015285058268344483,1980159
_2000274,114.48361206054688,50.149932861328125,2020217.9129160184,454804.6532493701,0,0,0.015291402887480597,2000274
_2000090,114.37834167480467,50.25520324707033,2028884.0825382196,443197.06392807,0,0,0.01233329353628669,2000090
_2000234,114.0719223022461,50.561622619628906,2042049.7291498608,469835.46136434,0,0,0.0349939022319932,2000234
_2000108,113.77554321289062,50.858001708984375,2131995.7891769893,492916.63884632,0,0,0.032104452672263244,2000108
_2000069,113.45628356933594,51.17726135253906,2132087.849329734,484770.43198567006,0,0,0.017923935694430928,2000069
_2000093,113.0859832763672,51.5475616455078,2157078.688255751,486519.6290849701,0,0,0.018125969645267616,2000093
_2000249,112.99555206298828,51.63799285888672,2174683.2752089384,487425.84892127005,0,0,0.018539848772534173,2000249
_2000296,112.64049530029295,51.993049621582045,2202522.88064827,510362.2173144701,0,0,0.0251820758415056,2000296
_1980324,112.36710357666016,52.26644134521485,2234707.770381608,473915.54354737006,0,0,0.04170036050945469,1980324
_1990087,112.02526092529295,52.608283996582045,2332902.697503577,466594.32659717,0,0,0.03188838364978446,1990087
_2000264,111.87770080566406,52.75584411621094,2333030.9663125384,468474.17817217007,0,0,0.01185265906376211,2000264
_1980291,111.43521118164062,53.198333740234375,2339726.8129997174,464808.95248507,0,0,0.023039868585492534,1980291
_2000318,111.19778442382812,53.43576049804688,2380308.0797228715,468931.2134632701,0,0,0.04362987575907664,2000318
_2000159,111.13760375976562,53.495941162109375,2501342.77924865,550681.4686146501,0,0,0.036133609613109234,2000159
_2000146,110.89227294921876,53.74127197265624,2509856.7652493184,561287.9739166499,0,0,0.014336916088483163,2000146
_2000026,110.70478057861328,53.92876434326172,2530052.7987982314,552391.25178025,0,0,0.023786247590943894,2000026
_1960208,110.0887451171875,54.5447998046875,2551267.749063773,536965.7465185601,0,0,0.018945371953684648,1960208
_2000311,110.08657836914062,54.546966552734375,2564623.1601049653,541134.7231876501,0,0,0.02367259271725094,2000311
_1870204,109.6171417236328,55.0164031982422,2616372.7323802235,545781.2299713601,0,0,0.028334837966030924,1870204
_1990296,109.4812240600586,55.152320861816406,2639574.125298936,560311.7945493599,0,0,0.023092894999117514,1990296
_1970187,108.7270965576172,55.9064483642578,2648570.572389018,557726.69585006,0,0,0.01879072833722512,1970187
_2000111,108.62969970703124,56.00384521484376,2656503.803805868,558555.49570566,0,0,0.005574530573530881,2000111
_2000139,108.62557220458984,56.00797271728516,2664595.8584472924,565000.70739536,0,0,0.013888894007603016,2000139
_1990132,108.4120101928711,56.22153472900391,2698998.192963256,600073.59163236,0,0,0.026692231112714352,1990132
_1980128,108.22215270996094,56.41139221191406,2747351.5930987736,598316.65170441,0,0,0.02760080490542242,1980128
_2000344,108.1737289428711,56.45981597900391,2797596.558369144,603054.22951636,0,0,0.02097237798152104,2000344
_1980299,107.84127807617188,56.792266845703125,2807720.0850995136,609930.62382896,0,0,0.042588197651663454,1980299
_1980240,107.03775024414062,57.595794677734375,2893784.4266733257,619177.61216936,0,0,0.045667508080607794,1980240
_1990034,106.8885498046875,57.7449951171875,2930188.7815929363,628492.5995255599,0,0,0.03378316951763175,1990034
_1960254,106.74832153320312,57.88522338867188,3014630.1340884897,620617.54581596,0,0,0.0426974365722379,1960254
