subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID.1,orig_subsetID
_500002,161.38812255859375,3.24542236328125,19570.15354341025,14376.871271,0.0,0.0,inf,500225.0,u_500225
_500003,161.3037567138672,3.3297882080078125,19788.793844207623,33264.312291,0.0,0.0,0.016611806307587833,200001.0,u_200001
_500004,160.9883270263672,3.645217895507813,23048.253490689887,18099.735824,0.0,0.0,0.021313648920097496,390100.0,u_390100
_500005,160.81820678710938,3.815338134765625,26820.6768153887,22331.287185,0.0,0.0,0.035593175900897694,110235.0,u_110235
_500006,160.12185668945312,4.511688232421875,29576.985598111867,23711.1593872,0.0,0.0,0.05452403852899154,160054.0,u_160054
_500007,159.47068786621094,5.162857055664063,34927.881047780815,26161.4379442,0.0,0.0,0.04739707073294459,470286.0,u_470286
_500008,159.09616088867188,5.537384033203125,50283.311553621,36784.8119848,0.0,0.0,0.054443753575897494,420180.0,u_420180
_500009,158.21031188964844,6.4232330322265625,51007.24963732571,48208.0861992,0.0,0.0,0.056484270688800534,440296.0,u_440296
_500010,157.72213745117188,6.911407470703125,60739.08097692059,60516.7452132,0.0,0.0,0.038788031566447015,400151.0,u_400151
_500011,157.33999633789062,7.293548583984375,65053.2959055198,57458.1594352,0.0,0.0,0.020085834049877682,500319.0,u_500319
_500014,157.2646484375,7.368896484375,67374.30235503166,59169.48112619999,0.0,0.0,0.006415291895344272,450336.0,u_450336
_500015,157.2176971435547,7.415847778320312,69405.79913359485,61154.1825152,0.0,0.0,0.03931730077138709,500056.0,u_500056
_500017,156.30763244628906,8.325912475585938,74596.76974099259,48703.8986599,0.0,0.0,0.0582384477230589,500126.0,u_500126
_500019,155.9119110107422,8.721633911132812,90584.6124740773,81674.62568100002,0.0,0.0,0.03970708603253049,390231.0,u_390231
_500021,155.5157470703125,9.1177978515625,98262.26566483622,76263.72941300001,0.0,0.0,0.03330168639582312,310083.0,u_310083
_500023,155.15975952148438,9.473785400390623,102181.04621646593,79141.247212,0.0,0.0,0.022239244247775118,420248.0,u_420248
_500029,155.09194946289062,9.541595458984377,113366.08598935812,114367.649511,0.0,0.0,0.018800717189846883,500091.0,u_500091
_500033,154.8369140625,9.796630859375,118271.0197856636,86065.602415,0.0,0.0,0.027167346036038705,490238.0,u_490238
_500034,154.4798583984375,10.1536865234375,122967.99524204303,92236.328114,0.0,0.0,0.018353053179910442,500335.0,u_500335
_500039,154.4753875732422,10.158157348632812,129630.59150870432,106441.331189,0.0,0.0,0.028856067140810838,470220.0,u_470220
_500040,153.8477325439453,10.785812377929688,134855.55445795006,86211.37311200002,0.0,0.0,0.045651435547329026,430339.0,u_430339
_500046,153.438720703125,11.19482421875,145003.96003354422,90348.025603,0.0,0.0,0.04914455622884574,490153.0,u_490153
_500049,152.71719360351562,11.916351318359377,150041.1820406043,69788.91892689999,0.0,0.0,0.03569037317715798,490311.0,u_490311
_500053,152.6768798828125,11.9566650390625,161581.95155527545,75602.2472819,0.0,0.0,0.020092895474245198,470078.0,u_470078
_500054,152.42950439453125,12.20404052734375,172613.47977992066,70003.8619344,0.0,0.0,0.016887345013867947,440235.0,u_440235
_500058,152.41262817382812,12.220916748046877,178447.44843461705,89413.3138179,0.0,0.0,0.028857197295809565,500137.0,u_500137
_500059,151.75302124023438,12.880523681640623,180345.08519907267,79293.7630109,0.0,0.0,0.037312871277483534,450194.0,u_450194
_500069,151.6774444580078,12.956100463867188,201525.419885464,96685.971482,0.0,0.0,0.019112325890478114,490313.0,u_490313
_500070,151.5270538330078,13.106491088867188,206286.2680465712,86957.81654219999,0.0,0.0,0.020453190392970437,480242.0,u_480242
_500073,151.275390625,13.358154296875,214263.81537595336,111796.295711,0.0,0.0,0.031410175267669656,420318.0,u_420318
_500078,150.91505432128906,13.718490600585938,226358.6615601176,119327.25138,0.0,0.0,0.027613978573099367,470139.0,u_470139
_500080,150.71437072753906,13.919174194335938,229755.22646282884,125832.39231799998,0.0,0.0,0.033021132011641946,500324.0,u_500324
_500088,150.33999633789062,14.293548583984377,253866.7977373128,113781.097234,0.0,0.0,0.030960291213451268,500280.0,u_500280
_500089,150.27500915527344,14.358535766601562,264904.0581845276,118744.062993,0.0,0.0,0.020361857097522355,340047.0,u_340047
_500090,149.958740234375,14.6748046875,268329.8864272377,119848.9263109,0.0,0.0,0.014379061437352627,500027.0,u_500027
_500091,149.95724487304688,14.676300048828123,270567.5717123104,120565.7102499,0.0,0.0,0.010384939245358972,430290.0,u_430290
_500092,149.79005432128906,14.843490600585938,278121.67312639847,124642.1059739,0.0,0.0,0.03105311619138191,470070.0,u_470070
_500097,149.46701049804688,15.166534423828123,301175.6850801893,140328.48106957998,0.0,0.0,0.024609108717488365,490235.0,u_490235
_500098,149.42349243164062,15.210052490234377,304435.23042665253,128319.76942,0.0,0.0,0.013239430642972548,500044.0,u_500044
_500099,149.18881225585938,15.444732666015623,307738.6487539141,131072.831965,0.0,0.0,0.03282485224171144,430059.0,u_430059
_500102,148.70057678222656,15.932968139648438,317596.9146927105,138666.02720399998,0.0,0.0,0.038253185836471054,470047.0,u_470047
_500105,148.50390625,16.129638671875,337849.0443441761,139367.92778568,0.0,0.0,0.021259166262032534,480341.0,u_480341
_500106,148.36477661132812,16.268768310546875,338534.31739345903,126982.647781,0.0,0.0,0.022965511687156298,460356.0,u_460356
_500108,148.0843048095703,16.549240112304688,355137.0970495016,140978.74067299996,0.0,0.0,0.033455436027428585,450248.0,u_450248
_500110,147.78451538085938,16.849029541015625,366625.52049532096,154372.0559439,0.0,0.0,0.04337278828337977,500209.0,u_500209
_500113,147.3578338623047,17.275711059570312,393974.3851709992,168460.3831639,0.0,0.0,0.04103480590406415,460252.0,u_460252
_500115,147.08473205566406,17.548812866210938,402199.9600994587,123178.55078,0.0,0.0,0.025888206092600015,470189.0,u_470189
_500116,146.8257293701172,17.807815551757812,407921.392063142,129789.248107,0.0,0.0,0.022215199582210927,470111.0,u_470111
_500118,146.6462860107422,17.987258911132812,415871.1199902212,133307.911848,0.0,0.0,0.020089299422675826,500193.0,u_500193
_500120,146.60154724121094,18.031997680664062,436438.9603226872,210997.02108698,0.0,0.0,0.0188279649044887,430332.0,u_430332
_500126,146.57901000976562,18.05453491210937,455989.32109186,235383.7339433,0.0,0.0,0.02276029682642184,500293.0,u_500293
_500127,146.2820587158203,18.351486206054688,462607.1332087946,220658.86760998,0.0,0.0,0.022750063293935155,470172.0,u_470172
_500130,146.13052368164062,18.50302124023437,470038.007694938,138990.05057649998,0.0,0.0,0.016421913476361738,500095.0,u_500095
_500133,146.1102294921875,18.5233154296875,486990.0921078032,219675.7916113,0.0,0.0,0.015833901497208744,500023.0,u_500023
_500134,145.9542694091797,18.679275512695312,492556.18339381047,140206.6399672,0.0,0.0,0.017345507851478682,480264.0,u_480264
_500137,145.7660369873047,18.867507934570312,497490.4308723016,144832.14060319998,0.0,0.0,0.018476963190034414,500015.0,u_500015
_500138,145.61366271972656,19.01988220214844,506182.6365905494,133319.744668,0.0,0.0,0.01672736688719325,470219.0,u_470219
_500140,145.46493530273438,19.168609619140625,510506.56860583567,137099.116655,0.0,0.0,0.023341306851564048,440312.0,u_440312
_500141,145.1131134033203,19.520431518554688,516808.0109960831,151507.843987,0.0,0.0,0.02639423123108528,450264.0,u_450264
_500143,144.9784393310547,19.655105590820312,529977.3735473796,155836.06345800002,0.0,0.0,0.016245317026944414,480063.0,u_480063
_500147,144.91053771972656,19.72300720214844,537872.8716709096,155939.224204,0.0,0.0,0.014726019441072845,500140.0,u_500140
_500149,144.83387756347656,19.79966735839844,552735.0977540193,167410.59005929995,0.0,0.0,0.0244558926311171,500214.0,u_500214
_500150,144.64456176757812,19.988983154296875,573239.1153549794,133268.3765912,0.0,0.0,0.02337072813311896,490169.0,u_490169
_500157,144.63327026367188,20.000274658203125,591554.2303488704,170994.62362849998,0.0,0.0,0.020059799708878782,490330.0,u_490330
_500158,144.3281707763672,20.30537414550781,593038.8563386395,156494.3780723,0.0,0.0,0.019601090049625357,460122.0,u_460122
_500163,144.27772521972656,20.35581970214844,606551.9848462897,171086.9386143,0.0,0.0,0.01496698735059771,500158.0,u_500158
_500165,144.25279235839844,20.38075256347656,622877.074431215,192857.3806279,0.0,0.0,0.011155349342643193,480109.0,u_480109
_500166,144.20765686035156,20.42588806152344,627489.3738577035,165067.4048813,0.0,0.0,0.019275014357032855,480083.0,u_480083
