gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
50,10372.0,616,103,3,34.458471760797345
51,17174.0,762,103,5,38.33482142857143
52,16301.0,763,103,5,36.4675615212528
53,15068.0,760,101,5,33.70917225950783
54,16501.0,750,101,6,36.914988814317674
55,16777.0,732,104,6,37.5324384787472
56,17248.0,765,104,6,38.58612975391499
57,17241.0,723,105,6,38.57046979865772
58,17331.0,740,105,6,38.77181208053691
59,18635.0,735,108,6,41.68903803131991
60,21236.0,742,111,6,47.50782997762864
61,21116.0,746,106,6,47.23937360178971
62,19861.0,755,108,6,44.43176733780761
63,20319.0,737,108,6,45.45637583892618
64,20379.0,740,111,6,45.488839285714285
65,19545.0,762,108,6,43.627232142857146
66,19462.0,758,109,6,43.53914988814318
67,20914.0,764,109,6,46.78747203579418
68,21059.0,768,112,6,47.11185682326622
69,20333.0,744,111,6,45.48769574944072
70,21057.0,756,111,6,47.10738255033557
71,22655.0,737,113,6,50.682326621923934
72,23391.0,756,117,7,52.328859060402685
73,23250.0,717,116,7,52.013422818791945
74,23121.0,740,118,7,51.7248322147651
75,23876.0,721,119,7,53.41387024608501
76,24914.0,751,120,7,55.73601789709172
77,24155.0,721,122,7,54.038031319910516
78,25535.0,741,122,7,57.12527964205817
79,24885.0,751,124,7,55.671140939597315
80,24610.0,758,124,7,54.933035714285715
81,25693.0,750,126,7,57.47874720357942
82,26859.0,761,127,7,60.08724832214765
83,25536.0,751,128,7,57.12751677852349
84,25214.0,734,130,7,56.407158836689035
85,24331.0,742,126,7,54.43176733780761
86,26150.0,752,129,7,58.50111856823266
87,26718.0,742,126,7,59.77181208053691
88,27336.0,749,126,7,61.15436241610738
89,26776.0,737,128,7,59.90156599552573
90,26329.0,744,128,7,58.90156599552573
91,26601.0,750,129,7,59.51006711409396
92,26687.0,759,131,7,59.702460850111855
93,27620.0,765,128,7,61.789709172259506
94,28745.0,768,129,7,64.30648769574944
95,27868.0,762,131,7,62.344519015659955
96,29423.0,763,132,7,65.82326621923937
97,28721.0,752,134,7,64.25279642058166
98,28813.0,781,136,7,64.4586129753915
99,28707.0,769,136,7,64.22147651006712
100,27030.0,777,137,7,60.46979865771812
101,27631.0,760,136,7,61.81431767337808
102,27778.0,764,137,7,62.14317673378076
103,26847.0,773,139,9,60.060402684563755
104,27469.0,770,142,9,61.45190156599553
105,27459.0,765,142,9,61.292410714285715
106,28432.0,752,140,9,63.60626398210291
107,29655.0,766,143,9,66.34228187919463
108,30988.0,763,142,9,69.32438478747204
109,31606.0,765,141,9,70.7069351230425
110,32170.0,777,141,9,71.96868008948546
111,31242.0,756,141,9,69.89261744966443
112,31633.0,759,141,9,70.76733780760627
113,31321.0,761,142,9,70.06935123042506
114,32896.0,758,144,9,73.59284116331096
115,33479.0,770,145,9,74.89709172259508
116,32180.0,775,145,9,71.9910514541387
117,32185.0,771,147,9,72.00223713646533
118,34370.0,762,147,9,76.8903803131991
119,34435.0,790,146,9,77.03579418344519
120,33465.0,771,144,9,74.86577181208054
121,33993.0,780,147,9,76.04697986577182
122,32674.0,776,147,9,73.09619686800895
123,33723.0,784,149,9,75.44295302013423
124,34386.0,780,149,9,76.9261744966443
125,35269.0,778,152,9,78.90156599552573
126,35610.0,772,155,9,79.48660714285714
127,34747.0,775,156,9,77.7337807606264
128,33728.0,773,156,9,75.45413870246085
129,34898.0,774,157,9,78.07158836689038
130,33787.0,767,158,9,75.58612975391499
131,35159.0,795,160,9,78.65548098434004
132,36208.0,793,161,9,81.00223713646533
133,36248.0,800,162,9,81.0917225950783
134,34662.0,789,161,9,77.54362416107382
135,36458.0,790,163,9,81.56152125279642
136,34994.0,778,164,9,78.28635346756153
137,35406.0,797,164,9,79.20805369127517
138,35844.0,772,164,9,80.18791946308725
139,36358.0,778,165,9,81.33780760626398
140,35941.0,770,165,9,80.40492170022371
141,35804.0,768,165,9,80.09843400447427
142,35611.0,775,166,9,79.66666666666667
143,35955.0,767,168,9,80.43624161073825
144,35115.0,787,169,9,78.55704697986577
145,33776.0,783,172,9,75.56152125279642
146,36237.0,782,166,9,80.88616071428571
147,38378.0,769,167,9,85.85682326621924
148,39391.0,776,166,11,88.12304250559284
149,39302.0,782,168,11,87.92393736017897
150,38348.0,815,166,11,85.7897091722595
151,37742.0,798,168,11,84.43400447427292
152,38549.0,781,168,11,86.23937360178971
153,39726.0,795,168,11,88.87248322147651
154,40076.0,791,169,11,89.65548098434004
155,40449.0,781,170,11,90.48993288590604
156,39976.0,787,170,11,89.4317673378076
157,40149.0,798,171,11,89.81879194630872
158,39793.0,786,174,11,89.02237136465324
159,40020.0,811,171,11,89.53020134228188
160,38699.0,798,172,11,86.57494407158836
161,40155.0,789,172,11,89.83221476510067
162,40028.0,782,174,11,89.54809843400447
163,40433.0,797,176,11,90.45413870246085
164,40041.0,774,174,11,89.57718120805369
165,42258.0,782,175,11,94.53691275167785
166,40512.0,777,174,11,90.63087248322148
167,39437.0,790,175,11,88.22595078299776
168,39926.0,781,176,11,89.31991051454139
169,41040.0,789,180,11,91.81208053691275
170,39476.0,788,182,11,88.31319910514542
171,39428.0,788,184,11,88.20581655480984
172,39447.0,786,184,11,88.24832214765101
173,39338.0,771,184,11,88.00447427293065
174,40538.0,795,185,11,90.68903803131991
175,41470.0,784,185,11,92.77404921700224
176,40113.0,773,185,11,89.73825503355705
177,39958.0,777,185,11,89.39149888143177
178,39939.0,777,185,11,89.3489932885906
179,40133.0,763,188,11,89.78299776286353
180,40949.0,761,189,11,91.60850111856823
181,40582.0,774,188,11,90.78747203579418
182,42247.0,766,189,11,94.51230425055928
183,42051.0,770,189,11,94.0738255033557
184,41821.0,768,190,11,93.5592841163311
185,41163.0,774,190,11,91.88169642857143
186,42779.0,769,190,11,95.70246085011186
187,41659.0,778,190,11,92.98883928571429
