subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_030228,163.71080017089844,0.9227447509765624,83864.5502955168,35357.74969900001,0.0,0.05696442808802912
_010351,163.6311798095703,1.0023651123046875,96932.70544283072,36695.048144,0.0,0.03619178724069809
_030120,163.5643310546875,1.0692138671875,106204.06859247494,38753.519507000005,0.0,0.053096006204319875
_030179,163.30686950683594,1.3266754150390625,107092.39266329058,36183.330435300006,0.0,0.07817060931157456
_020018,163.1147003173828,1.5188446044921875,126913.92673841189,41963.272647000005,0.0,0.0757693717792249
_030259,163.06785583496094,1.5656890869140625,167836.71464953385,39122.9277396,0.0,0.059643908020411286
_020120,162.9005889892578,1.7329559326171875,169364.63434213682,58546.529748,0.0,0.09915920397515464
_030121,162.42640686035156,2.207138061523437,179415.32789317225,35442.7998394,0.0,0.12248667220838985
_030235,162.24365234375,2.389892578125,211651.19177901864,63212.289305,0.0,0.17534345944879343
_030195,161.95037841796875,2.68316650390625,335919.30905626377,51887.4212685,0.0,0.4395304996354459
_030051,161.0519256591797,3.5816192626953125,604272.4015235242,103108.1314419,0.0,0.36556814483239164
_020117,160.98809814453125,3.64544677734375,668445.7421095166,134092.1710208,0.0,0.10581294583906357
_030327,160.95069885253906,3.6828460693359375,737161.9277344751,139083.3277158,0.0,0.12756792014032248
_030180,160.7976531982422,3.835891723632813,814520.7520308786,151346.3171313,0.0,0.15536054964035223
_030317,160.5189971923828,4.114547729492188,873779.2954801947,157206.470985,0.0,0.29458688756372214
_030215,160.0625457763672,4.5709991455078125,1090815.856489837,186158.8158124,0.0,0.2665403705891064
_020220,159.98712158203125,4.64642333984375,1151304.9932820315,194890.8305173,0.0,0.07419638074211538
_030106,159.92642211914062,4.707122802734375,1170536.337815625,199881.32727330003,0.0,0.2821364026856364
_030166,158.44198608398438,6.191558837890625,1242106.6169911162,215502.20692832,0.0,0.2755720861191195
_030043,158.35826110839844,6.2752838134765625,1247037.8318832556,215528.31450119,0.0,0.13107142014251744
_030357,157.584716796875,7.048828125,1255472.3069313902,215669.93417912,0.0,inf
_000133,163.7087860107422,0.9247589111328124,97310.75842968927,37730.69327900001,1.0,0.05069578147832407
_020231,163.67996215820312,0.953582763671875,103584.24483007446,21776.6007533,1.0,0.03862277071650222
_010128,163.500732421875,1.1328125,110457.24366490864,41301.155407000006,1.0,0.04014053538217262
_030258,163.4942626953125,1.1392822265625,123556.50619750418,40424.31907119999,1.0,0.028692463783995467
_010296,163.37474060058594,1.2588043212890625,126127.5496763142,33807.530197,1.0,0.06373853654922992
_030134,163.12109375,1.512451171875,139089.21329209572,42391.22212477,1.0,0.08785346062447018
_010008,162.971435546875,1.662109375,170485.67826486597,64020.50978380001,1.0,0.09958699197612256
_030271,162.64059448242188,1.992950439453125,184550.56679410316,41150.750595100006,1.0,0.06743584151076996
_030315,162.5950164794922,2.0385284423828125,190721.0935612404,69799.656999,1.0,0.04786946305844424
_030053,162.46670532226562,2.166839599609375,218198.1540386713,51542.1301403,1.0,0.16865354452045803
_030163,162.31385803222656,2.319686889648437,377771.3711252828,95196.5162859,1.0,0.1860135846387795
_030058,162.11752319335938,2.516021728515625,416425.4115726712,51751.54018340001,1.0,0.22109879598242502
_030285,161.91905212402344,2.7144927978515625,617569.7408946352,122195.77517160002,1.0,0.1982446874907807
_030305,161.75807189941406,2.875473022460937,630309.4921013523,120095.6815326,1.0,0.043782086108503114
_020132,161.70083618164062,2.932708740234375,636115.6547747162,137491.3457276,1.0,0.033393905962328746
_030135,161.59889221191406,3.034652709960937,645955.351619958,144372.47874980004,1.0,0.03114121262412263
_020093,161.558837890625,3.07470703125,652037.6312303031,143089.9819974,1.0,0.06389614737632295
_030263,161.2157440185547,3.4178009033203125,659654.9077037432,148554.73677440002,1.0,0.08973326999251349
_030112,161.08602905273438,3.547515869140625,684764.9885446981,147232.678553,1.0,0.11824903786480892
_030279,160.96884155273438,3.664703369140625,780516.9231388937,133842.28639010002,1.0,0.1851109529945288
_030291,160.8377685546875,3.7957763671875,902536.0574477972,170597.59454830005,1.0,0.11302686352889646
_020104,160.81436157226562,3.819183349609375,912887.5302590583,170694.14782430002,1.0,0.03939518050739427
_030014,160.70098876953125,3.93255615234375,931534.330395319,181050.4935537,1.0,0.08497670827554221
_020151,160.67958068847656,3.9539642333984375,1008555.6589670512,158169.827561,1.0,0.0933089548675683
_030013,160.58815002441406,4.0453948974609375,1043848.5474582668,173098.6907177,1.0,0.06988080836320279
_020125,160.53976440429688,4.093780517578125,1081239.9784489037,180156.77964970004,1.0,0.11060057940441959
_030319,160.2002716064453,4.433273315429688,1124459.5984807638,198188.1862786,1.0,0.10319757104477563
_020262,160.1362762451172,4.4972686767578125,1147864.2866545783,202419.2084133,1.0,0.043411967722096496
_030268,160.12351989746094,4.510025024414063,1171701.672738315,197052.36029040004,1.0,0.126911699057266
_030158,159.80197143554688,4.831573486328125,1263256.1944975003,233440.3847889,1.0,0.337340267673108
_020189,158.2631378173828,6.370407104492188,1277599.9973026123,219093.43343082,1.0,0.2327670561806001
_030005,158.2482452392578,6.385299682617188,1280519.811837171,220932.03958149,1.0,0.061544529105431
_030105,158.10243225097656,6.5311126708984375,1333849.943667373,213613.6023997,1.0,inf
_020240,163.79702758789062,0.836517333984375,113027.42590353,26079.63015393,2.0,0.07050742669344212
_010100,163.5181121826172,1.1154327392578125,113965.43934144244,32498.091397,2.0,0.05147609315516751
_030001,163.5091094970703,1.1244354248046875,128353.02534368596,38620.3352767,2.0,0.028170416018059634
_010095,163.46420288085938,1.169342041015625,143773.04914750747,32976.830311000005,2.0,0.057767811063916014
_030033,163.19271850585938,1.440826416015625,146940.15135282115,45179.029925,2.0,0.045374370478461754
_030240,163.16439819335938,1.469146728515625,147772.84237607307,51371.82047599999,2.0,0.0869844769297938
_030260,162.77264404296875,1.86090087890625,186569.66870335492,66876.215796,2.0,0.09712580798598686
_030184,162.7190399169922,1.9145050048828125,196918.67666027625,56325.85824300001,2.0,0.031206437870846135
_030004,162.68299865722656,1.9505462646484373,213405.39696264235,70515.8017753,2.0,0.046265901144122185
_020179,162.5931396484375,2.0404052734375,238152.44504235956,70092.3488797,2.0,0.12221413228318266
_020139,162.53404235839844,2.0995025634765625,360272.0016030588,82870.0825679,2.0,0.13766383458302972
_030040,162.49142456054688,2.142120361328125,417239.1446006297,62074.3940117,2.0,0.09091025467180883
_030339,162.22816467285156,2.405380249023437,429207.2127294883,76248.4009311,2.0,0.17566137098985574
_030052,162.20489501953125,2.42864990234375,613365.9582003464,132881.4537514,2.0,0.13850676974199258
_030048,162.16876220703125,2.46478271484375,618263.2686809585,134347.6337154,2.0,0.031903780000694555
_020153,162.0203094482422,2.6132354736328125,621595.5586988993,123519.3041146,2.0,0.05004745302999801
_030143,161.882568359375,2.7509765625,631868.5354497004,124875.2861893,2.0,0.06423133183129864
_010038,161.702392578125,2.93115234375,649262.6536653583,138408.0688344,2.0,0.06840081268339923
_010059,161.56793212890625,3.06561279296875,666274.2964737258,130683.614354,2.0,0.037493313848825455
_030335,161.5268096923828,3.1067352294921875,667477.5767119606,136318.2311758,2.0,0.05193560340362795
_020097,161.23695373535156,3.396591186523437,673369.2476480337,131385.466217,2.0,0.060091780248173465
_030054,161.1994171142578,3.4341278076171875,687169.2743416757,136620.6741075,2.0,0.05073609364775114
_030021,161.12977600097656,3.503768920898437,724969.9234325516,158336.2701804,2.0,0.12250764116289821
_030203,161.049560546875,3.583984375,834276.4758860478,150138.1955939,2.0,0.20499852879452746
_030277,160.76988220214844,3.8636627197265625,948579.8631036842,149337.1222093,2.0,0.1990525708385492
_030206,160.67005920410156,3.9634857177734375,1045191.4619124857,160434.8795556,2.0,0.11341048542797083
_030018,160.6063232421875,4.0272216796875,1079631.8904232574,185860.3191456,2.0,0.12047245711806848
_030287,160.255126953125,4.37841796875,1134561.3739005069,187086.7362696,2.0,0.14030032072540982
_030297,160.17898559570312,4.454559326171875,1195259.727093898,200084.6557512,2.0,0.07144655127809747
_030062,160.1381378173828,4.495407104492188,1214238.9621539894,217149.1278205,2.0,0.2956942186463895
_030358,158.5256805419922,6.1078643798828125,1283415.1538783975,207804.70604162003,2.0,0.3133559668304338
_030046,158.28726196289062,6.346282958984375,1287238.4882996131,219452.00536982,2.0,0.12550595456055783
_030068,158.15902709960938,6.474517822265625,1390078.7112409442,221525.09106042,2.0,inf
_030264,163.60186767578125,1.03167724609375,115110.71617588504,25610.8545086,3.0,inf
_010249,163.44229125976562,1.191253662109375,147137.4347786272,46506.94209,3.0,0.04982351579827796
_030204,163.42938232421875,1.20416259765625,151888.79435064763,40271.0202509,3.0,0.01274694790190115
_020186,163.38095092773438,1.252593994140625,152990.01938128006,36175.0615633,3.0,0.04212230131252718
_020174,163.1831512451172,1.4503936767578125,162232.62236963882,45046.945806200005,3.0,0.044877024037236805
_030061,163.1706085205078,1.4629364013671875,174754.62031948246,44129.1343116,3.0,0.02372657829332386
_030239,163.16197204589844,1.4715728759765625,192344.5307560781,39469.5498307,3.0,0.021557784083319553
_030222,163.13182067871094,1.5017242431640625,198075.09713306048,55097.64928430001,3.0,0.03937200193157668
_030127,162.97085571289062,1.662689208984375,210080.24262832748,64879.6925321,3.0,0.057279044198064
_030125,162.80087280273438,1.832672119140625,212943.51781478268,55328.1935712,3.0,0.08029823878485087
_030349,162.76336669921875,1.87017822265625,283922.37166814774,57880.5408154,3.0,0.07954034417362353
_030084,162.73023986816406,1.9033050537109373,313965.8463974573,59934.469961500006,3.0,0.17594149953767335
_020255,162.3020477294922,2.3314971923828125,444335.4293444153,66265.3817791,3.0,0.23374990392886374
_030110,162.23284912109375,2.40069580078125,550954.1435742375,104879.87477260004,3.0,0.14833312202199553
_030072,162.12808227539062,2.505462646484375,624000.0475935751,118142.2255498,3.0,0.07962787168350288
_020038,162.0399169921875,2.5936279296875,626830.074389216,119336.6434221,3.0,0.02495067197341673
_030342,162.020751953125,2.61279296875,638087.8036707572,119951.4810642,3.0,0.026387163992359547
_030142,161.9338836669922,2.6996612548828125,643273.9281609182,121800.7645309,3.0,0.05542602195621137
_030345,161.70639038085938,2.927154541015625,653690.3201659531,139158.46871061,3.0,0.06928454328453755
_030244,161.5653076171875,3.0682373046875,667817.3862262809,144557.85127050002,3.0,0.05028779195157639
_030174,161.44992065429688,3.183624267578125,673787.551488636,141503.9336873,3.0,0.04530869072012583
_030326,161.36997985839844,3.2635650634765625,693312.2910626531,136178.8857678,3.0,0.03340578289081843
_030075,161.3293914794922,3.3041534423828125,697437.9610737781,140910.20925,3.0,0.022744834976946324
_030015,161.2402801513672,3.3932647705078125,699570.9438393277,132547.53374920005,3.0,0.0633861639901304
_030087,161.23390197753906,3.399642944335937,769842.0517226956,144728.4523814,3.0,0.1323991179838676
_020065,161.0985870361328,3.5349578857421875,862743.290827236,152704.2542535,3.0,0.12111479885014771
_030325,161.05027770996094,3.5832672119140625,907946.4011944714,159063.7578171,3.0,0.07973643593198307
_030092,160.9829864501953,3.650558471679688,954757.907748426,173132.31460550005,3.0,0.10959916678002467
_030039,160.8074951171875,3.8260498046875,1017086.4539266176,199013.9824654,3.0,0.15379003053340282
_020034,160.69422912597656,3.9393157958984375,1118632.416669577,185234.3873607,3.0,0.14203837550125914
_010308,160.37954711914062,4.253997802734375,1135114.5750164706,184809.3879747,3.0,0.06644802953397333
_030199,160.37257385253906,4.2609710693359375,1148749.1211662835,187580.4704312,3.0,0.03719522490738324
_030082,160.3008575439453,4.332687377929688,1172919.5968179826,204751.4096419,3.0,0.06614891008737336
_030330,160.1839141845703,4.449630737304688,1205915.1128063546,218431.37262250003,3.0,0.3584316101025804
_020045,158.3477020263672,6.2858428955078125,1290304.0407955963,219561.61449799003,3.0,0.32885322113013715
_010313,158.33892822265625,6.29461669921875,1302658.4365041782,220551.67237132,3.0,0.02808796631577452
_030070,158.30551147460938,6.328033447265625,1322413.5301077417,224465.9804276,3.0,inf
_000335,163.68226623535156,0.9512786865234376,116728.13446224452,22742.191761,4.0,inf
_020241,163.6167755126953,1.0167694091796875,135972.10737929994,30517.690319300003,4.0,0.034774685186426575
_020137,163.59890747070312,1.034637451171875,150049.78106693292,28382.9651125,4.0,0.041065009887038324
_030066,163.42950439453125,1.20404052734375,156963.38508937604,37520.92376,4.0,0.03237095962025935
_030049,163.427490234375,1.2060546875,161679.75845085486,40040.287794,4.0,0.041745537026566026
_030091,163.1833038330078,1.4502410888671875,166765.85953897366,47904.2155222,4.0,0.061232711784708876
_010039,163.16725158691406,1.4662933349609375,196907.5341354626,40761.4041362,4.0,0.044107135532280184
_030275,163.08529663085938,1.548248291015625,210625.88732687803,51315.214879,4.0,0.04998448963335968
_030304,162.9348907470703,1.6986541748046875,221546.08841731976,51674.4314498,4.0,0.0666499742586857
_020156,162.8753662109375,1.7581787109375,264124.5324313804,57966.9628181,4.0,0.08131199116748876
