subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_290145,163.2586669921875,1.3748779296875,65473.74067746222,25200.639617000004,0,0,inf,290145
_490309,163.25827026367188,1.375274658203125,67106.41911685011,24618.087243600003,0,0,0.04258010332837957,490309
_480108,162.81930541992188,1.814239501953125,70275.96150919466,37223.349813600005,0,0,0.060610825624272405,480108
_500213,162.78292846679688,1.850616455078125,88433.33227497332,40291.057770700005,0,0,0.05663797945731093,500213
_380222,162.4319610595703,2.2015838623046875,95693.64602876184,40451.73799467,0,0,0.06708764508814195,380222
_420044,162.15594482421875,2.47760009765625,102301.08610705682,40872.87181329999,0,0,0.034024254673129556,420044
_440207,162.14907836914062,2.484466552734375,106116.11810964748,39958.82249597,0,0,0.022777965994173775,440207
_500124,161.9679718017578,2.6655731201171875,109414.3439166845,41697.48489957,0,0,0.024628968622851497,500124
_340178,161.92698669433594,2.7065582275390625,111987.83752164702,46366.77811096999,0,0,0.009886793990389529,340178
_280170,161.8866424560547,2.7469024658203125,112527.01299115064,44583.93972867,0,0,0.031210685547389278,280170
_490266,161.59817504882812,3.035369873046875,114854.54730005564,42192.8931012,0,0,0.03866485575169161,490266
_480150,161.58200073242188,3.051544189453125,125995.55825808874,44229.707479,0,0,0.015970872798830877,480150
_440040,161.55845642089844,3.0750885009765625,128733.53293769612,44697.51636329999,0,0,0.051114007717897626,440040
_460297,161.10313415527344,3.5304107666015625,136448.56256227376,59486.22756299999,0,0,0.060618567820488425,460297
_480004,160.98895263671875,3.64459228515625,140976.4485096776,59562.1383692,0,0,0.03431053095972315,480004
_370241,160.78077697753906,3.8527679443359375,143376.7787671534,55806.9230201,0,0,0.04060287895887308,370241
_480198,160.58526611328125,4.04827880859375,147030.49757369093,70426.3312686,0,0,0.03398466335618204,480198
_370163,160.48550415039062,4.148040771484375,152558.905983951,51755.41695100001,0,0,0.04745832919976604,370163
_410019,160.17103576660156,4.4625091552734375,159670.23137111284,65285.08706400001,0,0,0.047128708120072874,410019
_410076,160.16404724121094,4.469497680664063,173791.53750515482,65021.7882615,0,0,0.0211071306627653,410076
_410150,160.08836364746094,4.545181274414063,175098.45052976048,76553.4507375,0,0,0.022472688413152357,410150
_460141,159.94131469726562,4.692230224609375,177209.70047251278,73900.78814671001,0,0,0.024088849279756488,460141
_420126,159.93971252441406,4.6938323974609375,187462.7444568333,73522.8561896,0,0,0.012112077869860917,420126
_490333,159.9095458984375,4.7239990234375,187576.3042386244,69967.47174400001,0,0,0.015054433193113467,490333
_470294,159.78370666503906,4.8498382568359375,189096.1768694547,78535.96721451,0,0,0.015553128191455419,470294
_410232,159.7550811767578,4.878463745117188,189911.68926246648,75300.2014976,0,0,0.01011815992331157,410232
_500131,159.74948120117188,4.884063720703125,197013.9717406958,78156.60873657,0,0,0.01672423350413388,500131
_420122,159.64491271972656,4.9886322021484375,197823.4142088449,77577.70455709999,0,0,0.030026769768986664,420122
_500187,159.42559814453125,5.20794677734375,199043.4431674211,77879.2224593,0,0,0.03560053049394521,500187
_350216,159.3775177001953,5.256027221679688,211489.7767853783,80241.75102047,0,0,0.026274248288445448,350216
_490244,159.31414794921875,5.31939697265625,217423.94819790308,77730.35147627,0,0,0.037671314128711844,490244
_370159,159.05067443847656,5.5828704833984375,221712.4676895137,82293.20729227,0,0,0.03790790662063938,370159
_390306,158.9991455078125,5.6343994140625,229052.44715034077,71226.27685557,0,0,0.05096947704605919,390306
_470177,158.57260131835938,6.060943603515625,232081.78229757643,65859.49824587001,0,0,0.1485720046549433,470177
_480172,157.4029541015625,7.2305908203125,239710.0326805569,65971.37998307002,0,0,0.12569887065134883,480172
_460032,157.30111694335938,7.332427978515625,248724.0294887488,68906.82770717001,0,0,0.028507074874732162,460032
_490213,157.20779418945312,7.425750732421875,252483.83234338864,72001.22959757001,0,0,0.07206341966324858,490213
_500220,156.9447784423828,7.6887664794921875,294245.1089495032,78601.22508817,0,0,0.06717984473926333,500220
_470149,156.88449096679688,7.749053955078125,295778.21093221114,80486.79467607,0,0,0.0346626324299571,470149
