subsetID,Q_peak,Qpeak_reduction,cost,floodedArea
_000187,164.4072723388672,0.2262725830078125,27027.620922772265,1736.957625
_000412,145.18826293945312,19.445281982421875,2934970.465757074,376054.2268501499
_000014,145.69248962402344,18.941055297851562,2332088.924379103,299327.11111369997
_000073,145.19354248046875,19.44000244140625,2912573.942960963,374695.8638961499
_000119,147.75296020507812,16.880584716796875,2093824.9074544741,262798.8462533
_000105,158.67967224121094,5.9538726806640625,483857.8017155992,73926.7558081
_000391,151.32781982421875,13.30572509765625,1621943.678099222,218492.23741203
_000057,149.56149291992188,15.072052001953125,1830459.473743728,213287.77851655998
_000047,149.4234619140625,15.2100830078125,2023746.055601776,238149.92848866
_000013,161.56787109375,3.065673828125,121738.8079664069,19206.8231465
_000267,160.5111541748047,4.1223907470703125,421329.41038305446,47503.0387356
_000366,161.43157958984375,3.20196533203125,279767.25587250356,31088.120427494003
_000023,156.0983428955078,8.535202026367188,1085403.0917621676,142994.58729736
_000035,148.0311737060547,16.602371215820312,2069720.2877337628,270982.234243834
_000199,153.52464294433594,11.108901977539062,1283082.6103155534,156473.6229222
_000108,163.15187072753906,1.4816741943359375,117560.80071761773,14540.939733000001
_000030,158.5478057861328,6.0857391357421875,680972.8127382814,104004.33498617
_000348,155.00570678710938,9.627838134765625,1123408.7200406457,153743.75741268997
_000004,152.21363830566406,12.419906616210938,1588713.8281291502,200891.39939809398
_000446,156.16334533691406,8.470199584960938,941896.1882011285,124821.43543335999
_000054,160.84751892089844,3.7860260009765625,396665.4404018229,46718.6470899
_000285,149.5470733642578,15.086471557617188,1855401.9604576707,213838.20075085998
_000065,152.86309814453125,11.77044677734375,1346586.7271260757,192888.73138055997
_000427,152.71144104003906,11.922103881835938,1372650.6682334812,194505.30489256
_000133,156.6922607421875,7.9412841796875,895608.7987985068,113019.75167336
_000279,153.89170837402344,10.741836547851562,1224169.7263019057,176221.66200090002
_000040,156.87637329101562,7.757171630859375,779929.9968410294,101195.8822152
_000244,152.3330535888672,12.300491333007812,1466538.0831964442,170932.20087894998
_000005,158.2266387939453,6.4069061279296875,681286.1994920011,100358.0555464
_000216,151.4034881591797,13.230056762695312,1596145.0694852467,215164.77701502998
_000127,163.5133056640625,1.1202392578125,79372.79418706743,12116.7266489
_000156,157.6621551513672,6.9713897705078125,726677.0663132527,86028.37142059
_000248,157.0400848388672,7.5934600830078125,764029.1362246226,100618.8998096
_000017,152.29598999023438,12.337554931640625,1492057.8658208235,173461.84427994996
_000098,154.97291564941406,9.660629272460938,1156578.0584021383,156270.23045268998
_000312,157.58169555664062,7.051849365234375,736358.8857749382,86381.83059889001
_000183,154.62799072265625,10.00555419921875,1199952.9245954528,173632.29816190002
_000338,156.36636352539062,8.267181396484375,902596.6035527412,113246.69804646
_000418,163.91519165039062,0.718353271484375,45415.168424008945,5527.5212323
_000172,154.30291748046875,10.33062744140625,1213529.7617796247,137808.594316294
_000070,163.32015991210938,1.313385009765625,112782.14218287471,19810.5384742
_000212,163.9842071533203,0.6493377685546875,40384.77076412905,5067.40939
_000367,160.8470001220703,3.7865447998046875,414553.714456362,47774.5704919
_000330,154.40521240234375,10.22833251953125,1201546.2941481175,136870.053115094
_000354,147.8639373779297,16.769607543945312,2076825.3862510615,271791.210763334
_000258,147.84832763671875,16.78521728515625,2084342.244292667,272277.934900834
_000389,163.97657775878906,0.6569671630859375,43146.761867082925,5356.0857224
_000093,163.6154327392578,1.0181121826171875,91385.5806126139,7877.8898673
_000302,147.4043426513672,17.229202270507812,2392146.7547258013,282936.90370125003
_000388,148.0296173095703,16.603927612304688,2083731.1757585884,271296.639779534
_000242,161.57888793945312,3.054656982421875,123972.14340127079,19391.732136399998
_000106,160.52337646484375,4.11016845703125,423950.0301206509,48284.77522170001
_000247,157.66114807128906,6.9723968505859375,740016.4891047977,86612.75106709001
_000077,152.0677947998047,12.565750122070312,1878311.9558113033,206148.70447266
_000339,158.54745483398438,6.086090087890625,696905.3174943818,104569.04949147001
_000147,149.8424835205078,14.791061401367188,2065616.8802568442,250791.02094489
_000325,152.22059631347656,12.412948608398438,1591889.224596011,201364.29459039398
_000094,158.92832946777344,5.7052154541015625,487561.310703692,61059.853151799995
_000188,161.4737091064453,3.1598358154296875,371789.42545589746,54614.854148900005
_000337,163.35772705078125,1.27581787109375,115178.5283006559,12213.727732300002
_000083,152.86940002441406,11.764144897460938,1395327.6954689506,207824.96978560003
_000332,154.6936492919922,9.939895629882812,1219102.7351970852,169308.83305268997
_000128,157.15170288085938,7.481842041015625,924269.326557564,116575.43662858999
_000331,154.04525756835938,10.588287353515625,1346578.616150043,165420.28126053998
_000333,156.580810546875,8.052734375,1077151.647589256,123586.6793188
_000288,158.838623046875,5.794921875,524924.9309807091,62531.42694979999
_000400,155.69796752929688,8.935577392578125,1165069.140312801,131620.392261794
_000304,155.7015838623047,8.931961059570312,1129987.1140268166,129175.76220479401
_000137,161.42068481445312,3.212860107421875,416965.0145920578,54562.713159463994
_000008,149.9713592529297,14.662185668945312,1994692.4303231202,248316.69486328005
_000062,150.3445587158203,14.288986206054688,1920092.905684135,235743.24353434003
_000096,151.4139862060547,13.219558715820312,1879600.5343264316,247812.89550267
_000038,151.14212036132812,13.491424560546875,1914578.5782915594,241755.90123748395
_000042,152.58203125,12.051513671875,1584059.04459976,226779.16027940004
_000381,150.16519165039062,14.468353271484375,1935970.7489995435,237399.09552834
_000043,154.50833129882812,10.125213623046875,1270539.1760494942,158725.017021464
_000236,152.8594207763672,11.774124145507812,1473879.8977707026,171616.44692694998
_000002,157.1045684814453,7.5289764404296875,1020053.5912855718,137790.18947829402
_000310,156.9671630859375,7.6663818359375,1071711.0316719245,139946.982127294
_000222,157.1354217529297,7.4981231689453125,934352.0055792374,130166.27863331999
_000039,154.3544464111328,10.279098510742188,1297554.8397674353,146442.17722190998
_000429,152.6377410888672,11.995803833007812,1511862.4508056212,201834.41735226
_000297,151.1449432373047,13.488601684570312,1894501.3363329938,241065.930832884
_000277,157.0118865966797,7.6216583251953125,1032037.0589170788,138728.730679494
_000201,152.66317749023438,11.970367431640625,1490501.5203621115,198344.84550026
_000239,163.58145141601562,1.052093505859375,111418.53504808109,13445.8891373
_000443,154.13336181640625,10.50018310546875,1313745.6965771266,162375.99677454
_000361,158.8690948486328,5.7644500732421875,516664.1974055818,65951.1626578
_000113,154.11363220214844,10.519912719726562,1317440.3472203214,163630.97364553998
_010000,152.8122100830078,11.821334838867188,1384005.8684083826,195640.55565926
_010001,151.60638427734375,13.02716064453125,1610157.2888355886,211885.31175769397
_010002,150.99261474609375,13.64093017578125,2406152.9302597404,312361.97774605994
_010003,154.3022003173828,10.331344604492188,1543357.962116146,185377.98749379002
_010004,151.59423828125,13.039306640625,1653412.2707956252,220195.76761003
_010005,152.22740173339844,12.406143188476562,1532380.4952689784,204779.39057726
_010006,156.16693115234375,8.46661376953125,1342591.0061046858,155853.000427194
_010007,162.95372009277344,1.6798248291015625,158497.36462785758,24866.9602128
_010008,160.7373504638672,3.8961944580078125,791208.9178028364,93521.31993629999
_010009,157.18649291992188,7.447052001953125,783938.2089751103,102065.6180322
_010010,151.25711059570312,13.376434326171875,1673248.3724487901,224203.03788212998
_010011,162.69667053222656,1.9368743896484375,110766.25769679621,16163.846639899999
_010012,147.75552368164062,16.878021240234375,2061990.842597151,271813.023596834
_010013,146.66445922851562,17.969085693359375,2265154.101034966,289108.29484369996
_010014,149.1177215576172,15.515823364257812,1875695.7294347342,214560.24567355998
