subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_600183,161.34152221679688,3.292022705078125,110820.57204711952,12723.6628092,0.0,0.1058209121196676
_640172,160.8929443359375,3.7406005859375,121011.0926744954,19400.4814941,0.0,0.0365359071274273
_430140,160.48880004882812,4.144744873046875,135622.3609364231,20941.5575229,0.0,0.03358310129356995
_130031,160.09619140625,4.537353515625,142614.79182241467,22659.887643499995,0.0,0.031807135068679396
_670253,159.59678649902344,5.0367584228515625,143416.84026326146,24876.6865014,0.0,0.033069979774759534
_620181,159.3480682373047,5.2854766845703125,167249.36809102297,25129.900333599995,0.0,0.03455884784152359
_600146,158.83883666992188,5.794708251953125,171359.76677635428,28197.6028306,0.0,0.0364287085868531
_540064,158.4479217529297,6.1856231689453125,187375.5753900459,28064.485284299997,0.0,0.03448078725239389
_710254,158.016845703125,6.61669921875,193177.6462077393,29741.0548912,0.0,0.022571007603400774
_700241,157.9881591796875,6.6453857421875,208877.0537145185,30910.597966,0.0,0.05142067613949992
_600011,156.68055725097656,7.952987670898437,215530.2367457629,29997.847662284003,0.0,0.05502134533709057
_640049,156.57749938964844,8.056045532226562,234565.00309354663,30383.357064284,0.0,0.03110705082712932
_570174,156.03323364257812,8.600311279296875,243901.6099201801,32339.711270694,0.0,0.02735240404337024
_710217,155.99661254882812,8.636932373046875,258433.67306596096,32610.967179094,0.0,0.028080459013053994
_610283,155.51014709472656,9.123397827148438,275159.80093684164,36336.873803084,0.0,0.05327033588793004
_590249,154.60208129882812,10.031463623046877,280652.2563185683,34663.271778894,0.0,0.052500976338301655
_680206,154.18824768066406,10.445297241210938,301896.7751647117,36615.020360994,0.0,0.03844113963922257
_670329,153.7763214111328,10.857223510742188,313332.5828591567,38014.65715249399,0.0,0.07426173896766579
_680116,152.52105712890625,12.11248779296875,358395.17620254314,50643.16661640001,0.0,0.068460164700833
_700231,152.3629913330078,12.270553588867188,376813.3881810754,54522.23074369999,0.0,0.025869222860099184
_690050,152.04452514648438,12.589019775390623,387686.35622081166,54986.968961800005,0.0,0.03605701678195854
_710025,151.59938049316406,13.034164428710938,408475.0317980304,60020.5352842,0.0,0.02604012236381962
_650083,151.50759887695312,13.125946044921877,411893.3903854241,55404.79581440001,0.0,0.008785927913285991
_710069,151.48289489746094,13.150650024414062,422604.83551042137,58895.539268484,0.0,0.012416365129401299
_690234,151.2788848876953,13.354660034179688,425952.6867550294,60037.12191844,0.0,0.03179143490828522
_700211,150.56298828125,14.070556640625,427783.3516015569,66010.7112124,0.0,0.0371655286372858
_710312,150.2911834716797,14.342361450195312,440092.6057662424,67480.0045967,0.0,0.021059396957127042
_630126,150.17994689941406,14.453598022460938,452079.26061670855,71033.9887748,0.0,0.01629194321407231
_710164,150.09124755859375,14.54229736328125,467774.9722407996,72465.3388255,0.0,0.02014141840161112
_530344,149.75930786132812,14.874237060546877,470310.5891115456,79882.20319005002,0.0,0.02351083156978195
_710129,149.421142578125,15.21240234375,472544.7232069003,76719.6192463,0.0,0.023247800465917103
_630192,149.26956176757812,15.363983154296877,490963.50569516513,78261.49907765,0.0,0.02729299371818659
_560239,148.93734741210938,15.696197509765623,505196.3261704746,82943.98401634999,0.0,0.03128098950975963
_700353,148.59556579589844,16.037979125976562,517368.23415199394,81264.38563365002,0.0,0.017908478543153444
_710311,148.53111267089844,16.102432250976562,518435.2063237949,81346.58465734999,0.0,0.013312088421712491
_700271,148.40985107421875,16.22369384765625,537927.1032402474,83040.60649885,0.0,0.02153598902158838
_710081,148.1197967529297,16.513748168945312,541473.4334679084,87445.20996145,0.0,0.0201860370303676
_580333,148.0469207763672,16.586624145507812,561605.0225017134,87794.12102915,0.0,0.03258134086210539
_590143,147.52610778808594,17.107437133789062,578962.5310227127,91065.24053155,0.0,0.03268360848070061
_710264,147.42405700683594,17.209487915039062,596693.9023521306,92535.44109875002,0.0,0.01726484205630043
_700291,147.3251190185547,17.308425903320312,609301.6556289855,92253.3970496,0.0,0.046620883578363956
_710197,146.39370727539062,18.23983764648437,633665.6830138841,97325.13581335002,0.0,0.04524945584426075
_690296,146.2346954345703,18.398849487304688,636853.2222566064,97454.11603655,0.0,0.022635697503118994
_710090,146.01336669921875,18.62017822265625,662672.3576248016,100527.40194905,0.0,0.029876571964701226
_710327,145.708251953125,18.92529296875,672885.889004756,97692.94044885,0.0,0.022100552066592838
_710002,145.65322875976562,18.98031616210937,692026.8105590711,103146.01299405,0.0,0.040148460772175175
_700029,145.3942413330078,19.239303588867188,757578.1413723095,110327.30058865,0.0,0.04297629786408909
_700339,145.07150268554688,19.562042236328125,760042.0730858482,111151.17568035,0.0,0.015367868407054085
_710332,144.9985809326172,19.63496398925781,764600.6098817965,111795.74497795002,0.0,0.009107634902568579
_660254,144.90428161621094,19.729263305664062,770405.0640133944,111141.51326185,0.0,0.02452795902220041
_690158,144.597900390625,20.03564453125,797088.2087673884,113512.74460495,0.0,0.03055020527524905
_670311,144.4376983642578,20.195846557617188,813863.1195446783,123345.2050579,0.0,0.01602550810787399
_710188,144.38986206054688,20.243682861328125,823269.4418860646,119242.89592465,0.0,0.016440640205566834
_710006,144.20291137695312,20.430633544921875,838753.3804105883,119284.03251945002,0.0,0.017158025756562605
_700175,144.04527282714844,20.58827209472656,840067.3753965669,122978.504866,0.0,0.013368756118749419
_700090,144.0240020751953,20.609542846679688,860100.0560376097,133682.9585032,0.0,0.03235263528895754
_690188,143.54800415039062,21.08554077148437,885798.313355505,128174.1220334,0.0,0.03385916115370278
_700284,143.3289337158203,21.304611206054688,891859.6771372844,126945.3820064,0.0,0.02713325264325746
_710084,143.09271240234375,21.54083251953125,920625.5568243352,142973.54489759996,0.0,0.029926681197984514
_710334,142.87884521484375,21.75469970703125,935073.514064795,142698.4127801,0.0,0.03235991471670288
_710169,142.7861785888672,21.84736633300781,983961.3677584516,149276.46315239996,0.0,0.028817766847390024
_700178,142.57594299316406,22.057601928710938,988717.9593400548,149517.72871949998,0.0,0.022932936089077777
_680027,142.24560546875,22.387939453125,999037.194186192,149823.69699216995,0.0,0.020952815040372462
_710016,142.18247985839844,22.45106506347656,1011751.3801912232,149883.53085396998,0.0,0.020715931077045738
_700334,141.87600708007812,22.757537841796875,1023600.250565646,151203.53034307,0.0,0.027307091640390087
_710136,141.81625366210938,22.817291259765625,1055281.8307880398,156860.89084587002,0.0,0.030072351782299375
_680258,141.68777465820312,22.945770263671875,1091367.503314541,160875.46332699,0.0,0.020880782746194093
_710050,141.60064697265625,23.03289794921875,1094508.340289419,153811.51052019998,0.0,0.021935340359865687
_690104,141.2751922607422,23.35835266113281,1115419.3484749808,162755.72841748002,0.0,0.02621253573661598
_690332,141.13987731933594,23.493667602539062,1126224.4430247757,152871.00529529998,0.0,0.02821405091959569
_710165,140.81936645507812,23.814178466796875,1153256.59230673,163856.294641,0.0,0.02750847369658021
_700299,140.68016052246094,23.953384399414062,1161705.8074337486,164638.590448,0.0,0.011707209511465817
_650086,140.65184020996094,23.981704711914062,1170949.6328313148,165304.06841399998,0.0,0.01656590182426084
_710005,140.4530487060547,24.180496215820312,1187658.2165322616,167727.8051488,0.0,0.046672376927121645
_710348,139.87472534179688,24.758819580078125,1231413.448515703,164678.150209,0.0,0.04702867492617968
_700304,139.70570373535156,24.92784118652344,1251875.098429612,169393.3791318,0.0,0.028455707821357187
_710101,139.5806427001953,25.052902221679688,1284846.1699589284,175344.3667468,0.0,0.028795739007898224
_710105,139.4496612548828,25.183883666992188,1309777.2961930062,165079.60033889997,0.0,0.03694582437290893
_710034,138.8598175048828,25.773727416992188,1322968.1167858986,169781.14973619996,0.0,0.05048773664342979
_710288,138.65017700195312,25.983367919921875,1378978.334451474,171990.8896125,0.0,0.02802661116436514
_700309,138.61697387695312,26.016571044921875,1379910.1033720423,171684.49179230002,0.0,0.012403352981660804
_700050,138.35589599609375,26.27764892578125,1386956.0314206737,172969.1148611,0.0,0.02812187274333769
_690290,138.3038330078125,26.3297119140625,1430640.873173126,177980.2078291,0.0,0.022252187614852127
_690240,138.18092346191406,26.452621459960938,1433810.501608901,192276.32135625,0.0,0.026429566016523083
_680323,137.82810974121094,26.805435180664062,1461592.6808687192,194550.23888805,0.0,0.04040511244001199
_670274,137.49708557128906,27.136459350585938,1485134.0223825108,196772.34348555,0.0,0.022606007427507277
_710295,137.42660522460938,27.206939697265625,1488564.166298536,199180.58551855,0.0,0.022147506553695323
_710305,137.2312774658203,27.402267456054688,1523317.8573249455,203633.31353175003,0.0,0.02107201556680919
_700112,137.21688842773438,27.416656494140625,1528874.969014021,202171.93788715,0.0,0.012455883572568004
_700294,136.9605255126953,27.673019409179688,1533613.4392583454,200076.19718255,0.0,0.03901506347532106
_710250,136.7975311279297,27.836013793945312,1600646.9586778297,208124.424594144,0.0,0.042112256425932575
_690088,136.73434448242188,27.899200439453125,1631961.4859463123,210647.97504235,0.0,0.02868103521793649
_690049,136.63433837890625,27.99920654296875,1666784.5052708543,219978.64992135,0.0,0.07118259878160266
_700233,135.91055297851562,28.72299194335937,1757499.09683729,231747.41400535,0.0,0.09076056952556283
_680083,135.8448028564453,28.788742065429688,1850896.363422344,247739.05485469,0.0,0.07864164496317606
_700026,135.47117614746094,29.162368774414062,1939589.8295862288,253254.76231519005,0.0,0.046019131669847634
_670355,135.4473419189453,29.186203002929688,1944512.2805479465,257669.02064699,0.0,0.018506342533796447
_710225,135.31732177734375,29.31622314453125,1977788.487941811,255870.62553699,0.0,0.023080187427554976
_690045,135.11627197265625,29.51727294921875,1979319.4672105983,260026.72291179,0.0,0.011351631799847647
_710285,135.03712463378906,29.596420288085938,1984087.674674539,264491.4791897899,0.0,0.008435607179454789
_680163,135.00454711914062,29.62899780273437,1992896.579497056,261200.59511539,0.0,0.019007896772745322
_710248,134.9167022705078,29.716842651367188,2026788.1699264676,269391.52620989,0.0,0.020741214673288228
_710000,134.78396606445312,29.849578857421875,2031269.439099388,265164.4290749899,0.0,0.01860209894776285
_710082,134.7327117919922,29.90083312988281,2062479.555679036,277915.9468089899,0.0,0.021104645633131885
_690308,134.685302734375,29.9482421875,2081910.866707553,278469.48621359,0.0,0.025366218519311867
_710059,134.45449829101562,30.17904663085937,2108630.383602241,285344.99807689,0.0,0.035126643076800676
_680104,134.3136444091797,30.319900512695312,2147074.0238803043,289136.70762889,0.0,0.030853893647606566
_700346,134.0346221923828,30.598922729492188,2157254.075032825,290163.63826789,0.0,0.025203950776926817
_700157,133.98289489746094,30.650650024414062,2187922.136572182,286079.92708248994,0.0,0.029272625756458295
_700061,133.93887329101562,30.69467163085937,2231283.936057721,293410.37105265,0.0,0.02644185187811229
_710117,133.88197326660156,30.75157165527344,2253462.510411497,287205.6735218899,0.0,0.016150378684152183
_700131,133.8140411376953,30.819503784179688,2265489.580799755,286792.26084558986,0.0,0.02242327841030124
_700318,133.56846618652344,31.06507873535156,2288029.4531637523,283416.29440485,0.0,0.0502302863939184
_700149,133.38009643554688,31.253448486328125,2367661.7958880067,286145.67306088994,0.0,0.05131713704372491
_690318,133.1731719970703,31.460372924804688,2396841.31214508,291328.7752088899,0.0,0.03307403286430187
_710205,133.0054168701172,31.62812805175781,2426736.4351684484,298928.3071432899,0.0,0.017598696592230723
_700086,133.00131225585938,31.632232666015625,2430810.89283639,299318.9797827899,0.0,0.010145087127771634
_700039,132.93788146972656,31.69566345214844,2449226.211924871,307669.69566756,0.0,0.02540321015978963
_710340,132.7870635986328,31.846481323242188,2482963.4870767337,315204.91931726,0.0,0.146680958254406
_690057,132.75009155273438,31.883453369140625,2847098.8904362936,350724.0375283899,0.0,0.14429883892725343
_710226,132.69662475585938,31.936920166015625,2883068.506283473,362209.53723219,0.0,inf
_710256,161.16412353515625,3.46942138671875,127727.16430947096,22247.8924491,1.0,inf
_710060,160.09976196289062,4.533782958984375,148677.85195758202,16688.5799845,1.0,0.07030226545153592
_710028,159.57986450195312,5.053680419921875,180663.78062972456,25218.7756626,1.0,0.04702894968359372
_710097,159.15753173828125,5.47601318359375,194928.6095796479,27257.7559676,1.0,0.046537007688568464
_710024,158.41844177246094,6.215103149414063,205314.23854940865,28443.736972699997,1.0,0.03030600191469251
_710038,158.40501403808594,6.228530883789063,211334.5108810069,29440.277351,1.0,0.02635017501964345
_710121,157.72811889648438,6.905426025390625,216256.91536794728,32523.839708659994,1.0,0.057916806966080106
_710297,156.76480102539062,7.868743896484375,224055.14437644705,30319.962599284,1.0,0.06752099480318735
_710065,156.21873474121094,8.414810180664062,268223.9308034776,32874.361487984,1.0,0.05263361981485305
_710041,155.86094665527344,8.772598266601562,289708.06638504955,39815.320057294,1.0,0.052553156813685734
_710094,154.8606414794922,9.772903442382812,291771.81288931065,35805.902379894,1.0,0.06997828053125474
_710236,154.25254821777344,10.380996704101562,339502.167362261,44287.122923194,1.0,0.04400020065588757
_710246,154.06198120117188,10.571563720703123,342685.6237226133,38422.51742885401,1.0,0.038115935360148595
_710339,153.292724609375,11.3408203125,358902.36161246593,50187.124094494015,1.0,0.049034401345858486
_710153,153.17227172851562,11.461273193359377,399454.8846662274,59658.5912205,1.0,0.05072464285663662
_710167,152.23452758789062,12.399017333984377,404922.6694404812,56470.37844020001,1.0,0.050532130258343674
_710156,151.77403259277344,12.859512329101562,413581.0454932165,58563.437594894,1.0,0.020781679787894657
_710244,151.69674682617188,12.936798095703123,414166.7253617398,59946.9911627,1.0,0.00504093258922862
_710123,151.64877319335938,12.984771728515623,416301.6361099799,57457.11569459999,1.0,0.009163630886955317
_710214,151.54440307617188,13.089141845703123,426059.7877572888,56571.05366510001,1.0,0.03781624484910923
_710054,150.67645263671875,13.95709228515625,433701.4249070099,59768.95788887,1.0,0.04035299888406976
_710349,150.6143798828125,14.0191650390625,454539.432547346,72313.3458771,1.0,0.015298548941903276
_710261,150.56317138671875,14.07037353515625,466560.8398539316,63163.96353349,1.0,0.05084689385721717
_710199,149.6122589111328,15.021286010742188,506075.550876524,77359.02489330001,1.0,0.05421314943584305
_710190,149.43495178222656,15.198593139648438,515999.9477307293,79645.93196440002,1.0,0.013056748916135008
_710106,149.37620544433594,15.257339477539062,521270.832710243,79910.75845114,1.0,0.02682862838787743
_710067,148.68992614746094,15.943618774414062,523253.7349452848,81478.80633535002,1.0,0.03850865031211769
_710144,148.48109436035156,16.152450561523438,547748.6105522141,97940.7086613,1.0,0.023724153280662453
_710128,148.38589477539062,16.247650146484375,562376.4347525417,84538.82478865,1.0,0.013756017876749106
_710155,148.23565673828125,16.39788818359375,564058.0509830575,88577.51947135001,1.0,0.023116977777965873
_710092,147.9508056640625,16.6827392578125,587698.0011904853,86123.28930545002,1.0,0.025474572690066005
_710186,147.767822265625,16.86572265625,593034.002895,90757.14998035002,1.0,0.027585893684965293
_710047,147.44630432128906,17.187240600585938,619269.7193136316,93490.05185754002,1.0,0.026485316494161852
_710091,147.33987426757812,17.293670654296875,628548.121741003,90550.38554685004,1.0,0.02834107501642748
_680185,146.76333618164062,17.870208740234375,636525.7557340717,97893.23005885004,1.0,0.040157901252166686
_710100,146.2549285888672,18.37861633300781,642192.8899525732,100015.02421775002,1.0,0.0381416518543924
_700282,146.1374053955078,18.496139526367188,686781.0581244247,109461.73708355,1.0,0.020093959749412398
_710029,146.12547302246094,18.508071899414062,687134.7324851587,113572.81456915,1.0,0.004639185609335799
_680040,146.01443481445312,18.619110107421875,688575.501457842,108305.38517785,1.0,0.026479990714281833
_710179,145.94932556152344,18.68421936035156,745847.8241782569,121023.57218315,1.0,0.023808741402895895
_710148,145.91213989257812,18.721405029296875,746536.1597277571,107396.00073505,1.0,0.006814638486049756
_710018,145.78549194335938,18.848052978515625,750032.7072948024,109682.81666055,1.0,0.012923335368814137
_710191,145.7434844970703,18.890060424804688,767567.3870230719,116119.48237635,1.0,0.011055803533898886
_710284,145.63819885253906,18.995346069335938,767747.26020646,117765.67955685,1.0,0.029157690477408446
_710228,144.91310119628906,19.720443725585938,773544.3520161775,107975.43327765,1.0,0.03787260644166731
_710242,144.83094787597656,19.80259704589844,800524.7115736385,124556.41938235,1.0,0.0193844133153084
_710280,144.62925720214844,20.00428771972656,802244.3890738172,115501.52186475,1.0,0.030888929848372715
_710098,144.3729248046875,20.2606201171875,845730.7205017823,121069.41809380002,1.0,0.03361900408798829
_710064,144.24057006835938,20.392974853515625,861570.1992905734,123074.18937030002,1.0,0.01461724796519243
_710056,144.16537475585938,20.468170166015625,867970.841072862,118071.87504775,1.0,0.01507671677585639
_710220,144.04339599609375,20.59014892578125,886067.4461675822,132755.0155472,1.0,0.02436105063790671
_710286,143.75689697265625,20.87664794921875,899267.1552063476,128102.7481484,1.0,0.01973479211184652
_710313,143.65687561035156,20.97666931152344,906293.2790214722,128428.6182784,1.0,0.030862326043193132
_710325,143.2641143798828,21.369430541992188,941193.3041019796,141709.8767678,1.0,0.0338459356853969
_700155,143.03863525390625,21.59490966796875,945098.4082569944,143458.68786929996,1.0,0.011994589653641127
_710200,142.98483276367188,21.648712158203125,949396.8094155942,144668.4767204,1.0,0.03983059872035191
_710180,142.5665283203125,22.0670166015625,1014315.692951646,131185.73032729997,1.0,0.051831066908800044
_710282,142.23129272460938,22.402252197265625,1026635.8882702468,150986.6017144,1.0,0.02219310884707892
_710031,142.0615234375,22.572021484375,1030576.5275393038,154818.55032637,1.0,0.025395370467113
_650110,141.86825561523438,22.765289306640625,1065049.155972557,151399.4974915,1.0,0.053723432234719926
_710113,141.63360595703125,22.99993896484375,1143191.8737236352,160735.8406338,1.0,0.07860226395905806
_710277,140.69631958007812,23.937225341796875,1179492.1684761338,165621.55438070002,1.0,0.07420018179727378
_660107,140.40052795410156,24.23301696777344,1239537.829762156,179843.6091432,1.0,0.062084586738771735
_710187,139.71376037597656,24.91978454589844,1264640.4016225466,170845.7784835,1.0,0.06184104194353691
_710009,139.48562622070312,25.147918701171875,1330234.1927287066,173478.04831394998,1.0,0.042116543195686335
_660280,139.21304321289062,25.42050170898437,1337690.489727676,174529.55117989998,1.0,0.03342463065115302
