subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_600183,161.34152221679688,3.292022705078125,110820.57204711952,12723.6628092,0,0,inf,600183
_640172,160.8929443359375,3.7406005859375,121011.0926744954,19400.4814941,0,0,0.038945810874583216,640172
_430140,160.48880004882812,4.144744873046875,135622.3609364231,20941.5575229,0,0,0.053085586577509024,430140
_670253,159.59678649902344,5.0367584228515625,143416.84026326146,24876.6865014,0,0,0.05147966930309814,670253
_620181,159.3480682373047,5.2854766845703125,167249.36809102297,25129.900333599995,0,0,0.03697467092302535,620181
_600146,158.83883666992188,5.794708251953125,171359.76677635428,28197.6028306,0,0,0.0386915794238547,600146
_540064,158.4479217529297,6.1856231689453125,187375.5753900459,28064.485284299997,0,0,0.03670682260835896,540064
_710254,158.016845703125,6.61669921875,193177.6462077393,29741.0548912,0,0,0.03426553732186444,710254
_770099,157.71002197265625,6.92352294921875,210248.5659238547,31089.7718751,0,0,0.06727715410906299,770099
_790030,156.24208068847656,8.391464233398438,210321.0646116825,28472.611574184,0,0,0.06527077633893082,790030
_800026,155.9049530029297,8.728591918945312,219791.13250968343,29546.157454484,0,0,0.027695805430808313,800026
_800150,155.74464416503906,8.888900756835938,237240.08726903485,32254.028980484,0,0,0.034936157971375476,800150
_780164,155.37408447265625,9.25946044921875,261976.54077659053,35586.403381294,0,0,0.03917550893543831,780164
_780267,155.00375366210938,9.629791259765623,272142.2109725845,34117.330515684,0,0,0.03374895647008748,780267
_590249,154.60208129882812,10.031463623046877,280652.2563185683,34663.271778894,0,0,0.039658391534668096,590249
_680206,154.18824768066406,10.445297241210938,301896.7751647117,36615.020360994,0,0,0.0619213249771724,680206
_720311,153.3284454345703,11.305099487304688,327081.84701916634,39007.308418594,0,0,0.07446718861754796,720311
_800342,152.55743408203125,12.07611083984375,349289.9740023678,52936.280388994,0,0,0.03815143722225361,800342
_800146,152.52037048339844,12.113174438476562,353699.2437352484,50403.43311390001,0,0,0.015391085640374877,800146
_790167,152.40481567382812,12.228729248046877,374795.9119515444,54872.63962499399,0,0,0.027054335755046656,790167
_800299,152.00758361816406,12.625961303710938,377705.90144593176,51716.99567140001,0,0,0.02150495939605261,800299
_790210,151.9276885986328,12.705856323242188,387956.4663900444,48682.6136521,0,0,0.020946124451846515,790210
_760290,151.5992431640625,13.0343017578125,395327.50184436666,54395.116967400005,0,0,0.04151522122326937,760290
_790106,151.04925537109375,13.58428955078125,416996.4311517417,58511.79693369999,0,0,0.04401610949336647,790106
_760335,150.57290649414062,14.060638427734377,418026.0293915561,65019.1998003,0,0,0.030522911952264434,760335
_790121,150.43511962890625,14.19842529296875,441048.0906947316,66577.03262550001,0,0,0.029567143109879776,790121
_760183,150.1915283203125,14.4420166015625,459512.5015943843,76958.93077050001,0,0,0.020677740420833087,760183
_800181,150.1338653564453,14.499679565429688,467119.6988762477,63235.4315747,0,0,0.008481741813599158,800181
_800141,150.08590698242188,14.547637939453123,471735.6329603594,68624.94823360001,0,0,0.028527114122877895,800141
_780214,149.38917541503906,15.244369506835938,475057.7946396786,71489.70062540002,0,0,0.03211577455413821,780214
_730158,149.3609619140625,15.2725830078125,490333.7629520561,78791.87315735001,0,0,0.027198256995220917,730158
_780284,148.93658447265625,15.69696044921875,504551.9256182374,82751.59612350001,0,0,0.03632372642346925,780284
_800325,148.52027893066406,16.113265991210938,509601.0427559968,84705.5947805,0,0,0.031926270938657846,800325
_770278,148.26148986816406,16.372055053710938,526922.1466774091,77722.58127395,0,0,0.018849777883347837,770278
_800089,148.2545623779297,16.378982543945312,534126.4678096055,77921.25496741002,0,0,0.014903216459038665,800089
_800267,147.94381713867188,16.689727783203125,537148.4170692998,80724.81385005002,0,0,0.03363889491686182,800267
_760354,147.6945343017578,16.939010620117188,570582.5828547141,90872.110994744,0,0,0.04641522258495383,760354
_800058,147.19688415527344,17.436660766601562,589648.3310452428,87953.53297125,0,0,0.045348642784018275,800058
_760126,146.80018615722656,17.833358764648438,607857.4778152681,94321.78025490402,0,0,0.031091204713972562,760126
_800247,146.7467803955078,17.886764526367188,629093.7822410953,97101.38778910402,0,0,0.024155000232671725,800247
_710197,146.39370727539062,18.23983764648437,633665.6830138841,97325.13581335002,0,0,0.03314001298433528,710197
_780046,146.07073974609375,18.56280517578125,654419.9879824573,97548.500128544,0,0,0.029240112075619988,780046
_800110,145.89938354492188,18.734161376953125,664713.4307608836,101101.68867005,0,0,0.029686427391844017,800110
_750181,145.44058227539062,19.19296264648437,675014.2020762927,98561.01960875,0,0,0.025178114270585618,750181
_800288,145.4364471435547,19.197097778320312,688272.3103251478,99417.81142362,0,0,0.025497099379351892,800288
_790286,145.0777587890625,19.5557861328125,707898.6094470577,118233.0226494,0,0,0.041530199212210725,790286
_790292,144.5099639892578,20.123580932617188,713256.9191602786,101677.33714305004,0,0,0.03961527000269712,790292
_780147,144.2858123779297,20.347732543945312,739552.0637518065,107269.62668485,0,0,0.043476771784280624,780147
_780261,144.15780639648438,20.475738525390625,792031.787288285,110049.28308795,0,0,0.03172985348524139,780261
_800108,143.99339294433594,20.640151977539062,794026.6400384464,110288.34277005,0,0,0.01415950300362717,800108
_790095,143.79989624023438,20.833648681640625,796970.0484565351,110698.16177425,0,0,0.02900582670105109,790095
_800213,143.75611877441406,20.877426147460938,846383.383487011,127053.00699975,0,0,0.027600820764444207,800213
_770300,143.61207580566406,21.021469116210938,850024.1187559011,123148.22909685002,0,0,0.040016826449307055,770300
_800161,143.06027221679688,21.573272705078125,887227.1172649533,127332.2923623,0,0,0.043419475101955624,800161
_780027,142.92160034179688,21.711944580078125,899838.1790464678,141336.1274867,0,0,0.025301594172412234,780027
_710334,142.87884521484375,21.75469970703125,935073.514064795,142698.4127801,0,0,0.030734075313749575,710334
_800307,142.6787109375,21.954833984375,956040.3961509052,151511.10176979998,0,0,0.020503906225674585,800307
_800240,142.59352111816406,22.040023803710938,962067.1308633138,144461.82134609998,0,0,0.02040121118046695,800240
_800259,142.39047241210938,22.243072509765625,982528.8410226232,144527.06496959995,0,0,0.02358342151226956,800259
_800212,142.24111938476562,22.39242553710937,991051.5662350572,147293.39905127,0,0,0.014522524030396722,800212
