subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_020129,161.84507751464844,2.7884674072265625,13659.446262996116,14636.33285,0,inf
_200001,161.3037567138672,3.3297882080078125,19788.793844207623,33264.312291,0,0.04749112585584331
_250267,160.9952392578125,3.6383056640625,25250.320116577102,34097.618380500004,0,0.027427691847253056
_110235,160.81820678710938,3.815338134765625,26820.6768153887,22331.287185,0,0.04336244654252076
_160054,160.12185668945312,4.511688232421875,29576.985598111867,23711.1593872,0,0.05640423908901292
_150316,159.80015563964844,4.8333892822265625,40027.214836639454,46402.3372355,0,0.038311179033421336
_150190,159.48486328125,5.148681640625,42046.63741748831,29717.382188,0,0.03666782455134673
_280163,159.12948608398438,5.504058837890625,48044.64927343704,31792.4273062,0,0.026427906387114668
_250033,159.0778350830078,5.555709838867188,52728.14309248423,66320.7317442,0,0.04495609998837405
_300095,158.34422302246094,6.289321899414063,60250.56613763816,60182.9743942,0,0.058262743892615446
_350220,158.0330810546875,6.6004638671875,66809.19371397725,47187.27973899999,0,0.03230200436703676
_340005,157.7689666748047,6.8645782470703125,68312.6908321445,66244.328179,0,0.06312717908375165
_240262,156.79367065429688,7.839874267578125,75166.97998617096,55581.387409,0,0.06055357597726043
_320027,156.72091674804688,7.912628173828125,85373.75286648869,60767.2068802,0,0.03914592139598959
_290065,156.17247009277344,8.461074829101562,89813.8202190692,52797.13748789999,0,0.03723372265082904
_270123,156.04124450683594,8.592300415039062,93601.4765193593,59389.54823099999,0,0.036334344360755985
_310083,155.5157470703125,9.1177978515625,98262.26566483622,76263.72941300001,0,0.03181988062054476
_330163,155.43028259277344,9.203262329101562,98698.92566415784,92189.820609,0,0.031106392789283337
_330256,155.01715087890625,9.61639404296875,109581.63341402813,81458.928237,0,0.06475569800756653
_300139,154.57618713378906,10.057357788085938,134070.0300005333,50739.30057570001,0,0.07555695573338508
_270162,154.01797485351562,10.615570068359377,150684.55940040358,72828.31009217999,0,0.07901026703710365
_340035,153.220458984375,11.4130859375,157086.93582050505,98443.7683697,0,0.06620002976276829
_360078,152.75723266601562,11.876312255859377,161953.65299280768,63207.85017989999,0,0.054357148131311615
_300013,152.53028869628906,12.103256225585938,188497.4606926303,76220.950421,0,0.036569758953244116
_310224,152.521728515625,12.11181640625,197780.19559909808,83584.76185829999,0,0.02516618312244364
_350350,152.26039123535156,12.373153686523438,206227.43957906097,86527.46878519999,0,0.034150676225881436
_340188,152.01246643066406,12.621078491210938,212656.019089886,89761.425615,0,0.020526569973763058
_360250,151.94284057617188,12.690704345703123,214433.1184555313,89714.9791189,0,0.01902346710621238
_360103,151.62997436523438,13.003570556640623,214597.071329784,103387.9017263,0,0.03709042776119134
_350149,151.37953186035156,13.254013061523438,229933.90751872963,115514.4293463,0,0.03582549353833091
_290268,151.24623107910156,13.387313842773438,239866.95881863972,85299.886265,0,0.015353161823282314
_360273,151.21957397460938,13.413970947265623,241052.20409116943,77734.75340399999,0,0.019715171187851585
_330053,150.97999572753906,13.653549194335938,250237.5677466909,90314.763754,0,0.02046624204691462
_360018,150.96629333496094,13.667251586914062,253301.1660924505,93212.609489,0,0.015089618827489559
_360112,150.78616333007812,13.847381591796877,258813.3111931916,95072.46617,0,0.017322792887118344
_360071,150.74807739257812,13.885467529296877,263422.3694419337,156312.36367329996,0,0.02793236902036498
