subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_400057,161.8752899169922,2.7582550048828125,12142.075525179218,10922.657701,0,0,inf,400057
_020129,161.84507751464844,2.7884674072265625,13659.446262996116,14636.33285,0,0,0.027353244292987064,20129
_500225,161.38812255859375,3.24542236328125,19570.15354341025,14376.871271,0,0,0.028943886322680558,500225
_200001,161.3037567138672,3.3297882080078125,19788.793844207623,33264.312291,0,0,0.0206608822323467,200001
_390100,160.9883270263672,3.645217895507813,23048.253490689887,18099.735824,0,0,0.027008855658170974,390100
_110235,160.81820678710938,3.815338134765625,26820.6768153887,22331.287185,0,0,0.04408914132159606,110235
_160054,160.12185668945312,4.511688232421875,29576.985598111867,23711.1593872,0,0,0.06717011313393817,160054
_470286,159.47068786621094,5.162857055664063,34927.881047780815,26161.4379442,0,0,0.061048575553230566,470286
_420180,159.09616088867188,5.537384033203125,50283.311553621,36784.8119848,0,0,0.06862515890843392,420180
_440296,158.21031188964844,6.4232330322265625,51007.24963732571,48208.0861992,0,0,0.06998536762576851,440296
_400151,157.72213745117188,6.911407470703125,60739.08097692059,60516.7452132,0,0,0.04939564043206673,400151
_500319,157.33999633789062,7.293548583984375,65053.2959055198,57458.1594352,0,0,0.02545459670225366,500319
_450336,157.2646484375,7.368896484375,67374.30235503166,59169.48112619999,0,0,0.008564701618164614,450336
_500056,157.2176971435547,7.415847778320312,69405.79913359485,61154.1825152,0,0,0.04870427097255415,500056
_500126,156.30763244628906,8.325912475585938,74596.76974099259,48703.8986599,0,0,0.07418266961744442,500126
_390231,155.9119110107422,8.721633911132812,90584.6124740773,81674.62568100002,0,0,0.05237349991981835,390231
_310083,155.5157470703125,9.1177978515625,98262.26566483622,76263.72941300001,0,0,0.04231881906416724,310083
_420248,155.15975952148438,9.473785400390623,102181.04621646593,79141.247212,0,0,0.0296933903106981,420248
_500091,155.09194946289062,9.541595458984377,113366.08598935812,114367.649511,0,0,0.02574879164254048,500091
_490238,154.8369140625,9.796630859375,118271.0197856636,86065.602415,0,0,0.03455103617690113,490238
_500335,154.4798583984375,10.1536865234375,122967.99524204303,92236.328114,0,0,0.024289571999663327,500335
_470220,154.4753875732422,10.158157348632812,129630.59150870432,106441.331189,0,0,0.037027418709658935,470220
_430339,153.8477325439453,10.785812377929688,134855.55445795006,86211.37311200002,0,0,0.05791062589731141,430339
_490153,153.438720703125,11.19482421875,145003.96003354422,90348.025603,0,0,0.062076296055869465,490153
_490311,152.71719360351562,11.916351318359377,150041.1820406043,69788.91892689999,0,0,0.046161964063301225,490311
_470078,152.6768798828125,11.9566650390625,161581.95155527545,75602.2472819,0,0,0.0285649365457925,470078
_440235,152.42950439453125,12.20404052734375,172613.47977992066,70003.8619344,0,0,0.02359795318451293,440235
_500137,152.41262817382812,12.220916748046877,178447.44843461705,89413.3138179,0,0,0.03621990191552755,500137
_450194,151.75302124023438,12.880523681640623,180345.08519907267,79293.7630109,0,0,0.04937891874767279,450194
_490313,151.6774444580078,12.956100463867188,201525.419885464,96685.971482,0,0,0.028041003832176697,490313
_480242,151.5270538330078,13.106491088867188,206286.2680465712,86957.81654219999,0,0,0.0270843902237204,480242
_420318,151.275390625,13.358154296875,214263.81537595336,111796.295711,0,0,0.041693021012653125,420318
_470139,150.91505432128906,13.718490600585938,226358.6615601176,119327.25138,0,0,0.036234611451311224,470139
_500324,150.71437072753906,13.919174194335938,229755.22646282884,125832.39231799998,0,0,0.04507821968535071,500324
_500280,150.33999633789062,14.293548583984377,253866.79773731277,113781.097234,0,0,0.04408615061759585,500280
_340047,150.27500915527344,14.358535766601562,264904.0581845276,118744.062993,0,0,0.027310194946782242,340047
_500027,149.958740234375,14.6748046875,268329.8864272377,119848.9263109,0,0,0.018400247678316616,500027
_430290,149.95724487304688,14.676300048828123,270567.5717123104,120565.7102499,0,0,0.014398823397743728,430290
_470070,149.79005432128906,14.843490600585938,278121.67312639847,124642.1059739,0,0,0.04331405532078786,470070
_490235,149.46701049804688,15.166534423828123,301175.6850801893,140328.48106957998,0,0,0.034726087274352446,490235
_500044,149.42349243164062,15.210052490234377,304435.23042665253,128319.76942,0,0,0.01720433700356835,500044
_430059,149.18881225585938,15.444732666015623,307738.6487539141,131072.831965,0,0,0.042049835338043184,430059
_470047,148.70057678222656,15.932968139648438,317596.9146927105,138666.02720399998,0,0,0.05187883935017462,470047
_480341,148.50390625,16.129638671875,337849.0443441761,139367.92778568,0,0,0.0296497548426327,480341
_460356,148.36477661132812,16.268768310546875,338534.31739345903,126982.647781,0,0,0.030992205924350157,460356
_450248,148.0843048095703,16.549240112304688,355137.0970495016,140978.74067299996,0,0,0.04571416844025329,450248
_500209,147.78451538085938,16.849029541015625,366625.52049532096,154372.0559439,0,0,0.05973622233442495,500209
_460252,147.3578338623047,17.275711059570312,393974.3851709992,168460.3831639,0,0,0.05628858818654181,460252
_470189,147.08473205566406,17.548812866210938,402199.9600994587,123178.55078,0,0,0.03385792547361525,470189
_470111,146.8257293701172,17.807815551757812,407921.392063142,129789.248107,0,0,0.029385624911938295,470111
_500193,146.6462860107422,17.987258911132812,415871.1199902212,133307.911848,0,0,0.029717742915515172,500193
_430332,146.60154724121094,18.031997680664062,436438.9603226872,210997.02108698,0,0,0.0304582022593892,430332
_500293,146.57901000976562,18.05453491210937,455989.32109186,235383.7339433,0,0,0.032473677630294566,500293
_470172,146.2820587158203,18.351486206054688,462607.1332087946,220658.86760998,0,0,0.030102542138186725,470172
_500095,146.13052368164062,18.50302124023437,470038.007694938,138990.05057649998,0,0,0.024501170093658417,500095
_500023,146.1102294921875,18.5233154296875,486990.0921078032,219675.7916113,0,0,0.023430849880660833,500023
_480264,145.9542694091797,18.679275512695312,492556.18339381047,140206.6399672,0,0,0.02291026582083896,480264
_500015,145.7660369873047,18.867507934570312,497490.4308723016,144832.14060319998,0,0,0.0248798400705846,500015
_470219,145.61366271972656,19.01988220214844,506182.6365905494,133319.744668,0,0,0.022656296510929166,470219
_440312,145.46493530273438,19.168609619140625,510506.56860583567,137099.116655,0,0,0.030147524002700397,440312
_450264,145.1131134033203,19.520431518554688,516808.0109960831,151507.843987,0,0,0.03554177261329652,450264
_480063,144.9784393310547,19.655105590820312,529977.3735473796,155836.06345800002,0,0,0.023642921350489454,480063
_500140,144.91053771972656,19.72300720214844,537872.8716709096,155939.224204,0,0,0.022144695667343707,500140
_500214,144.83387756347656,19.79966735839844,552735.0977540193,167410.59005929995,0,0,0.03630369998742568,500214
_490169,144.64456176757812,19.988983154296875,573239.1153549794,133268.3765912,0,0,0.03567028972940916,490169
_490330,144.63327026367188,20.000274658203125,591554.2303488704,170994.62362849998,0,0,0.027985497696191283,490330
_460122,144.3281707763672,20.30537414550781,593038.8563386395,156494.3780723,0,0,0.02649905760949313,460122
