subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_110108,162.8986053466797,1.7349395751953125,18098.22091807,21885.121986,0,inf
_100152,162.79885864257812,1.834686279296875,18282.11506436,11691.35928,0,0.024528607145491925
_100069,162.5851287841797,2.0484161376953125,19432.15666744,22941.696562,0,0.08107049908008829
_100154,161.86724853515625,2.76629638671875,26819.16738341,28355.564749,0,0.09240080571661674
_050027,161.46963500976562,3.163909912109375,27041.09395628,41703.934575,0,0.04418569499448672
_080053,161.45846557617188,3.175079345703125,35382.84540671,18499.758412,0,0.18072455900542192
_000046,159.14205932617188,5.491485595703125,36161.76335705,49443.999548,0,0.2269532881025159
_090158,159.0755615234375,5.5579833984375,68176.48579044,73812.0306545,0,0.08135101286684077
_130088,158.84393310546875,5.78961181640625,69887.32657181,75553.942106,0,0.04196021101396781
_110045,158.61968994140625,6.01385498046875,73634.61374764,76367.9052905,0,0.07359653809731277
_130038,158.50144958496094,6.132095336914063,97522.48280244,106616.2925245,0,0.0745475681685266
_130085,158.43994140625,6.193603515625,108232.09307367,107421.579711,0,0.03328561746149448
_120125,158.35618591308594,6.277359008789063,110401.67202564,43959.862409,0,0.05436454724246047
_130048,157.91384887695312,6.719696044921875,117854.18154493,51505.565229,0,0.06145280034327575
_130161,157.90655517578125,6.72698974609375,127010.08207252,54641.137031,0,0.03837405201192742
_090048,157.6564483642578,6.977096557617188,129148.72158842,73666.3536988,0,0.030299808482598098
_110026,157.6529541015625,6.9805908203125,133938.21844304,75238.98239219999,0,0.01732510434859391
_110174,157.5797576904297,7.0537872314453125,135809.59410442,61154.506744,0,0.018984941096504483
_130060,157.5047149658203,7.128829956054688,138700.38422473002,80640.784266,0,0.023711381481013816
_120076,157.4794158935547,7.1541290283203125,145108.23986035,78793.44691,0,0.046585317011965645
_120030,157.0342559814453,7.599288940429687,146169.27465895,86462.93336599998,0,0.0954491679744953
_000205,156.39414978027344,8.239395141601562,155616.7781659,78507.01995100001,0,0.16599874826468117
