subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_110108,162.8986053466797,1.7349395751953125,18098.22091807,21885.121986,0,0,inf,110108
_160075,161.8946990966797,2.7388458251953125,18187.3600273,32259.959239,0,0,0.09020684653916887,160075
_180045,161.72677612304688,2.906768798828125,21979.03160585,30561.0768099,0,0,0.06630235501538218,180045
_200062,161.18374633789062,3.449798583984375,26959.325355580004,40994.933614,0,0,0.06483409341730231,200062
_170156,160.99916076660156,3.6343841552734375,29280.80015364,21251.1667278,0,0,0.07579413705094921,170156
_160174,160.33096313476562,4.302581787109375,35410.14773483,39879.146168800005,0,0,0.14427654727068948,160174
_000046,159.14205932617188,5.491485595703125,36161.76335705,49443.999548,0,0,0.14775207905298476,46
_170013,158.9994354248047,5.6341094970703125,64911.63684327999,66995.0604419,0,0,0.10467214623919133,170013
_110045,158.61968994140625,6.01385498046875,73634.61374764,76367.9052905,0,0,0.05706145476020752,110045
_140031,158.51556396484375,6.11798095703125,77500.43140638,81861.12427500001,0,0,0.04751776321558751,140031
_180081,158.26296997070312,6.370574951171875,85937.81463842,86362.116132,0,0,0.05709580344630989,180081
_190087,158.0493621826172,6.5841827392578125,90803.97866711,85914.78727140001,0,0,0.03106500041758488,190087
_200135,158.02978515625,6.603759765625,93981.99946539,87475.42304670002,0,0,0.03816804496129769,200135
_200073,158.0081024169922,6.6254425048828125,110343.40428647,102082.4123195,0,0,0.05781675741697022,200073
_170173,157.74240112304688,6.891143798828125,114725.88567598,95430.935364,0,0,0.05888426907902591,170173
_090048,157.6564483642578,6.977096557617188,129148.72158842,73666.3536988,0,0,0.07537806699006938,90048
_140123,157.12680053710938,7.506744384765625,132284.56876762,81457.8455615,0,0,0.060541376745343545,140123
_170169,157.08836364746094,7.5451812744140625,140351.39048365,88319.16349,0,0,0.035217420551755696,170169
_160096,156.8839874267578,7.7495574951171875,142252.15062768,84617.70952599999,0,0,0.03637822681034608,160096
_150011,156.73997497558594,7.8935699462890625,146805.81547161,86980.23160880001,0,0,0.03020001407998974,150011
_180103,156.66815185546875,7.96539306640625,150499.79605924,92455.815981,0,0,0.02497750137718332,180103
_190033,156.5993194580078,8.034225463867188,155117.66744339,92895.30991,0,0,0.028684254863644724,190033
_000205,156.39414978027344,8.239395141601562,155616.7781659,78507.01995100001,0,0,0.03972448471804779,205
_160020,156.3125,8.321044921875,165851.73042641,96365.3460885,0,0,0.04124011862869123,160020
_170127,156.2797393798828,8.353805541992188,173979.49635511,101007.78028849998,0,0,0.02689524542057159,170127
_200153,156.26690673828125,8.36663818359375,178969.83678304,102467.5591505,0,0,0.021517541781150635,200153
_190145,156.23587036132812,8.397674560546875,184183.58810133,111526.0747135,0,0,0.05348855115594524,190145
_000109,155.73707580566406,8.896469116210938,187767.92060617,74638.77104400001,0,0,0.1194223978013163,109
_200143,155.50228881835938,9.131256103515623,221519.32432818,94101.993897,0,0,0.09400976529429325,200143
_190056,155.35073852539062,9.282806396484377,224684.52667164,93504.0020725,0,0,0.03626567332088909,190056
_200112,155.09913635253906,9.534408569335938,225755.12938179,92318.4621055,0,0,0.03903962367938234,200112
_170138,155.04405212402344,9.589492797851562,234256.61918755,98038.5449385,0,0,0.05987747747029984,170138
_160177,154.97801208496094,9.655532836914062,254187.80216227,130474.6169948,0,0,0.06754565855380823,160177
_190066,154.7323760986328,9.901168823242188,259438.67397241,106203.2800088,0,0,0.03455087221119901,190066
_190161,154.7236785888672,9.909866333007812,263332.1960629,110450.9438268,0,0,0.02423470826516011,190161
_150061,154.68641662597656,9.947128295898438,271067.11030712,136047.6160828,0,0,0.023058032011364703,150061
_190053,154.6201629638672,10.013381958007812,272042.01977216,110620.385096,0,0,0.029855878327655204,190053
_180056,154.54995727539062,10.083587646484377,282249.20711378,133301.05131429998,0,0,0.026789844550373018,180056
_170062,154.53260803222656,10.100936889648438,283449.52910673,136696.9306578,0,0,0.006002561653093602,170062
_200049,154.51690673828125,10.11663818359375,284276.29435327,114945.62682750002,0,0,0.015207687505760167,200049
_200058,154.38778686523438,10.245758056640623,286180.06659224,133273.6314488,0,0,0.056004623656146765,200058
