gen,subsetID,Qpeak_reduction,cost,rank,subsetID,created_in_gen
61,_430357,3.980255126953125,25350.88222469313,0.0,_430357,43
61,_210066,4.444839477539063,28525.68151440227,0.0,_210066,21
61,_560089,4.9589691162109375,39669.97124416132,0.0,_560089,56
61,_430023,5.3729400634765625,42917.86603139879,0.0,_430023,43
61,_340309,6.034469604492188,43267.423594975335,0.0,_340309,34
61,_560140,6.50146484375,48725.55155216801,0.0,_560140,56
61,_510171,7.06781005859375,52874.447711317735,0.0,_510171,51
61,_550229,7.66436767578125,72291.59753923824,0.0,_550229,55
61,_610135,7.805755615234375,85504.70595481171,0.0,_610135,61
61,_540338,7.948410034179687,89877.44747946894,0.0,_540338,54
61,_610117,8.387847900390625,96457.68641880338,0.0,_610117,61
61,_610340,8.71697998046875,99208.52680427422,0.0,_610340,61
61,_470159,9.015304565429688,109771.26656360165,0.0,_470159,47
61,_540082,9.524307250976562,118758.59096043812,0.0,_540082,54
61,_500225,10.040847778320312,133296.7591844028,0.0,_500225,50
61,_470135,10.3162841796875,143743.3077826224,0.0,_470135,47
61,_360241,10.811065673828123,147232.23547818392,0.0,_360241,36
61,_610129,10.898971557617188,154956.62498601293,0.0,_610129,61
61,_300308,11.039138793945312,155977.0433312243,0.0,_300308,30
61,_610315,11.549880981445312,156453.7810009992,0.0,_610315,61
61,_410258,11.684127807617188,157319.9747544067,0.0,_410258,41
61,_510227,12.700653076171877,180936.65574354384,0.0,_510227,51
61,_380128,13.061737060546877,190223.2103613818,0.0,_380128,38
61,_610284,13.092178344726562,193071.85286248368,0.0,_610284,61
61,_380212,13.448333740234377,195895.33199418627,0.0,_380212,38
61,_450075,13.968643188476562,198305.14752430964,0.0,_450075,45
61,_580331,14.252670288085938,207982.36244031176,0.0,_580331,58
61,_600356,14.643447875976562,229809.82003441188,0.0,_600356,60
61,_530279,14.776611328125,237549.92560723305,0.0,_530279,53
61,_450111,15.309310913085938,256229.0625423413,0.0,_450111,45
61,_510004,15.716644287109377,258523.16319291963,0.0,_510004,51
61,_520231,16.412628173828125,258593.166412236,0.0,_520231,52
61,_610228,16.5126953125,273412.3620811632,0.0,_610228,61
61,_610189,17.106094360351562,273802.1579034114,0.0,_610189,61
61,_610226,17.150650024414062,293548.99985212524,0.0,_610226,61
61,_590321,17.2572021484375,295276.2382987515,0.0,_590321,59
61,_470171,18.0992431640625,300674.92028582643,0.0,_470171,47
61,_530120,18.862319946289062,309372.8556387973,0.0,_530120,53
61,_570107,19.324676513671875,327226.4355776955,0.0,_570107,57
61,_610267,19.969650268554688,345192.33330775425,0.0,_610267,61
61,_520353,20.352935791015625,355217.8369346322,0.0,_520353,52
61,_570090,20.71958923339844,359681.834392795,0.0,_570090,57
61,_600044,20.731124877929688,379500.54218831565,0.0,_600044,60
61,_610282,21.187042236328125,381465.15433357167,0.0,_610282,61
61,_600120,21.329635620117188,391105.1987441103,0.0,_600120,60
61,_580033,21.874298095703125,398109.6629046127,0.0,_580033,58
61,_590218,22.07408142089844,409393.0932000979,0.0,_590218,59
61,_560051,22.393341064453125,420765.98298287904,0.0,_560051,56
61,_570054,22.542892456054688,448964.1492423364,0.0,_570054,57
61,_610028,22.67662048339844,451053.2074293366,0.0,_610028,61
61,_560306,23.195053100585938,475389.6078551571,0.0,_560306,56
61,_570136,23.62481689453125,477550.75105127785,0.0,_570136,57
61,_580200,24.113510131835938,490704.9467588692,0.0,_580200,58
61,_610308,24.575485229492188,498435.3760293727,0.0,_610308,61
61,_590071,24.66664123535156,499469.873435265,0.0,_590071,59
61,_580202,24.684539794921875,513583.8824443538,0.0,_580202,58
61,_590223,25.10064697265625,522581.2552589362,0.0,_590223,59
61,_590273,25.1739501953125,535196.6382651756,0.0,_590273,59
61,_560113,25.524169921875,541096.6685382323,0.0,_560113,56
61,_580285,25.91415405273437,552441.2673191772,0.0,_580285,58
61,_610030,26.52642822265625,569469.4981198014,0.0,_610030,61
61,_560216,26.68666076660156,576511.7819622752,0.0,_560216,56
61,_580176,26.7698974609375,602684.9882950902,0.0,_580176,58
61,_600343,26.98423767089844,613736.5523169421,0.0,_600343,60
61,_610061,27.03012084960937,625083.5909964407,0.0,_610061,61
61,_610023,27.17343139648437,633484.5416524217,0.0,_610023,61
61,_600041,27.78437805175781,640144.0389576697,0.0,_600041,60
61,_570318,28.0252685546875,641880.8794358049,0.0,_570318,57
61,_590193,28.27021789550781,666080.6111415192,0.0,_590193,59
61,_600256,28.739761352539062,696108.0176171296,0.0,_600256,60
61,_600201,29.231491088867188,700403.345772444,0.0,_600201,60
61,_600332,29.61419677734375,731809.1667324852,0.0,_600332,60
61,_600218,30.11680603027344,760557.8364591718,0.0,_600218,60
61,_540272,30.142898559570312,768018.7186619029,0.0,_540272,54
61,_600336,31.09556579589844,783793.9634762167,0.0,_600336,60
61,_610238,31.102554321289062,796580.30652026,0.0,_610238,61
61,_610201,31.13519287109375,834090.0187093299,0.0,_610201,61
61,_610140,31.283248901367188,844022.2446930468,0.0,_610140,61
61,_590256,31.413406372070312,860105.4735996709,0.0,_590256,59
61,_590066,31.75079345703125,874352.3233995071,0.0,_590066,59
61,_580029,32.03753662109375,882778.6908823054,0.0,_580029,58
61,_600112,32.712554931640625,895700.5916437074,0.0,_600112,60
61,_580051,32.834259033203125,919305.4497345624,0.0,_580051,58
61,_600040,33.01274108886719,922996.8955021186,0.0,_600040,60
61,_610039,33.22093200683594,930832.8955798328,0.0,_610039,61
61,_610035,33.40867614746094,951805.7606616892,0.0,_610035,61
61,_600308,33.52610778808594,955610.8481425144,0.0,_600308,60
61,_600169,33.673614501953125,1009391.3981416952,0.0,_600169,60
61,_600036,33.68327331542969,1027970.2625135772,0.0,_600036,60
61,_590152,33.88128662109375,1037609.0328528864,0.0,_590152,59
61,_610254,34.18121337890625,1043739.7250241284,0.0,_610254,61
61,_600237,34.52149963378906,1082949.6725576003,0.0,_600237,60
61,_590080,34.842315673828125,1099774.156300397,0.0,_590080,59
61,_610298,34.88908386230469,1107603.5099637965,0.0,_610298,61
61,_600075,35.72882080078125,1178149.261550125,0.0,_600075,60
61,_610146,35.738555908203125,1189025.8077450274,0.0,_610146,61
61,_610081,35.93560791015625,1226443.193167437,0.0,_610081,61
61,_600212,36.05992126464844,1233423.97562869,0.0,_600212,60
61,_590033,36.10511779785156,1256091.62276231,0.0,_590033,59
61,_600110,36.24842834472656,1263428.819870526,0.0,_600110,60
61,_610220,36.28880310058594,1264328.2626979747,0.0,_610220,61
61,_610002,36.41276550292969,1299829.6939130449,0.0,_610002,61
61,_610343,36.50654602050781,1314032.0526095196,0.0,_610343,61
61,_590351,36.5577392578125,1352280.6420553415,0.0,_590351,59
61,_600305,36.623138427734375,1365663.7791280444,0.0,_600305,60
61,_610255,36.65836334228516,1383108.8503114297,0.0,_610255,61
62,_430357,3.980255126953125,25350.88222469313,0.0,_430357,43
62,_210066,4.444839477539063,28525.68151440227,0.0,_210066,21
62,_560089,4.9589691162109375,39669.97124416132,0.0,_560089,56
62,_430023,5.3729400634765625,42917.86603139879,0.0,_430023,43
62,_340309,6.034469604492188,43267.423594975335,0.0,_340309,34
62,_560140,6.50146484375,48725.55155216801,0.0,_560140,56
62,_510171,7.06781005859375,52874.447711317735,0.0,_510171,51
62,_620241,7.2052764892578125,66463.21161697575,0.0,_620241,62
62,_550229,7.66436767578125,72291.59753923824,0.0,_550229,55
62,_620063,7.804107666015625,92582.10657213084,0.0,_620063,62
62,_610117,8.387847900390625,96457.68641880338,0.0,_610117,61
62,_610340,8.71697998046875,99208.52680427422,0.0,_610340,61
62,_470159,9.015304565429688,109771.26656360165,0.0,_470159,47
62,_540082,9.524307250976562,118758.59096043812,0.0,_540082,54
62,_620200,9.656875610351562,127165.43108198167,0.0,_620200,62
