subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_2000160,159.52784729003906,5.1056976318359375,36720.01048753381,18579.40862,0,0,inf,2000160
_1950243,158.53297424316406,6.1005706787109375,50164.43748826091,26105.779338,0,0,0.0429045145205334,1950243
_1970180,157.73573303222656,6.8978118896484375,65890.14515173755,50855.29066500001,0,0,0.043702564079460424,1970180
_1890194,156.69285583496094,7.9406890869140625,78931.95654618352,47238.334701800006,0,0,0.03892415605251409,1890194
_1920229,156.1603240966797,8.473220825195312,95604.44357438551,42350.21846800001,0,0,0.025614297373267033,1920229
_1970143,156.0166778564453,8.616867065429688,121715.2276109623,50289.698673000006,0,0,0.03080050101898108,1970143
_1690326,154.99169921875,9.641845703125,124142.17822175364,71221.1540904,0,0,0.04076321899775599,1690326
_1880343,154.21868896484375,10.41485595703125,143288.14284340356,75178.7066254,0,0,0.038697777023597744,1880343
_1740277,153.46701049804688,11.166534423828123,156361.30094873495,76769.39673094999,0,0,0.040997856468322914,1740277
_1510172,152.2919158935547,12.341629028320312,157354.2796612188,86102.82851363001,0,0,0.031439495963492284,1510172
_2000336,152.0439453125,12.589599609375,170659.1822922672,88107.87610252999,0,0,0.015777581076311106,2000336
_1980224,151.94956970214844,12.683975219726562,188485.49817144236,106016.25645893,0,0,0.013158254672696271,1980224
_2000235,151.77720642089844,12.856338500976562,197831.6705163236,92752.24456673,0,0,0.01100984769547841,2000235
_2000143,151.61392211914062,13.019622802734377,203975.4007116932,110980.35940443,0,0,0.01723466791927169,2000143
_2000119,151.17385864257812,13.459686279296877,217058.22169461075,117143.09474683,0,0,0.01424544091748876,2000119
_1990128,151.0757598876953,13.557785034179688,217324.72629502407,96349.34108043,0,0,0.014437421079281192,1990128
_1980074,150.57164001464844,14.061904907226562,226927.4849671217,103118.29501523,0,0,0.02021082491406332,1980074
_2000272,150.24462890625,14.388916015625,231907.9963652156,104651.12752823,0,0,0.0361082101594879,2000272
_1660183,149.05526733398438,15.578277587890623,250952.5113353032,92514.38753274,0,0,0.05227866106733566,1660183
_1960091,148.15988159179688,16.473663330078125,273825.27936551213,118455.60471642,0,0,0.02710849658501735,1960091
_2000279,148.06532287597656,16.568222045898438,278556.49545402604,118897.44704725,0,0,0.022138845190887303,2000279
_1970354,147.1588592529297,17.474685668945312,283961.87459173426,122716.1350589,0,0,0.04687472935437363,1970354
_1900152,145.78466796875,18.848876953125,289633.4549140169,102971.9605903,0,0,0.04676705781749857,1900152
_1940319,145.0504150390625,19.5831298828125,305771.6829161252,107211.5832877,0,0,0.037628835485707446,1940319
_1900312,144.228515625,20.405029296875,316221.7211959564,120718.8899302,0,0,0.048552294541078504,1900312
_2000308,143.4366912841797,21.196853637695312,365475.5431834816,146127.034244,0,0,0.03145814213209393,2000308
_1990046,143.41595458984375,21.21759033203125,369918.2895134677,112630.0701197,0,0,0.021374282235206977,1990046
_1970046,142.56446838378906,22.069076538085938,381333.4222923016,133823.1982249,0,0,0.030608101548946755,1970046
_2000189,142.20712280273438,22.426422119140625,395216.8096793389,116843.5039127,0,0,0.021168630493101144,2000189
_1970067,141.99378967285156,22.63975524902344,415927.01921480586,138597.9788102,0,0,0.02549761418743685,1970067
_1870118,141.3062286376953,23.327316284179688,423127.8714647708,154971.342996,0,0,0.03177573303909351,1870118
_1930185,140.70504760742188,23.928497314453125,440013.0869913696,166969.9669371,0,0,0.034745240217241846,1930185
_1820087,139.88681030273438,24.746734619140625,448805.00628632895,166415.31020849998,0,0,0.028386815912277014,1820087
_1990252,139.8562774658203,24.777267456054688,481022.6268862327,168881.84607469998,0,0,0.012142262131170492,1990252
_2000049,139.78782653808594,24.845718383789062,483361.1440277573,172739.13616680002,0,0,0.008090862630169242,2000049
_2000339,139.5186767578125,25.1148681640625,486546.24297107774,172509.38014820003,0,0,0.01589383114279552,2000339
_1940146,139.0878448486328,25.545700073242188,491841.1959850266,185024.54812286003,0,0,0.026301111869007993,1940146
_2000022,138.8142547607422,25.81929016113281,529825.083390521,195576.64767886,0,0,0.05135490398890548,2000022
_1960126,137.2627716064453,27.370773315429688,547375.5664194728,184646.4833126,0,0,0.04062639887542319,1960126
_1990172,137.03990173339844,27.59364318847656,552459.6516490421,184181.1584547,0,0,0.02707083895962726,1990172
_1950139,136.21104431152344,28.42250061035156,570871.8257359979,192383.99694095,0,0,0.039850691823330994,1950139
_1970088,135.5247802734375,29.1087646484375,589181.9002562161,195678.29438075,0,0,0.026254783188043414,1970088
_1990136,135.3657684326172,29.26777648925781,604919.0268561523,206246.09350785,0,0,0.02694790182408565,1990136
_1960004,134.3673858642578,30.266159057617188,605455.4025354059,177628.6206999,0,0,0.03942310881881663,1960004
_1850186,133.5684814453125,31.0650634765625,622019.4055375425,183603.6374804,0,0,0.04027592931172226,1850186
_1960083,133.10305786132812,31.530487060546875,659770.257713741,187498.6921644,0,0,0.040971224671830515,1960083
_1960316,132.17027282714844,32.46327209472656,670052.0739301891,191887.6685627,0,0,0.03586108183066061,1960316
_2000299,131.99386596679688,32.639678955078125,709197.5232996797,196194.40309838,0,0,0.026964495892280713,2000299
_1940181,131.5425262451172,33.09101867675781,720507.6338814764,210876.5130823,0,0,0.03213450944308414,1940181
_1790219,130.7008056640625,33.9327392578125,734214.8618533018,217026.42615723,0,0,0.03469816282446751,1790219
_1990052,130.27975463867188,34.353790283203125,756119.0788407127,220150.22352893,0,0,0.03948354744164645,1990052
