gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
61,16679.0,578,62,7,37.313199105145415
62,16336.0,611,63,7,36.54586129753915
63,16101.0,643,65,7,36.02013422818792
64,16338.0,679,63,7,36.5503355704698
65,16419.0,652,66,7,36.73154362416108
66,16982.0,672,67,7,37.991051454138706
67,17323.0,699,67,7,38.753914988814316
68,16656.0,680,65,7,37.261744966442954
69,16843.0,676,66,7,37.680089485458616
70,17224.0,687,67,7,38.5324384787472
71,17045.0,690,66,7,38.131991051454136
72,17528.0,704,66,7,39.21252796420582
73,18485.0,660,66,7,41.35346756152125
74,18130.0,676,67,8,40.5592841163311
75,18456.0,691,68,8,41.288590604026844
76,18310.0,687,69,8,40.961968680089484
77,18399.0,691,71,8,41.16107382550336
78,18653.0,677,71,8,41.72930648769575
79,19016.0,683,74,8,42.541387024608504
80,19463.0,678,76,8,43.541387024608504
81,19479.0,677,73,8,43.577181208053695
82,20300.0,688,76,8,45.3125
83,20286.0,691,76,8,45.38255033557047
84,20005.0,705,76,8,44.753914988814316
85,20652.0,698,75,8,46.20134228187919
86,20212.0,723,74,8,45.21700223713646
87,19674.0,713,75,8,44.013422818791945
88,19627.0,695,76,8,43.9082774049217
89,19403.0,698,76,8,43.310267857142854
90,19009.0,693,77,8,42.525727069351234
91,20787.0,684,77,8,46.50335570469799
92,21323.0,673,79,8,47.702460850111855
93,21251.0,697,79,8,47.541387024608504
94,21624.0,688,79,8,48.375838926174495
95,21070.0,678,79,8,47.13646532438479
96,21559.0,682,82,8,48.230425055928414
97,21511.0,696,82,8,48.015625
98,21506.0,700,84,8,48.11185682326622
99,21687.0,691,84,8,48.51677852348993
100,21822.0,718,82,8,48.70982142857143
101,21295.0,700,84,8,47.639821029082775
102,22083.0,694,84,8,49.40268456375839
103,22464.0,688,85,8,50.25503355704698
104,22538.0,695,87,8,50.42058165548099
105,22433.0,702,87,8,50.18568232662192
106,22074.0,707,89,8,49.38255033557047
107,22915.0,707,90,8,51.26398210290828
108,23323.0,683,91,8,52.17673378076063
109,23444.0,713,92,8,52.44742729306488
110,24151.0,716,92,8,54.029082774049215
111,24091.0,735,93,8,53.89485458612975
112,24437.0,734,95,8,54.66890380313199
113,24329.0,691,95,8,54.427293064876956
114,25374.0,701,97,8,56.76510067114094
115,24952.0,721,97,8,55.82102908277405
116,25474.0,726,95,8,56.98881431767338
117,25635.0,727,95,8,57.348993288590606
118,25191.0,708,95,8,56.355704697986575
119,25402.0,719,95,8,56.82774049217002
120,24485.0,705,95,8,54.654017857142854
121,25180.0,700,95,8,56.33109619686801
122,25044.0,710,97,8,56.02684563758389
123,25026.0,706,98,8,55.986577181208055
124,26249.0,711,99,8,58.722595078299776
125,25811.0,718,97,8,57.742729306487696
126,25962.0,678,97,8,58.080536912751676
127,27144.0,690,98,8,60.589285714285715
128,26417.0,704,98,8,59.09843400447427
129,26604.0,704,99,8,59.51677852348993
130,26347.0,726,98,8,58.94183445190156
131,26344.0,697,100,8,58.935123042505595
132,26201.0,693,100,8,58.615212527964204
133,26491.0,702,100,8,59.26398210290828
134,27445.0,714,103,8,61.39821029082774
135,27403.0,712,104,8,61.304250559284114
136,27038.0,719,105,8,60.48769574944072
137,28128.0,711,105,8,62.92617449664429
138,28348.0,689,106,8,63.41834451901566
139,28995.0,708,108,8,64.86577181208054
140,29133.0,727,109,8,65.1744966442953
141,28285.0,721,110,8,63.277404921700224
142,28177.0,731,109,8,63.03579418344519
143,28206.0,747,110,8,63.100671140939596
144,29059.0,720,109,8,65.0089485458613
145,28326.0,727,109,8,63.369127516778526
146,27606.0,735,109,8,61.758389261744966
147,28344.0,724,110,8,63.40939597315436
148,29800.0,724,111,8,66.66666666666667
149,29961.0,749,112,8,67.02684563758389
150,29257.0,762,113,8,65.45190156599553
151,28512.0,753,114,8,63.785234899328856
152,30580.0,746,117,8,68.41163310961969
153,30220.0,744,118,8,67.6062639821029
154,30183.0,742,121,8,67.52348993288591
155,28806.0,737,121,8,64.44295302013423
156,28725.0,726,118,8,64.26174496644295
157,28165.0,735,118,8,63.008948545861294
158,29471.0,749,121,8,65.93064876957494
159,30076.0,746,119,8,67.2841163310962
160,30884.0,741,122,8,69.0917225950783
161,30217.0,756,122,8,67.59955257270694
162,29883.0,747,122,8,66.85234899328859
163,29826.0,728,123,8,66.7248322147651
164,28814.0,745,123,8,64.46085011185683
165,29021.0,738,126,8,64.92393736017897
166,29177.0,733,126,8,65.27293064876957
167,30251.0,726,126,8,67.67561521252796
168,31185.0,720,127,8,69.76510067114094
169,31218.0,736,127,8,69.83892617449665
170,30808.0,741,127,8,68.92170022371364
171,30481.0,749,129,8,68.19015659955257
172,30219.0,762,129,8,67.60402684563758
173,30242.0,748,129,8,67.65548098434004
174,31485.0,742,130,8,70.43624161073825
175,32513.0,740,131,8,72.73601789709173
176,32877.0,737,134,8,73.5503355704698
177,32202.0,747,137,8,72.04026845637584
178,31443.0,742,135,8,70.34228187919463
179,32148.0,735,134,8,71.91946308724832
180,32986.0,740,134,8,73.79418344519016
181,32530.0,734,134,8,72.77404921700224
182,32845.0,735,134,8,73.47874720357942
183,32487.0,749,136,8,72.67785234899328
184,32807.0,753,137,8,73.3937360178971
185,32439.0,775,136,8,72.57046979865771
186,31837.0,745,138,8,71.22371364653245
187,31208.0,749,138,8,69.8165548098434
188,31062.0,743,140,8,69.48993288590604
189,31735.0,754,140,8,70.99552572706935
190,31810.0,758,140,8,71.16331096196868
191,31851.0,743,141,8,71.25503355704699
192,32808.0,731,142,8,73.39597315436242
193,32243.0,749,143,8,72.13199105145414
194,32715.0,742,142,8,73.18791946308725
195,33365.0,736,143,8,74.47544642857143
196,33852.0,758,142,10,75.73154362416108
197,32087.0,762,143,10,71.78299776286353
198,32262.0,773,145,10,72.1744966442953
199,32534.0,760,146,10,72.78299776286353
200,32647.0,769,146,9,72.87276785714286
