subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_020125,163.3712615966797,1.2622833251953125,39503.40500908,6656.7215941,0,0,inf,20125
_130162,163.15826416015625,1.47528076171875,57683.50700272,5647.7093349,0,0,0.05452844432143861,130162
_190013,163.05581665039062,1.577728271484375,69950.42417272,6028.9291618,0,0,0.0415479227047589,190013
_000077,162.87501525878906,1.7585296630859375,75532.25775080001,8712.371918,0,0,0.05044030877122653,77
_180088,162.5867462158203,2.0467987060546875,76003.41784590001,4927.0553162,0,0,0.05034001604309642,180088
_000056,162.3688507080078,2.2646942138671875,76830.17729976,8720.68808556,0,0,0.0699380280411668,56
_190001,161.99717712402344,2.6363677978515625,91982.29401583,8184.1643822,0,0,0.08237765408959369,190001
_180010,161.7544708251953,2.8790740966796875,105636.1725807,9956.9090329,0,0,0.0972930329704903,180010
_020168,161.26852416992188,3.365020751953125,125625.64749489,20003.8883918,0,0,0.09366312587482593,20168
_070104,160.97891235351562,3.654632568359375,128783.05862848,22541.5128092,0,0,0.05799284798153921,70104
_090061,160.7772979736328,3.856246948242188,138581.83303074,22753.48358726,0,0,0.07960396549643593,90061
_130134,160.2905731201172,4.3429718017578125,144814.08457367998,24813.0579081,0,0,0.14737580767857394,130134
_140001,159.3811798095703,5.252365112304688,153075.00787708,24603.2605095,0,0,0.13328943789718198,140001
_130050,159.10098266601562,5.532562255859375,167037.78471838,26360.7776735,0,0,0.0886421788685405,130050
_200039,158.7154541015625,5.9180908203125,183494.79430098,27475.6075406,0,0,0.06739487653456722,200039
_190002,158.63856506347656,5.9949798583984375,195621.08939557,28079.671931599994,0,0,0.03824416308108901,190002
_170163,158.43495178222656,6.1985931396484375,197457.57114228,29233.1247046,0,0,0.06656449455949304,170163
_200157,158.369384765625,6.26416015625,247243.84194284,41415.44342786,0,0,0.05851015277127775,200157
_120147,158.23562622070312,6.397918701171875,247484.30344658,33163.4100506,0,0,0.044941216063419956,120147
_130144,157.93394470214844,6.6996002197265625,250453.10857315,32910.9150912,0,0,0.08735938227597027,130144
_190136,157.5740203857422,7.0595245361328125,276776.0784381,32372.01674386,0,0,0.08206067970429679,190136
_200004,157.48011779785156,7.1534271240234375,298878.99379349005,45807.932618,0,0,0.05462175506727188,200004
_180114,157.21600341796875,7.41754150390625,302032.56771384,41433.1321338,0,0,0.043553380187255554,180114
_200106,157.1947479248047,7.438796997070312,319030.02568524,43007.4044418,0,0,0.031675078240289735,200106
_190109,157.07701110839844,7.556533813476562,325237.81771908,45353.4343858,0,0,0.0315539639724408,190109
_190173,156.96273803710938,7.670806884765625,330478.28121944,47024.8805591,0,0,0.04975553023313663,190173
_200030,156.8365936279297,7.796951293945312,358933.97425044,49719.1374703,0,0,0.06594540230192511,200030
_150001,156.5904541015625,8.0430908203125,368448.64385825006,54920.4839011,0,0,0.05545403209917271,150001
_170160,156.4886016845703,8.144943237304688,386506.12254934,61362.2646199,0,0,0.07515173440390287,170160
_170109,156.307373046875,8.326171875,429328.56100915006,52046.8077001,0,0,0.07570252297071982,170109
_170176,156.15794372558594,8.475601196289062,442156.79197896,51698.88045476,0,0,0.03625192877639024,170176
_200137,156.0950927734375,8.5384521484375,449250.69386856,51080.72130966,0,0,0.04451576111542524,200137
_200022,155.8555145263672,8.778030395507812,461411.80508636,61851.19541275999,0,0,0.06413348816148881,200022
_190092,155.83087158203125,8.80267333984375,498380.4935452,68450.63584846,0,0,0.03403885274097533,190092
_200171,155.82984924316406,8.803695678710938,501777.6525487001,64438.1114433,0,0,0.031444714995277866,200171
_190096,155.63739013671875,8.99615478515625,514494.5282201301,76496.62990789999,0,0,0.07292889575655696,190096
_200101,155.5891571044922,9.044387817382812,565099.6331363501,67438.9208986,0,0,0.06038992666783449,200101
_190154,155.46054077148438,9.173004150390623,569730.6536380501,69328.1052904,0,0,0.06299980970915173,190154
_170101,155.2561492919922,9.377395629882812,604198.7359520501,72743.7254861,0,0,0.07787166066786261,170101
_180142,155.2260284423828,9.407516479492188,640149.78452145,81071.8101586,0,0,0.05301782048566694,180142
_200050,155.16183471679688,9.471710205078123,660293.61776175,73555.49738589999,0,0,0.03650548002119315,200050
_200017,155.05886840820312,9.574676513671877,666024.2396176499,78318.34458250001,0,0,0.03498557341088783,200017
_200150,155.0103759765625,9.6231689453125,686181.11687081,77922.91106505999,0,0,0.0262966701846743,200150
_190158,154.98402404785156,9.649520874023438,690346.65257205,81701.9583539,0,0,0.03049589698062903,190158
_200164,154.88119506835938,9.752349853515623,709100.87282205,83871.6267127,0,0,0.04125962265601747,200164
_200120,154.82373046875,9.809814453125,723162.48083389,86389.4481177,0,0,0.05452260096132114,200120
_200175,154.81932067871094,9.814224243164062,771167.98287265,100415.9811609,0,0,0.043714782431732484,200175
_200014,154.794677734375,9.8388671875,775490.24289115,90072.1930229,0,0,0.01249987640643167,200014
_200074,154.74330139160156,9.890243530273438,777685.03965385,90319.2221109,0,0,0.016302586594481576,200074
_180137,154.70228576660156,9.931259155273438,784832.32305035,101524.892519,0,0,0.027144802588955783,180137
_200153,154.66282653808594,9.970718383789062,802390.71018434,107062.4281068,0,0,0.037502439143727855,200153
_180148,154.48558044433594,10.147964477539062,805803.0792864499,92873.5347898,0,0,0.15709473079085942,180148
_190016,154.39874267578125,10.23480224609375,970520.70420881,111470.9124195,0,0,0.1922732918753745,190016
_190153,154.34400939941406,10.289535522460938,1034239.74523642,116595.1062731,0,0,0.06246130960854992,190153
_000163,154.3130645751953,10.320480346679688,1039779.72572218,151589.03517296002,0,0,0.29160782844545774,163
_000166,153.63807678222656,10.995468139648438,1319424.60741862,167315.41119456,0,0,inf,166
_200092,163.8997039794922,0.7338409423828125,44888.81409608,6288.9294581,0,1,inf,200092
_200034,163.65234375,0.981201171875,62889.42197287,7557.814878200001,0,1,0.1407286246230082,200034
_200144,162.77505493164062,1.858489990234375,84734.15551642001,11426.1805188,0,1,0.13211213651769532,200144
_200044,162.51971435546875,2.11383056640625,90710.957924,9063.953153,0,1,0.0379317003729272,200044
_200113,162.51205444335938,2.121490478515625,100479.98838732,9753.9347729,0,1,0.09999008243044705,200113
_200160,161.8349609375,2.798583984375,133281.86188759998,16114.0493332,0,1,0.1005559748607606,200160
_200083,161.8052215576172,2.8283233642578125,141021.24292399,9873.7672109,0,1,0.2298084592173535,200083
_200119,159.6696319580078,4.963912963867188,157339.53658045002,29439.985857399995,0,1,0.27917086692236764,200119
_200029,159.16220092773438,5.471343994140625,168676.96832228,25215.2575408,0,1,0.09441155378628038,200029
_200121,158.97804260253906,5.6555023193359375,191917.72466923,24971.8479686,0,1,0.09383553877708872,200121
_200126,158.5238037109375,6.1097412109375,209152.49813291,26233.4882354,0,1,0.14799122651577284,200126
_200051,157.94900512695312,6.684539794921875,252984.14795597,39488.1112667,0,1,0.13536417298020986,200051
_200156,157.72825622558594,6.905288696289063,283180.23137234006,33837.119670800006,0,1,0.06056804030628803,200156
_200041,157.6620330810547,6.9715118408203125,294712.76687065006,37458.3173601,0,1,0.03605885583368666,200041
_190161,157.50076293945312,7.132781982421875,300957.74414005,49489.1951772,0,1,0.028760957609267154,190161
_200095,157.49624633789062,7.137298583984375,310846.1325709,38048.84709386,0,1,0.016385834016748944,200095
_200096,157.4140625,7.219482421875,311116.27235695004,39133.5315085,0,1,0.028123590934573475,200096
_200089,157.2801055908203,7.353439331054687,319883.12095814006,41260.7699188,0,1,0.04624509146238714,200089
_200097,157.08132934570312,7.552215576171875,328804.91385654,55381.18229509999,0,1,0.054435037064388195,200097
_200098,157.03468322753906,7.5988616943359375,358944.42410355,53244.3690923,0,1,0.04630078744969463,200098
_190110,156.8770751953125,7.7564697265625,362589.88327956,45003.51123176,0,1,0.04072770301160161,190110
_200028,156.7773895263672,7.856155395507812,378980.72116215,49463.3317803,0,1,0.027798051889867566,200028
_200054,156.77197265625,7.861572265625,385059.87796121,49881.78820726,0,1,0.015996807029997357,200054
_200036,156.76609802246094,7.8674468994140625,398046.99708635,47613.275697,0,1,0.03982158278109109,200036
_200031,156.63711547851562,7.996429443359375,419207.78219015006,61814.5273701,0,1,0.04281147585603502,200031
_200141,156.63612365722656,7.997421264648437,436630.75655835,69525.3461021,0,1,0.035356350778969585,200141
_200062,156.41880798339844,8.214736938476562,437231.87721074006,60005.1659731,0,1,0.044720930715186326,200062
_200025,156.27818298339844,8.355361938476562,449224.4868823901,56361.9277741,0,1,0.038331636144357126,200025
_200161,156.20352172851562,8.430023193359375,459440.93894525,59651.17688309999,0,1,0.03157135663238523,200161
_200085,156.10122680664062,8.532318115234375,467561.7910078,59485.8704624,0,1,0.025812661781270334,200085
_190062,156.0133514404297,8.620193481445312,468759.3862099101,57186.5707153,0,1,0.018754512521089717,190062
_200148,155.953857421875,8.6796875,473184.87184809,59628.0474634,0,1,0.05287814096180378,200148
_200076,155.83218383789062,8.801361083984375,513842.40895944,76649.8121409,0,1,0.06396367824280788,200076
_200179,155.7523956298828,8.881149291992188,529925.237411,72185.7008164,0,1,0.03991403553386456,200179
_200011,155.6610870361328,8.972457885742188,543588.51793995,64643.2674573,0,1,0.08477097634380955,200011
_200139,155.48419189453125,9.14935302734375,604972.657556,66436.94275366,0,1,0.0877206642243928,200139
_200021,155.43264770507812,9.200897216796877,627371.07550419,80152.2478034,0,1,0.034972238964002526,200021
_200046,155.3668212890625,9.2667236328125,635094.86427884,75249.5251088,0,1,0.03940867412709247,200046
_200172,155.30116271972656,9.332382202148438,661411.09894995,76192.8134122,0,1,0.055980653628590615,200172
_190139,155.11325073242188,9.520294189453123,675118.11985535,76183.64567489999,0,1,0.0904227375381784,190139
_190047,154.87158203125,9.761962890625,723563.96247785,95183.7000635,0,1,0.07734303873985848,190047
_200133,154.828125,9.805419921875,738547.70353593,81811.21418319999,0,1,0.03263533837309947,200133
_190104,154.826904296875,9.806640625,759762.02052235,95194.1623772,0,1,0.06801776502330201,190104
_200075,154.71339416503906,9.920150756835938,811294.8353090499,100311.2925742,0,1,0.06874909516071166,200075
_200016,154.59133911132812,10.042205810546877,818373.66479421,115613.7418616,0,1,0.15406496687586457,200016
_200063,154.51644897460938,10.117095947265623,983921.10118357,113971.0937048,0,1,0.1713507884575723,200063
_200166,154.43731689453125,10.19622802734375,1018478.15436832,115868.210168,0,1,inf,200166
_200169,162.8240509033203,1.8094940185546875,107160.80656882,11482.4131929,0,2,inf,200169
_200000,162.66372680664062,1.969818115234375,121413.93791902,22334.4102999,0,2,0.06602338046322795,200000
_200035,162.37306213378906,2.260482788085937,135414.20981379,12842.23244796,0,2,0.05416956605105203,200035
_200173,162.2427978515625,2.3907470703125,138244.71956809997,13245.6798142,0,2,0.060141559759047475,200173
_200115,161.81570434570312,2.817840576171875,142872.05815224,22437.6757739,0,2,0.062867613903533,200115
_200023,161.7678680419922,2.8656768798828125,159472.85132473,15640.1778549,0,2,0.055098678047497227,200023
_200136,161.38873291015625,3.24481201171875,160138.3581619,15744.0790149,0,2,0.10261746905978894,200136
_200048,160.72230529785156,3.9112396240234375,160403.26227653,30065.2734701,0,2,0.1013443240798357,200048
_200155,160.44752502441406,4.1860198974609375,172455.30781089,24858.71916386,0,2,0.15869163033662337,200155
_200019,159.1952362060547,5.4383087158203125,173046.43674233003,33106.0547065,0,2,0.1553890015938707,200019
_200081,159.016357421875,5.6171875,192833.06246424,29973.72968186,0,2,0.05509229859643744,200081
_200110,158.92819213867188,5.705352783203125,210252.13205857,31988.7860093,0,2,0.05855231772218329,200110
_200086,158.83204650878906,5.8014984130859375,244786.52277147,29046.5866465,0,2,0.12489997990983279,200086
_200131,157.99790954589844,6.6356353759765625,254081.16452762,31147.808457399995,0,2,0.11441812999612766,200131
_200077,157.95848083496094,6.675064086914063,282273.85071398,53525.3037506,0,2,0.04406117938538142,200077
_200066,157.7906494140625,6.8428955078125,284624.67942407,39972.640929600006,0,2,0.042328460047136154,200066
_200055,157.6844024658203,6.949142456054688,302265.45791148,36030.0191668,0,2,0.031052309160055046,200055
_200052,157.62057495117188,7.012969970703125,303155.99210421,43157.79839666,0,2,0.015462195198834348,200052
_200027,157.53909301757812,7.094451904296875,303931.56556837,44996.4100835,0,2,0.02735586654369795,200027
_200071,157.44662475585938,7.186920166015625,316472.73376653,45938.4324479,0,2,0.06127816647962653,200071
_200038,157.24346923828125,7.39007568359375,345489.96906655,53707.3643842,0,2,0.09947464876292236,200038
_200158,156.90774536132812,7.725799560546875,376578.62589274,53490.4623731,0,2,0.07843285051145443,200158
_200107,156.7820587158203,7.851486206054687,388326.62263225,56895.708919200006,0,2,0.0579150060274449,200107
_200142,156.6604461669922,7.9730987548828125,419859.92007416,49976.03448506,0,2,0.09056567629518941,200142
_200078,156.4878692626953,8.145675659179688,467549.63279705,56146.0751666,0,2,0.11016544604188788,200078
_200060,156.2244873046875,8.4090576171875,506486.35237125,58755.6133116,0,2,0.07323622590306804,200060
_200134,156.0810089111328,8.552536010742188,510538.99772057,64534.8598785,0,2,0.03514270858645895,200134
_200059,155.92330932617188,8.710235595703125,513900.66016455,70561.5319831,0,2,0.06259068848208121,200059
_200058,155.802490234375,8.8310546875,555910.8261321499,65389.0133491,0,2,0.08359243498899914,200058
_200082,155.77597045898438,8.857574462890625,602514.97911485,69643.0101336,0,2,0.07095201281182965,200082
_200104,155.49685668945312,9.136688232421877,608602.48386759,64221.9095733,0,2,0.061746058530796566,200104
_200105,155.43539428710938,9.198150634765623,639065.3862744,76424.4021845,0,2,0.07171837351277921,200105
_200111,155.38230895996094,9.251235961914062,686108.94144709,89668.0409967,0,2,0.061534572071482246,200111
_200118,155.3061981201172,9.327346801757812,701710.29735755,83931.5796768,0,2,0.03823012871697958,200118
_200145,155.1664581298828,9.467086791992188,708117.66284488,85878.9445573,0,2,0.1022906192869095,200145
_200042,154.89195251464844,9.741592407226562,780965.84199465,102140.6154747,0,2,0.09969444591778655,200042
_200159,154.86325073242188,9.770294189453123,797899.98076165,99068.7331891,0,2,0.10110297324242791,200159
_200049,154.72547912597656,9.908065795898438,889605.6428080199,100750.0216825,0,2,0.14355509114894835,200049
_200068,154.69192504882812,9.941619873046877,960269.92609041,111422.1273063,0,2,0.27911249345946154,200068
_200124,154.4811248779297,10.152420043945312,1216369.61090707,153544.66059656002,0,2,inf,200124
_200170,163.3688507080078,1.2646942138671875,121067.75140311,26740.711644,0,3,inf,200170
_200122,161.87437438964844,2.7591705322265625,154673.67053954,18475.6338696,0,3,0.1955456430410712,200122
_200088,161.82687377929688,2.806671142578125,179021.72041594997,24392.2846211,0,3,0.04271552438116079,200088
_200109,161.65040588378906,2.983139038085937,181410.83639204,28551.7364866,0,3,0.18552640991546251,200109
_200045,159.97662353515625,4.65692138671875,185701.27710118,30439.2454391,0,3,0.27814052903494746,200045
_200099,159.06024169921875,5.57330322265625,214340.53537298,36609.6932175,0,3,0.12857837097319916,200099
_200002,158.97463989257812,5.658905029296875,225295.16909938,31341.8227904,0,3,0.09088848733739799,200002
_200127,158.46263122558594,6.170913696289063,256131.35609717,40128.5215574,0,3,0.10699593184563962,200127
_200037,158.12777709960938,6.505767822265625,256613.28851412,31028.2461694,0,3,0.050201334752705704,200037
_200102,158.0200653076172,6.6134796142578125,265184.36036029,35321.6100332,0,3,0.031141258710955987,200102
