subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_020125,163.3712615966797,1.2622833251953125,39503.40500908,6656.7215941,0.0,inf
_000077,162.87501525878906,1.7585296630859375,75532.25775080001,8712.371918,0.0,0.13215232772140398
_000056,162.3688507080078,2.2646942138671875,76830.17729976,8720.68808556,0.0,0.08981416768983394
_060152,162.33106994628906,2.302474975585937,118958.09314488,13605.3496682,0.0,0.15117278006915197
_020168,161.26852416992188,3.365020751953125,125625.64749489,20003.8883918,0.0,0.1465986472526442
_070104,160.97891235351562,3.654632568359375,128783.05862848,22541.5128092,0.0,0.06059185802936709
_090061,160.7772979736328,3.856246948242188,138581.83303074,22753.48358726,0.0,0.07029809709879851
_080074,160.55335998535156,4.0801849365234375,162798.62366959,27682.5182609,0.0,0.064983445684309
_060179,160.34974670410156,4.2837982177734375,165532.20599365,26425.0505969,0.0,0.03949837507813338
_030071,160.28927612304688,4.344268798828125,178626.20273935,27030.5268234,0.0,0.054716332725215776
_080139,159.97097778320312,4.662567138671875,185756.39932295,27166.2110469,0.0,0.062361476748108755
_090035,159.8284454345703,4.805099487304688,197844.39317795,29556.3624894,0.0,0.06847204953060405
_070085,159.42637634277344,5.2071685791015625,201779.72385915,28930.3045575,0.0,0.0860516699591739
_080018,159.1673583984375,5.4661865234375,221050.30224198,29772.8787782,0.0,0.10900073010776026
_090025,158.53140258789062,6.102142333984375,223602.34026301,29766.48247636,0.0,0.15858326350942495
_090032,157.88612365722656,6.7474212646484375,255541.04107243,36512.478623400006,0.0,0.12397979055376293
_080098,157.88235473632812,6.751190185546875,296936.41696696,40317.9094893,0.0,0.057935141765701324
_090164,157.7998809814453,6.833663940429688,318352.47995478,41411.6348642,0.0,0.057392537043517156
_080107,157.6055450439453,7.027999877929688,333993.65700593,40269.1133985,0.0,0.06686028510666647
_090093,157.53952026367188,7.094024658203125,369690.74414473,44287.1536467,0.0,0.0766287268914259
_090157,157.17306518554688,7.460479736328125,375200.9591110301,45473.2233627,0.0,0.09104079734873227
_090049,157.15496826171875,7.47857666015625,435646.9103567701,61801.2531054,0.0,0.054431461949188784
_080051,157.12603759765625,7.50750732421875,438684.77777927,62565.4233085,0.0,0.023394002874709965
_090081,157.02340698242188,7.610137939453125,448288.98240300006,67144.8611451,0.0,0.0875538270269502
_090077,156.51370239257812,8.119842529296875,470224.2323692401,60877.8754764,0.0,0.1270036616268683
_080129,156.5103759765625,8.1231689453125,543379.69441872,86177.53967989999,0.0,0.0754638908725715
_080096,156.47315979003906,8.160385131835938,561480.6832584001,78272.2898342,0.0,0.030454202591312172
_090023,156.35304260253906,8.280502319335938,561669.2157266099,87589.9447479,0.0,0.03692604159461202
_060018,156.1839599609375,8.4495849609375,570713.10943562,74421.0546336,0.0,0.04050287012062104
_090088,156.11007690429688,8.523468017578125,581559.52392752,72949.5744919,0.0,0.09724460448448688
_070080,155.93157958984375,8.70196533203125,661990.32987318,87795.68626670001,0.0,0.14553797055652362
_090086,155.72372436523438,8.909820556640625,717031.0056009201,82743.6051147,0.0,0.07307396407124266
_080009,155.70901489257812,8.924530029296875,726251.8189447201,84665.03631570001,0.0,0.03990301928594227
_090151,155.61740112304688,9.016143798828123,754122.13884902,81291.35272270002,0.0,0.05458892736299094
_090018,155.477783203125,9.15576171875,765714.2015446201,90868.8053618,0.0,0.12602659831277402
_090046,155.14173889160156,9.491806030273438,852876.30905667,104253.48947169998,0.0,0.14744856726219724
_080063,155.0639190673828,9.569625854492188,900013.30057277,108609.5192557,0.0,0.08198785389960359
_000116,154.79782104492188,9.835723876953123,912588.8433130902,131303.34231006,0.0,0.14720851262228116
_090144,154.51052856445312,10.123016357421877,1015657.32522242,120305.5364353,0.0,0.149178501252745
_000163,154.3130645751953,10.320480346679688,1039779.72572218,151589.03517296002,0.0,0.3269696243969604
_000166,153.63807678222656,10.995468139648438,1319424.60741862,167315.41119456,0.0,inf
_090014,163.2659912109375,1.3675537109375,104538.82371478,13877.3053384,1.0,inf
_090136,161.53675842285156,3.096786499023437,133634.16039945,23928.969155,1.0,0.26521205346630067
_040099,160.94886779785156,3.6846771240234375,139285.86374908,27603.0560159,1.0,0.07114956196222426
_090128,160.93435668945312,3.699188232421875,145483.70740058,23883.2602972,1.0,0.02154829047335493
_030118,160.79910278320312,3.834442138671875,147171.76432179002,25374.0493029,1.0,0.04885227458549654
_090082,160.7418670654297,3.891677856445313,182698.23753599,33252.887037,1.0,0.11998440511541876
_090132,159.97402954101562,4.659515380859375,192244.58980715,29433.2485881,1.0,0.13572791136340737
_090005,159.6824493408203,4.951095581054688,217105.03287785,35247.6639634,1.0,0.09941435086018256
_090111,159.2899169921875,5.3436279296875,229525.80505365,31901.809928899995,1.0,0.06835799248514257
_090152,159.11695861816406,5.5165863037109375,230235.41689015,31624.5614687,1.0,0.046925941748006426
_090045,158.95895385742188,5.674591064453125,246065.40901528,31710.2371295,1.0,0.10202078581781444
_090011,158.34413146972656,6.2894134521484375,259186.62621086,33676.2236503,1.0,0.08979603220537336
_070096,158.24447631835938,6.389068603515625,267042.91498423,32824.0591025,1.0,0.05877037381017802
_090013,157.88998413085938,6.743560791015625,274687.35341358,36009.5910282,1.0,0.10049003576654952
_090109,157.82884216308594,6.804702758789063,341006.03500313003,54159.1944976,1.0,0.0791830864665557
_090056,157.80612182617188,6.827423095703125,365007.5078346,46855.2951552,1.0,0.04039449023560135
_090053,157.68331909179688,6.950225830078125,373571.40501293,53219.83583070001,1.0,0.04948321517297502
_070050,157.5032958984375,7.1302490234375,388520.28438813,48758.9278105,1.0,0.050565726538615505
_060105,157.41249084472656,7.221054077148437,402677.4301476201,57042.3696013,1.0,0.04735574045004484
_080032,157.27444458007812,7.359100341796875,419037.77830558,54834.9461455,1.0,0.03923276053273311
_090104,157.21131896972656,7.422225952148437,426438.01768623,52169.8581114,1.0,0.04669872774527503
_090067,157.14190673828125,7.49163818359375,461379.6431188201,68249.9597274,1.0,0.04199164446200755
_080157,157.1129150390625,7.5206298828125,467243.82206677,65784.2407228,1.0,0.03662401628896877
_070148,156.91380310058594,7.7197418212890625,478259.69631982007,60920.0130093,1.0,0.053233175173931724
_090142,156.82156372070312,7.811981201171875,497065.17178969,86335.768966,1.0,0.029189564317540793
_080122,156.7739715576172,7.859573364257812,497232.08437657,65703.8551347,1.0,0.025973157944412812
_070117,156.61788940429688,8.015655517578125,503525.43989267,87886.7864829,1.0,0.06538465374653117
_090159,156.55966186523438,8.073883056640625,552737.40154927,74087.8655687,1.0,0.04984093226234723
_090174,156.5209503173828,8.112594604492188,554570.3422194,76174.8170726,1.0,0.019751574639763354
_090021,156.4451904296875,8.1883544921875,562964.77991441,60690.784859,1.0,0.0511838540616725
_090118,156.36558532714844,8.267959594726562,599651.02792742,96652.1801896,1.0,0.0901996438409147
_090122,156.13404846191406,8.499496459960938,637497.81121932,87042.6645826,1.0,0.1274831602838668
_090027,155.97499084472656,8.658554077148438,711455.95635082,89195.2608918,1.0,0.12447600878797024
_090044,155.7147674560547,8.918777465820312,741681.52304432,87498.8219716,1.0,0.09774145826120759
_090073,155.58811950683594,9.045425415039062,785683.4460959199,94809.2506223,1.0,0.06114926599076832
_090068,155.56912231445312,9.064422607421877,800795.31825552,93496.9331678,1.0,0.03479676297673291
_090147,155.5542755126953,9.079269409179688,825770.0498468699,103228.9638453,1.0,0.022097602151343425
_070129,155.54681396484375,9.08673095703125,826144.94283867,99826.0334136,1.0,0.010175225506388406
_090075,155.49411010742188,9.139434814453123,830881.74017972,102899.5114257,1.0,0.02167127691822769
_060038,155.4876251220703,9.145919799804688,846099.0918286701,104148.7468307,1.0,0.013652649420675473
