subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_010118,163.6011505126953,1.0323944091796875,27908.91819002,5894.771401460001,0,inf
_120013,163.4579620361328,1.1755828857421875,43393.63170207,7884.32805086,0,0.08268986669652933
_150121,163.10560607910156,1.5279388427734375,58151.78336362,9192.83411413,0,0.06958964831306777
_120138,163.07296752929688,1.560577392578125,72979.75108863,10875.67233406,0,0.057444929430567
_180032,162.73184204101562,1.901702880859375,75354.21363652,11957.11695346,0,0.07473679365574584
_090018,162.52024841308594,2.1132965087890625,86786.82778286,10932.8006209,0,0.036885783418544794
_180007,162.51914978027344,2.1143951416015625,89923.0892551,14305.90469067,0,0.04762270036124906
_170096,162.20790100097656,2.425643920898437,100726.42239018998,12799.0618506,0,0.04575780908977698
_110089,162.2075958251953,2.4259490966796875,101840.96390899,12980.2458615,0,0.04772258037664732
_160136,161.84957885742188,2.783966064453125,108847.6314591,14312.266829,0,0.11006315897088867
_130051,161.34877014160156,3.284774780273437,116387.4418751,14457.246743299998,0,0.10641123031130974
_170078,161.1172332763672,3.5163116455078125,135554.39068486,15792.3068914,0,0.1610750528954923
_180173,160.11695861816406,4.5165863037109375,140909.57184628004,18355.43016763,0,0.15844293003342577
_180147,159.91673278808594,4.716812133789063,161118.63057575,20061.9275014,0,0.04878487353668294
_170151,159.87547302246094,4.758071899414063,165316.21927046,20975.451196600003,0,0.020969297585963206
_170019,159.85874938964844,4.7747955322265625,177520.90332878003,25180.6650407,0,0.057393658830375664
_120111,159.5624542236328,5.071090698242188,190298.24876110005,25665.9744231,0,0.06146100952956371
_180048,159.47682189941406,5.1567230224609375,198244.28993063,26650.5096364,0,0.05425387650944426
_170114,159.1623077392578,5.471237182617188,200461.94498264,24599.6929673,0,0.060055472962435436
_130061,159.0435791015625,5.5899658203125,210745.53246861,27311.7396642,0,0.0737994972754446
_170003,158.70614624023438,5.927398681640625,225660.33620644,29667.221482300003,0,0.2256326759180542
_180118,157.1837158203125,7.4498291015625,227760.50578694,32849.282851259995,0,0.20121226172050635
_160076,157.1197967529297,7.513748168945312,250152.25664991,34429.0443446,0,0.04812867848736717
_160069,157.05064392089844,7.582901000976562,265408.43779175,31300.442088,0,0.07789707490685027
_170036,156.5752716064453,8.058273315429688,268616.14816238,33918.8964933,0,0.11980901689853468
_180013,156.345947265625,8.28759765625,310942.75542963,39195.2816897,0,0.12805197190225392
_170040,156.0479278564453,8.585617065429688,346423.09920173005,39659.5357902,0,0.07372595609896093
_180156,156.04747009277344,8.586074829101562,356403.49069623003,38355.8106365,0,0.036600704783662376
_180079,155.94332885742188,8.690216064453125,374614.61294556,42715.61490115999,0,0.03668034029560174
_150040,155.89596557617188,8.737579345703125,378633.46061547,39178.106391600006,0,0.03766184167375648
_170033,155.6522674560547,8.981277465820312,379955.39523836,45319.7713835,0,0.05693426886166997
