subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_010118,163.6011505126953,1.0323944091796875,27908.91819002,5894.771401460001,0,0,inf,10118
_190075,163.41909790039062,1.214447021484375,43154.72139337,8103.70467786,0,0,0.060141913202307676,190075
_200133,163.3103485107422,1.3231964111328125,58110.77923733,9989.49398476,0,0,0.049012090298851216,200133
_150121,163.10560607910156,1.5279388427734375,58151.78336362,9192.83411413,0,0,0.04027784097754446,150121
_120138,163.07296752929688,1.560577392578125,72979.75108863,10875.67233406,0,0,0.05782435124712773,120138
_180032,162.73184204101562,1.901702880859375,75354.21363652,11957.11695346,0,0,0.08544376684549011,180032
_200162,162.46505737304688,2.168487548828125,91408.12532137,12853.727086760002,0,0,0.0562387615102402,200162
_190056,162.41619873046875,2.21734619140625,98101.7565222,13117.9424416,0,0,0.015957341036389707,190056
_200016,162.4034423828125,2.2301025390625,101375.06067797,14938.31293956,0,0,0.026991287328414767,200016
_110089,162.2075958251953,2.4259490966796875,101840.96390899,12980.2458615,0,0,0.06945252065542981,110089
_160136,161.84957885742188,2.783966064453125,108847.6314591,14312.266829,0,0,0.06314094106015591,160136
_190141,161.75689697265625,2.87664794921875,115274.65694354,13153.5783014,0,0,0.06350514004622197,190141
_130051,161.34877014160156,3.284774780273437,116387.4418751,14457.246743299998,0,0,0.06409094078651018,130051
_190103,161.24830627441406,3.385238647460937,122486.56232077,19116.55072606,0,0,0.04348844440353721,190103
_170078,161.1172332763672,3.5163116455078125,135554.39068486,15792.3068914,0,0,0.14471334706511005,170078
_180173,160.11695861816406,4.5165863037109375,140909.57184628004,18355.43016763,0,0,0.29833704730126903,180173
_200069,158.60638427734375,6.02716064453125,151100.58284678005,23998.28335876,0,0,0.2835165802443054,200069
_200077,158.29771423339844,6.3358306884765625,226931.51421393003,26695.72304364,0,0,0.2301730555787429,200077
_180118,157.1837158203125,7.4498291015625,227760.50578694,32849.282851259995,0,0,0.15430961083226621,180118
_160076,157.1197967529297,7.513748168945312,250152.25664991,34429.0443446,0,0,0.09594077171816158,160076
_200002,156.51609802246094,8.117446899414062,250335.10726284,32966.0222225,0,0,0.10165121758569295,200002
_200048,156.41455078125,8.218994140625,274335.55620777,31115.079378399994,0,0,0.05129080974222318,200048
_200142,156.3992462158203,8.234298706054688,292576.21753544995,33624.757557499994,0,0,0.08083410126821838,200142
_190033,156.0852813720703,8.548263549804688,322668.89307553,38179.53106829999,0,0,0.09835281166060614,190033
_190134,155.8910675048828,8.742477416992188,337867.20462483005,40700.93569986,0,0,0.06248116861301925,190134
_200115,155.82223510742188,8.811309814453125,358955.60435850004,42567.87891643999,0,0,0.039001616746978086,200115
_200038,155.80650329589844,8.827041625976562,370526.6201543301,41217.86870259999,0,0,0.028155494163954894,200038
_200120,155.66746520996094,8.966079711914062,370753.02131836,44204.2240383,0,0,0.025960916076718292,200120
_170033,155.6522674560547,8.981277465820312,379955.39523836,45319.7713835,0,0,0.02523343966971612,170033
_200136,155.5647430419922,9.068801879882812,385848.91594735,46308.9199795,0,0,0.07773752120211463,200136
_200168,155.46835327148438,9.165191650390623,443120.9481718301,51297.69570239999,0,0,0.08143988717025014,200168
_190157,155.3832550048828,9.250289916992188,453428.66303066,55139.0511493,0,0,0.05742442682301177,190157
_200083,155.34164428710938,9.291900634765623,490930.85991995,52359.58872359999,0,0,0.055798218458114224,200083
_170132,155.21951293945312,9.414031982421877,494779.10440138,54668.61087851998,0,0,0.050533335709334715,170132
_190091,155.11875915527344,9.514785766601562,519004.34556001,63341.21131041999,0,0,0.06769685190143925,190091
_180137,154.9977569580078,9.635787963867188,542044.32019076,61392.2867007,0,0,0.07475331940003309,180137
_170133,154.9918670654297,9.641677856445312,586024.60677696,71668.4320397,0,0,0.07121852131565282,170133
_180158,154.95681762695312,9.676727294921877,615944.3611275499,74152.60467296002,0,0,0.04624394251503504,180158
_200030,154.95205688476562,9.681488037109377,632347.2444928299,74738.7635724,0,0,0.02859619468540608,200030
_180046,154.94265747070312,9.690887451171877,645903.58629682,76861.07525829998,0,0,0.07083259026664304,180046
_190050,154.8541717529297,9.779373168945312,698661.6508368199,81457.23579430002,0,0,0.3630402293773643,190050
_200053,154.84396362304688,9.789581298828123,1036438.0351664,126519.83333135,0,0,0.34221673170275313,200053
_190127,154.802734375,9.830810546875,1072023.5451508,129387.28113005,0,0,0.05851450055703055,190127
_190140,154.78611755371094,9.847427368164062,1094112.92476844,132813.16795901002,0,0,0.043501846175630306,190140
