subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_110047,163.0749053955078,1.5586395263671875,22000.54864682,14056.275777800003,0,inf
_050088,162.54977416992188,2.083770751953125,27341.33381703,21017.645642,0,0.11072205888583364
_050169,162.25563049316406,2.377914428710937,35414.03298125,13855.6560851,0,0.13452105263036152
_170058,161.47645568847656,3.157089233398437,37526.60952139,14619.476972200002,0,0.11176427549330839
_010110,161.37747192382812,3.256072998046875,44941.63260444,30348.6478569,0,0.10172086888009808
_070115,160.72210693359375,3.91143798828125,49718.1461142,6195.5630189,0,0.14868440370559513
_130041,160.2108612060547,4.4226837158203125,57745.00840849,8255.6921218,0,0.1005072778607054
_140021,160.0069580078125,4.6265869140625,64132.06764107,14146.905669900005,0,0.04779781754402895
_190001,159.98187255859375,4.65167236328125,73311.51104656,12246.1827542,0,0.047382664276031175
_080029,159.7037353515625,4.9298095703125,73587.0913101,20091.460049,0,0.05532410111007386
_190178,159.53086853027344,5.1026763916015625,76748.99997931,29902.874918900005,0,0.03698178759868073
_180175,159.5043182373047,5.1292266845703125,83886.92033321998,25287.9733039,0,0.03566282588563584
_110130,159.37059020996094,5.262954711914063,89192.53243887,35880.921148,0,0.13329020611120723
_070077,158.40301513671875,6.23052978515625,91014.86836862,10077.868622,0,0.15170993090062138
_120165,158.205810546875,6.427734375,104261.26194182,12631.307925,0,0.07154225715571376
_120082,157.953125,6.680419921875,105913.41661369,18218.4810401,0,0.0606898316643185
_180063,157.73843383789062,6.895111083984375,110178.01145285,21810.5387331,0,0.04416140317851997
_190155,157.6947021484375,6.9388427734375,116621.92197655,35006.87280900001,0,0.041027920583029585
_130065,157.5314178466797,7.1021270751953125,122719.58485046,16033.4464581,0,0.061799669991055454
_160092,157.2330322265625,7.4005126953125,123764.43831726,37991.4799151,0,0.0776565337012452
_170001,157.01844787597656,7.615097045898437,136960.26122267998,53332.8417412,0,0.09265002027107504
_190108,156.62237548828125,8.01116943359375,140860.8311224,40857.18245519999,0,0.06826955977135835
_180034,156.6058349609375,8.0277099609375,152486.4093407,45474.82162819999,0,0.04831146016013373
_160171,156.45436096191406,8.179183959960938,161568.2384919,46284.67160019999,0,0.05128068043854214
_190019,156.37213134765625,8.26141357421875,170125.75110079,59721.158837,0,0.05891308542522522
_100079,156.1436309814453,8.489913940429688,178520.88445528,96935.6954502,0,0.0939953787541199
_180026,155.9158477783203,8.717697143554688,200269.30028863,119405.3518802,0,0.08092816828859385
_180104,155.80108642578125,8.83245849609375,208418.18638786,105367.7006931,0,0.03597101050071534
_190172,155.77427673339844,8.859268188476562,214395.70934662,102923.7133151,0,0.05421719832706258
_180020,155.60153198242188,9.032012939453123,230794.36890613,70306.5371469,0,0.05680437678698777
_190044,155.592529296875,9.041015625,239982.43147636,102912.3359899,0,0.04431462746309141
_160166,155.42820739746094,9.205337524414062,248282.4780629,102887.0109219,0,0.04685216181782384
_190088,155.30235290527344,9.331192016601562,250088.31125008,103353.796564,0,0.05482162400355735
_100080,155.15951538085938,9.474029541015623,265661.79516985,116917.0385262,0,0.060635688061626544
_170022,155.13528442382812,9.498260498046877,279512.82250037,110450.913261,0,0.040023770059538305
_190142,155.10926818847656,9.524276733398438,289790.65408456,114399.975486,0,0.050269422411618254
_160146,154.87188720703125,9.76165771484375,294114.83977988,122534.77569589998,0,0.07889818297280518
_130116,154.68359375,9.949951171875,311746.51919416,134101.3757471,0,0.099656116672079
_190093,154.68145751953125,9.95208740234375,349072.57247306,145395.2131371,0,0.06945805915896068
_150016,154.58790588378906,10.045639038085938,352954.73485301994,144718.21997399998,0,0.0369386622474286
_190114,154.5126495361328,10.120895385742188,361742.07348506,146211.7931841,0,0.04923704191145555
_180133,154.4208221435547,10.212722778320312,374384.22728974,140085.15790209998,0,0.05028287316197108
_190168,154.41952514648438,10.214019775390623,389703.80206198,150603.8529501,0,0.09415304603880738
_190134,154.41195678710938,10.221588134765623,439718.27095203,187998.6586737,0,0.12021170364230584
_170031,154.33480834960938,10.298736572265623,467365.52352228,192778.3952291,0,0.08533264209088952
_140156,154.33123779296875,10.30230712890625,493232.90232958,164413.6385821,0,0.07339689800680094
_190153,154.32972717285156,10.303817749023438,518440.06759499,185205.8549689,0,0.04156894691150876
_170056,154.28335571289062,10.350189208984377,518630.82439898,193865.9623021,0,0.013782658360775137
_190169,154.2615203857422,10.372024536132812,522758.01964618,179161.3553701,0,0.01586170054094843
_190162,154.2609100341797,10.372634887695312,527994.70969452,178882.4580171,0,0.050928523971201664
_190097,154.20399475097656,10.429550170898438,553963.66859229,202333.8364731,0,0.07468575320238331
_170102,154.17294311523438,10.460601806640623,573474.44768919,209612.3382311,0,0.06986691506068317
_140148,154.16932678222656,10.464218139648438,600242.8916080701,237954.4189971,0,0.10080956450047873
_190073,154.1683807373047,10.465164184570312,643814.0556332299,231652.3353591,0,0.08283707008971584
_180075,154.16769409179688,10.465850830078123,658208.16785329,238269.27524309995,0,0.02859706999452758
_170130,154.16677856445312,10.466766357421877,663743.44143219,247299.4551701,0,0.05934770994887789
_170132,154.1359405517578,10.497604370117188,697338.82313536,238876.0649721,0,0.08898532137564097
_160061,154.13040161132812,10.503143310546877,723296.3288258,272653.5786021,0,inf
_190126,162.74166870117188,1.891876220703125,43523.82106336,15044.554164,1,inf
_190179,162.49853515625,2.135009765625,55358.709393590005,19690.3617831,1,0.1837918947662741
_190009,161.28225708007812,3.351287841796875,57990.813182850005,17985.5128992,1,0.3173259668353233
_190146,160.0059051513672,4.6276397705078125,82462.8688629,17835.3092321,1,0.21486190854681234
_190010,159.75209045410156,4.8814544677734375,88699.51318667,17011.9423292,1,0.11175043711104396
_190175,159.34091186523438,5.292633056640625,108694.0344506,36503.344208,1,0.15283081890976472
_190138,158.85618591308594,5.777359008789063,125635.52961421,52068.4760962,1,0.23840124734605062
_190132,157.44944763183594,7.184097290039063,127583.15530224,39861.8668891,1,0.1789791384936103
_190028,157.4228515625,7.210693359375,138771.95017996,23196.5184729,1,0.0993381971953998
_150137,156.7393035888672,7.894241333007812,141569.61442601998,45191.57797109999,1,0.08746691425059903
_190167,156.7096710205078,7.9238739013671875,144195.05129759,54843.857820100005,1,0.05505242476394122
_190065,156.582763671875,8.05078125,167904.10109023,52826.4476932,1,0.05867803607735475
_190099,156.55186462402344,8.081680297851562,172972.86527422,49341.03744510001,1,0.027150356021988876
_190043,156.48086547851562,8.152679443359375,178955.18100845002,55417.476198,1,0.06480909463539343
_190063,156.1912384033203,8.442306518554688,190148.23196183,97706.544346,1,0.08968125772751509
_190046,156.0293426513672,8.604202270507812,206446.5223601,140169.0794351,1,0.06086581519830929
