subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID
_110047,163.0749053955078,1.5586395263671875,22000.54864682,14056.275777800003,0,0,inf,110047
_050088,162.54977416992188,2.083770751953125,27341.33381703,21017.645642,0,0,0.1106585067440317,50088
_050169,162.25563049316406,2.377914428710937,35414.03298125,13855.6560851,0,0,0.13443779402188186,50169
_170058,161.47645568847656,3.157089233398437,37526.60952139,14619.476972200002,0,0,0.11169615567447423,170058
_010110,161.37747192382812,3.256072998046875,44941.63260444,30348.6478569,0,0,0.10166235313782246,10110
_070115,160.72210693359375,3.91143798828125,49718.1461142,6195.5630189,0,0,0.1485939083058807,70115
_130041,160.2108612060547,4.4226837158203125,57745.00840849,8255.6921218,0,0,0.10045180289642819,130041
_140021,160.0069580078125,4.6265869140625,64132.06764107,14146.905669900005,0,0,0.07924731681953437,140021
_080029,159.7037353515625,4.9298095703125,73587.0913101,20091.460049,0,0,0.12053726517909213,80029
_200121,159.14352416992188,5.490020751953125,81013.59481847001,33494.9326119,0,0,0.17017109527481822,200121
_070077,158.40301513671875,6.23052978515625,91014.86836862,10077.868622,0,0,0.13791370217408805,70077
_120165,158.205810546875,6.427734375,104261.26194182,12631.307925,0,0,0.07150735863547074,120165
_120082,157.953125,6.680419921875,105913.41661369,18218.4810401,0,0,0.08540947368098259,120082
_200092,157.61660766601562,7.016937255859375,117994.0372201,35588.0225422,0,0,0.07107880930645777,200092
_130065,157.5314178466797,7.1021270751953125,122719.58485046,16033.4464581,0,0,0.05108237051025613,130065
_160092,157.2330322265625,7.4005126953125,123764.43831726,37991.4799151,0,0,0.07761674200223795,160092
_170001,157.01844787597656,7.615097045898437,136960.26122267998,53332.8417412,0,0,0.0926026508917464,170001
_190108,156.62237548828125,8.01116943359375,140860.8311224,40857.18245519999,0,0,0.0682375528901383,190108
_180034,156.6058349609375,8.0277099609375,152486.4093407,45474.82162819999,0,0,0.04829842707078372,180034
_160171,156.45436096191406,8.179183959960938,161568.2384919,46284.67160019999,0,0,0.03798703303083817,160171
_200115,156.40631103515625,8.22723388671875,163493.69233573,42783.434118200006,0,0,0.02085475712723934,200115
_200142,156.3763885498047,8.257156372070312,170084.38932311,60858.2410502,0,0,0.013275518736694542,200142
_190019,156.37213134765625,8.26141357421875,170125.75110079,59721.158837,0,0,0.03803422459881925,190019
_100079,156.1436309814453,8.489913940429688,178520.88445528,96935.6954502,0,0,0.08160416614898196,100079
_200176,155.97476196289062,8.658782958984375,196220.19177206,58579.3059061,0,0,0.0581954869758387,200176
_200172,155.8946075439453,8.738937377929688,199821.94364858,110421.2404342,0,0,0.04831584680271796,200172
_190172,155.77427673339844,8.859268188476562,214395.70934662,102923.7133151,0,0,0.07690782836696894,190172
_180020,155.60153198242188,9.032012939453123,230794.36890613,70306.5371469,0,0,0.06076194147298042,180020
_200003,155.56024169921875,9.07330322265625,240237.98230022003,100625.197362,0,0,0.060937010086159385,200003
_190088,155.30235290527344,9.331192016601562,250088.31125008,103353.796564,0,0,0.08102294305144428,190088
