HUC10,HUC12,damID,streamID,reachID,Strahler,fr_StaStr,to_EndStr,fr_StaRea,to_EndRea,to_outlet,MIvalid,Z,MaxElev,Drainage,INFLOW_VOL,damLength,damOrient,PROC_CODE,VOL_1,AREA_1,V_A_1,V_LEN_1,V_STO_1,VOL_2,AREA_2,V_A_2,V_LEN_2,V_STO_2,VOL_3,AREA_3,V_A_3,V_LEN_3,V_STO_3,VOL_4,AREA_4,V_A_4,V_LEN_4,V_STO_4,VOL_5,AREA_5,V_A_5,V_LEN_5,V_STO_5,VOLmax,AREAmax,Vmax_Amax,Vmax_LEN,Vmax_STO,maxH,reachWid,B_orif,H_orif,_FID
Volga,Hewett,200008,20000,20000,2,820.000000000000000,321.879999999999000,820.000000000000000,321.879999999999000,19559.311412980800000,1,360.392608600000000,361.595914499999000,254268,48438.053999999900000,90.921717599999900,300,1,1287.472623000000000,3961.088392999990000,0.325030016000000,14.160232089999900,0.026579776000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.618547999990000,5615.316187000000000,0.406498668000000,25.105317060000000,0.047124489000000,1.203305853000000,2,0.4,0.200000000000000,0
Volga,Hewett,200009,20000,20000,2,920.000000000000000,221.879999999999000,920.000000000000000,221.879999999999000,19459.311412980800000,1,359.382782000000000,360.927086299999000,273856,52169.567999999900000,88.780736360000000,100,1,1132.477075999990000,3018.503251000000000,0.375178352000000,12.755887400000000,0.021707618000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701.919734000000000,6654.458158000000000,0.556306711000000,41.697330809999900,0.070959371000000,1.544304343000000,2,0.4,0.200000000000000,1
Volga,Hewett,200013,20001,20001,2,120.000000000000000,125.359999999999000,120.000000000000000,125.359999999999000,20095.609280274000000,1,369.850830099999000,371.223478300000000,61549,11725.084500000000000,90.981226149999900,100,1,573.757276499999000,1410.015728000000000,0.406915515000000,6.306326050000000,0.048934170000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356.733471999990000,2791.994401999990000,0.485937032000000,14.912235519999900,0.115712042000000,1.372648225000000,2,0.4,0.200000000000000,2
Volga,Hewett,200014,20001,20001,2,220.000000000000000,25.359999999999900,220.000000000000000,25.359999999999900,19995.609280274000000,1,367.715942400000000,368.959337100000000,86507,16479.583500000000000,79.866278980000000,100,1,465.634178399999000,1281.588340000000000,0.363325854000000,5.830172437000000,0.028255215000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.564207000000000,1749.653855000000000,0.482132054000000,10.562207450000000,0.051188442000000,1.243394755000000,2,0.4,0.200000000000000,3
Volga,Hewett,200019,20003,20003,2,220.000000000000000,306.439999999999000,220.000000000000000,306.439999999999000,18478.871861774300000,1,347.296417200000000,348.393137799999000,79090,15066.645000000000000,49.959518750000000,100,1,642.448757500000000,1811.876078000000000,0.354576544000000,12.859386430000000,0.042640466000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833.364555300000000,2077.835267999990000,0.401073448000000,16.680796300000000,0.055311886000000,1.096720538000000,2,0.4,0.200000000000000,4
Volga,Hewett,200020,20003,20003,2,320.000000000000000,206.439999999999000,320.000000000000000,206.439999999999000,18378.871861774300000,1,346.206695599999000,347.296950200000000,89983,17141.761500000000000,91.633361879999900,200,1,1419.817358000000000,3384.462676000000000,0.419510420000000,15.494546189999900,0.082827973000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740.072229999990000,3635.818523999990000,0.478591607000000,18.989505510000000,0.101510701000000,1.090254602000000,2,0.4,0.200000000000000,5
Volga,Hewett,200026,20005,20005,2,20.000000000000000,258.540000000000000,20.000000000000000,258.540000000000000,19195.198664214500000,1,365.320495600000000,367.489646199999000,49633,9455.086499999990000,90.873946349999900,100,1,366.310889900000000,1199.449603000000000,0.305399151000000,4.030978126000000,0.038742204000000,5800,10556,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7763.590694000000000,12493.505919999900000,0.621410094000000,85.432525010000000,0.821102027000000,2.169150598000000,2,0.4,0.200000000000000,6
Volga,Hewett,200027,20005,20005,2,120.000000000000000,158.539999999999000,120.000000000000000,158.539999999999000,19095.198664214500000,1,363.784423800000000,365.895084399999000,62341,11875.960499999900000,62.153675460000000,200,1,94.522376039999900,272.772576899999000,0.346524482000000,1.520784979000000,0.007959135000000,1753,3366,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137.809428999990000,3504.302268999990000,0.610052805000000,34.395543189999900,0.180011497000000,2.110660527000000,2,0.4,0.200000000000000,7
Volga,Hewett,200029,20006,20006,2,20.000000000000000,291.110000000000000,20.000000000000000,291.110000000000000,18259.290687033600000,1,358.517303500000000,361.466937599999000,41756,7954.518000000000000,85.160648399999900,100,1,85.031385599999900,260.747300199999000,0.326106485000000,0.998482130000000,0.010689697000000,688,1014,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151.194962999990000,2076.851822000000000,1.035796074000000,25.260434289999900,0.270436872000000,2.949634136000000,3,0.6,0.300000000000000,8
Volga,Hewett,200030,20006,20006,2,120.000000000000000,191.110000000000000,120.000000000000000,191.110000000000000,18159.290687033600000,1,354.697265599999000,359.174512800000000,60397,11505.628500000000000,80.791623849999900,100,1,139.751117099999000,390.273434099999000,0.358085139000000,1.729772350000000,0.012146326000000,905,1184,1,11,0,2713,2542,1,34,0,6132,4357,1,76,1,0,0,0,0,0,8455.706297999990000,5250.569107999990000,1.610436150000000,104.660680099999000,0.734919114000000,4.477247159000000,3,0.6,0.300000000000000,9
Volga,Hewett,200031,20006,20006,2,220.000000000000000,91.109999999999900,220.000000000000000,91.109999999999900,18059.290687033600000,1,351.320007299999000,356.414154900000000,105221,20044.600500000000000,73.413189020000000,100,1,111.396451900000000,332.669994700000000,0.334855724000000,1.517390177000000,0.005557429000000,857,1267,1,12,0,2889,2853,1,39,0,6592,4506,1,90,0,12018,6375,2,164,1,12623.727049999900000,6428.333472999990000,1.963763563000000,171.954484100000000,0.629781923000000,5.094147539000000,3,0.6,0.300000000000000,10
Volga,Hewett,200034,20008,20008,2,20.000000000000000,397.939999999999000,20.000000000000000,397.939999999999000,18373.357037106300000,1,352.222320599999000,353.518720900000000,27487,5236.273500000000000,54.131647690000000,200,1,178.721775500000000,535.729185000000000,0.333604703000000,3.301613438000000,0.034131482000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.555215999999000,708.367105499999000,0.521700137000000,6.826971500000000,0.070575996000000,1.296400388000000,2,0.4,0.200000000000000,11
Volga,Hewett,200035,20008,20008,2,120.000000000000000,297.939999999999000,120.000000000000000,297.939999999999000,18273.357037106300000,1,348.470459000000000,351.061759600000000,53850,10258.424999999900000,86.836487390000000,100,1,205.564750599999000,560.529001900000000,0.366733478000000,2.367262389000000,0.020038627000000,1339,1773,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680.553205000000000,2677.387533999990000,1.001182373000000,30.868973239999900,0.261302608000000,2.591300585000000,2,0.4,0.200000000000000,12
Volga,Hewett,200037,20008,20008,2,320.000000000000000,97.939999999999900,320.000000000000000,97.939999999999900,18073.357037106300000,1,342.754028300000000,347.018616500000000,152652,29080.205999999900000,87.523021439999900,200,1,320.242099399999000,818.288510399999000,0.391355977000000,3.658947030000000,0.011012374000000,1835,2362,1,21,0,5133,4385,1,59,0,10882,7370,1,124,0,0,0,0,0,0,12964.271479999900000,8177.237787000000000,1.585409623000000,148.124130900000000,0.445810854000000,4.264588182000000,2,0.4,0.200000000000000,13
Volga,Hewett,200039,20010,20010,2,20.000000000000000,308.680000000000000,20.000000000000000,308.680000000000000,18276.865384227700000,1,363.103301999999000,364.212035300000000,62901,11982.640499999900000,89.272777390000000,100,1,1602.115655999990000,4266.145921000000000,0.375541692000000,17.946295639999900,0.133703056000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107.042219999990000,4900.659899000000000,0.429950714000000,23.602292680000000,0.175841228000000,1.108733330000000,2,0.4,0.200000000000000,14
Volga,Hewett,200040,20010,20010,2,120.000000000000000,208.680000000000000,120.000000000000000,208.680000000000000,18176.865384227700000,1,361.515991199999000,362.613645599999000,73742,14047.851000000000000,37.435744040000000,300,1,398.433309000000000,1094.981510999990000,0.363872179000000,10.643125149999900,0.028362581000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511.618924900000000,1186.984750000000000,0.431024008000000,13.666588930000000,0.036419729000000,1.097654428000000,2,0.4,0.200000000000000,15
Volga,Hewett,200041,20010,20010,2,220.000000000000000,108.680000000000000,220.000000000000000,108.680000000000000,18076.865384227700000,1,356.762054400000000,359.449459600000000,81950,15611.475000000000000,57.190356340000000,100,1,80.383444470000000,242.975241100000000,0.330829775000000,1.405541941000000,0.005148997000000,637,878,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420.397600999990000,1339.993707999990000,1.060003187000000,24.836313180000000,0.090984202000000,2.687405126000000,2,0.4,0.200000000000000,16
Volga,Hewett,200043,20011,20011,2,20.000000000000000,412.439999999999000,20.000000000000000,412.439999999999000,19215.230634876000000,1,369.841705300000000,372.923644299999000,85198,16230.218999999900000,96.029948529999900,100,1,281.560534899999000,882.983714500000000,0.318873984000000,2.932007558000000,0.017347920000000,2168,2981,1,23,0,6839,6580,1,71,0,0,0,0,0,0,0,0,0,0,0,7389.908115999990000,6769.014898999990000,1.091725787000000,76.954202609999900,0.455317831000000,3.081939011000000,2,0.4,0.200000000000000,17
Volga,Hewett,200044,20011,20011,2,120.000000000000000,312.439999999999000,120.000000000000000,312.439999999999000,19115.230634876000000,1,368.008605999999000,370.750863499999000,107213,20424.076499999900000,94.866437930000000,300,1,311.080867300000000,922.843493699999000,0.337089517000000,3.279145650000000,0.015231086000000,2369,3363,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5869.051180999990000,6064.597088000000000,0.967756159000000,61.866465210000000,0.287359440000000,2.742257575000000,2,0.4,0.200000000000000,18
Volga,Hewett,200045,20011,20011,2,220.000000000000000,212.439999999999000,220.000000000000000,212.439999999999000,19015.230634876000000,1,365.362335200000000,366.933677499999000,130890,24934.544999999900000,66.549731140000000,100,1,204.862739900000000,625.654825500000000,0.327437321000000,3.078340609000000,0.008216021000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798.837879199999000,1440.828473000000000,0.554429548000000,12.003622940000000,0.032037395000000,1.571342299000000,2,0.4,0.200000000000000,19
Volga,Hewett,200046,20011,20011,2,320.000000000000000,112.439999999999000,320.000000000000000,112.439999999999000,18915.230634876000000,1,362.980926500000000,365.633278800000000,176889,33697.354500000000000,74.756185180000000,100,1,216.852712599999000,655.845969800000000,0.330645796000000,2.900799608000000,0.006435304000000,1631,2381,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3801.518924999990000,4209.496774999990000,0.903081563000000,50.852232700000000,0.112813572000000,2.652352244000000,2,0.4,0.200000000000000,20
Volga,Hewett,200048,20012,20012,2,20.000000000000000,560.960000000000000,20.000000000000000,560.960000000000000,18821.529782128900000,1,350.760314900000000,351.899653800000000,26848,5114.543999999990000,91.708135659999900,100,1,562.816958900000000,1675.311723000000000,0.335947604000000,6.137045039000000,0.110042451000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823.132531299999000,2001.814515000000000,0.411193208000000,8.975567166999990,0.160939574000000,1.139338814000000,2,0.4,0.200000000000000,21
Volga,Hewett,200050,20012,20012,2,220.000000000000000,360.959999999999000,220.000000000000000,360.959999999999000,18621.529782128900000,1,347.617431599999000,348.635888500000000,77655,14793.277500000000000,32.173771260000000,100,1,385.956863600000000,409.185443299999000,0.943232145000000,11.996009440000000,0.026090017000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.560826700000000,412.971638799999000,0.952997227000000,12.232349870000000,0.026604032000000,1.018456878000000,2,0.4,0.200000000000000,22
Volga,Hewett,200051,20012,20012,2,320.000000000000000,260.959999999999000,320.000000000000000,260.959999999999000,18521.529782128900000,1,346.187774699999000,347.422216400000000,93610,17832.705000000000000,88.199845100000000,300,1,702.619193300000000,2070.455992000000000,0.339354807000000,7.966217997000000,0.039400595000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.545364000000000,2999.976106999990000,0.434851918000000,14.790789739999900,0.073154654000000,1.234441721000000,2,0.4,0.200000000000000,23
Volga,Hewett,200052,20012,20012,2,420.000000000000000,160.960000000000000,420.000000000000000,160.960000000000000,18421.529782128900000,1,344.747833300000000,345.747260799999000,112582,21446.870999999900000,61.656091549999900,100,1,398.803931599999000,1301.934342999990000,0.306316470000000,6.468200005000000,0.018594970000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.043618100000000,1300.926191000000000,0.305969409000000,6.455868481000000,0.018559519000000,0.999427547000000,2,0.4,0.200000000000000,24
Volga,Hewett,200054,20013,20013,2,20.000000000000000,340.949999999999000,20.000000000000000,340.949999999999000,15242.576412568400000,1,361.632934599999000,366.455506500000000,39735,7569.517499999990000,75.087008769999900,300,1,161.754443799999000,417.173746300000000,0.387738790000000,2.154226763000000,0.021369188000000,1156,1701,1,15,0,3788,3499,1,50,1,8124,5215,2,108,1,0,0,0,0,0,13031.470349999900000,6586.448398999990000,1.978527662000000,173.551597799999000,1.721572128000000,4.822571903000000,2,0.4,0.200000000000000,25
Volga,Hewett,200055,20013,20013,2,120.000000000000000,240.949999999999000,120.000000000000000,240.949999999999000,15142.576412568400000,1,356.789001499999000,360.252546699999000,64332,12255.245999999900000,66.157722739999900,100,1,41.232852090000000,109.684448200000000,0.375922501000000,0.623250777000000,0.003364506000000,322,494,1,5,0,1066,1093,1,16,0,0,0,0,0,0,0,0,0,0,0,1709.309852999990000,1641.624197999990000,1.041230907000000,25.836890720000000,0.139475768000000,3.463545214000000,2,0.4,0.200000000000000,26
Volga,Hewett,200056,20013,20013,2,220.000000000000000,140.949999999999000,220.000000000000000,140.949999999999000,15042.576412568400000,1,353.956451399999000,358.430134599999000,93302,17774.030999999900000,75.252357250000000,200,1,171.393755499999000,475.521414199999000,0.360433306000000,2.277586533000000,0.009642931000000,1239,1565,1,16,0,3232,2600,1,43,0,6678,4322,2,89,0,0,0,0,0,0,8915.642421000000000,5023.684097999990000,1.774721946000000,118.476586600000000,0.501610604000000,4.473683179000000,2,0.4,0.200000000000000,27
Volga,Hewett,200057,20013,20013,2,320.000000000000000,40.950000000000000,320.000000000000000,40.950000000000000,14942.576412568400000,1,352.356079099999000,355.460211599999000,131936,25133.808000000000000,64.961016520000000,100,1,376.774394599999000,966.592778100000000,0.389796410000000,5.800007679000000,0.014990741000000,2235,2634,1,34,0,5999,4969,1,92,0,0,0,0,0,0,0,0,0,0,0,6526.333472999990000,5063.671720999990000,1.288853984000000,100.465384099999000,0.259663537000000,3.104132536000000,2,0.4,0.200000000000000,28
Volga,Hewett,200058,20014,20014,2,20.000000000000000,156.590000000000000,20.000000000000000,156.590000000000000,18782.732975406000000,1,365.041747999999000,368.157456099999000,26259,5002.339500000000000,55.633386819999900,100,1,61.541113619999900,164.948154200000000,0.373093679000000,1.106190314000000,0.012302466000000,391,528,1,7,0,1165,1006,1,21,0,0,0,0,0,0,0,0,0,0,0,1283.299056999990000,1021.229780000000000,1.256621264000000,23.067066919999900,0.256539776000000,3.115708085000000,2,0.4,0.200000000000000,29
Volga,Hewett,200061,20016,20016,2,20.000000000000000,90.879999999999900,20.000000000000000,90.879999999999900,15659.310715552200000,1,373.233062700000000,375.542309900000000,51215,9756.457500000000000,78.557588719999900,100,1,798.818956200000000,1556.324256000000000,0.513272831000000,10.168577850000000,0.081875922000000,3328,3567,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537.712658999990000,4155.126425999990000,1.092075714000000,57.762881129999900,0.465098388000000,2.309247109000000,2,0.4,0.200000000000000,30
Volga,Hewett,200062,20017,20017,2,20.000000000000000,383.430000000000000,20.000000000000000,383.430000000000000,15285.053407651800000,1,368.677459699999000,371.182478899999000,25466,4851.273000000000000,71.782372490000000,100,1,856.718995700000000,1550.191602000000000,0.552653617000000,11.934949570000000,0.176596740000000,3077,2868,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4689.015459000000000,3439.122476000000000,1.363433693000000,65.322659259999900,0.966553616000000,2.505019215000000,2,0.4,0.200000000000000,31
Volga,Hewett,200063,20017,20017,2,120.000000000000000,283.430000000000000,120.000000000000000,283.430000000000000,15185.053407651800000,1,361.998443599999000,365.878115400000000,37714,7184.516999999990000,58.426342959999900,300,1,178.253840400000000,481.508836700000000,0.370198482000000,3.050915586000000,0.024810831000000,1047,1302,1,18,0,2756,2099,1,47,0,0,0,0,0,0,0,0,0,0,0,4889.274682000000000,2659.740949999990000,1.838252211000000,83.682709450000000,0.680529350000000,3.879671801000000,2,0.4,0.200000000000000,32
Volga,Hewett,200064,20017,20017,2,220.000000000000000,183.430000000000000,220.000000000000000,183.430000000000000,15085.053407651800000,1,357.446472200000000,362.540408899999000,61160,11650.979999999900000,81.981902849999900,300,1,55.988728490000000,149.337774499999000,0.374913371000000,0.682940095000000,0.004805495000000,381,543,1,5,0,1313,1417,1,16,0,3398,2890,1,41,0,7180,4603,2,88,1,7618.788223999990000,4679.084939999990000,1.628264569000000,92.932561449999900,0.653918230000000,5.093936734000000,2,0.4,0.200000000000000,33
